Date,HINDPETRO
2013-01-01,289.8
2013-01-02,296.8
2013-01-03,298.1
2013-01-04,313.8
2013-01-07,329.05
2013-01-08,323.25
2013-01-09,335.9
2013-01-10,330.25
2013-01-11,326.0
2013-01-14,329.95
2013-01-15,331.1
2013-01-16,326.2
2013-01-17,343.9
2013-01-18,362.4
2013-01-21,372.8
2013-01-22,363.6
2013-01-23,356.45
2013-01-24,345.3
2013-01-25,350.5
2013-01-28,340.95
2013-01-29,332.9
2013-01-30,332.6
2013-01-31,328.65
2013-02-01,338.35
2013-02-04,329.0
2013-02-05,331.4
2013-02-06,331.15
2013-02-07,319.7
2013-02-08,319.95
2013-02-11,319.25
2013-02-12,326.4
2013-02-13,316.6
2013-02-14,313.9
2013-02-15,310.35
2013-02-18,311.95
2013-02-19,311.25
2013-02-20,317.7
2013-02-21,313.85
2013-02-22,316.65
2013-02-25,312.65
2013-02-26,300.45
2013-02-27,304.3
2013-02-28,289.75
2013-03-01,302.4
2013-03-04,298.1
2013-03-05,300.85
2013-03-06,300.55
2013-03-07,302.7
2013-03-08,310.65
2013-03-11,307.7
2013-03-12,306.85
2013-03-13,300.25
2013-03-14,305.4
2013-03-15,304.45
2013-03-18,301.3
2013-03-19,293.7
2013-03-20,292.35
2013-03-21,284.45
2013-03-22,284.05
2013-03-25,282.15
2013-03-26,281.0
2013-03-28,285.2
2013-04-01,283.0
2013-04-02,286.0
2013-04-03,282.85
2013-04-04,279.5
2013-04-05,284.1
2013-04-08,290.2
2013-04-09,290.15
2013-04-10,292.45
2013-04-11,291.0
2013-04-12,297.3
2013-04-15,312.0
2013-04-16,315.15
2013-04-17,307.8
2013-04-18,315.5
2013-04-22,317.35
2013-04-23,313.4
2013-04-25,309.95
2013-04-26,308.9
2013-04-29,313.5
2013-04-30,307.0
2013-05-02,312.25
2013-05-03,304.55
2013-05-06,302.95
2013-05-07,304.35
2013-05-08,304.8
2013-05-09,307.1
2013-05-10,313.0
2013-05-11,316.45
2013-05-13,306.7
2013-05-14,306.6
2013-05-15,311.15
2013-05-16,317.05
2013-05-17,311.8
2013-05-20,304.4
2013-05-21,305.8
2013-05-22,290.95
2013-05-23,284.8
2013-05-24,288.4
2013-05-27,285.65
2013-05-28,288.9
2013-05-29,285.35
2013-05-30,285.8
2013-05-31,281.7
2013-06-03,283.55
2013-06-04,284.2
2013-06-05,283.55
2013-06-06,280.5
2013-06-07,280.0
2013-06-10,272.7
2013-06-11,259.8
2013-06-12,261.5
2013-06-13,255.9
2013-06-14,261.95
2013-06-17,259.65
2013-06-18,258.4
2013-06-19,257.8
2013-06-20,252.1
2013-06-21,248.8
2013-06-24,241.6
2013-06-25,242.85
2013-06-26,242.75
2013-06-27,244.05
2013-06-28,253.1
2013-07-01,258.0
2013-07-02,255.15
2013-07-03,245.35
2013-07-04,249.65
2013-07-05,247.95
2013-07-08,238.35
2013-07-09,236.9
2013-07-10,228.6
2013-07-11,230.6
2013-07-12,232.05
2013-07-15,233.0
2013-07-16,235.4
2013-07-17,227.0
2013-07-18,228.25
2013-07-19,226.5
2013-07-22,227.2
2013-07-23,230.7
2013-07-24,226.35
2013-07-25,230.4
2013-07-26,232.85
2013-07-29,224.0
2013-07-30,199.25
2013-07-31,211.65
2013-08-01,200.35
2013-08-02,192.35
2013-08-05,190.05
2013-08-06,178.45
2013-08-07,184.75
2013-08-08,187.65
2013-08-12,190.05
2013-08-13,189.9
2013-08-14,191.3
2013-08-16,181.55
2013-08-19,177.6
2013-08-20,181.55
2013-08-21,176.7
2013-08-22,182.6
2013-08-23,185.45
2013-08-26,185.8
2013-08-27,178.1
2013-08-28,163.85
2013-08-29,163.1
2013-08-30,167.75
2013-09-02,169.85
2013-09-03,165.35
2013-09-04,169.8
2013-09-05,174.0
2013-09-06,184.4
2013-09-10,183.0
2013-09-11,190.45
2013-09-12,183.25
2013-09-13,186.9
2013-09-16,195.3
2013-09-17,195.35
2013-09-18,198.65
2013-09-19,205.75
2013-09-20,208.15
2013-09-23,196.4
2013-09-24,193.55
2013-09-25,187.4
2013-09-26,186.65
2013-09-27,190.2
2013-09-30,192.15
2013-10-01,190.75
2013-10-03,190.55
2013-10-04,192.05
2013-10-07,193.15
2013-10-08,190.7
2013-10-09,191.25
2013-10-10,190.6
2013-10-11,189.9
2013-10-14,189.7
2013-10-15,184.55
2013-10-17,185.75
2013-10-18,190.85
2013-10-21,190.9
2013-10-22,198.3
2013-10-23,199.4
2013-10-24,197.15
2013-10-25,191.4
2013-10-28,191.05
2013-10-29,197.6
2013-10-30,200.7
2013-10-31,201.35
2013-11-01,206.0
2013-11-03,213.5
2013-11-05,223.1
2013-11-06,228.05
2013-11-07,215.7
2013-11-08,218.9
2013-11-11,210.8
2013-11-12,211.2
2013-11-13,210.8
2013-11-14,209.95
2013-11-18,211.55
2013-11-19,214.55
2013-11-20,211.65
2013-11-21,202.05
2013-11-22,202.4
2013-11-25,213.95
2013-11-26,204.0
2013-11-27,204.95
2013-11-28,207.6
2013-11-29,214.95
2013-12-02,217.15
2013-12-03,214.2
2013-12-04,210.95
2013-12-05,223.4
2013-12-06,223.35
2013-12-09,234.5
2013-12-10,230.25
2013-12-11,226.55
2013-12-12,223.35
2013-12-13,218.3
2013-12-16,213.65
2013-12-17,212.3
2013-12-18,222.5
2013-12-19,220.15
2013-12-20,230.25
2013-12-23,231.1
2013-12-24,237.25
2013-12-26,236.95
2013-12-27,239.9
2013-12-30,236.15
2013-12-31,237.3
