Date,IDBIGOLD
2013-12-05,2942.1
2013-12-06,2927.5
2013-12-09,2920.0
2013-12-10,2941.0
2013-12-11,2945.15
2013-12-12,2915.45
2013-12-13,2919.0
2013-12-16,2910.0
2013-12-17,2895.75
2013-12-18,2885.0
2013-12-19,2877.5
2013-12-20,2894.7
2013-12-23,2851.0
2013-12-24,2843.95
2013-12-26,2871.9
2013-12-27,2837.05
2013-12-30,2823.35
2013-12-31,2844.1
