Date,DLINKINDIA
2013-01-01,30.7
2013-01-02,30.95
2013-01-03,30.8
2013-01-04,31.25
2013-01-07,32.15
2013-01-08,31.8
2013-01-09,31.65
2013-01-10,31.5
2013-01-11,30.65
2013-01-14,31.65
2013-01-15,31.85
2013-01-16,30.95
2013-01-17,31.0
2013-01-18,30.95
2013-01-21,30.8
2013-01-22,33.85
2013-01-23,34.25
2013-01-24,32.25
2013-01-25,31.6
2013-01-28,30.9
2013-01-29,31.85
2013-01-30,30.8
2013-01-31,30.95
2013-02-01,30.65
2013-02-04,29.3
2013-02-05,28.5
2013-02-06,28.65
2013-02-07,28.5
2013-02-08,29.2
2013-02-11,31.25
2013-02-12,32.1
2013-02-13,33.6
2013-02-14,29.55
2013-02-15,29.5
2013-02-18,29.1
2013-02-19,29.75
2013-02-20,30.4
2013-02-21,29.55
2013-02-22,29.0
2013-02-25,28.6
2013-02-26,27.3
2013-02-27,27.8
2013-02-28,26.2
2013-03-01,26.3
2013-03-04,26.3
2013-03-05,26.15
2013-03-06,28.1
2013-03-07,30.5
2013-03-08,31.85
2013-03-11,30.25
2013-03-12,28.75
2013-03-13,29.1
2013-03-14,28.5
2013-03-15,28.6
2013-03-18,27.65
2013-03-19,27.2
2013-03-20,26.8
2013-03-21,27.2
2013-03-22,27.0
2013-03-25,27.1
2013-03-26,27.5
2013-03-28,27.15
2013-04-01,27.9
2013-04-02,28.6
2013-04-03,28.45
2013-04-04,27.2
2013-04-05,27.35
2013-04-08,27.15
2013-04-09,27.45
2013-04-10,27.55
2013-04-11,27.4
2013-04-12,27.25
2013-04-15,28.25
2013-04-16,28.5
2013-04-17,28.35
2013-04-18,28.5
2013-04-22,28.6
2013-04-23,28.85
2013-04-25,33.6
2013-04-26,31.75
2013-04-29,30.25
2013-04-30,31.35
2013-05-02,30.15
2013-05-03,29.2
2013-05-06,29.35
2013-05-07,29.9
2013-05-08,33.45
2013-05-09,33.95
2013-05-10,34.4
2013-05-11,34.7
2013-05-13,33.35
2013-05-14,34.2
2013-05-15,35.55
2013-05-16,35.1
2013-05-17,34.55
2013-05-20,33.5
2013-05-21,32.6
2013-05-22,33.8
2013-05-23,31.15
2013-05-24,31.5
2013-05-27,31.55
2013-05-28,31.5
2013-05-29,31.5
2013-05-30,30.6
2013-05-31,29.8
2013-06-03,30.6
2013-06-04,30.8
2013-06-05,31.5
2013-06-06,31.55
2013-06-07,30.3
2013-06-10,30.2
2013-06-11,29.3
2013-06-12,28.85
2013-06-13,28.35
2013-06-14,29.35
2013-06-17,28.85
2013-06-18,28.55
2013-06-19,28.35
2013-06-20,27.6
2013-06-21,27.35
2013-06-24,27.0
2013-06-25,27.0
2013-06-26,26.95
2013-06-27,26.95
2013-06-28,27.1
2013-07-01,27.75
2013-07-02,27.95
2013-07-03,27.9
2013-07-04,28.3
2013-07-05,28.2
2013-07-08,27.9
2013-07-09,28.1
2013-07-10,27.65
2013-07-11,27.75
2013-07-12,27.35
2013-07-15,30.75
2013-07-16,31.55
2013-07-17,30.85
2013-07-18,29.75
2013-07-19,29.15
2013-07-22,28.65
2013-07-23,29.35
2013-07-24,28.95
2013-07-25,28.85
2013-07-26,27.75
2013-07-29,27.8
2013-07-30,26.75
2013-07-31,25.75
2013-08-01,25.8
2013-08-02,24.0
2013-08-05,25.5
2013-08-06,25.15
2013-08-07,25.05
2013-08-08,26.0
2013-08-12,25.8
2013-08-13,25.9
2013-08-14,26.3
2013-08-16,25.0
2013-08-19,24.35
2013-08-20,24.35
2013-08-21,23.45
2013-08-22,23.15
2013-08-23,23.5
2013-08-26,23.6
2013-08-27,23.45
2013-08-28,23.05
2013-08-29,23.65
2013-08-30,23.55
2013-09-02,25.2
2013-09-03,24.1
2013-09-04,25.25
2013-09-05,25.1
2013-09-06,24.55
2013-09-10,24.8
2013-09-11,27.9
2013-09-12,27.0
2013-09-13,26.15
2013-09-16,25.8
2013-09-17,25.65
2013-09-18,25.5
2013-09-19,25.85
2013-09-20,25.65
2013-09-23,26.25
2013-09-24,25.7
2013-09-25,25.3
2013-09-26,25.65
2013-09-27,25.25
2013-09-30,25.15
2013-10-01,25.4
2013-10-03,26.0
2013-10-04,26.65
2013-10-07,26.4
2013-10-08,26.45
2013-10-09,27.1
2013-10-10,28.15
2013-10-11,27.25
2013-10-14,27.1
2013-10-15,26.7
2013-10-17,26.9
2013-10-18,27.0
2013-10-21,27.05
2013-10-22,27.25
2013-10-23,27.65
2013-10-24,27.1
2013-10-25,26.85
2013-10-28,27.15
2013-10-29,27.65
2013-10-30,27.7
2013-10-31,27.45
2013-11-01,27.55
2013-11-03,28.4
2013-11-05,29.5
2013-11-06,30.05
2013-11-07,27.95
2013-11-08,27.3
2013-11-11,26.85
2013-11-12,26.45
2013-11-13,26.25
2013-11-14,26.25
2013-11-18,27.1
2013-11-19,27.25
2013-11-20,29.2
2013-11-21,30.75
2013-11-22,29.5
2013-11-25,29.6
2013-11-26,28.55
2013-11-27,28.6
2013-11-28,28.2
2013-11-29,28.45
2013-12-02,28.25
2013-12-03,28.05
2013-12-04,28.15
2013-12-05,28.1
2013-12-06,28.3
2013-12-09,28.35
2013-12-10,28.05
2013-12-11,28.35
2013-12-12,28.05
2013-12-13,27.7
2013-12-16,29.8
2013-12-17,29.1
2013-12-18,28.8
2013-12-19,29.45
2013-12-20,29.15
2013-12-23,28.75
2013-12-24,28.75
2013-12-26,28.8
2013-12-27,28.9
2013-12-30,29.25
2013-12-31,29.55
