Date,SHILPI
2013-01-01,17.6
2013-01-02,17.95
2013-01-03,17.95
2013-01-04,17.8
2013-01-07,18.6
2013-01-08,18.1
2013-01-09,18.0
2013-01-10,18.0
2013-01-11,18.2
2013-01-14,18.1
2013-01-15,18.0
2013-01-16,16.8
2013-01-17,17.15
2013-01-18,16.95
2013-01-21,17.0
2013-01-22,16.75
2013-01-23,15.45
2013-01-24,15.75
2013-01-25,16.55
2013-01-28,16.95
2013-01-29,16.95
2013-01-30,17.3
2013-01-31,17.85
2013-02-01,17.5
2013-02-04,17.3
2013-02-05,17.5
2013-02-06,17.35
2013-02-07,17.45
2013-02-08,17.0
2013-02-11,17.1
2013-02-12,16.9
2013-02-13,17.25
2013-02-14,16.6
2013-02-15,16.8
2013-02-18,17.0
2013-02-19,17.05
2013-02-20,16.6
2013-02-21,16.05
2013-02-22,16.45
2013-02-25,16.15
2013-02-26,16.25
2013-02-27,15.65
2013-02-28,12.8
2013-03-01,12.9
2013-03-04,12.3
2013-03-05,13.3
2013-03-06,12.95
2013-03-07,12.95
2013-03-08,13.6
2013-03-11,14.2
2013-03-12,14.5
2013-03-13,14.4
2013-03-14,14.45
2013-03-15,13.95
2013-03-18,13.2
2013-03-19,13.2
2013-03-20,12.65
2013-03-21,12.0
2013-03-22,11.35
2013-03-25,11.5
2013-03-26,11.4
2013-03-28,11.4
2013-04-01,12.05
2013-04-02,13.5
2013-04-03,13.7
2013-04-04,13.5
2013-04-05,13.4
2013-04-08,13.3
2013-04-09,13.35
2013-04-10,13.15
2013-04-11,13.3
2013-04-12,12.6
2013-04-15,13.45
2013-04-16,12.7
2013-04-17,12.9
2013-04-18,13.0
2013-04-22,12.95
2013-04-23,13.05
2013-04-25,13.0
2013-04-26,13.3
2013-04-29,13.45
2013-04-30,13.7
2013-05-02,13.65
2013-05-03,13.8
2013-05-06,14.1
2013-05-07,14.35
2013-05-08,14.85
2013-05-09,15.3
2013-05-10,15.8
2013-05-11,16.5
2013-05-13,16.6
2013-05-14,16.3
2013-05-15,16.65
2013-05-16,16.25
2013-05-17,15.9
2013-05-20,15.9
2013-05-21,15.7
2013-05-22,15.5
2013-05-23,15.55
2013-05-24,15.95
2013-05-27,15.65
2013-05-28,15.65
2013-05-29,15.95
2013-05-30,16.05
2013-05-31,15.75
2013-06-03,15.9
2013-06-04,15.85
2013-06-05,15.65
2013-06-06,15.3
2013-06-07,15.25
2013-06-10,15.0
2013-06-11,14.3
2013-06-12,14.3
2013-06-13,13.95
2013-06-14,14.1
2013-06-17,14.05
2013-06-18,14.1
2013-06-19,14.15
2013-06-20,14.15
2013-06-21,14.1
2013-06-24,14.0
2013-06-25,14.25
2013-06-26,13.9
2013-06-27,13.5
2013-06-28,13.65
2013-07-01,14.5
2013-07-02,13.9
2013-07-03,13.85
2013-07-04,13.9
2013-07-05,13.9
2013-07-08,14.0
2013-07-09,14.4
2013-07-10,14.0
2013-07-11,14.25
2013-07-12,14.0
2013-07-15,14.3
2013-07-16,14.05
2013-07-17,14.1
2013-07-18,13.15
2013-07-19,13.45
2013-07-22,13.5
2013-07-23,13.35
2013-07-24,13.25
2013-07-25,13.35
2013-07-26,12.85
2013-07-29,12.7
2013-07-30,13.1
2013-07-31,13.3
2013-08-01,13.4
2013-08-02,13.6
2013-08-05,13.1
2013-08-06,12.9
2013-08-07,12.7
2013-08-08,13.05
2013-08-12,13.7
2013-08-13,13.9
2013-08-14,13.7
2013-08-16,13.85
2013-08-19,13.55
2013-08-20,13.85
2013-08-21,13.8
2013-08-22,14.0
2013-08-23,14.1
2013-08-26,14.75
2013-08-27,15.3
2013-08-28,14.7
2013-08-29,15.8
2013-08-30,17.0
2013-09-02,17.35
2013-09-03,18.6
2013-09-04,20.15
2013-09-05,21.0
2013-09-06,19.15
2013-09-10,17.2
2013-09-11,16.55
2013-09-12,16.55
2013-09-13,16.75
2013-09-16,17.2
2013-09-17,17.05
2013-09-18,17.2
2013-09-19,17.75
2013-09-20,17.5
2013-09-23,17.6
2013-09-24,17.45
2013-09-25,17.25
2013-09-26,17.05
2013-09-27,17.8
2013-09-30,18.6
2013-10-01,18.2
2013-10-03,17.8
2013-10-04,17.1
2013-10-07,17.55
2013-10-08,17.55
2013-10-09,17.6
2013-10-10,17.3
2013-10-11,17.35
2013-10-14,17.1
2013-10-15,17.5
2013-10-17,17.35
2013-10-18,17.15
2013-10-21,17.15
2013-10-22,17.15
2013-10-23,17.15
2013-10-24,16.95
2013-10-25,17.1
2013-10-28,17.0
2013-10-29,17.8
2013-10-30,18.25
2013-10-31,17.75
2013-11-01,17.95
2013-11-03,17.9
2013-11-05,18.1
2013-11-06,17.85
2013-11-07,17.7
2013-11-08,17.7
2013-11-11,18.15
2013-11-12,18.1
2013-11-13,17.85
2013-11-14,18.1
2013-11-18,18.15
2013-11-19,17.75
2013-11-20,17.5
2013-11-21,17.15
2013-11-22,17.45
2013-11-25,17.5
2013-11-26,17.1
2013-11-27,17.8
2013-11-28,20.25
2013-11-29,21.05
2013-12-02,22.0
2013-12-03,22.85
2013-12-04,22.1
2013-12-05,21.05
2013-12-06,20.7
2013-12-09,21.1
2013-12-10,21.3
2013-12-11,21.05
2013-12-12,21.5
2013-12-13,21.4
2013-12-16,20.8
2013-12-17,21.3
2013-12-18,21.2
2013-12-19,21.75
2013-12-20,21.35
2013-12-23,21.65
2013-12-24,21.7
2013-12-26,22.75
2013-12-27,22.9
2013-12-30,22.2
2013-12-31,22.35
