Date,NOCIL
2013-01-01,17.9
2013-01-02,18.2
2013-01-03,18.15
2013-01-04,18.25
2013-01-07,18.45
2013-01-08,18.45
2013-01-09,18.6
2013-01-10,18.2
2013-01-11,17.6
2013-01-14,17.8
2013-01-15,17.7
2013-01-16,17.5
2013-01-17,17.6
2013-01-18,17.25
2013-01-21,17.3
2013-01-22,17.25
2013-01-23,17.15
2013-01-24,16.85
2013-01-25,16.9
2013-01-28,17.15
2013-01-29,16.75
2013-01-30,16.8
2013-01-31,16.75
2013-02-01,16.75
2013-02-04,16.55
2013-02-05,16.3
2013-02-06,16.5
2013-02-07,16.75
2013-02-08,16.4
2013-02-11,16.25
2013-02-12,16.55
2013-02-13,16.3
2013-02-14,16.3
2013-02-15,16.2
2013-02-18,16.25
2013-02-19,16.4
2013-02-20,16.3
2013-02-21,16.1
2013-02-22,16.0
2013-02-25,15.75
2013-02-26,15.55
2013-02-27,15.6
2013-02-28,15.3
2013-03-01,15.3
2013-03-04,15.15
2013-03-05,15.45
2013-03-06,16.85
2013-03-07,16.6
2013-03-08,16.75
2013-03-11,16.25
2013-03-12,16.05
2013-03-13,15.8
2013-03-14,15.8
2013-03-15,15.75
2013-03-18,15.5
2013-03-19,15.35
2013-03-20,14.9
2013-03-21,14.7
2013-03-22,14.35
2013-03-25,14.1
2013-03-26,13.9
2013-03-28,14.0
2013-04-01,14.9
2013-04-02,14.85
2013-04-03,15.9
2013-04-04,15.35
2013-04-05,15.25
2013-04-08,15.3
2013-04-09,15.1
2013-04-10,15.15
2013-04-11,15.4
2013-04-12,15.15
2013-04-15,15.05
2013-04-16,15.35
2013-04-17,15.3
2013-04-18,15.25
2013-04-22,15.25
2013-04-23,15.25
2013-04-25,15.9
2013-04-26,15.5
2013-04-29,15.6
2013-04-30,15.4
2013-05-02,15.35
2013-05-03,15.4
2013-05-06,15.45
2013-05-07,16.1
2013-05-08,15.85
2013-05-09,15.65
2013-05-10,15.55
2013-05-11,15.6
2013-05-13,15.25
2013-05-14,15.3
2013-05-15,15.4
2013-05-16,15.45
2013-05-17,15.8
2013-05-20,15.65
2013-05-21,15.5
2013-05-22,15.45
2013-05-23,15.2
2013-05-24,15.25
2013-05-27,15.2
2013-05-28,15.35
2013-05-29,15.15
2013-05-30,15.1
2013-05-31,14.95
2013-06-03,14.9
2013-06-04,14.9
2013-06-05,14.85
2013-06-06,14.85
2013-06-07,14.65
2013-06-10,14.65
2013-06-11,14.55
2013-06-12,14.4
2013-06-13,14.25
2013-06-14,14.65
2013-06-17,14.45
2013-06-18,14.4
2013-06-19,14.35
2013-06-20,14.15
2013-06-21,13.85
2013-06-24,13.7
2013-06-25,13.8
2013-06-26,13.65
2013-06-27,13.6
2013-06-28,14.9
2013-07-01,15.65
2013-07-02,15.1
2013-07-03,14.35
2013-07-04,14.75
2013-07-05,14.3
2013-07-08,14.15
2013-07-09,13.85
2013-07-10,13.95
2013-07-11,14.2
2013-07-12,14.15
2013-07-15,14.7
2013-07-16,14.75
2013-07-17,14.45
2013-07-18,13.9
2013-07-19,13.9
2013-07-22,13.85
2013-07-23,13.65
2013-07-24,13.4
2013-07-25,14.3
2013-07-26,14.5
2013-07-29,14.15
2013-07-30,13.55
2013-07-31,13.2
2013-08-01,12.85
2013-08-02,12.65
2013-08-05,12.75
2013-08-06,12.3
2013-08-07,12.35
2013-08-08,12.45
2013-08-12,12.8
2013-08-13,13.1
2013-08-14,13.3
2013-08-16,12.8
2013-08-19,12.6
2013-08-20,12.85
2013-08-21,12.65
2013-08-22,12.65
2013-08-23,12.7
2013-08-26,12.75
2013-08-27,12.45
2013-08-28,12.25
2013-08-29,12.3
2013-08-30,12.3
2013-09-02,12.4
2013-09-03,12.2
2013-09-04,12.2
2013-09-05,12.3
2013-09-06,12.7
2013-09-10,12.8
2013-09-11,12.75
2013-09-12,13.05
2013-09-13,13.35
2013-09-16,13.25
2013-09-17,12.9
2013-09-18,13.0
2013-09-19,13.45
2013-09-20,12.85
2013-09-23,12.75
2013-09-24,13.2
2013-09-25,13.1
2013-09-26,13.05
2013-09-27,13.1
2013-09-30,12.9
2013-10-01,13.0
2013-10-03,13.2
2013-10-04,13.25
2013-10-07,13.25
2013-10-08,13.25
2013-10-09,13.95
2013-10-10,13.7
2013-10-11,13.95
2013-10-14,14.1
2013-10-15,13.75
2013-10-17,13.8
2013-10-18,14.25
2013-10-21,14.45
2013-10-22,14.65
2013-10-23,14.6
2013-10-24,14.25
2013-10-25,15.1
2013-10-28,14.9
2013-10-29,14.4
2013-10-30,14.55
2013-10-31,14.8
2013-11-01,15.05
2013-11-03,14.95
2013-11-05,14.95
2013-11-06,15.0
2013-11-07,14.5
2013-11-08,14.55
2013-11-11,14.3
2013-11-12,14.1
2013-11-13,14.15
2013-11-14,14.15
2013-11-18,14.35
2013-11-19,14.6
2013-11-20,14.45
2013-11-21,14.35
2013-11-22,14.2
2013-11-25,14.3
2013-11-26,14.25
2013-11-27,14.15
2013-11-28,14.3
2013-11-29,14.8
2013-12-02,14.85
2013-12-03,14.6
2013-12-04,14.65
2013-12-05,14.6
2013-12-06,14.6
2013-12-09,14.55
2013-12-10,14.35
2013-12-11,14.25
2013-12-12,14.15
2013-12-13,14.05
2013-12-16,13.8
2013-12-17,13.9
2013-12-18,14.15
2013-12-19,14.1
2013-12-20,14.2
2013-12-23,15.25
2013-12-24,15.35
2013-12-26,15.25
2013-12-27,15.0
2013-12-30,15.1
2013-12-31,14.9
