Date,TULSI
2013-01-01,7.25
2013-01-02,7.3
2013-01-03,7.25
2013-01-04,7.2
2013-01-07,7.25
2013-01-08,7.5
2013-01-09,7.45
2013-01-10,7.4
2013-01-11,7.2
2013-01-14,7.2
2013-01-15,7.1
2013-01-16,7.0
2013-01-17,7.1
2013-01-18,7.05
2013-01-21,7.0
2013-01-22,6.9
2013-01-23,6.95
2013-01-24,6.85
2013-01-25,6.8
2013-01-28,6.7
2013-01-29,6.75
2013-01-30,6.8
2013-01-31,6.7
2013-02-01,6.6
2013-02-04,6.6
2013-02-05,6.55
2013-02-06,6.9
2013-02-07,6.95
2013-02-08,6.9
2013-02-11,6.65
2013-02-12,6.7
2013-02-13,7.0
2013-02-14,6.95
2013-02-15,6.95
2013-02-18,6.85
2013-02-19,6.95
2013-02-20,6.95
2013-02-21,6.95
2013-02-22,6.95
2013-02-25,6.8
2013-02-26,6.7
2013-02-27,6.65
2013-02-28,6.55
2013-03-01,6.4
2013-03-04,6.35
2013-03-05,6.25
2013-03-06,6.35
2013-03-07,6.55
2013-03-08,6.35
2013-03-11,6.5
2013-03-12,6.45
2013-03-13,6.4
2013-03-14,6.25
2013-03-15,6.45
2013-03-18,6.4
2013-03-19,6.5
2013-03-20,6.3
2013-03-21,6.3
2013-03-22,6.35
2013-03-25,6.2
2013-03-26,6.15
2013-03-28,6.15
2013-04-01,6.3
2013-04-02,6.5
2013-04-03,6.35
2013-04-04,6.3
2013-04-05,6.3
2013-04-08,6.2
2013-04-09,6.2
2013-04-10,6.15
2013-04-11,6.15
2013-04-12,6.1
2013-04-15,6.1
2013-04-16,6.05
2013-04-17,6.1
2013-04-18,6.1
2013-04-22,6.0
2013-04-23,6.1
2013-04-25,6.1
2013-04-26,6.05
2013-04-29,6.2
2013-04-30,6.15
2013-05-02,6.05
2013-05-03,6.1
2013-05-06,6.05
2013-05-07,6.1
2013-05-08,6.15
2013-05-09,6.15
2013-05-10,6.05
2013-05-11,6.1
2013-05-13,6.05
2013-05-14,5.9
2013-05-15,5.85
2013-05-16,6.0
2013-05-17,5.7
2013-05-20,5.65
2013-05-21,5.65
2013-05-22,5.7
2013-05-23,5.5
2013-05-24,5.65
2013-05-27,5.5
2013-05-28,5.5
2013-05-29,5.75
2013-05-30,5.7
2013-05-31,5.55
2013-06-03,5.35
2013-06-04,5.45
2013-06-05,5.5
2013-06-06,5.4
2013-06-07,5.55
2013-06-10,5.35
2013-06-11,5.35
2013-06-12,6.05
2013-06-13,5.7
2013-06-14,6.0
2013-06-17,6.0
2013-06-18,6.15
2013-06-19,6.45
2013-06-20,6.2
2013-06-21,6.55
2013-06-24,6.25
2013-06-25,6.2
2013-06-26,6.1
2013-06-27,6.2
2013-06-28,6.1
2013-07-01,6.2
2013-07-02,6.1
2013-07-03,6.2
2013-07-04,6.2
2013-07-05,6.45
2013-07-08,6.35
2013-07-09,6.25
2013-07-10,6.25
2013-07-11,6.1
2013-07-12,6.05
2013-07-15,6.05
2013-07-16,6.05
2013-07-17,6.0
2013-07-18,5.8
2013-07-19,5.6
2013-07-22,5.9
2013-07-23,5.85
2013-07-24,5.9
2013-07-25,5.9
2013-07-26,5.8
2013-07-29,5.85
2013-07-30,5.65
2013-07-31,5.5
2013-08-01,5.35
2013-08-02,5.3
2013-08-05,5.4
2013-08-06,5.0
2013-08-07,5.0
2013-08-08,4.9
2013-08-12,5.55
2013-08-13,5.45
2013-08-14,5.1
2013-08-16,5.0
2013-08-19,4.9
2013-08-20,4.75
2013-08-21,4.65
2013-08-22,5.0
2013-08-23,5.0
2013-08-26,4.8
2013-08-27,4.75
2013-08-28,4.75
2013-08-29,4.85
2013-08-30,4.6
2013-09-02,4.75
2013-09-03,5.0
2013-09-04,4.9
2013-09-05,4.85
2013-09-06,4.8
2013-09-10,4.85
2013-09-11,4.85
2013-09-12,4.85
2013-09-13,4.8
2013-09-16,4.9
2013-09-17,4.8
2013-09-18,4.85
2013-09-19,4.75
2013-09-20,4.8
2013-09-23,4.65
2013-09-24,4.9
2013-09-25,4.75
2013-09-26,4.7
2013-09-27,4.6
2013-09-30,4.6
2013-10-01,4.7
2013-10-03,4.45
2013-10-04,4.75
2013-10-07,4.85
2013-10-08,4.9
2013-10-09,4.8
2013-10-10,4.8
2013-10-11,4.7
2013-10-14,4.8
2013-10-15,4.85
2013-10-17,4.7
2013-10-18,4.85
2013-10-21,4.85
2013-10-22,5.0
2013-10-23,5.05
2013-10-24,6.05
2013-10-25,7.25
2013-10-28,6.7
2013-10-29,6.3
2013-10-30,6.15
2013-10-31,5.95
2013-11-01,5.75
2013-11-03,6.0
2013-11-05,5.95
2013-11-06,5.75
2013-11-07,5.55
2013-11-08,5.45
2013-11-11,5.3
2013-11-12,5.05
2013-11-13,4.85
2013-11-14,4.8
2013-11-18,4.9
2013-11-19,5.05
2013-11-20,5.15
2013-11-21,5.0
2013-11-22,5.05
2013-11-25,4.85
2013-11-26,4.85
2013-11-27,5.05
2013-11-28,5.05
2013-11-29,4.9
2013-12-02,4.85
2013-12-03,4.8
2013-12-04,4.75
2013-12-05,4.95
2013-12-06,4.75
2013-12-09,4.75
2013-12-10,4.65
2013-12-11,4.7
2013-12-12,4.75
2013-12-13,4.55
2013-12-16,4.45
2013-12-17,4.45
2013-12-18,4.5
2013-12-19,4.55
2013-12-20,4.4
2013-12-23,4.5
2013-12-24,4.5
2013-12-26,4.7
2013-12-27,4.65
2013-12-30,4.8
2013-12-31,4.8
