Date,PIDILITIND
2013-01-01,226.65
2013-01-02,230.9
2013-01-03,227.95
2013-01-04,231.75
2013-01-07,228.3
2013-01-08,229.0
2013-01-09,227.1
2013-01-10,229.25
2013-01-11,223.75
2013-01-14,217.35
2013-01-15,217.5
2013-01-16,217.7
2013-01-17,219.2
2013-01-18,218.25
2013-01-21,219.15
2013-01-22,217.15
2013-01-23,214.55
2013-01-24,212.8
2013-01-25,213.05
2013-01-28,213.25
2013-01-29,216.05
2013-01-30,228.6
2013-01-31,232.45
2013-02-01,246.55
2013-02-04,242.3
2013-02-05,240.7
2013-02-06,235.05
2013-02-07,236.15
2013-02-08,236.5
2013-02-11,238.0
2013-02-12,244.15
2013-02-13,251.4
2013-02-14,254.95
2013-02-15,257.15
2013-02-18,253.85
2013-02-19,254.85
2013-02-20,260.9
2013-02-21,253.5
2013-02-22,253.1
2013-02-25,249.5
2013-02-26,244.15
2013-02-27,248.0
2013-02-28,241.2
2013-03-01,249.9
2013-03-04,244.15
2013-03-05,249.85
2013-03-06,255.0
2013-03-07,258.8
2013-03-08,255.7
2013-03-11,254.4
2013-03-12,251.9
2013-03-13,252.05
2013-03-14,251.15
2013-03-15,249.65
2013-03-18,261.1
2013-03-19,264.45
2013-03-20,265.15
2013-03-21,263.35
2013-03-22,264.5
2013-03-25,257.95
2013-03-26,256.6
2013-03-28,263.8
2013-04-01,263.7
2013-04-02,270.75
2013-04-03,269.75
2013-04-04,262.65
2013-04-05,259.55
2013-04-08,258.65
2013-04-09,253.6
2013-04-10,251.65
2013-04-11,250.55
2013-04-12,249.8
2013-04-15,252.05
2013-04-16,252.9
2013-04-17,250.55
2013-04-18,250.6
2013-04-22,251.55
2013-04-23,251.05
2013-04-25,251.55
2013-04-26,250.1
2013-04-29,250.05
2013-04-30,249.2
2013-05-02,250.1
2013-05-03,248.05
2013-05-06,251.85
2013-05-07,259.55
2013-05-08,267.2
2013-05-09,275.35
2013-05-10,284.0
2013-05-11,286.65
2013-05-13,286.35
2013-05-14,286.85
2013-05-15,292.55
2013-05-16,286.55
2013-05-17,282.9
2013-05-20,286.05
2013-05-21,279.95
2013-05-22,276.6
2013-05-23,275.4
2013-05-24,281.9
2013-05-27,288.8
2013-05-28,291.35
2013-05-29,294.7
2013-05-30,286.2
2013-05-31,285.3
2013-06-03,285.1
2013-06-04,282.35
2013-06-05,280.9
2013-06-06,280.7
2013-06-07,280.6
2013-06-10,280.35
2013-06-11,275.35
2013-06-12,276.15
2013-06-13,270.4
2013-06-14,272.6
2013-06-17,280.5
2013-06-18,279.8
2013-06-19,274.9
2013-06-20,272.6
2013-06-21,269.95
2013-06-24,264.45
2013-06-25,265.45
2013-06-26,266.8
2013-06-27,266.4
2013-06-28,267.2
2013-07-01,264.55
2013-07-02,266.75
2013-07-03,268.55
2013-07-04,269.0
2013-07-05,267.0
2013-07-08,265.1
2013-07-09,264.5
2013-07-10,263.9
2013-07-11,272.4
2013-07-12,282.8
2013-07-15,294.25
2013-07-16,288.6
2013-07-17,295.7
2013-07-18,289.85
2013-07-19,292.65
2013-07-22,292.0
2013-07-23,289.75
2013-07-24,295.65
2013-07-25,287.1
2013-07-26,277.85
2013-07-29,271.3
2013-07-30,270.65
2013-07-31,268.3
2013-08-01,269.95
2013-08-02,273.75
2013-08-05,268.8
2013-08-06,257.6
2013-08-07,252.25
2013-08-08,249.85
2013-08-12,251.35
2013-08-13,251.9
2013-08-14,254.3
2013-08-16,249.5
2013-08-19,240.1
2013-08-20,235.15
2013-08-21,234.3
2013-08-22,230.55
2013-08-23,228.15
2013-08-26,229.0
2013-08-27,225.4
2013-08-28,223.9
2013-08-29,223.45
2013-08-30,224.7
2013-09-02,229.65
2013-09-03,224.2
2013-09-04,222.6
2013-09-05,226.0
2013-09-06,226.1
2013-09-10,234.8
2013-09-11,235.8
2013-09-12,239.15
2013-09-13,239.05
2013-09-16,243.2
2013-09-17,239.7
2013-09-18,244.65
2013-09-19,250.5
2013-09-20,251.0
2013-09-23,249.75
2013-09-24,258.35
2013-09-25,258.05
2013-09-26,255.35
2013-09-27,254.6
2013-09-30,251.0
2013-10-01,259.4
2013-10-03,265.65
2013-10-04,268.0
2013-10-07,267.9
2013-10-08,266.95
2013-10-09,268.1
2013-10-10,264.9
2013-10-11,261.9
2013-10-14,263.35
2013-10-15,258.15
2013-10-17,253.7
2013-10-18,254.4
2013-10-21,253.45
2013-10-22,265.8
2013-10-23,269.75
2013-10-24,264.9
2013-10-25,264.35
2013-10-28,263.05
2013-10-29,265.0
2013-10-30,279.45
2013-10-31,288.6
2013-11-01,289.2
2013-11-03,294.4
2013-11-05,288.7
2013-11-06,283.35
2013-11-07,280.55
2013-11-08,284.35
2013-11-11,292.2
2013-11-12,292.9
2013-11-13,286.45
2013-11-14,284.85
2013-11-18,287.5
2013-11-19,283.25
2013-11-20,285.9
2013-11-21,279.5
2013-11-22,280.95
2013-11-25,283.8
2013-11-26,291.85
2013-11-27,299.15
2013-11-28,294.25
2013-11-29,300.9
2013-12-02,308.2
2013-12-03,307.35
2013-12-04,298.95
2013-12-05,295.35
2013-12-06,291.9
2013-12-09,290.9
2013-12-10,288.35
2013-12-11,290.35
2013-12-12,294.6
2013-12-13,288.5
2013-12-16,284.9
2013-12-17,293.3
2013-12-18,290.15
2013-12-19,289.15
2013-12-20,289.05
2013-12-23,289.25
2013-12-24,287.6
2013-12-26,291.6
2013-12-27,289.15
2013-12-30,287.2
2013-12-31,285.75
