Date,EASUNREYRL
2013-01-01,74.95
2013-01-02,73.05
2013-01-03,74.3
2013-01-04,74.15
2013-01-07,74.6
2013-01-08,74.0
2013-01-09,75.35
2013-01-10,73.9
2013-01-11,72.75
2013-01-14,72.15
2013-01-15,74.15
2013-01-16,72.1
2013-01-17,69.85
2013-01-18,68.3
2013-01-21,67.7
2013-01-22,67.3
2013-01-23,68.7
2013-01-24,66.55
2013-01-25,65.95
2013-01-28,64.0
2013-01-29,64.8
2013-01-30,65.15
2013-01-31,66.15
2013-02-01,65.4
2013-02-04,65.5
2013-02-05,64.65
2013-02-06,65.6
2013-02-07,66.25
2013-02-08,69.3
2013-02-11,68.1
2013-02-12,64.4
2013-02-13,67.85
2013-02-14,64.15
2013-02-15,63.1
2013-02-18,63.05
2013-02-19,63.05
2013-02-20,63.0
2013-02-21,61.15
2013-02-22,62.15
2013-02-25,64.65
2013-02-26,60.0
2013-02-27,60.6
2013-02-28,57.35
2013-03-01,57.85
2013-03-04,60.65
2013-03-05,60.0
2013-03-06,60.0
2013-03-07,58.9
2013-03-08,59.1
2013-03-11,59.9
2013-03-12,60.55
2013-03-13,59.45
2013-03-14,58.1
2013-03-15,58.85
2013-03-18,57.7
2013-03-19,57.5
2013-03-20,57.15
2013-03-21,56.7
2013-03-22,56.35
2013-03-25,54.9
2013-03-26,54.0
2013-03-28,59.6
2013-04-01,58.7
2013-04-02,58.35
2013-04-03,57.1
2013-04-04,57.4
2013-04-05,57.95
2013-04-08,55.9
2013-04-09,55.95
2013-04-10,55.5
2013-04-11,57.0
2013-04-12,57.6
2013-04-15,57.15
2013-04-16,58.05
2013-04-17,59.8
2013-04-18,60.4
2013-04-22,59.9
2013-04-23,60.0
2013-04-25,61.25
2013-04-26,59.95
2013-04-29,60.0
2013-04-30,60.0
2013-05-02,60.6
2013-05-03,60.0
2013-05-06,60.5
2013-05-07,59.8
2013-05-08,58.35
2013-05-09,57.85
2013-05-10,57.55
2013-05-11,57.0
2013-05-13,58.5
2013-05-14,56.55
2013-05-15,56.9
2013-05-16,56.85
2013-05-17,60.9
2013-05-20,60.3
2013-05-21,58.7
2013-05-22,58.2
2013-05-23,58.6
2013-05-24,57.95
2013-05-27,56.5
2013-05-28,55.25
2013-05-29,54.25
2013-05-30,51.0
2013-05-31,51.5
2013-06-03,50.5
2013-06-04,50.55
2013-06-05,52.05
2013-06-06,50.25
2013-06-07,49.8
2013-06-10,49.05
2013-06-11,49.4
2013-06-12,49.45
2013-06-13,48.4
2013-06-14,49.05
2013-06-17,49.4
2013-06-18,48.45
2013-06-19,48.9
2013-06-20,49.7
2013-06-21,49.8
2013-06-24,47.45
2013-06-25,48.25
2013-06-26,48.15
2013-06-27,46.75
2013-06-28,47.5
2013-07-01,47.5
2013-07-02,46.75
2013-07-03,46.15
2013-07-04,47.5
2013-07-05,48.0
2013-07-08,46.85
2013-07-09,47.45
2013-07-10,48.25
2013-07-11,47.15
2013-07-12,47.1
2013-07-15,46.45
2013-07-16,45.75
2013-07-17,44.75
2013-07-18,45.45
2013-07-19,44.4
2013-07-22,43.1
2013-07-23,42.3
2013-07-24,41.75
2013-07-25,41.5
2013-07-26,41.9
2013-07-29,41.1
2013-07-30,42.55
2013-07-31,41.7
2013-08-01,41.3
2013-08-02,39.95
2013-08-05,39.9
2013-08-06,38.3
2013-08-07,39.5
2013-08-08,39.95
2013-08-12,40.4
2013-08-13,39.75
2013-08-14,39.95
2013-08-16,38.95
2013-08-19,39.4
2013-08-20,41.2
2013-08-21,39.25
2013-08-22,44.25
2013-08-23,48.6
2013-08-26,52.5
2013-08-27,52.3
2013-08-28,52.95
2013-08-29,54.25
2013-08-30,53.1
2013-09-02,56.6
2013-09-03,55.3
2013-09-04,55.3
2013-09-05,63.85
2013-09-06,64.3
2013-09-10,64.45
2013-09-11,64.25
2013-09-12,66.4
2013-09-13,66.2
2013-09-16,64.95
2013-09-17,65.3
2013-09-18,63.65
2013-09-19,67.55
2013-09-20,64.3
2013-09-23,65.05
2013-09-24,69.6
2013-09-25,68.1
2013-09-26,74.2
2013-09-27,68.0
2013-09-30,67.65
2013-10-01,67.35
2013-10-03,64.5
2013-10-04,64.95
2013-10-07,68.05
2013-10-08,67.65
2013-10-09,70.7
2013-10-10,68.2
2013-10-11,68.15
2013-10-14,67.85
2013-10-15,66.4
2013-10-17,66.7
2013-10-18,65.9
2013-10-21,64.3
2013-10-22,63.85
2013-10-23,63.7
2013-10-24,61.65
2013-10-25,64.05
2013-10-28,61.35
2013-10-29,61.25
2013-10-30,61.75
2013-10-31,59.7
2013-11-01,62.0
2013-11-03,63.55
2013-11-05,61.9
2013-11-06,61.5
2013-11-07,62.55
2013-11-08,60.15
2013-11-11,57.35
2013-11-12,55.0
2013-11-13,56.5
2013-11-14,54.0
2013-11-18,59.85
2013-11-19,54.0
2013-11-20,55.45
2013-11-21,55.1
2013-11-22,53.5
2013-11-25,54.95
2013-11-26,55.0
2013-11-27,54.4
2013-11-28,55.0
2013-11-29,58.25
2013-12-02,61.55
2013-12-03,60.9
2013-12-04,64.05
2013-12-05,66.75
2013-12-06,65.4
2013-12-09,69.3
2013-12-10,68.95
2013-12-11,68.15
2013-12-12,65.65
2013-12-13,66.65
2013-12-16,66.2
2013-12-17,64.65
2013-12-18,62.9
2013-12-19,63.7
2013-12-20,64.45
2013-12-23,71.25
2013-12-24,71.45
2013-12-26,70.8
2013-12-27,69.45
2013-12-30,68.85
2013-12-31,70.3
