Date,CHAMBLFERT
2013-01-01,67.65
2013-01-02,67.75
2013-01-03,68.65
2013-01-04,70.15
2013-01-07,71.25
2013-01-08,70.65
2013-01-09,70.95
2013-01-10,69.7
2013-01-11,68.2
2013-01-14,69.15
2013-01-15,68.45
2013-01-16,67.8
2013-01-17,67.65
2013-01-18,69.65
2013-01-21,70.8
2013-01-22,68.55
2013-01-23,67.25
2013-01-24,65.15
2013-01-25,66.35
2013-01-28,66.0
2013-01-29,65.2
2013-01-30,66.6
2013-01-31,66.65
2013-02-01,66.7
2013-02-04,65.4
2013-02-05,65.2
2013-02-06,65.4
2013-02-07,64.9
2013-02-08,64.55
2013-02-11,65.45
2013-02-12,65.1
2013-02-13,64.75
2013-02-14,63.8
2013-02-15,63.2
2013-02-18,64.1
2013-02-19,64.85
2013-02-20,64.5
2013-02-21,63.5
2013-02-22,63.4
2013-02-25,63.05
2013-02-26,61.7
2013-02-27,60.6
2013-02-28,55.65
2013-03-01,57.1
2013-03-04,53.4
2013-03-05,54.7
2013-03-06,56.1
2013-03-07,56.7
2013-03-08,56.85
2013-03-11,56.85
2013-03-12,56.3
2013-03-13,55.3
2013-03-14,55.0
2013-03-15,53.85
2013-03-18,53.1
2013-03-19,51.8
2013-03-20,48.75
2013-03-21,49.25
2013-03-22,50.0
2013-03-25,51.05
2013-03-26,49.6
2013-03-28,49.8
2013-04-01,51.25
2013-04-02,52.75
2013-04-03,52.05
2013-04-04,50.5
2013-04-05,51.5
2013-04-08,51.85
2013-04-09,51.2
2013-04-10,51.95
2013-04-11,51.55
2013-04-12,51.6
2013-04-15,51.5
2013-04-16,51.75
2013-04-17,51.85
2013-04-18,52.1
2013-04-22,53.2
2013-04-23,55.15
2013-04-25,55.5
2013-04-26,54.2
2013-04-29,55.4
2013-04-30,53.1
2013-05-02,49.55
2013-05-03,48.8
2013-05-06,47.95
2013-05-07,47.35
2013-05-08,46.95
2013-05-09,47.1
2013-05-10,47.6
2013-05-11,48.35
2013-05-13,47.1
2013-05-14,46.65
2013-05-15,47.6
2013-05-16,47.7
2013-05-17,48.45
2013-05-20,48.5
2013-05-21,47.9
2013-05-22,46.85
2013-05-23,45.7
2013-05-24,45.75
2013-05-27,46.5
2013-05-28,47.0
2013-05-29,46.15
2013-05-30,45.45
2013-05-31,43.05
2013-06-03,44.0
2013-06-04,44.55
2013-06-05,46.25
2013-06-06,45.4
2013-06-07,44.85
2013-06-10,44.35
2013-06-11,43.75
2013-06-12,43.1
2013-06-13,41.45
2013-06-14,41.8
2013-06-17,41.35
2013-06-18,41.55
2013-06-19,41.0
2013-06-20,39.5
2013-06-21,37.35
2013-06-24,35.55
2013-06-25,34.8
2013-06-26,33.5
2013-06-27,33.55
2013-06-28,36.2
2013-07-01,38.6
2013-07-02,36.85
2013-07-03,36.85
2013-07-04,36.75
2013-07-05,36.25
2013-07-08,37.3
2013-07-09,36.95
2013-07-10,37.05
2013-07-11,37.65
2013-07-12,37.5
2013-07-15,38.7
2013-07-16,38.4
2013-07-17,38.55
2013-07-18,38.8
2013-07-19,37.0
2013-07-22,37.1
2013-07-23,36.9
2013-07-24,35.4
2013-07-25,35.65
2013-07-26,35.35
2013-07-29,34.95
2013-07-30,34.0
2013-07-31,35.1
2013-08-01,33.55
2013-08-02,34.35
2013-08-05,35.7
2013-08-06,35.25
2013-08-07,36.75
2013-08-08,37.65
2013-08-12,37.75
2013-08-13,36.15
2013-08-14,36.75
2013-08-16,33.35
2013-08-19,33.1
2013-08-20,33.6
2013-08-21,32.35
2013-08-22,31.9
2013-08-23,33.25
2013-08-26,33.65
2013-08-27,32.4
2013-08-28,32.2
2013-08-29,31.7
2013-08-30,32.6
2013-09-02,33.9
2013-09-03,32.75
2013-09-04,33.2
2013-09-05,33.85
2013-09-06,34.45
2013-09-10,34.95
2013-09-11,35.0
2013-09-12,34.7
2013-09-13,35.6
2013-09-16,34.9
2013-09-17,34.7
2013-09-18,34.35
2013-09-19,35.1
2013-09-20,35.55
2013-09-23,35.2
2013-09-24,34.9
2013-09-25,34.65
2013-09-26,35.35
2013-09-27,35.5
2013-09-30,35.8
2013-10-01,35.75
2013-10-03,36.8
2013-10-04,36.5
2013-10-07,36.6
2013-10-08,36.45
2013-10-09,36.65
2013-10-10,37.1
2013-10-11,37.5
2013-10-14,38.15
2013-10-15,36.95
2013-10-17,37.2
2013-10-18,37.35
2013-10-21,37.3
2013-10-22,37.25
2013-10-23,37.45
2013-10-24,37.25
2013-10-25,36.55
2013-10-28,35.8
2013-10-29,35.65
2013-10-30,35.15
2013-10-31,34.55
2013-11-01,35.6
2013-11-03,36.25
2013-11-05,37.7
2013-11-06,38.85
2013-11-07,39.0
2013-11-08,38.0
2013-11-11,37.5
2013-11-12,37.5
2013-11-13,37.2
2013-11-14,36.7
2013-11-18,36.25
2013-11-19,36.05
2013-11-20,35.9
2013-11-21,35.95
2013-11-22,36.05
2013-11-25,36.4
2013-11-26,37.4
2013-11-27,38.25
2013-11-28,38.6
2013-11-29,39.0
2013-12-02,38.4
2013-12-03,38.55
2013-12-04,37.65
2013-12-05,38.2
2013-12-06,38.25
2013-12-09,38.55
2013-12-10,38.85
2013-12-11,39.7
2013-12-12,39.7
2013-12-13,38.7
2013-12-16,38.05
2013-12-17,37.8
2013-12-18,38.4
2013-12-19,38.25
2013-12-20,39.05
2013-12-23,39.15
2013-12-24,38.85
2013-12-26,39.7
2013-12-27,40.1
2013-12-30,39.95
2013-12-31,40.1
