Date,TAKE
2013-01-01,27.3
2013-01-02,27.75
2013-01-03,28.2
2013-01-04,28.8
2013-01-07,28.75
2013-01-08,28.2
2013-01-09,28.65
2013-01-10,28.75
2013-01-11,28.65
2013-01-14,28.25
2013-01-15,28.4
2013-01-16,27.8
2013-01-17,28.5
2013-01-18,26.6
2013-01-21,27.3
2013-01-22,26.75
2013-01-23,27.35
2013-01-24,26.35
2013-01-25,26.55
2013-01-28,26.4
2013-01-29,27.55
2013-01-30,27.0
2013-01-31,26.85
2013-02-01,27.5
2013-02-04,28.05
2013-02-05,26.85
2013-02-06,28.05
2013-02-07,27.65
2013-02-08,27.85
2013-02-11,27.75
2013-02-12,26.05
2013-02-13,25.75
2013-02-14,25.05
2013-02-15,24.7
2013-02-18,25.0
2013-02-19,25.1
2013-02-20,25.15
2013-02-21,24.9
2013-02-22,24.5
2013-02-25,23.95
2013-02-26,24.1
2013-02-27,24.45
2013-02-28,24.95
2013-03-01,24.35
2013-03-04,23.25
2013-03-05,24.35
2013-03-06,24.65
2013-03-07,24.05
2013-03-08,24.45
2013-03-11,24.4
2013-03-12,23.9
2013-03-13,23.8
2013-03-14,24.0
2013-03-15,23.1
2013-03-18,21.9
2013-03-19,22.5
2013-03-20,21.95
2013-03-21,21.25
2013-03-22,21.75
2013-03-25,21.75
2013-03-26,22.85
2013-03-28,21.85
2013-04-01,22.9
2013-04-02,22.55
2013-04-03,22.25
2013-04-04,22.35
2013-04-05,22.4
2013-04-08,21.2
2013-04-09,22.25
2013-04-10,23.45
2013-04-11,25.9
2013-04-12,25.5
2013-04-15,24.6
2013-04-16,26.6
2013-04-17,27.7
2013-04-18,27.8
2013-04-22,28.75
2013-04-23,29.15
2013-04-25,29.05
2013-04-26,29.85
2013-04-29,30.2
2013-04-30,30.3
2013-05-02,29.1
2013-05-03,30.6
2013-05-06,30.1
2013-05-07,30.55
2013-05-08,30.6
2013-05-09,31.15
2013-05-10,31.75
2013-05-11,30.75
2013-05-13,28.95
2013-05-14,30.1
2013-05-15,30.0
2013-05-16,30.0
2013-05-17,29.65
2013-05-20,29.45
2013-05-21,28.65
2013-05-22,29.0
2013-05-23,28.35
2013-05-24,28.55
2013-05-27,27.5
2013-05-28,29.0
2013-05-29,29.05
2013-05-30,28.7
2013-05-31,29.2
2013-06-03,29.0
2013-06-04,28.85
2013-06-05,28.8
2013-06-06,28.65
2013-06-07,28.7
2013-06-10,28.95
2013-06-11,30.2
2013-06-12,31.2
2013-06-13,31.5
2013-06-14,31.55
2013-06-17,30.75
2013-06-18,30.5
2013-06-19,31.0
2013-06-20,29.55
2013-06-21,29.45
2013-06-24,27.1
2013-06-25,28.0
2013-06-26,28.8
2013-06-27,28.6
2013-06-28,28.85
2013-07-01,29.45
2013-07-02,28.55
2013-07-03,29.95
2013-07-04,29.9
2013-07-05,29.25
2013-07-08,30.7
2013-07-09,31.1
2013-07-10,31.25
2013-07-11,31.5
2013-07-12,31.55
2013-07-15,32.45
2013-07-16,32.45
2013-07-17,31.75
2013-07-18,31.55
2013-07-19,31.45
2013-07-22,31.6
2013-07-23,31.9
2013-07-24,31.9
2013-07-25,31.65
2013-07-26,31.85
2013-07-29,31.65
2013-07-30,31.25
2013-07-31,30.55
2013-08-01,31.5
2013-08-02,31.55
2013-08-05,30.35
2013-08-06,29.2
2013-08-07,29.55
2013-08-08,29.7
2013-08-12,30.0
2013-08-13,31.0
2013-08-14,30.75
2013-08-16,30.9
2013-08-19,29.75
2013-08-20,29.95
2013-08-21,30.1
2013-08-22,29.55
2013-08-23,29.65
2013-08-26,29.5
2013-08-27,28.8
2013-08-28,28.1
2013-08-29,28.45
2013-08-30,28.9
2013-09-02,28.7
2013-09-03,28.35
2013-09-04,28.55
2013-09-05,29.0
2013-09-06,29.0
2013-09-10,29.4
2013-09-11,29.7
2013-09-12,30.4
2013-09-13,30.6
2013-09-16,30.7
2013-09-17,31.25
2013-09-18,30.25
2013-09-19,29.45
2013-09-20,29.85
2013-09-23,29.9
2013-09-24,29.0
2013-09-25,29.1
2013-09-26,29.5
2013-09-27,29.65
2013-09-30,29.0
2013-10-01,29.2
2013-10-03,29.2
2013-10-04,29.15
2013-10-07,29.05
2013-10-08,28.8
2013-10-09,28.65
2013-10-10,29.0
2013-10-11,30.0
2013-10-14,30.15
2013-10-15,29.7
2013-10-17,29.4
2013-10-18,30.7
2013-10-21,30.5
2013-10-22,30.15
2013-10-23,29.8
2013-10-24,29.35
2013-10-25,30.2
2013-10-28,29.0
2013-10-29,28.8
2013-10-30,28.8
2013-10-31,29.25
2013-11-01,28.75
2013-11-03,29.55
2013-11-05,28.6
2013-11-06,28.55
2013-11-07,30.05
2013-11-08,30.65
2013-11-11,31.1
2013-11-12,31.1
2013-11-13,30.15
2013-11-14,29.45
2013-11-18,29.45
2013-11-19,30.0
2013-11-20,31.85
2013-11-21,32.6
2013-11-22,31.55
2013-11-25,31.7
2013-11-26,31.2
2013-11-27,31.55
2013-11-28,32.05
2013-11-29,30.9
2013-12-02,33.0
2013-12-03,32.9
2013-12-04,33.25
2013-12-05,33.85
2013-12-06,33.05
2013-12-09,34.0
2013-12-10,33.6
2013-12-11,33.05
2013-12-12,33.9
2013-12-13,33.05
2013-12-16,34.75
2013-12-17,34.7
2013-12-18,34.2
2013-12-19,34.3
2013-12-20,34.85
2013-12-23,34.2
2013-12-24,34.25
2013-12-26,34.95
2013-12-27,34.6
2013-12-30,34.05
2013-12-31,34.75
