Date,JPINFRATEC
2013-01-01,52.25
2013-01-02,55.15
2013-01-03,56.8
2013-01-04,56.25
2013-01-07,56.75
2013-01-08,55.1
2013-01-09,55.7
2013-01-10,55.5
2013-01-11,55.0
2013-01-14,55.1
2013-01-15,53.7
2013-01-16,52.65
2013-01-17,53.1
2013-01-18,53.15
2013-01-21,53.25
2013-01-22,53.1
2013-01-23,48.6
2013-01-24,50.0
2013-01-25,49.95
2013-01-28,49.8
2013-01-29,49.6
2013-01-30,49.75
2013-01-31,49.85
2013-02-01,49.8
2013-02-04,49.65
2013-02-05,49.15
2013-02-06,47.85
2013-02-07,47.7
2013-02-08,45.75
2013-02-11,45.8
2013-02-12,44.1
2013-02-13,44.05
2013-02-14,42.15
2013-02-15,44.75
2013-02-18,47.6
2013-02-19,48.8
2013-02-20,47.65
2013-02-21,46.35
2013-02-22,45.8
2013-02-25,43.85
2013-02-26,42.0
2013-02-27,44.5
2013-02-28,44.85
2013-03-01,43.95
2013-03-04,43.6
2013-03-05,44.0
2013-03-06,44.0
2013-03-07,43.95
2013-03-08,44.35
2013-03-11,43.4
2013-03-12,43.05
2013-03-13,42.7
2013-03-14,41.95
2013-03-15,41.3
2013-03-18,41.2
2013-03-19,40.75
2013-03-20,39.25
2013-03-21,38.0
2013-03-22,37.7
2013-03-25,38.25
2013-03-26,37.45
2013-03-28,39.7
2013-04-01,40.4
2013-04-02,41.05
2013-04-03,40.2
2013-04-04,37.9
2013-04-05,38.6
2013-04-08,38.4
2013-04-09,38.2
2013-04-10,38.2
2013-04-11,38.1
2013-04-12,38.45
2013-04-15,39.05
2013-04-16,39.2
2013-04-17,37.75
2013-04-18,38.45
2013-04-22,39.5
2013-04-23,39.55
2013-04-25,39.25
2013-04-26,38.25
2013-04-29,37.6
2013-04-30,37.3
2013-05-02,38.25
2013-05-03,37.6
2013-05-06,37.6
2013-05-07,37.85
2013-05-08,38.35
2013-05-09,38.2
2013-05-10,38.25
2013-05-11,38.15
2013-05-13,37.35
2013-05-14,37.3
2013-05-15,38.05
2013-05-16,41.05
2013-05-17,40.5
2013-05-20,41.1
2013-05-21,39.8
2013-05-22,38.9
2013-05-23,37.4
2013-05-24,38.25
2013-05-27,38.45
2013-05-28,39.5
2013-05-29,35.7
2013-05-30,34.35
2013-05-31,32.95
2013-06-03,30.35
2013-06-04,28.95
2013-06-05,27.75
2013-06-06,27.8
2013-06-07,28.0
2013-06-10,27.7
2013-06-11,26.6
2013-06-12,26.5
2013-06-13,26.0
2013-06-14,27.2
2013-06-17,27.0
2013-06-18,27.0
2013-06-19,27.1
2013-06-20,25.5
2013-06-21,24.75
2013-06-24,22.2
2013-06-25,21.45
2013-06-26,20.85
2013-06-27,20.6
2013-06-28,21.15
2013-07-01,24.9
2013-07-02,26.75
2013-07-03,25.0
2013-07-04,25.3
2013-07-05,25.85
2013-07-08,24.95
2013-07-09,25.6
2013-07-10,25.1
2013-07-11,25.7
2013-07-12,25.25
2013-07-15,25.85
2013-07-16,24.5
2013-07-17,23.95
2013-07-18,24.15
2013-07-19,23.1
2013-07-22,22.75
2013-07-23,23.0
2013-07-24,22.85
2013-07-25,21.9
2013-07-26,21.55
2013-07-29,20.5
2013-07-30,19.35
2013-07-31,17.6
2013-08-01,16.45
2013-08-02,15.55
2013-08-05,16.1
2013-08-06,15.15
2013-08-07,15.55
2013-08-08,17.0
2013-08-12,16.45
2013-08-13,17.0
2013-08-14,16.75
2013-08-16,15.7
2013-08-19,15.85
2013-08-20,15.7
2013-08-21,15.4
2013-08-22,15.9
2013-08-23,15.85
2013-08-26,15.95
2013-08-27,15.4
2013-08-28,15.25
2013-08-29,15.55
2013-08-30,16.4
2013-09-02,16.55
2013-09-03,16.55
2013-09-04,16.85
2013-09-05,17.5
2013-09-06,17.95
2013-09-10,18.6
2013-09-11,19.6
2013-09-12,18.25
2013-09-13,18.7
2013-09-16,18.75
2013-09-17,18.5
2013-09-18,17.95
2013-09-19,18.85
2013-09-20,17.6
2013-09-23,16.9
2013-09-24,16.3
2013-09-25,15.85
2013-09-26,15.85
2013-09-27,15.8
2013-09-30,15.7
2013-10-01,15.85
2013-10-03,16.5
2013-10-04,16.3
2013-10-07,16.35
2013-10-08,16.55
2013-10-09,17.1
2013-10-10,17.65
2013-10-11,18.0
2013-10-14,17.85
2013-10-15,18.05
2013-10-17,18.25
2013-10-18,18.65
2013-10-21,18.45
2013-10-22,18.65
2013-10-23,18.6
2013-10-24,18.35
2013-10-25,17.75
2013-10-28,17.05
2013-10-29,17.5
2013-10-30,17.45
2013-10-31,17.95
2013-11-01,17.8
2013-11-03,18.1
2013-11-05,18.3
2013-11-06,18.7
2013-11-07,17.9
2013-11-08,17.9
2013-11-11,17.6
2013-11-12,17.25
2013-11-13,17.15
2013-11-14,17.25
2013-11-18,17.45
2013-11-19,18.75
2013-11-20,19.7
2013-11-21,18.75
2013-11-22,19.2
2013-11-25,19.4
2013-11-26,18.65
2013-11-27,19.45
2013-11-28,20.1
2013-11-29,21.45
2013-12-02,23.05
2013-12-03,22.55
2013-12-04,22.65
2013-12-05,23.15
2013-12-06,22.85
2013-12-09,22.85
2013-12-10,21.75
2013-12-11,20.95
2013-12-12,21.1
2013-12-13,20.35
2013-12-16,20.25
2013-12-17,20.05
2013-12-18,20.25
2013-12-19,20.15
2013-12-20,21.45
2013-12-23,22.75
2013-12-24,23.35
2013-12-26,23.15
2013-12-27,23.85
2013-12-30,23.1
2013-12-31,23.15
