Date,NHPC
2013-01-01,25.35
2013-01-02,25.25
2013-01-03,25.1
2013-01-04,25.15
2013-01-07,24.9
2013-01-08,25.0
2013-01-09,25.35
2013-01-10,25.95
2013-01-11,25.7
2013-01-14,25.7
2013-01-15,25.5
2013-01-16,25.35
2013-01-17,25.55
2013-01-18,26.05
2013-01-21,26.4
2013-01-22,26.15
2013-01-23,26.3
2013-01-24,25.95
2013-01-25,26.3
2013-01-28,26.5
2013-01-29,27.1
2013-01-30,27.95
2013-01-31,29.0
2013-02-01,28.2
2013-02-04,28.05
2013-02-05,27.9
2013-02-06,27.95
2013-02-07,27.85
2013-02-08,28.0
2013-02-11,28.7
2013-02-12,28.8
2013-02-13,28.6
2013-02-14,29.0
2013-02-15,28.95
2013-02-18,29.0
2013-02-19,29.05
2013-02-20,28.9
2013-02-21,28.65
2013-02-22,29.0
2013-02-25,28.9
2013-02-26,28.6
2013-02-27,28.7
2013-02-28,27.05
2013-03-01,25.9
2013-03-04,19.65
2013-03-05,20.05
2013-03-06,20.9
2013-03-07,20.75
2013-03-08,21.1
2013-03-11,20.45
2013-03-12,20.7
2013-03-13,20.65
2013-03-14,20.7
2013-03-15,20.4
2013-03-18,20.45
2013-03-19,20.75
2013-03-20,21.0
2013-03-21,20.95
2013-03-22,19.65
2013-03-25,19.5
2013-03-26,20.0
2013-03-28,19.85
2013-04-01,20.45
2013-04-02,20.65
2013-04-03,21.5
2013-04-04,21.2
2013-04-05,21.65
2013-04-08,22.0
2013-04-09,22.0
2013-04-10,21.85
2013-04-11,21.6
2013-04-12,21.8
2013-04-15,21.8
2013-04-16,21.9
2013-04-17,21.3
2013-04-18,21.8
2013-04-22,21.6
2013-04-23,21.7
2013-04-25,21.4
2013-04-26,21.3
2013-04-29,21.3
2013-04-30,21.65
2013-05-02,21.05
2013-05-03,21.15
2013-05-06,20.85
2013-05-07,21.2
2013-05-08,20.85
2013-05-09,20.7
2013-05-10,20.7
2013-05-11,20.9
2013-05-13,20.4
2013-05-14,20.4
2013-05-15,20.7
2013-05-16,20.55
2013-05-17,20.85
2013-05-20,20.55
2013-05-21,20.25
2013-05-22,19.9
2013-05-23,19.5
2013-05-24,19.6
2013-05-27,19.75
2013-05-28,19.95
2013-05-29,19.4
2013-05-30,19.35
2013-05-31,19.25
2013-06-03,18.85
2013-06-04,19.05
2013-06-05,18.95
2013-06-06,19.05
2013-06-07,18.9
2013-06-10,18.2
2013-06-11,18.1
2013-06-12,17.85
2013-06-13,17.7
2013-06-14,18.05
2013-06-17,18.7
2013-06-18,18.7
2013-06-19,18.6
2013-06-20,18.35
2013-06-21,18.15
2013-06-24,18.1
2013-06-25,17.85
2013-06-26,18.2
2013-06-27,17.75
2013-06-28,18.45
2013-07-01,18.75
2013-07-02,18.95
2013-07-03,18.85
2013-07-04,19.0
2013-07-05,19.05
2013-07-08,18.65
2013-07-09,18.85
2013-07-10,18.35
2013-07-11,18.4
2013-07-12,17.9
2013-07-15,17.95
2013-07-16,18.3
2013-07-17,17.7
2013-07-18,18.0
2013-07-19,17.9
2013-07-22,17.95
2013-07-23,18.05
2013-07-24,17.8
2013-07-25,17.75
2013-07-26,17.6
2013-07-29,17.5
2013-07-30,17.0
2013-07-31,16.6
2013-08-01,15.5
2013-08-02,15.55
2013-08-05,15.45
2013-08-06,15.05
2013-08-07,15.1
2013-08-08,15.45
2013-08-12,16.6
2013-08-13,16.7
2013-08-14,16.75
2013-08-16,16.3
2013-08-19,16.15
2013-08-20,16.55
2013-08-21,16.1
2013-08-22,16.35
2013-08-23,16.75
2013-08-26,16.85
2013-08-27,16.4
2013-08-28,16.0
2013-08-29,16.45
2013-08-30,16.0
2013-09-02,16.25
2013-09-03,16.0
2013-09-04,16.2
2013-09-05,16.3
2013-09-06,16.15
2013-09-10,16.65
2013-09-11,17.6
2013-09-12,17.7
2013-09-13,18.85
2013-09-16,20.0
2013-09-17,19.25
2013-09-18,18.9
2013-09-19,18.8
2013-09-20,18.55
2013-09-23,18.65
2013-09-24,19.0
2013-09-25,19.6
2013-09-26,19.6
2013-09-27,19.85
2013-09-30,19.55
2013-10-01,19.3
2013-10-03,19.75
2013-10-04,19.25
2013-10-07,19.2
2013-10-08,19.1
2013-10-09,19.2
2013-10-10,19.1
2013-10-11,19.05
2013-10-14,18.9
2013-10-15,18.05
2013-10-17,18.7
2013-10-18,18.8
2013-10-21,18.9
2013-10-22,19.65
2013-10-23,19.6
2013-10-24,18.7
2013-10-25,18.4
2013-10-28,18.25
2013-10-29,18.25
2013-10-30,18.2
2013-10-31,18.1
2013-11-01,18.5
2013-11-03,18.65
2013-11-05,18.8
2013-11-06,18.55
2013-11-07,18.25
2013-11-08,18.3
2013-11-11,18.25
2013-11-12,18.0
2013-11-13,17.95
2013-11-14,18.0
2013-11-18,18.0
2013-11-19,18.0
2013-11-20,18.15
2013-11-21,17.95
2013-11-22,17.7
2013-11-25,17.9
2013-11-26,17.8
2013-11-27,17.8
2013-11-28,17.75
2013-11-29,18.2
2013-12-02,18.25
2013-12-03,18.05
2013-12-04,17.95
2013-12-05,18.1
2013-12-06,18.3
2013-12-09,18.3
2013-12-10,18.0
2013-12-11,18.0
2013-12-12,18.3
2013-12-13,18.1
2013-12-16,18.05
2013-12-17,18.0
2013-12-18,18.15
2013-12-19,18.45
2013-12-20,18.7
2013-12-23,18.75
2013-12-24,18.8
2013-12-26,18.95
2013-12-27,19.7
2013-12-30,19.45
2013-12-31,19.55
