Date,CORPBANK
2013-01-01,477.6
2013-01-02,485.7
2013-01-03,484.3
2013-01-04,486.2
2013-01-07,487.75
2013-01-08,480.5
2013-01-09,475.35
2013-01-10,472.25
2013-01-11,464.55
2013-01-14,473.35
2013-01-15,482.3
2013-01-16,470.65
2013-01-17,475.85
2013-01-18,470.15
2013-01-21,468.85
2013-01-22,461.8
2013-01-23,455.5
2013-01-24,445.45
2013-01-25,453.85
2013-01-28,460.25
2013-01-29,464.95
2013-01-30,460.85
2013-01-31,456.7
2013-02-01,428.75
2013-02-04,431.75
2013-02-05,420.35
2013-02-06,417.85
2013-02-07,413.85
2013-02-08,406.65
2013-02-11,406.6
2013-02-12,406.2
2013-02-13,409.5
2013-02-14,409.25
2013-02-15,406.05
2013-02-18,408.55
2013-02-19,411.6
2013-02-20,415.3
2013-02-21,406.75
2013-02-22,406.7
2013-02-25,403.35
2013-02-26,397.65
2013-02-27,399.35
2013-02-28,399.25
2013-03-01,396.8
2013-03-04,395.6
2013-03-05,400.45
2013-03-06,402.85
2013-03-07,400.5
2013-03-08,402.05
2013-03-11,402.7
2013-03-12,401.4
2013-03-13,398.65
2013-03-14,399.7
2013-03-15,399.65
2013-03-18,397.35
2013-03-19,393.35
2013-03-20,390.7
2013-03-21,387.35
2013-03-22,390.05
2013-03-25,385.95
2013-03-26,383.85
2013-03-28,382.65
2013-04-01,392.2
2013-04-02,393.9
2013-04-03,393.6
2013-04-04,387.65
2013-04-05,389.3
2013-04-08,387.85
2013-04-09,384.85
2013-04-10,389.95
2013-04-11,390.7
2013-04-12,384.2
2013-04-15,381.8
2013-04-16,382.7
2013-04-17,379.3
2013-04-18,378.7
2013-04-22,378.0
2013-04-23,377.25
2013-04-25,380.7
2013-04-26,379.1
2013-04-29,378.8
2013-04-30,378.25
2013-05-02,381.25
2013-05-03,376.15
2013-05-06,374.6
2013-05-07,376.9
2013-05-08,401.9
2013-05-09,401.35
2013-05-10,405.4
2013-05-11,409.65
2013-05-13,403.2
2013-05-14,405.2
2013-05-15,414.15
2013-05-16,415.85
2013-05-17,417.75
2013-05-20,419.55
2013-05-21,419.9
2013-05-22,415.75
2013-05-23,405.05
2013-05-24,407.35
2013-05-27,417.85
2013-05-28,419.45
2013-05-29,426.8
2013-05-30,425.65
2013-05-31,384.4
2013-06-03,388.65
2013-06-04,385.6
2013-06-05,381.2
2013-06-06,379.05
2013-06-07,379.35
2013-06-10,379.55
2013-06-11,377.35
2013-06-12,375.05
2013-06-13,371.35
2013-06-14,375.85
2013-06-17,380.4
2013-06-18,380.75
2013-06-19,375.95
2013-06-20,363.9
2013-06-21,367.7
2013-06-24,349.35
2013-06-25,349.25
2013-06-26,350.1
2013-06-27,341.4
2013-06-28,349.9
2013-07-01,355.8
2013-07-02,352.2
2013-07-03,346.3
2013-07-04,349.2
2013-07-05,348.0
2013-07-08,339.9
2013-07-09,343.3
2013-07-10,343.25
2013-07-11,347.95
2013-07-12,343.95
2013-07-15,342.9
2013-07-16,329.6
2013-07-17,324.3
2013-07-18,328.3
2013-07-19,325.85
2013-07-22,328.7
2013-07-23,330.2
2013-07-24,312.95
2013-07-25,312.0
2013-07-26,303.25
2013-07-29,298.05
2013-07-30,292.6
2013-07-31,286.45
2013-08-01,281.2
2013-08-02,279.9
2013-08-05,283.6
2013-08-06,270.1
2013-08-07,270.85
2013-08-08,272.3
2013-08-12,276.75
2013-08-13,277.15
2013-08-14,275.75
2013-08-16,266.05
2013-08-19,262.3
2013-08-20,258.85
2013-08-21,252.9
2013-08-22,256.2
2013-08-23,262.1
2013-08-26,259.1
2013-08-27,251.75
2013-08-28,251.65
2013-08-29,251.05
2013-08-30,249.8
2013-09-02,251.75
2013-09-03,241.55
2013-09-04,240.8
2013-09-05,249.9
2013-09-06,251.65
2013-09-10,261.7
2013-09-11,271.6
2013-09-12,270.15
2013-09-13,277.35
2013-09-16,276.6
2013-09-17,273.05
2013-09-18,271.35
2013-09-19,284.35
2013-09-20,272.3
2013-09-23,264.35
2013-09-24,257.4
2013-09-25,252.6
2013-09-26,249.4
2013-09-27,241.05
2013-09-30,243.65
2013-10-01,251.2
2013-10-03,253.85
2013-10-04,251.35
2013-10-07,250.2
2013-10-08,253.7
2013-10-09,255.05
2013-10-10,257.95
2013-10-11,262.2
2013-10-14,269.05
2013-10-15,265.65
2013-10-17,259.5
2013-10-18,263.05
2013-10-21,269.0
2013-10-22,270.3
2013-10-23,273.35
2013-10-24,272.2
2013-10-25,269.05
2013-10-28,266.05
2013-10-29,269.45
2013-10-30,270.95
2013-10-31,285.4
2013-11-01,305.15
2013-11-03,312.4
2013-11-05,315.7
2013-11-06,313.0
2013-11-07,302.7
2013-11-08,300.35
2013-11-11,300.75
2013-11-12,274.3
2013-11-13,265.1
2013-11-14,264.3
2013-11-18,269.45
2013-11-19,270.0
2013-11-20,268.75
2013-11-21,267.85
2013-11-22,268.3
2013-11-25,271.25
2013-11-26,271.5
2013-11-27,268.25
2013-11-28,268.0
2013-11-29,266.9
2013-12-02,270.45
2013-12-03,268.8
2013-12-04,266.5
2013-12-05,266.05
2013-12-06,268.65
2013-12-09,275.5
2013-12-10,272.5
2013-12-11,270.3
2013-12-12,265.7
2013-12-13,259.5
2013-12-16,255.15
2013-12-17,257.9
2013-12-18,264.65
2013-12-19,259.6
2013-12-20,259.9
2013-12-23,261.6
2013-12-24,261.9
2013-12-26,262.5
2013-12-27,262.4
2013-12-30,260.7
2013-12-31,260.95
