Date,JYOTISTRUC
2013-01-01,46.15
2013-01-02,46.65
2013-01-03,47.05
2013-01-04,46.25
2013-01-07,46.35
2013-01-08,46.0
2013-01-09,45.9
2013-01-10,46.05
2013-01-11,44.85
2013-01-14,45.0
2013-01-15,44.75
2013-01-16,43.85
2013-01-17,43.6
2013-01-18,43.05
2013-01-21,43.1
2013-01-22,42.3
2013-01-23,41.75
2013-01-24,41.25
2013-01-25,41.45
2013-01-28,41.05
2013-01-29,40.95
2013-01-30,40.55
2013-01-31,40.75
2013-02-01,41.45
2013-02-04,41.2
2013-02-05,40.6
2013-02-06,40.7
2013-02-07,39.2
2013-02-08,38.85
2013-02-11,38.75
2013-02-12,37.6
2013-02-13,37.25
2013-02-14,36.4
2013-02-15,36.6
2013-02-18,36.8
2013-02-19,36.85
2013-02-20,37.05
2013-02-21,36.15
2013-02-22,36.0
2013-02-25,35.4
2013-02-26,34.8
2013-02-27,34.85
2013-02-28,32.8
2013-03-01,33.45
2013-03-04,32.35
2013-03-05,32.6
2013-03-06,34.25
2013-03-07,33.85
2013-03-08,33.65
2013-03-11,33.2
2013-03-12,33.05
2013-03-13,32.5
2013-03-14,33.6
2013-03-15,32.4
2013-03-18,31.45
2013-03-19,31.0
2013-03-20,29.65
2013-03-21,28.6
2013-03-22,27.95
2013-03-25,27.75
2013-03-26,27.25
2013-03-28,27.2
2013-04-01,31.2
2013-04-02,32.65
2013-04-03,32.65
2013-04-04,31.65
2013-04-05,31.7
2013-04-08,31.15
2013-04-09,31.0
2013-04-10,31.15
2013-04-11,31.0
2013-04-12,30.85
2013-04-15,29.8
2013-04-16,30.0
2013-04-17,29.65
2013-04-18,29.7
2013-04-22,29.7
2013-04-23,29.6
2013-04-25,29.9
2013-04-26,29.85
2013-04-29,29.7
2013-04-30,29.9
2013-05-02,29.45
2013-05-03,31.9
2013-05-06,31.75
2013-05-07,31.3
2013-05-08,31.1
2013-05-09,30.15
2013-05-10,29.85
2013-05-11,30.0
2013-05-13,29.5
2013-05-14,29.2
2013-05-15,29.45
2013-05-16,29.4
2013-05-17,30.2
2013-05-20,30.2
2013-05-21,29.9
2013-05-22,29.1
2013-05-23,27.9
2013-05-24,27.85
2013-05-27,27.95
2013-05-28,28.35
2013-05-29,27.35
2013-05-30,28.35
2013-05-31,27.65
2013-06-03,27.0
2013-06-04,26.8
2013-06-05,26.8
2013-06-06,26.0
2013-06-07,25.75
2013-06-10,24.3
2013-06-11,23.55
2013-06-12,24.05
2013-06-13,23.65
2013-06-14,24.05
2013-06-17,23.65
2013-06-18,23.75
2013-06-19,23.35
2013-06-20,22.25
2013-06-21,20.45
2013-06-24,20.0
2013-06-25,20.1
2013-06-26,20.1
2013-06-27,19.95
2013-06-28,20.4
2013-07-01,21.5
2013-07-02,21.6
2013-07-03,20.85
2013-07-04,20.65
2013-07-05,20.5
2013-07-08,20.85
2013-07-09,20.75
2013-07-10,20.45
2013-07-11,20.15
2013-07-12,19.95
2013-07-15,20.0
2013-07-16,18.75
2013-07-17,18.55
2013-07-18,18.5
2013-07-19,19.2
2013-07-22,19.9
2013-07-23,20.1
2013-07-24,19.75
2013-07-25,19.05
2013-07-26,18.3
2013-07-29,17.3
2013-07-30,16.75
2013-07-31,16.85
2013-08-01,15.85
2013-08-02,15.35
2013-08-05,15.75
2013-08-06,15.95
2013-08-07,16.5
2013-08-08,16.8
2013-08-12,17.35
2013-08-13,17.0
2013-08-14,17.2
2013-08-16,16.65
2013-08-19,16.55
2013-08-20,16.85
2013-08-21,16.7
2013-08-22,17.0
2013-08-23,17.35
2013-08-26,17.65
2013-08-27,17.05
2013-08-28,16.65
2013-08-29,17.65
2013-08-30,17.95
2013-09-02,18.8
2013-09-03,17.75
2013-09-04,18.05
2013-09-05,17.7
2013-09-06,17.85
2013-09-10,19.2
2013-09-11,19.55
2013-09-12,20.6
2013-09-13,23.35
2013-09-16,23.4
2013-09-17,23.0
2013-09-18,22.05
2013-09-19,22.0
2013-09-20,21.2
2013-09-23,20.65
2013-09-24,21.2
2013-09-25,20.9
2013-09-26,21.05
2013-09-27,20.75
2013-09-30,19.8
2013-10-01,19.9
2013-10-03,19.9
2013-10-04,19.85
2013-10-07,19.4
2013-10-08,19.45
2013-10-09,19.4
2013-10-10,19.45
2013-10-11,19.95
2013-10-14,20.8
2013-10-15,20.4
2013-10-17,22.4
2013-10-18,24.3
2013-10-21,24.15
2013-10-22,25.35
2013-10-23,24.25
2013-10-24,24.8
2013-10-25,24.75
2013-10-28,23.1
2013-10-29,23.55
2013-10-30,23.65
2013-10-31,23.9
2013-11-01,23.8
2013-11-03,24.55
2013-11-05,25.2
2013-11-06,24.7
2013-11-07,24.95
2013-11-08,24.6
2013-11-11,24.3
2013-11-12,23.25
2013-11-13,23.15
2013-11-14,22.75
2013-11-18,22.95
2013-11-19,22.8
2013-11-20,21.3
2013-11-21,21.75
2013-11-22,22.5
2013-11-25,23.9
2013-11-26,23.95
2013-11-27,24.45
2013-11-28,26.05
2013-11-29,26.15
2013-12-02,27.9
2013-12-03,26.9
2013-12-04,25.65
2013-12-05,26.35
2013-12-06,26.75
2013-12-09,27.0
2013-12-10,26.8
2013-12-11,25.9
2013-12-12,26.5
2013-12-13,26.1
2013-12-16,25.95
2013-12-17,25.6
2013-12-18,26.0
2013-12-19,25.5
2013-12-20,26.35
2013-12-23,27.5
2013-12-24,28.35
2013-12-26,30.5
2013-12-27,29.9
2013-12-30,28.9
2013-12-31,31.2
