Date,TATAELXSI
2013-01-01,233.1
2013-01-02,237.35
2013-01-03,244.6
2013-01-04,241.45
2013-01-07,237.5
2013-01-08,234.85
2013-01-09,235.05
2013-01-10,231.8
2013-01-11,229.8
2013-01-14,232.45
2013-01-15,233.05
2013-01-16,237.6
2013-01-17,234.65
2013-01-18,232.4
2013-01-21,231.9
2013-01-22,222.8
2013-01-23,219.1
2013-01-24,219.0
2013-01-25,218.85
2013-01-28,221.4
2013-01-29,220.8
2013-01-30,220.2
2013-01-31,221.75
2013-02-01,219.4
2013-02-04,220.25
2013-02-05,217.65
2013-02-06,214.45
2013-02-07,214.5
2013-02-08,211.05
2013-02-11,211.3
2013-02-12,211.05
2013-02-13,211.95
2013-02-14,208.85
2013-02-15,208.5
2013-02-18,208.05
2013-02-19,206.8
2013-02-20,213.4
2013-02-21,210.7
2013-02-22,211.1
2013-02-25,213.45
2013-02-26,201.45
2013-02-27,204.6
2013-02-28,195.55
2013-03-01,189.85
2013-03-04,189.95
2013-03-05,191.45
2013-03-06,198.5
2013-03-07,198.1
2013-03-08,204.75
2013-03-11,200.1
2013-03-12,198.7
2013-03-13,196.3
2013-03-14,200.7
2013-03-15,204.6
2013-03-18,217.3
2013-03-19,212.2
2013-03-20,201.0
2013-03-21,198.75
2013-03-22,192.9
2013-03-25,187.6
2013-03-26,185.05
2013-03-28,191.0
2013-04-01,197.25
2013-04-02,198.35
2013-04-03,196.25
2013-04-04,196.45
2013-04-05,195.1
2013-04-08,190.35
2013-04-09,189.6
2013-04-10,191.75
2013-04-11,191.15
2013-04-12,192.3
2013-04-15,192.65
2013-04-16,192.7
2013-04-17,195.25
2013-04-18,200.7
2013-04-22,194.3
2013-04-23,194.8
2013-04-25,195.8
2013-04-26,193.85
2013-04-29,193.45
2013-04-30,202.75
2013-05-02,200.15
2013-05-03,196.1
2013-05-06,195.2
2013-05-07,196.65
2013-05-08,196.7
2013-05-09,195.75
2013-05-10,193.85
2013-05-11,194.85
2013-05-13,193.85
2013-05-14,194.0
2013-05-15,195.15
2013-05-16,197.9
2013-05-17,195.0
2013-05-20,194.45
2013-05-21,193.45
2013-05-22,193.0
2013-05-23,188.85
2013-05-24,186.35
2013-05-27,185.7
2013-05-28,187.2
2013-05-29,188.6
2013-05-30,187.6
2013-05-31,187.1
2013-06-03,181.0
2013-06-04,184.0
2013-06-05,181.55
2013-06-06,182.35
2013-06-07,184.1
2013-06-10,184.15
2013-06-11,180.5
2013-06-12,181.5
2013-06-13,181.2
2013-06-14,185.15
2013-06-17,185.85
2013-06-18,185.95
2013-06-19,185.15
2013-06-20,183.6
2013-06-21,183.0
2013-06-24,184.6
2013-06-25,175.2
2013-06-26,175.85
2013-06-27,177.95
2013-06-28,181.25
2013-07-01,185.75
2013-07-02,185.55
2013-07-03,181.25
2013-07-04,181.95
2013-07-05,182.2
2013-07-08,182.9
2013-07-09,192.6
2013-07-10,198.4
2013-07-11,199.3
2013-07-12,195.7
2013-07-15,201.15
2013-07-16,200.2
2013-07-17,198.4
2013-07-18,201.2
2013-07-19,203.4
2013-07-22,205.25
2013-07-23,205.6
2013-07-24,198.25
2013-07-25,194.25
2013-07-26,190.05
2013-07-29,187.55
2013-07-30,186.15
2013-07-31,185.65
2013-08-01,181.5
2013-08-02,177.3
2013-08-05,170.35
2013-08-06,167.1
2013-08-07,172.1
2013-08-08,173.8
2013-08-12,171.25
2013-08-13,174.15
2013-08-14,174.0
2013-08-16,173.4
2013-08-19,170.1
2013-08-20,169.35
2013-08-21,169.4
2013-08-22,170.95
2013-08-23,171.7
2013-08-26,171.0
2013-08-27,167.15
2013-08-28,165.05
2013-08-29,170.95
2013-08-30,171.0
2013-09-02,183.25
2013-09-03,177.55
2013-09-04,180.95
2013-09-05,178.6
2013-09-06,174.15
2013-09-10,174.95
2013-09-11,174.3
2013-09-12,173.6
2013-09-13,173.95
2013-09-16,171.0
2013-09-17,168.8
2013-09-18,169.05
2013-09-19,171.75
2013-09-20,173.45
2013-09-23,171.8
2013-09-24,170.55
2013-09-25,169.5
2013-09-26,191.8
2013-09-27,188.75
2013-09-30,184.35
2013-10-01,182.9
2013-10-03,186.35
2013-10-04,188.15
2013-10-07,187.25
2013-10-08,186.9
2013-10-09,189.3
2013-10-10,189.6
2013-10-11,192.75
2013-10-14,201.35
2013-10-15,195.95
2013-10-17,194.85
2013-10-18,196.2
2013-10-21,196.9
2013-10-22,199.65
2013-10-23,199.1
2013-10-24,196.4
2013-10-25,196.3
2013-10-28,225.4
2013-10-29,222.8
2013-10-30,222.5
2013-10-31,217.55
2013-11-01,219.7
2013-11-03,227.05
2013-11-05,234.8
2013-11-06,233.4
2013-11-07,230.05
2013-11-08,228.15
2013-11-11,223.15
2013-11-12,221.9
2013-11-13,218.45
2013-11-14,221.7
2013-11-18,224.9
2013-11-19,222.55
2013-11-20,228.6
2013-11-21,226.9
2013-11-22,244.2
2013-11-25,252.45
2013-11-26,261.95
2013-11-27,272.2
2013-11-28,292.5
2013-11-29,299.65
2013-12-02,293.3
2013-12-03,292.35
2013-12-04,329.05
2013-12-05,308.6
2013-12-06,313.25
2013-12-09,316.6
2013-12-10,326.65
2013-12-11,327.7
2013-12-12,317.7
2013-12-13,315.1
2013-12-16,347.2
2013-12-17,341.7
2013-12-18,353.15
2013-12-19,359.05
2013-12-20,361.9
2013-12-23,364.5
2013-12-24,371.05
2013-12-26,368.6
2013-12-27,394.55
2013-12-30,413.9
2013-12-31,417.05
