Date,DIAPOWER
2013-01-01,109.3
2013-01-02,110.3
2013-01-03,110.9
2013-01-04,110.65
2013-01-07,109.5
2013-01-08,108.05
2013-01-09,107.1
2013-01-10,104.4
2013-01-11,105.5
2013-01-14,105.9
2013-01-15,105.45
2013-01-16,104.6
2013-01-17,103.5
2013-01-18,103.95
2013-01-21,103.5
2013-01-22,103.15
2013-01-23,100.55
2013-01-24,98.65
2013-01-25,95.95
2013-01-28,96.8
2013-01-29,97.55
2013-01-30,95.8
2013-01-31,95.0
2013-02-01,94.45
2013-02-04,93.9
2013-02-05,92.65
2013-02-06,93.15
2013-02-07,94.95
2013-02-08,94.35
2013-02-11,93.0
2013-02-12,95.45
2013-02-13,95.35
2013-02-14,92.6
2013-02-15,89.1
2013-02-18,89.05
2013-02-19,90.25
2013-02-20,92.0
2013-02-21,90.45
2013-02-22,89.85
2013-02-25,90.0
2013-02-26,86.3
2013-02-27,86.7
2013-02-28,86.4
2013-03-01,87.4
2013-03-04,85.9
2013-03-05,85.45
2013-03-06,86.9
2013-03-07,90.0
2013-03-08,88.8
2013-03-11,86.45
2013-03-12,86.55
2013-03-13,84.2
2013-03-14,85.2
2013-03-15,84.65
2013-03-18,82.85
2013-03-19,80.7
2013-03-20,77.35
2013-03-21,73.55
2013-03-22,73.0
2013-03-25,71.95
2013-03-26,71.0
2013-03-28,72.4
2013-04-01,80.8
2013-04-02,87.4
2013-04-03,85.6
2013-04-04,82.05
2013-04-05,80.9
2013-04-08,80.4
2013-04-09,80.55
2013-04-10,80.25
2013-04-11,80.9
2013-04-12,78.4
2013-04-15,79.1
2013-04-16,80.65
2013-04-17,83.65
2013-04-18,85.15
2013-04-22,87.5
2013-04-23,88.35
2013-04-25,89.35
2013-04-26,88.25
2013-04-29,88.8
2013-04-30,87.05
2013-05-02,90.6
2013-05-03,91.95
2013-05-06,89.7
2013-05-07,89.6
2013-05-08,90.05
2013-05-09,89.7
2013-05-10,89.7
2013-05-11,89.8
2013-05-13,89.85
2013-05-14,90.55
2013-05-15,89.95
2013-05-16,90.05
2013-05-17,90.5
2013-05-20,93.85
2013-05-21,93.9
2013-05-22,88.95
2013-05-23,79.2
2013-05-24,77.8
2013-05-27,77.4
2013-05-28,76.3
2013-05-29,75.0
2013-05-30,72.65
2013-05-31,69.4
2013-06-03,71.4
2013-06-04,72.6
2013-06-05,73.2
2013-06-06,73.55
2013-06-07,73.6
2013-06-10,71.45
2013-06-11,69.9
2013-06-12,69.6
2013-06-13,68.2
2013-06-14,69.05
2013-06-17,73.0
2013-06-18,71.1
2013-06-19,70.65
2013-06-20,67.9
2013-06-21,68.65
2013-06-24,66.15
2013-06-25,66.1
2013-06-26,63.5
2013-06-27,63.5
2013-06-28,63.75
2013-07-01,63.4
2013-07-02,62.3
2013-07-03,60.4
2013-07-04,61.4
2013-07-05,60.6
2013-07-08,62.0
2013-07-09,61.7
2013-07-10,55.35
2013-07-11,59.0
2013-07-12,59.95
2013-07-15,60.0
2013-07-16,56.55
2013-07-17,56.6
2013-07-18,58.3
2013-07-19,59.6
2013-07-22,61.0
2013-07-23,62.55
2013-07-24,60.15
2013-07-25,56.6
2013-07-26,56.85
2013-07-29,54.65
2013-07-30,51.05
2013-07-31,47.3
2013-08-01,43.0
2013-08-02,41.65
2013-08-05,41.8
2013-08-06,41.2
2013-08-07,42.0
2013-08-08,41.85
2013-08-12,42.0
2013-08-13,42.0
2013-08-14,42.2
2013-08-16,41.7
2013-08-19,42.05
2013-08-20,41.95
2013-08-21,40.95
2013-08-22,39.0
2013-08-23,46.8
2013-08-26,42.1
2013-08-27,44.0
2013-08-28,40.65
2013-08-29,41.75
2013-08-30,41.2
2013-09-02,41.5
2013-09-03,41.0
2013-09-04,41.3
2013-09-05,42.4
2013-09-06,41.85
2013-09-10,43.45
2013-09-11,43.9
2013-09-12,44.25
2013-09-13,46.1
2013-09-16,47.55
2013-09-17,48.1
2013-09-18,47.95
2013-09-19,47.1
2013-09-20,47.2
2013-09-23,48.05
2013-09-24,48.0
2013-09-25,46.75
2013-09-26,46.25
2013-09-27,47.0
2013-09-30,45.6
2013-10-01,44.2
2013-10-03,42.4
2013-10-04,43.75
2013-10-07,43.65
2013-10-08,43.85
2013-10-09,44.0
2013-10-10,45.55
2013-10-11,47.75
2013-10-14,48.4
2013-10-15,47.85
2013-10-17,44.6
2013-10-18,44.0
2013-10-21,43.45
2013-10-22,44.15
2013-10-23,44.2
2013-10-24,44.0
2013-10-25,43.05
2013-10-28,42.35
2013-10-29,41.9
2013-10-30,41.85
2013-10-31,42.95
2013-11-01,44.2
2013-11-03,44.85
2013-11-05,46.05
2013-11-06,49.3
2013-11-07,51.15
2013-11-08,47.85
2013-11-11,47.05
2013-11-12,47.0
2013-11-13,48.25
2013-11-14,47.9
2013-11-18,47.85
2013-11-19,47.25
2013-11-20,47.05
2013-11-21,45.8
2013-11-22,45.95
2013-11-25,46.5
2013-11-26,47.1
2013-11-27,46.55
2013-11-28,45.9
2013-11-29,50.05
2013-12-02,52.15
2013-12-03,52.5
2013-12-04,54.95
2013-12-05,58.35
2013-12-06,60.75
2013-12-09,61.1
2013-12-10,58.45
2013-12-11,58.7
2013-12-12,59.65
2013-12-13,54.75
2013-12-16,52.55
2013-12-17,52.45
2013-12-18,52.5
2013-12-19,52.45
2013-12-20,53.6
2013-12-23,56.2
2013-12-24,59.2
2013-12-26,59.75
2013-12-27,58.65
2013-12-30,59.95
2013-12-31,59.25
