Date,DQE
2013-01-01,18.95
2013-01-02,19.0
2013-01-03,19.85
2013-01-04,19.65
2013-01-07,19.7
2013-01-08,19.95
2013-01-09,19.3
2013-01-10,19.05
2013-01-11,18.95
2013-01-14,18.8
2013-01-15,18.8
2013-01-16,18.65
2013-01-17,18.8
2013-01-18,18.55
2013-01-21,18.7
2013-01-22,18.45
2013-01-23,18.2
2013-01-24,17.5
2013-01-25,17.05
2013-01-28,17.35
2013-01-29,17.2
2013-01-30,16.75
2013-01-31,16.55
2013-02-01,16.5
2013-02-04,16.85
2013-02-05,16.0
2013-02-06,16.0
2013-02-07,15.9
2013-02-08,16.0
2013-02-11,16.05
2013-02-12,15.4
2013-02-13,14.8
2013-02-14,14.9
2013-02-15,14.7
2013-02-18,15.35
2013-02-19,15.6
2013-02-20,14.95
2013-02-21,14.4
2013-02-22,14.0
2013-02-25,14.05
2013-02-26,13.25
2013-02-27,12.6
2013-02-28,12.2
2013-03-01,12.35
2013-03-04,11.25
2013-03-05,11.55
2013-03-06,11.7
2013-03-07,12.0
2013-03-08,11.0
2013-03-11,10.9
2013-03-12,10.95
2013-03-13,10.8
2013-03-14,10.75
2013-03-15,10.6
2013-03-18,10.1
2013-03-19,9.85
2013-03-20,8.85
2013-03-21,8.95
2013-03-22,9.05
2013-03-25,9.45
2013-03-26,9.45
2013-03-28,10.65
2013-04-01,10.45
2013-04-02,10.45
2013-04-03,10.2
2013-04-04,9.95
2013-04-05,9.9
2013-04-08,10.05
2013-04-09,9.75
2013-04-10,10.35
2013-04-11,10.0
2013-04-12,9.85
2013-04-15,10.1
2013-04-16,9.9
2013-04-17,9.8
2013-04-18,9.95
2013-04-22,9.95
2013-04-23,9.9
2013-04-25,9.9
2013-04-26,10.0
2013-04-29,9.9
2013-04-30,9.65
2013-05-02,9.65
2013-05-03,9.45
2013-05-06,9.95
2013-05-07,9.85
2013-05-08,9.9
2013-05-09,10.0
2013-05-10,9.85
2013-05-11,9.95
2013-05-13,9.8
2013-05-14,9.55
2013-05-15,9.7
2013-05-16,9.6
2013-05-17,9.35
2013-05-20,9.3
2013-05-21,9.2
2013-05-22,9.0
2013-05-23,8.6
2013-05-24,8.0
2013-05-27,8.0
2013-05-28,8.0
2013-05-29,8.0
2013-05-30,7.75
2013-05-31,7.95
2013-06-03,8.0
2013-06-04,7.8
2013-06-05,7.8
2013-06-06,7.75
2013-06-07,7.7
2013-06-10,7.2
2013-06-11,7.0
2013-06-12,7.25
2013-06-13,6.9
2013-06-14,6.9
2013-06-17,6.75
2013-06-18,6.75
2013-06-19,6.75
2013-06-20,6.25
2013-06-21,6.25
2013-06-24,6.1
2013-06-25,6.0
2013-06-26,5.8
2013-06-27,6.55
2013-06-28,7.85
2013-07-01,8.55
2013-07-02,8.7
2013-07-03,8.0
2013-07-04,7.9
2013-07-05,8.45
2013-07-08,8.3
2013-07-09,8.4
2013-07-10,8.35
2013-07-11,8.55
2013-07-12,8.05
2013-07-15,8.15
2013-07-16,8.25
2013-07-17,8.15
2013-07-18,7.55
2013-07-19,7.65
2013-07-22,7.65
2013-07-23,7.5
2013-07-24,7.45
2013-07-25,7.65
2013-07-26,7.45
2013-07-29,7.15
2013-07-30,7.0
2013-07-31,7.0
2013-08-01,6.9
2013-08-02,6.85
2013-08-05,6.75
2013-08-06,6.9
2013-08-07,6.8
2013-08-08,7.45
2013-08-12,8.15
2013-08-13,8.95
2013-08-14,9.35
2013-08-16,9.8
2013-08-19,10.25
2013-08-20,10.75
2013-08-21,11.25
2013-08-22,10.7
2013-08-23,10.25
2013-08-26,10.75
2013-08-27,11.25
2013-08-28,11.8
2013-08-29,12.2
2013-08-30,11.65
2013-09-02,12.1
2013-09-03,12.7
2013-09-04,13.3
2013-09-05,13.95
2013-09-06,13.3
2013-09-10,13.95
2013-09-11,14.6
2013-09-12,15.3
2013-09-13,16.05
2013-09-16,16.65
2013-09-17,16.0
2013-09-18,15.3
2013-09-19,14.55
2013-09-20,13.85
2013-09-23,13.2
2013-09-24,13.85
2013-09-25,13.5
2013-09-26,13.6
2013-09-27,13.2
2013-09-30,12.55
2013-10-01,13.15
2013-10-03,13.8
2013-10-04,14.45
2013-10-07,13.75
2013-10-08,13.75
2013-10-09,14.2
2013-10-10,14.05
2013-10-11,13.65
2013-10-14,14.25
2013-10-15,13.8
2013-10-17,13.7
2013-10-18,13.65
2013-10-21,13.6
2013-10-22,13.7
2013-10-23,14.2
2013-10-24,13.6
2013-10-25,13.25
2013-10-28,13.55
2013-10-29,13.5
2013-10-30,13.5
2013-10-31,13.2
2013-11-01,13.2
2013-11-03,13.45
2013-11-05,13.45
2013-11-06,13.8
2013-11-07,13.65
2013-11-08,15.0
2013-11-11,13.65
2013-11-12,13.95
2013-11-13,13.85
2013-11-14,14.9
2013-11-18,16.35
2013-11-19,17.95
2013-11-20,18.8
2013-11-21,18.1
2013-11-22,18.55
2013-11-25,18.3
2013-11-26,19.2
2013-11-27,20.05
2013-11-28,21.05
2013-11-29,22.1
2013-12-02,23.2
2013-12-03,23.65
2013-12-04,22.55
2013-12-05,22.25
2013-12-06,23.35
2013-12-09,24.5
2013-12-10,25.7
2013-12-11,26.95
2013-12-12,28.25
2013-12-13,29.65
2013-12-16,28.4
2013-12-17,29.8
2013-12-18,31.25
2013-12-19,32.8
2013-12-20,34.4
2013-12-23,36.1
2013-12-24,37.9
2013-12-26,39.75
2013-12-27,41.7
2013-12-30,43.75
2013-12-31,45.9
