Date,TANTIACONS
2013-01-01,46.5
2013-01-02,47.65
2013-01-03,45.75
2013-01-04,46.3
2013-01-07,46.35
2013-01-08,46.65
2013-01-09,47.0
2013-01-10,47.35
2013-01-11,46.3
2013-01-14,44.3
2013-01-15,45.1
2013-01-16,45.35
2013-01-17,47.0
2013-01-18,45.9
2013-01-21,44.35
2013-01-22,44.95
2013-01-23,44.6
2013-01-24,43.8
2013-01-25,43.8
2013-01-28,43.15
2013-01-29,43.1
2013-01-30,42.05
2013-01-31,40.45
2013-02-01,40.45
2013-02-04,39.95
2013-02-05,39.45
2013-02-06,39.75
2013-02-07,39.6
2013-02-08,39.4
2013-02-11,39.5
2013-02-12,39.1
2013-02-13,39.2
2013-02-14,39.0
2013-02-15,38.05
2013-02-18,38.95
2013-02-19,38.1
2013-02-20,37.95
2013-02-21,38.0
2013-02-22,37.6
2013-02-25,37.3
2013-02-26,36.25
2013-02-27,34.1
2013-02-28,34.1
2013-03-01,30.2
2013-03-04,29.9
2013-03-05,27.0
2013-03-06,26.95
2013-03-07,27.75
2013-03-08,26.35
2013-03-11,27.15
2013-03-12,27.2
2013-03-13,26.95
2013-03-14,28.4
2013-03-15,28.8
2013-03-18,28.9
2013-03-19,28.6
2013-03-20,27.85
2013-03-21,27.25
2013-03-22,27.15
2013-03-25,27.15
2013-03-26,27.9
2013-03-28,28.9
2013-04-01,28.55
2013-04-02,30.2
2013-04-03,30.25
2013-04-04,31.3
2013-04-05,30.2
2013-04-08,29.95
2013-04-09,30.6
2013-04-10,31.0
2013-04-11,31.35
2013-04-12,28.4
2013-04-15,28.45
2013-04-16,29.95
2013-04-17,30.2
2013-04-18,30.3
2013-04-22,28.35
2013-04-23,27.05
2013-04-25,26.3
2013-04-26,27.25
2013-04-29,28.15
2013-04-30,28.55
2013-05-02,28.8
2013-05-03,27.1
2013-05-06,27.65
2013-05-07,27.45
2013-05-08,30.0
2013-05-09,28.9
2013-05-10,29.2
2013-05-11,29.95
2013-05-13,28.25
2013-05-14,27.3
2013-05-15,28.8
2013-05-16,28.5
2013-05-17,29.1
2013-05-20,30.5
2013-05-21,31.1
2013-05-22,28.1
2013-05-23,26.6
2013-05-24,26.3
2013-05-27,26.75
2013-05-28,26.85
2013-05-29,27.1
2013-05-30,27.35
2013-05-31,27.2
2013-06-03,26.8
2013-06-04,27.65
2013-06-05,26.85
2013-06-06,26.35
2013-06-07,26.45
2013-06-10,26.55
2013-06-11,26.6
2013-06-12,25.8
2013-06-13,25.5
2013-06-14,25.45
2013-06-17,26.45
2013-06-18,27.25
2013-06-19,29.75
2013-06-20,29.6
2013-06-21,30.8
2013-06-24,29.55
2013-06-25,29.6
2013-06-26,27.55
2013-06-27,27.3
2013-06-28,26.45
2013-07-01,25.3
2013-07-02,25.9
2013-07-03,25.3
2013-07-04,25.3
2013-07-05,25.7
2013-07-08,25.5
2013-07-09,24.3
2013-07-10,24.5
2013-07-11,24.7
2013-07-12,24.85
2013-07-15,23.95
2013-07-16,23.5
2013-07-17,23.8
2013-07-18,23.55
2013-07-19,24.85
2013-07-22,24.95
2013-07-23,24.95
2013-07-24,23.5
2013-07-25,21.45
2013-07-26,20.85
2013-07-29,19.7
2013-07-30,19.6
2013-07-31,19.6
2013-08-01,19.4
2013-08-02,18.65
2013-08-05,17.2
2013-08-06,15.8
2013-08-07,15.9
2013-08-08,16.05
2013-08-12,14.85
2013-08-13,15.15
2013-08-14,14.75
2013-08-16,14.85
2013-08-19,13.95
2013-08-20,13.5
2013-08-21,13.45
2013-08-22,12.95
2013-08-23,13.7
2013-08-26,14.15
2013-08-27,14.35
2013-08-28,15.05
2013-08-29,15.15
2013-08-30,13.95
2013-09-02,14.1
2013-09-03,13.35
2013-09-04,12.65
2013-09-05,12.25
2013-09-06,12.15
2013-09-10,12.25
2013-09-11,12.65
2013-09-12,12.55
2013-09-13,12.3
2013-09-16,12.15
2013-09-17,12.1
2013-09-18,12.2
2013-09-19,12.2
2013-09-20,12.0
2013-09-23,11.95
2013-09-24,11.8
2013-09-25,12.0
2013-09-26,12.0
2013-09-27,11.9
2013-09-30,11.55
2013-10-01,11.45
2013-10-03,11.45
2013-10-04,11.5
2013-10-07,11.35
2013-10-08,11.5
2013-10-09,11.2
2013-10-10,11.75
2013-10-11,14.1
2013-10-14,16.9
2013-10-15,17.3
2013-10-17,15.95
2013-10-18,14.85
2013-10-21,15.15
2013-10-22,15.1
2013-10-23,14.8
2013-10-24,15.25
2013-10-25,15.3
2013-10-28,14.75
2013-10-29,14.35
2013-10-30,15.0
2013-10-31,14.9
2013-11-01,16.2
2013-11-03,16.35
2013-11-05,16.4
2013-11-06,15.75
2013-11-07,18.2
2013-11-08,18.05
2013-11-11,17.4
2013-11-12,17.8
2013-11-13,16.5
2013-11-14,17.25
2013-11-18,16.15
2013-11-19,16.25
2013-11-20,16.45
2013-11-21,16.15
2013-11-22,16.1
2013-11-25,15.45
2013-11-26,15.4
2013-11-27,15.4
2013-11-28,15.6
2013-11-29,16.25
2013-12-02,19.45
2013-12-03,18.6
2013-12-04,18.05
2013-12-05,18.1
2013-12-06,17.5
2013-12-09,17.35
2013-12-10,17.0
2013-12-11,17.0
2013-12-12,17.3
2013-12-13,16.45
2013-12-16,17.0
2013-12-17,16.8
2013-12-18,16.7
2013-12-19,16.7
2013-12-20,16.3
2013-12-23,16.6
2013-12-24,17.1
2013-12-26,17.3
2013-12-27,18.45
2013-12-30,18.7
2013-12-31,18.4
