Date,IGL
2013-01-01,249.2
2013-01-02,250.8
2013-01-03,254.5
2013-01-04,252.7
2013-01-07,255.05
2013-01-08,253.25
2013-01-09,253.75
2013-01-10,252.55
2013-01-11,250.9
2013-01-14,255.45
2013-01-15,258.05
2013-01-16,262.25
2013-01-17,259.95
2013-01-18,274.45
2013-01-21,273.85
2013-01-22,268.35
2013-01-23,263.4
2013-01-24,259.05
2013-01-25,261.3
2013-01-28,260.15
2013-01-29,260.9
2013-01-30,260.15
2013-01-31,259.8
2013-02-01,259.45
2013-02-04,257.1
2013-02-05,256.95
2013-02-06,253.65
2013-02-07,253.25
2013-02-08,256.95
2013-02-11,258.85
2013-02-12,259.05
2013-02-13,259.45
2013-02-14,257.85
2013-02-15,257.3
2013-02-18,259.3
2013-02-19,264.2
2013-02-20,267.05
2013-02-21,264.9
2013-02-22,259.75
2013-02-25,260.15
2013-02-26,262.55
2013-02-27,263.85
2013-02-28,255.6
2013-03-01,261.6
2013-03-04,260.25
2013-03-05,266.75
2013-03-06,267.85
2013-03-07,268.1
2013-03-08,272.9
2013-03-11,285.15
2013-03-12,280.95
2013-03-13,269.7
2013-03-14,268.6
2013-03-15,263.25
2013-03-18,265.45
2013-03-19,265.05
2013-03-20,266.35
2013-03-21,270.6
2013-03-22,271.1
2013-03-25,264.75
2013-03-26,267.0
2013-03-28,277.15
2013-04-01,279.45
2013-04-02,289.95
2013-04-03,277.75
2013-04-04,270.35
2013-04-05,301.7
2013-04-08,292.2
2013-04-09,290.85
2013-04-10,285.65
2013-04-11,284.0
2013-04-12,290.5
2013-04-15,299.8
2013-04-16,297.0
2013-04-17,289.6
2013-04-18,291.9
2013-04-22,298.15
2013-04-23,295.85
2013-04-25,297.95
2013-04-26,304.5
2013-04-29,311.45
2013-04-30,300.1
2013-05-02,305.65
2013-05-03,309.1
2013-05-06,312.85
2013-05-07,309.5
2013-05-08,310.65
2013-05-09,313.4
2013-05-10,298.15
2013-05-11,298.25
2013-05-13,294.8
2013-05-14,290.1
2013-05-15,287.8
2013-05-16,284.05
2013-05-17,284.6
2013-05-20,284.85
2013-05-21,285.9
2013-05-22,283.7
2013-05-23,280.95
2013-05-24,279.1
2013-05-27,280.9
2013-05-28,282.8
2013-05-29,283.8
2013-05-30,280.7
2013-05-31,275.9
2013-06-03,277.65
2013-06-04,278.1
2013-06-05,278.85
2013-06-06,278.35
2013-06-07,282.5
2013-06-10,285.45
2013-06-11,284.6
2013-06-12,282.4
2013-06-13,279.15
2013-06-14,282.65
2013-06-17,281.0
2013-06-18,280.1
2013-06-19,281.75
2013-06-20,278.2
2013-06-21,275.5
2013-06-24,264.75
2013-06-25,264.7
2013-06-26,262.05
2013-06-27,265.9
2013-06-28,267.55
2013-07-01,280.5
2013-07-02,283.75
2013-07-03,280.15
2013-07-04,282.85
2013-07-05,278.8
2013-07-08,277.25
2013-07-09,280.5
2013-07-10,279.9
2013-07-11,281.35
2013-07-12,289.2
2013-07-15,293.6
2013-07-16,291.85
2013-07-17,308.85
2013-07-18,301.65
2013-07-19,293.0
2013-07-22,287.75
2013-07-23,287.75
2013-07-24,283.45
2013-07-25,285.4
2013-07-26,287.4
2013-07-29,279.9
2013-07-30,265.15
2013-07-31,262.0
2013-08-01,265.15
2013-08-02,263.3
2013-08-05,261.75
2013-08-06,251.25
2013-08-07,255.8
2013-08-08,264.2
2013-08-12,265.15
2013-08-13,271.75
2013-08-14,269.25
2013-08-16,260.85
2013-08-19,262.5
2013-08-20,261.85
2013-08-21,261.7
2013-08-22,263.7
2013-08-23,271.1
2013-08-26,274.0
2013-08-27,268.75
2013-08-28,259.6
2013-08-29,253.3
2013-08-30,257.25
2013-09-02,261.15
2013-09-03,257.2
2013-09-04,259.65
2013-09-05,259.6
2013-09-06,262.25
2013-09-10,266.35
2013-09-11,267.4
2013-09-12,273.15
2013-09-13,267.7
2013-09-16,268.55
2013-09-17,267.95
2013-09-18,270.3
2013-09-19,273.5
2013-09-20,285.55
2013-09-23,275.7
2013-09-24,278.3
2013-09-25,279.25
2013-09-26,277.5
2013-09-27,276.4
2013-09-30,269.35
2013-10-01,275.45
2013-10-03,275.6
2013-10-04,277.85
2013-10-07,276.5
2013-10-08,277.8
2013-10-09,278.2
2013-10-10,281.6
2013-10-11,283.15
2013-10-14,282.6
2013-10-15,282.95
2013-10-17,285.65
2013-10-18,285.55
2013-10-21,286.5
2013-10-22,287.85
2013-10-23,289.9
2013-10-24,288.1
2013-10-25,279.95
2013-10-28,275.55
2013-10-29,274.2
2013-10-30,272.55
2013-10-31,280.45
2013-11-01,280.6
2013-11-03,286.55
2013-11-05,289.85
2013-11-06,286.75
2013-11-07,278.2
2013-11-08,275.55
2013-11-11,279.9
2013-11-12,276.8
2013-11-13,275.45
2013-11-14,272.1
2013-11-18,272.0
2013-11-19,274.4
2013-11-20,272.55
2013-11-21,267.75
2013-11-22,266.4
2013-11-25,269.55
2013-11-26,266.65
2013-11-27,271.7
2013-11-28,274.9
2013-11-29,278.15
2013-12-02,281.3
2013-12-03,280.4
2013-12-04,279.45
2013-12-05,276.65
2013-12-06,275.85
2013-12-09,274.25
2013-12-10,271.0
2013-12-11,269.5
2013-12-12,269.05
2013-12-13,266.6
2013-12-16,265.55
2013-12-17,260.15
2013-12-18,261.55
2013-12-19,262.55
2013-12-20,267.05
2013-12-23,269.0
2013-12-24,267.95
2013-12-26,265.7
2013-12-27,267.2
2013-12-30,266.75
2013-12-31,268.7
