Date,CASTEXTECH
2013-01-01,118.4
2013-01-02,107.55
2013-01-03,106.75
2013-01-04,105.8
2013-01-07,101.05
2013-01-08,101.35
2013-01-09,100.95
2013-01-10,101.45
2013-01-11,100.35
2013-01-14,98.1
2013-01-15,100.75
2013-01-16,99.75
2013-01-17,98.5
2013-01-18,103.85
2013-01-21,103.0
2013-01-22,100.85
2013-01-23,100.75
2013-01-24,103.15
2013-01-25,102.1
2013-01-28,99.8
2013-01-29,99.6
2013-01-30,99.4
2013-01-31,99.45
2013-02-01,98.55
2013-02-04,98.55
2013-02-05,98.2
2013-02-06,99.95
2013-02-07,97.05
2013-02-08,96.95
2013-02-11,102.55
2013-02-12,98.4
2013-02-13,98.05
2013-02-14,97.8
2013-02-15,95.25
2013-02-18,91.5
2013-02-19,93.4
2013-02-20,91.8
2013-02-21,88.5
2013-02-22,91.85
2013-02-25,93.4
2013-02-26,93.45
2013-02-27,92.3
2013-02-28,93.75
2013-03-01,93.15
2013-03-04,90.9
2013-03-05,92.95
2013-03-06,98.3
2013-03-07,99.9
2013-03-08,101.75
2013-03-11,100.2
2013-03-12,100.95
2013-03-13,95.5
2013-03-14,90.55
2013-03-15,74.0
2013-03-18,85.0
2013-03-19,82.5
2013-03-20,82.05
2013-03-21,78.4
2013-03-22,71.8
2013-03-25,69.0
2013-03-26,69.45
2013-03-28,70.8
2013-04-01,72.1
2013-04-02,72.3
2013-04-03,71.25
2013-04-04,68.75
2013-04-05,65.85
2013-04-08,66.7
2013-04-09,66.35
2013-04-10,75.75
2013-04-11,81.75
2013-04-12,78.25
2013-04-15,78.35
2013-04-16,80.8
2013-04-17,84.0
2013-04-18,86.6
2013-04-22,88.0
2013-04-23,85.55
2013-04-25,82.95
2013-04-26,79.95
2013-04-29,81.25
2013-04-30,91.0
2013-05-02,86.85
2013-05-03,86.1
2013-05-06,94.65
2013-05-07,96.35
2013-05-08,97.95
2013-05-09,98.05
2013-05-10,96.8
2013-05-11,96.4
2013-05-13,95.35
2013-05-14,92.5
2013-05-15,101.3
2013-05-16,97.0
2013-05-17,98.95
2013-05-20,94.5
2013-05-21,98.9
2013-05-22,99.1
2013-05-23,96.55
2013-05-24,95.55
2013-05-27,100.4
2013-05-28,99.45
2013-05-29,91.55
2013-05-30,93.45
2013-05-31,94.05
2013-06-03,96.25
2013-06-04,96.15
2013-06-05,97.05
2013-06-06,96.75
2013-06-07,98.45
2013-06-10,95.3
2013-06-11,90.9
2013-06-12,91.45
2013-06-13,86.15
2013-06-14,89.05
2013-06-17,90.7
2013-06-18,91.7
2013-06-19,93.45
2013-06-20,87.55
2013-06-21,81.15
2013-06-24,74.65
2013-06-25,76.4
2013-06-26,71.4
2013-06-27,68.45
2013-06-28,67.05
2013-07-01,70.15
2013-07-02,70.1
2013-07-03,64.95
2013-07-04,67.3
2013-07-05,67.1
2013-07-08,65.8
2013-07-09,65.6
2013-07-10,65.6
2013-07-11,65.3
2013-07-12,64.1
2013-07-15,63.0
2013-07-16,61.25
2013-07-17,61.45
2013-07-18,61.65
2013-07-19,63.0
2013-07-22,60.95
2013-07-23,60.3
2013-07-24,60.7
2013-07-25,58.7
2013-07-26,58.35
2013-07-29,52.85
2013-07-30,51.2
2013-07-31,51.2
2013-08-01,53.35
2013-08-02,52.95
2013-08-05,53.0
2013-08-06,51.5
2013-08-07,51.9
2013-08-08,54.15
2013-08-12,61.15
2013-08-13,64.6
2013-08-14,65.9
2013-08-16,63.35
2013-08-19,60.8
2013-08-20,60.55
2013-08-21,65.85
2013-08-22,66.0
2013-08-23,70.7
2013-08-26,68.5
2013-08-27,65.05
2013-08-28,62.9
2013-08-29,74.8
2013-08-30,71.95
2013-09-02,69.65
2013-09-03,66.3
2013-09-04,66.7
2013-09-05,70.85
2013-09-06,70.0
2013-09-10,69.55
2013-09-11,70.15
2013-09-12,68.7
2013-09-13,69.2
2013-09-16,66.35
2013-09-17,65.5
2013-09-18,65.1
2013-09-19,64.85
2013-09-20,60.25
2013-09-23,62.15
2013-09-24,61.75
2013-09-25,60.9
2013-09-26,62.7
2013-09-27,62.75
2013-09-30,60.1
2013-10-01,62.15
2013-10-03,62.5
2013-10-04,62.95
2013-10-07,62.7
2013-10-08,63.95
2013-10-09,63.5
2013-10-10,63.85
2013-10-11,69.05
2013-10-14,68.2
2013-10-15,65.85
2013-10-17,67.25
2013-10-18,66.35
2013-10-21,66.55
2013-10-22,67.35
2013-10-23,68.1
2013-10-24,66.95
2013-10-25,65.65
2013-10-28,65.8
2013-10-29,65.55
2013-10-30,64.85
2013-10-31,64.5
2013-11-01,65.65
2013-11-03,68.4
2013-11-05,69.85
2013-11-06,68.45
2013-11-07,67.0
2013-11-08,66.6
2013-11-11,67.25
2013-11-12,65.25
2013-11-13,64.95
2013-11-14,65.2
2013-11-18,66.05
2013-11-19,65.05
2013-11-20,66.6
2013-11-21,65.3
2013-11-22,64.45
2013-11-25,65.2
2013-11-26,68.2
2013-11-27,66.5
2013-11-28,66.65
2013-11-29,67.65
2013-12-02,81.15
2013-12-03,78.9
2013-12-04,78.2
2013-12-05,76.35
2013-12-06,75.0
2013-12-09,73.8
2013-12-10,71.8
2013-12-11,69.45
2013-12-12,73.1
2013-12-13,71.0
2013-12-16,70.15
2013-12-17,68.95
2013-12-18,69.3
2013-12-19,64.55
2013-12-20,55.45
2013-12-23,61.1
2013-12-24,61.8
2013-12-26,68.75
2013-12-27,66.5
2013-12-30,64.2
2013-12-31,64.25
