Date,BRIGADE
2013-01-01,94.35
2013-01-02,98.55
2013-01-03,99.45
2013-01-04,99.65
2013-01-07,99.55
2013-01-08,99.15
2013-01-09,99.25
2013-01-10,96.4
2013-01-11,92.8
2013-01-14,92.3
2013-01-15,93.0
2013-01-16,90.25
2013-01-17,91.2
2013-01-18,89.35
2013-01-21,90.0
2013-01-22,87.15
2013-01-23,85.6
2013-01-24,78.9
2013-01-25,80.8
2013-01-28,82.5
2013-01-29,79.75
2013-01-30,78.7
2013-01-31,78.85
2013-02-01,78.45
2013-02-04,78.05
2013-02-05,77.75
2013-02-06,77.7
2013-02-07,79.0
2013-02-08,79.4
2013-02-11,79.65
2013-02-12,79.5
2013-02-13,79.35
2013-02-14,79.85
2013-02-15,79.95
2013-02-18,79.65
2013-02-19,81.3
2013-02-20,80.7
2013-02-21,78.6
2013-02-22,78.05
2013-02-25,75.9
2013-02-26,75.25
2013-02-27,73.25
2013-02-28,69.7
2013-03-01,69.0
2013-03-04,64.5
2013-03-05,66.55
2013-03-06,70.8
2013-03-07,70.9
2013-03-08,70.9
2013-03-11,70.2
2013-03-12,68.85
2013-03-13,66.35
2013-03-14,68.35
2013-03-15,65.35
2013-03-18,64.85
2013-03-19,63.3
2013-03-20,59.75
2013-03-21,57.6
2013-03-22,56.5
2013-03-25,56.8
2013-03-26,56.1
2013-03-28,57.05
2013-04-01,61.2
2013-04-02,70.2
2013-04-03,66.5
2013-04-04,63.7
2013-04-05,63.8
2013-04-08,62.75
2013-04-09,62.65
2013-04-10,63.45
2013-04-11,63.6
2013-04-12,62.8
2013-04-15,66.4
2013-04-16,67.2
2013-04-17,67.45
2013-04-18,67.1
2013-04-22,72.2
2013-04-23,72.6
2013-04-25,73.5
2013-04-26,71.3
2013-04-29,70.2
2013-04-30,70.45
2013-05-02,71.05
2013-05-03,69.4
2013-05-06,73.35
2013-05-07,73.1
2013-05-08,77.95
2013-05-09,75.95
2013-05-10,74.9
2013-05-11,74.3
2013-05-13,71.25
2013-05-14,70.8
2013-05-15,73.3
2013-05-16,74.05
2013-05-17,75.55
2013-05-20,73.2
2013-05-21,72.25
2013-05-22,70.7
2013-05-23,66.6
2013-05-24,68.2
2013-05-27,69.2
2013-05-28,71.95
2013-05-29,69.6
2013-05-30,70.1
2013-05-31,68.45
2013-06-03,68.85
2013-06-04,67.9
2013-06-05,67.3
2013-06-06,66.85
2013-06-07,66.8
2013-06-10,65.15
2013-06-11,63.35
2013-06-12,61.8
2013-06-13,61.7
2013-06-14,62.45
2013-06-17,62.65
2013-06-18,62.95
2013-06-19,64.15
2013-06-20,61.05
2013-06-21,61.8
2013-06-24,58.15
2013-06-25,58.65
2013-06-26,57.6
2013-06-27,57.65
2013-06-28,60.5
2013-07-01,65.15
2013-07-02,64.2
2013-07-03,58.6
2013-07-04,59.25
2013-07-05,59.3
2013-07-08,58.4
2013-07-09,59.45
2013-07-10,58.9
2013-07-11,59.5
2013-07-12,58.95
2013-07-15,59.5
2013-07-16,58.4
2013-07-17,57.35
2013-07-18,58.15
2013-07-19,57.15
2013-07-22,56.25
2013-07-23,56.4
2013-07-24,54.8
2013-07-25,54.75
2013-07-26,53.3
2013-07-29,52.7
2013-07-30,50.95
2013-07-31,49.65
2013-08-01,48.25
2013-08-02,47.55
2013-08-05,49.1
2013-08-06,46.3
2013-08-07,49.65
2013-08-08,53.4
2013-08-12,55.85
2013-08-13,56.95
2013-08-14,56.35
2013-08-16,51.95
2013-08-19,50.0
2013-08-20,50.7
2013-08-21,49.35
2013-08-22,50.05
2013-08-23,50.65
2013-08-26,52.5
2013-08-27,50.1
2013-08-28,50.5
2013-08-29,51.05
2013-08-30,50.15
2013-09-02,49.95
2013-09-03,49.7
2013-09-04,49.6
2013-09-05,50.85
2013-09-06,50.65
2013-09-10,53.4
2013-09-11,54.05
2013-09-12,53.9
2013-09-13,55.55
2013-09-16,54.25
2013-09-17,53.8
2013-09-18,53.65
2013-09-19,55.8
2013-09-20,53.7
2013-09-23,53.6
2013-09-24,52.5
2013-09-25,52.65
2013-09-26,54.05
2013-09-27,53.7
2013-09-30,52.45
2013-10-01,51.6
2013-10-03,52.35
2013-10-04,53.7
2013-10-07,53.75
2013-10-08,56.6
2013-10-09,59.65
2013-10-10,60.25
2013-10-11,59.6
2013-10-14,58.1
2013-10-15,57.2
2013-10-17,55.85
2013-10-18,55.65
2013-10-21,56.5
2013-10-22,57.5
2013-10-23,58.15
2013-10-24,57.3
2013-10-25,57.1
2013-10-28,55.5
2013-10-29,56.65
2013-10-30,56.65
2013-10-31,56.1
2013-11-01,56.8
2013-11-03,57.3
2013-11-05,58.35
2013-11-06,59.0
2013-11-07,60.05
2013-11-08,58.95
2013-11-11,57.15
2013-11-12,55.4
2013-11-13,54.9
2013-11-14,55.05
2013-11-18,56.1
2013-11-19,56.3
2013-11-20,56.05
2013-11-21,54.85
2013-11-22,54.65
2013-11-25,55.35
2013-11-26,54.9
2013-11-27,54.15
2013-11-28,54.25
2013-11-29,56.15
2013-12-02,56.45
2013-12-03,56.95
2013-12-04,58.0
2013-12-05,59.05
2013-12-06,59.65
2013-12-09,59.0
2013-12-10,57.3
2013-12-11,56.6
2013-12-12,56.85
2013-12-13,56.75
2013-12-16,56.0
2013-12-17,55.1
2013-12-18,63.55
2013-12-19,60.25
2013-12-20,62.25
2013-12-23,62.3
2013-12-24,61.3
2013-12-26,62.85
2013-12-27,63.6
2013-12-30,61.85
2013-12-31,60.4
