Date,VARDMNPOLY
2013-01-01,77.85
2013-01-02,77.0
2013-01-03,76.2
2013-01-04,76.0
2013-01-07,75.15
2013-01-08,75.25
2013-01-09,75.45
2013-01-10,73.25
2013-01-11,74.1
2013-01-14,71.5
2013-01-15,71.9
2013-01-16,75.35
2013-01-17,74.6
2013-01-18,79.75
2013-01-21,78.75
2013-01-22,74.0
2013-01-23,76.4
2013-01-24,72.65
2013-01-25,70.85
2013-01-28,68.8
2013-01-29,71.15
2013-01-30,70.1
2013-01-31,69.9
2013-02-01,69.95
2013-02-04,70.2
2013-02-05,70.25
2013-02-06,65.1
2013-02-07,65.25
2013-02-08,63.5
2013-02-11,63.0
2013-02-12,61.95
2013-02-13,64.0
2013-02-14,61.0
2013-02-15,60.4
2013-02-18,62.6
2013-02-19,61.2
2013-02-20,61.0
2013-02-21,60.0
2013-02-22,65.5
2013-02-25,71.5
2013-02-26,77.3
2013-02-27,75.25
2013-02-28,76.2
2013-03-01,75.9
2013-03-04,72.7
2013-03-05,71.65
2013-03-06,71.85
2013-03-07,71.65
2013-03-08,74.8
2013-03-11,72.8
2013-03-12,74.65
2013-03-13,74.5
2013-03-14,72.9
2013-03-15,71.35
2013-03-18,69.6
2013-03-19,66.15
2013-03-20,62.95
2013-03-21,60.4
2013-03-22,61.1
2013-03-25,61.1
2013-03-26,63.0
2013-03-28,66.15
2013-04-01,67.8
2013-04-02,66.0
2013-04-03,65.0
2013-04-04,63.1
2013-04-05,64.2
2013-04-08,64.0
2013-04-09,61.1
2013-04-10,63.0
2013-04-11,64.8
2013-04-12,63.05
2013-04-15,64.0
2013-04-16,62.2
2013-04-17,62.0
2013-04-18,62.1
2013-04-22,62.8
2013-04-23,61.45
2013-04-25,63.95
2013-04-26,64.5
2013-04-29,62.25
2013-04-30,62.2
2013-05-02,64.7
2013-05-03,65.65
2013-05-06,66.4
2013-05-07,65.0
2013-05-08,62.0
2013-05-09,62.1
2013-05-10,61.2
2013-05-11,63.25
2013-05-13,61.2
2013-05-14,60.9
2013-05-15,63.55
2013-05-16,63.05
2013-05-17,61.05
2013-05-20,60.0
2013-05-21,58.35
2013-05-22,58.65
2013-05-23,58.05
2013-05-24,59.2
2013-05-27,58.75
2013-05-28,60.85
2013-05-29,59.2
2013-05-30,57.75
2013-05-31,56.85
2013-06-03,57.65
2013-06-04,57.3
2013-06-05,58.9
2013-06-06,57.5
2013-06-07,61.45
2013-06-10,61.1
2013-06-11,57.75
2013-06-12,59.1
2013-06-13,59.85
2013-06-14,59.1
2013-06-17,58.65
2013-06-18,58.5
2013-06-19,57.8
2013-06-20,55.85
2013-06-21,55.8
2013-06-24,56.65
2013-06-25,56.3
2013-06-26,54.55
2013-06-27,54.05
2013-06-28,53.9
2013-07-01,53.9
2013-07-02,53.55
2013-07-03,53.45
2013-07-04,52.15
2013-07-05,51.9
2013-07-08,49.8
2013-07-09,48.8
2013-07-10,50.1
2013-07-11,50.0
2013-07-12,49.05
2013-07-15,50.75
2013-07-16,50.6
2013-07-17,50.55
2013-07-18,50.5
2013-07-19,50.9
2013-07-22,50.3
2013-07-23,50.95
2013-07-24,50.75
2013-07-25,50.8
2013-07-26,50.0
2013-07-29,48.65
2013-07-30,48.05
2013-07-31,46.65
2013-08-01,48.05
2013-08-02,44.2
2013-08-05,45.8
2013-08-06,45.1
2013-08-07,43.65
2013-08-08,43.2
2013-08-12,43.35
2013-08-13,45.5
2013-08-14,47.25
2013-08-16,44.45
2013-08-19,44.8
2013-08-20,42.35
2013-08-21,40.7
2013-08-22,40.7
2013-08-23,42.75
2013-08-26,41.8
2013-08-27,41.9
2013-08-28,41.3
2013-08-29,38.35
2013-08-30,38.3
2013-09-02,38.6
2013-09-03,37.45
2013-09-04,37.4
2013-09-05,39.45
2013-09-06,38.15
2013-09-10,41.95
2013-09-11,39.45
2013-09-12,38.65
2013-09-13,38.6
2013-09-16,38.25
2013-09-17,37.85
2013-09-18,37.75
2013-09-19,37.65
2013-09-20,36.75
2013-09-23,38.35
2013-09-24,36.7
2013-09-25,35.8
2013-09-26,35.85
2013-09-27,33.65
2013-09-30,33.8
2013-10-01,34.5
2013-10-03,35.1
2013-10-04,34.05
2013-10-07,34.3
2013-10-08,35.1
2013-10-09,36.05
2013-10-10,36.7
2013-10-11,36.9
2013-10-14,37.3
2013-10-15,37.1
2013-10-17,35.2
2013-10-18,35.2
2013-10-21,35.6
2013-10-22,36.65
2013-10-23,38.0
2013-10-24,36.0
2013-10-25,35.75
2013-10-28,39.4
2013-10-29,39.95
2013-10-30,41.3
2013-10-31,42.25
2013-11-01,39.4
2013-11-03,40.95
2013-11-05,39.6
2013-11-06,39.3
2013-11-07,40.3
2013-11-08,40.2
2013-11-11,39.75
2013-11-12,40.0
2013-11-13,39.3
2013-11-14,40.85
2013-11-18,41.2
2013-11-19,41.05
2013-11-20,40.35
2013-11-21,39.15
2013-11-22,40.25
2013-11-25,38.6
2013-11-26,38.15
2013-11-27,38.05
2013-11-28,38.95
2013-11-29,38.3
2013-12-02,39.25
2013-12-03,38.2
2013-12-04,37.6
2013-12-05,37.45
2013-12-06,34.85
2013-12-09,34.8
2013-12-10,34.55
2013-12-11,34.95
2013-12-12,34.2
2013-12-13,32.05
2013-12-16,32.1
2013-12-17,32.95
2013-12-18,33.45
2013-12-19,33.0
2013-12-20,33.5
2013-12-23,34.2
2013-12-24,34.35
2013-12-26,36.15
2013-12-27,37.15
2013-12-30,39.95
2013-12-31,40.6
