Date,ANSALAPI
2013-01-01,39.6
2013-01-02,39.7
2013-01-03,39.15
2013-01-04,38.95
2013-01-07,39.5
2013-01-08,39.75
2013-01-09,39.4
2013-01-10,38.7
2013-01-11,38.75
2013-01-14,39.45
2013-01-15,39.25
2013-01-16,36.7
2013-01-17,37.35
2013-01-18,37.45
2013-01-21,37.25
2013-01-22,35.45
2013-01-23,33.9
2013-01-24,31.65
2013-01-25,33.45
2013-01-28,34.6
2013-01-29,34.85
2013-01-30,34.65
2013-01-31,34.6
2013-02-01,34.45
2013-02-04,32.45
2013-02-05,32.9
2013-02-06,32.4
2013-02-07,32.25
2013-02-08,31.8
2013-02-11,32.1
2013-02-12,31.15
2013-02-13,31.3
2013-02-14,29.35
2013-02-15,29.5
2013-02-18,30.35
2013-02-19,31.15
2013-02-20,31.55
2013-02-21,30.3
2013-02-22,29.95
2013-02-25,28.8
2013-02-26,27.0
2013-02-27,28.35
2013-02-28,27.05
2013-03-01,27.4
2013-03-04,25.45
2013-03-05,26.3
2013-03-06,27.7
2013-03-07,27.6
2013-03-08,27.5
2013-03-11,27.5
2013-03-12,26.15
2013-03-13,25.9
2013-03-14,26.1
2013-03-15,25.35
2013-03-18,24.95
2013-03-19,23.8
2013-03-20,22.65
2013-03-21,22.3
2013-03-22,22.6
2013-03-25,22.0
2013-03-26,21.25
2013-03-28,22.15
2013-04-01,24.15
2013-04-02,24.95
2013-04-03,24.2
2013-04-04,23.15
2013-04-05,23.4
2013-04-08,23.1
2013-04-09,22.95
2013-04-10,22.8
2013-04-11,23.3
2013-04-12,23.1
2013-04-15,23.15
2013-04-16,24.2
2013-04-17,23.15
2013-04-18,23.75
2013-04-22,24.6
2013-04-23,24.75
2013-04-25,24.55
2013-04-26,23.85
2013-04-29,24.3
2013-04-30,24.1
2013-05-02,24.25
2013-05-03,23.8
2013-05-06,24.05
2013-05-07,24.4
2013-05-08,24.1
2013-05-09,24.55
2013-05-10,24.6
2013-05-11,24.75
2013-05-13,23.6
2013-05-14,23.4
2013-05-15,25.65
2013-05-16,24.95
2013-05-17,25.15
2013-05-20,25.5
2013-05-21,24.85
2013-05-22,24.4
2013-05-23,23.25
2013-05-24,23.25
2013-05-27,23.8
2013-05-28,23.35
2013-05-29,22.95
2013-05-30,22.75
2013-05-31,22.05
2013-06-03,21.95
2013-06-04,21.45
2013-06-05,21.4
2013-06-06,21.7
2013-06-07,21.0
2013-06-10,20.1
2013-06-11,18.85
2013-06-12,18.9
2013-06-13,18.8
2013-06-14,19.25
2013-06-17,19.15
2013-06-18,19.3
2013-06-19,18.75
2013-06-20,18.25
2013-06-21,17.95
2013-06-24,17.45
2013-06-25,17.65
2013-06-26,17.45
2013-06-27,17.7
2013-06-28,18.35
2013-07-01,19.5
2013-07-02,20.05
2013-07-03,19.6
2013-07-04,19.7
2013-07-05,19.4
2013-07-08,18.35
2013-07-09,17.95
2013-07-10,18.1
2013-07-11,18.3
2013-07-12,18.05
2013-07-15,18.45
2013-07-16,17.85
2013-07-17,17.85
2013-07-18,18.0
2013-07-19,17.85
2013-07-22,17.55
2013-07-23,17.65
2013-07-24,17.5
2013-07-25,17.35
2013-07-26,16.7
2013-07-29,16.05
2013-07-30,13.95
2013-07-31,14.65
2013-08-01,14.25
2013-08-02,12.7
2013-08-05,12.9
2013-08-06,12.6
2013-08-07,13.45
2013-08-08,13.7
2013-08-12,15.35
2013-08-13,15.65
2013-08-14,15.9
2013-08-16,14.9
2013-08-19,14.6
2013-08-20,15.1
2013-08-21,14.0
2013-08-22,14.5
2013-08-23,14.9
2013-08-26,14.55
2013-08-27,14.05
2013-08-28,13.95
2013-08-29,14.0
2013-08-30,14.15
2013-09-02,14.55
2013-09-03,14.15
2013-09-04,14.45
2013-09-05,14.6
2013-09-06,14.7
2013-09-10,15.0
2013-09-11,16.05
2013-09-12,16.0
2013-09-13,16.05
2013-09-16,16.0
2013-09-17,15.75
2013-09-18,16.1
2013-09-19,16.65
2013-09-20,16.3
2013-09-23,15.95
2013-09-24,15.8
2013-09-25,16.15
2013-09-26,16.4
2013-09-27,16.0
2013-09-30,15.75
2013-10-01,15.85
2013-10-03,16.15
2013-10-04,16.4
2013-10-07,17.05
2013-10-08,17.0
2013-10-09,17.9
2013-10-10,19.15
2013-10-11,19.05
2013-10-14,18.6
2013-10-15,18.15
2013-10-17,17.6
2013-10-18,17.8
2013-10-21,18.45
2013-10-22,18.4
2013-10-23,18.25
2013-10-24,18.2
2013-10-25,17.75
2013-10-28,17.7
2013-10-29,18.1
2013-10-30,18.2
2013-10-31,17.9
2013-11-01,18.3
2013-11-03,18.5
2013-11-05,19.1
2013-11-06,19.45
2013-11-07,18.95
2013-11-08,18.65
2013-11-11,18.2
2013-11-12,18.05
2013-11-13,17.45
2013-11-14,18.0
2013-11-18,21.55
2013-11-19,22.7
2013-11-20,22.5
2013-11-21,21.6
2013-11-22,20.85
2013-11-25,21.2
2013-11-26,20.15
2013-11-27,20.3
2013-11-28,21.6
2013-11-29,21.0
2013-12-02,21.0
2013-12-03,20.65
2013-12-04,20.7
2013-12-05,20.55
2013-12-06,20.3
2013-12-09,20.6
2013-12-10,20.3
2013-12-11,20.5
2013-12-12,20.15
2013-12-13,19.65
2013-12-16,19.4
2013-12-17,19.3
2013-12-18,19.65
2013-12-19,19.35
2013-12-20,20.0
2013-12-23,20.6
2013-12-24,22.05
2013-12-26,21.8
2013-12-27,21.95
2013-12-30,21.25
2013-12-31,21.5
