Date,GITANJALI
2013-01-01,541.45
2013-01-02,585.45
2013-01-03,590.4
2013-01-04,586.65
2013-01-07,580.55
2013-01-08,586.1
2013-01-09,567.45
2013-01-10,561.2
2013-01-11,587.35
2013-01-14,603.0
2013-01-15,604.3
2013-01-16,582.75
2013-01-17,584.65
2013-01-18,585.2
2013-01-21,602.2
2013-01-22,586.4
2013-01-23,579.85
2013-01-24,575.75
2013-01-25,577.7
2013-01-28,577.0
2013-01-29,572.65
2013-01-30,572.45
2013-01-31,568.2
2013-02-01,579.55
2013-02-04,570.8
2013-02-05,571.05
2013-02-06,573.0
2013-02-07,571.8
2013-02-08,572.45
2013-02-11,571.65
2013-02-12,571.95
2013-02-13,573.6
2013-02-14,570.4
2013-02-15,569.15
2013-02-18,567.4
2013-02-19,568.15
2013-02-20,569.2
2013-02-21,567.65
2013-02-22,571.75
2013-02-25,574.0
2013-02-26,575.8
2013-02-27,572.45
2013-02-28,581.8
2013-03-01,588.05
2013-03-04,587.8
2013-03-05,595.7
2013-03-06,603.25
2013-03-07,605.45
2013-03-08,610.6
2013-03-11,614.7
2013-03-12,607.6
2013-03-13,607.4
2013-03-14,604.55
2013-03-15,598.5
2013-03-18,595.25
2013-03-19,576.15
2013-03-20,576.8
2013-03-21,567.5
2013-03-22,555.05
2013-03-25,563.55
2013-03-26,562.45
2013-03-28,592.4
2013-04-01,618.45
2013-04-02,626.65
2013-04-03,607.35
2013-04-04,598.95
2013-04-05,601.25
2013-04-08,605.4
2013-04-09,585.35
2013-04-10,598.7
2013-04-11,598.4
2013-04-12,606.3
2013-04-15,590.95
2013-04-16,596.25
2013-04-17,596.7
2013-04-18,604.0
2013-04-22,631.05
2013-04-23,618.85
2013-04-25,602.4
2013-04-26,602.55
2013-04-29,609.05
2013-04-30,617.95
2013-05-02,621.75
2013-05-03,615.65
2013-05-06,620.05
2013-05-07,604.2
2013-05-08,606.45
2013-05-09,589.4
2013-05-10,587.9
2013-05-11,602.8
2013-05-13,600.85
2013-05-14,586.25
2013-05-15,591.3
2013-05-16,604.9
2013-05-17,592.35
2013-05-20,591.85
2013-05-21,584.9
2013-05-22,593.85
2013-05-23,587.75
2013-05-24,598.3
2013-05-27,607.9
2013-05-28,602.4
2013-05-29,608.55
2013-05-30,593.4
2013-05-31,576.1
2013-06-03,563.3
2013-06-04,569.75
2013-06-05,564.35
2013-06-06,568.55
2013-06-07,568.3
2013-06-10,562.35
2013-06-11,544.6
2013-06-12,530.2
2013-06-13,532.65
2013-06-14,539.75
2013-06-17,539.85
2013-06-18,547.85
2013-06-19,529.9
2013-06-20,507.9
2013-06-21,501.1
2013-06-24,400.9
2013-06-25,320.75
2013-06-26,288.7
2013-06-27,259.85
2013-06-28,233.9
2013-07-01,222.25
2013-07-02,211.15
2013-07-03,200.6
2013-07-04,190.6
2013-07-05,181.1
2013-07-08,172.05
2013-07-09,163.45
2013-07-10,155.3
2013-07-11,147.55
2013-07-12,140.2
2013-07-15,133.2
2013-07-16,126.55
2013-07-17,120.25
2013-07-18,114.25
2013-07-19,108.55
2013-07-22,103.15
2013-07-23,98.0
2013-07-24,93.1
2013-07-25,88.45
2013-07-26,84.05
2013-07-29,79.85
2013-07-30,75.9
2013-07-31,72.15
2013-08-01,68.55
2013-08-02,65.15
2013-08-05,61.9
2013-08-06,58.85
2013-08-07,61.75
2013-08-08,58.7
2013-08-12,61.6
2013-08-13,64.65
2013-08-14,67.85
2013-08-16,69.45
2013-08-19,72.9
2013-08-20,76.5
2013-08-21,80.3
2013-08-22,76.4
2013-08-23,72.6
2013-08-26,76.2
2013-08-27,78.2
2013-08-28,75.75
2013-08-29,73.2
2013-08-30,72.55
2013-09-02,74.4
2013-09-03,71.35
2013-09-04,71.05
2013-09-05,68.9
2013-09-06,71.4
2013-09-10,72.3
2013-09-11,74.3
2013-09-12,73.35
2013-09-13,71.45
2013-09-16,69.75
2013-09-17,68.0
2013-09-18,67.2
2013-09-19,63.85
2013-09-20,59.25
2013-09-23,62.15
2013-09-24,59.9
2013-09-25,58.05
2013-09-26,56.2
2013-09-27,53.85
2013-09-30,55.7
2013-10-01,54.8
2013-10-03,54.25
2013-10-04,53.1
2013-10-07,52.8
2013-10-08,52.1
2013-10-09,51.85
2013-10-10,52.7
2013-10-11,52.55
2013-10-14,55.0
2013-10-15,53.6
2013-10-17,53.35
2013-10-18,53.55
2013-10-21,54.85
2013-10-22,54.9
2013-10-23,64.45
2013-10-24,66.1
2013-10-25,63.15
2013-10-28,61.05
2013-10-29,62.35
2013-10-30,63.5
2013-10-31,64.6
2013-11-01,65.45
2013-11-03,64.8
2013-11-05,62.65
2013-11-06,63.5
2013-11-07,62.0
2013-11-08,61.75
2013-11-11,61.65
2013-11-12,58.4
2013-11-13,57.6
2013-11-14,58.4
2013-11-18,58.2
2013-11-19,57.6
2013-11-20,57.0
2013-11-21,56.15
2013-11-22,55.05
2013-11-25,55.25
2013-11-26,52.55
2013-11-27,52.25
2013-11-28,53.25
2013-11-29,53.3
2013-12-02,54.6
2013-12-03,55.4
2013-12-04,54.7
2013-12-05,53.3
2013-12-06,54.45
2013-12-09,54.5
2013-12-10,53.6
2013-12-11,52.85
2013-12-12,52.7
2013-12-13,51.1
2013-12-16,50.85
2013-12-17,50.65
2013-12-18,51.4
2013-12-19,50.4
2013-12-20,48.75
2013-12-23,49.2
2013-12-24,57.3
2013-12-26,67.3
2013-12-27,74.65
2013-12-30,67.95
2013-12-31,72.05
