Date,MBECL
2013-01-01,99.1
2013-01-02,100.6
2013-01-03,100.75
2013-01-04,99.85
2013-01-07,100.05
2013-01-08,100.1
2013-01-09,102.3
2013-01-10,100.95
2013-01-11,100.4
2013-01-14,101.35
2013-01-15,99.35
2013-01-16,99.35
2013-01-17,100.7
2013-01-18,99.4
2013-01-21,97.25
2013-01-22,96.85
2013-01-23,95.8
2013-01-24,93.45
2013-01-25,94.05
2013-01-28,94.55
2013-01-29,93.55
2013-01-30,93.35
2013-01-31,91.7
2013-02-01,89.0
2013-02-04,85.15
2013-02-05,83.8
2013-02-06,87.5
2013-02-07,85.4
2013-02-08,85.55
2013-02-11,84.25
2013-02-12,83.2
2013-02-13,82.45
2013-02-14,78.0
2013-02-15,75.85
2013-02-18,77.3
2013-02-19,79.0
2013-02-20,81.05
2013-02-21,80.15
2013-02-22,79.65
2013-02-25,75.6
2013-02-26,75.8
2013-02-27,75.4
2013-02-28,77.85
2013-03-01,77.85
2013-03-04,77.0
2013-03-05,76.35
2013-03-06,78.1
2013-03-07,80.5
2013-03-08,79.9
2013-03-11,81.0
2013-03-12,81.4
2013-03-13,81.0
2013-03-14,81.05
2013-03-15,81.3
2013-03-18,81.0
2013-03-19,77.45
2013-03-20,73.15
2013-03-21,70.3
2013-03-22,69.75
2013-03-25,67.0
2013-03-26,66.55
2013-03-28,68.9
2013-04-01,71.25
2013-04-02,73.85
2013-04-03,74.75
2013-04-04,72.85
2013-04-05,71.6
2013-04-08,70.25
2013-04-09,69.15
2013-04-10,68.5
2013-04-11,67.8
2013-04-12,67.6
2013-04-15,66.6
2013-04-16,68.6
2013-04-17,69.6
2013-04-18,69.25
2013-04-22,71.05
2013-04-23,70.75
2013-04-25,74.85
2013-04-26,74.6
2013-04-29,74.7
2013-04-30,74.8
2013-05-02,74.9
2013-05-03,74.65
2013-05-06,75.5
2013-05-07,79.15
2013-05-08,76.5
2013-05-09,75.0
2013-05-10,74.9
2013-05-11,74.9
2013-05-13,74.3
2013-05-14,74.15
2013-05-15,73.25
2013-05-16,72.65
2013-05-17,73.15
2013-05-20,73.1
2013-05-21,72.0
2013-05-22,72.65
2013-05-23,70.3
2013-05-24,71.7
2013-05-27,70.7
2013-05-28,70.0
2013-05-29,69.35
2013-05-30,64.7
2013-05-31,61.9
2013-06-03,57.95
2013-06-04,58.2
2013-06-05,57.75
2013-06-06,55.7
2013-06-07,54.95
2013-06-10,55.9
2013-06-11,52.25
2013-06-12,52.35
2013-06-13,52.65
2013-06-14,52.1
2013-06-17,51.3
2013-06-18,51.5
2013-06-19,51.45
2013-06-20,50.65
2013-06-21,50.35
2013-06-24,47.85
2013-06-25,44.85
2013-06-26,42.7
2013-06-27,43.4
2013-06-28,44.9
2013-07-01,45.05
2013-07-02,44.2
2013-07-03,44.45
2013-07-04,44.75
2013-07-05,49.0
2013-07-08,47.6
2013-07-09,48.85
2013-07-10,48.55
2013-07-11,48.05
2013-07-12,48.9
2013-07-15,48.95
2013-07-16,48.4
2013-07-17,47.5
2013-07-18,47.25
2013-07-19,47.85
2013-07-22,47.45
2013-07-23,47.25
2013-07-24,45.8
2013-07-25,44.6
2013-07-26,43.85
2013-07-29,42.85
2013-07-30,40.8
2013-07-31,39.3
2013-08-01,39.9
2013-08-02,39.5
2013-08-05,39.25
2013-08-06,38.15
2013-08-07,38.0
2013-08-08,40.95
2013-08-12,44.85
2013-08-13,45.95
2013-08-14,46.65
2013-08-16,44.45
2013-08-19,43.9
2013-08-20,45.55
2013-08-21,44.6
2013-08-22,45.35
2013-08-23,46.95
2013-08-26,48.3
2013-08-27,45.7
2013-08-28,44.15
2013-08-29,44.8
2013-08-30,46.0
2013-09-02,44.95
2013-09-03,45.6
2013-09-04,47.25
2013-09-05,47.0
2013-09-06,53.55
2013-09-10,52.7
2013-09-11,53.5
2013-09-12,53.35
2013-09-13,56.75
2013-09-16,60.75
2013-09-17,61.75
2013-09-18,58.65
2013-09-19,58.3
2013-09-20,57.3
2013-09-23,55.1
2013-09-24,53.95
2013-09-25,52.4
2013-09-26,53.95
2013-09-27,54.05
2013-09-30,52.75
2013-10-01,54.8
2013-10-03,57.85
2013-10-04,57.25
2013-10-07,60.5
2013-10-08,61.5
2013-10-09,61.05
2013-10-10,61.5
2013-10-11,61.15
2013-10-14,61.45
2013-10-15,59.15
2013-10-17,58.8
2013-10-18,60.45
2013-10-21,65.35
2013-10-22,66.5
2013-10-23,65.25
2013-10-24,62.65
2013-10-25,60.55
2013-10-28,60.2
2013-10-29,61.65
2013-10-30,62.3
2013-10-31,62.3
2013-11-01,63.2
2013-11-03,63.95
2013-11-05,66.0
2013-11-06,66.1
2013-11-07,63.85
2013-11-08,64.2
2013-11-11,63.0
2013-11-12,61.65
2013-11-13,59.75
2013-11-14,57.5
2013-11-18,57.05
2013-11-19,57.25
2013-11-20,57.8
2013-11-21,57.7
2013-11-22,56.85
2013-11-25,57.35
2013-11-26,56.55
2013-11-27,56.05
2013-11-28,55.1
2013-11-29,56.05
2013-12-02,56.1
2013-12-03,57.45
2013-12-04,56.9
2013-12-05,56.25
2013-12-06,59.05
2013-12-09,59.65
2013-12-10,58.65
2013-12-11,57.1
2013-12-12,56.95
2013-12-13,53.9
2013-12-16,54.9
2013-12-17,55.05
2013-12-18,55.4
2013-12-19,54.65
2013-12-20,55.75
2013-12-23,58.9
2013-12-24,58.6
2013-12-26,58.95
2013-12-27,57.6
2013-12-30,59.15
2013-12-31,59.25
