Date,BALLARPUR
2013-01-01,22.85
2013-01-02,23.5
2013-01-03,23.25
2013-01-04,23.15
2013-01-07,23.35
2013-01-08,23.25
2013-01-09,23.25
2013-01-10,23.0
2013-01-11,22.7
2013-01-14,22.85
2013-01-15,22.8
2013-01-16,22.7
2013-01-17,22.95
2013-01-18,22.8
2013-01-21,22.6
2013-01-22,22.6
2013-01-23,22.45
2013-01-24,22.25
2013-01-25,22.4
2013-01-28,22.5
2013-01-29,22.8
2013-01-30,22.8
2013-01-31,22.8
2013-02-01,23.15
2013-02-04,22.65
2013-02-05,22.45
2013-02-06,22.4
2013-02-07,21.55
2013-02-08,21.55
2013-02-11,21.5
2013-02-12,21.1
2013-02-13,20.75
2013-02-14,20.1
2013-02-15,19.95
2013-02-18,19.95
2013-02-19,19.6
2013-02-20,19.4
2013-02-21,19.25
2013-02-22,19.0
2013-02-25,18.45
2013-02-26,18.4
2013-02-27,18.7
2013-02-28,18.45
2013-03-01,18.8
2013-03-04,18.0
2013-03-05,18.4
2013-03-06,18.65
2013-03-07,18.75
2013-03-08,18.75
2013-03-11,18.85
2013-03-12,18.7
2013-03-13,18.55
2013-03-14,18.5
2013-03-15,18.05
2013-03-18,17.95
2013-03-19,17.55
2013-03-20,17.3
2013-03-21,17.2
2013-03-22,17.3
2013-03-25,17.1
2013-03-26,16.95
2013-03-28,17.25
2013-04-01,17.8
2013-04-02,18.15
2013-04-03,17.75
2013-04-04,17.25
2013-04-05,17.55
2013-04-08,17.4
2013-04-09,17.45
2013-04-10,17.5
2013-04-11,17.55
2013-04-12,17.2
2013-04-15,17.4
2013-04-16,17.4
2013-04-17,17.5
2013-04-18,18.0
2013-04-22,17.85
2013-04-23,17.75
2013-04-25,17.95
2013-04-26,18.0
2013-04-29,17.7
2013-04-30,17.4
2013-05-02,17.5
2013-05-03,17.35
2013-05-06,17.0
2013-05-07,17.45
2013-05-08,17.95
2013-05-09,17.65
2013-05-10,17.6
2013-05-11,17.4
2013-05-13,17.5
2013-05-14,17.4
2013-05-15,17.3
2013-05-16,17.45
2013-05-17,17.15
2013-05-20,17.05
2013-05-21,17.0
2013-05-22,16.7
2013-05-23,16.3
2013-05-24,16.6
2013-05-27,16.3
2013-05-28,16.15
2013-05-29,16.05
2013-05-30,16.05
2013-05-31,16.1
2013-06-03,16.2
2013-06-04,16.1
2013-06-05,15.95
2013-06-06,15.7
2013-06-07,15.65
2013-06-10,14.9
2013-06-11,14.95
2013-06-12,14.9
2013-06-13,14.15
2013-06-14,14.25
2013-06-17,14.0
2013-06-18,13.9
2013-06-19,13.9
2013-06-20,13.65
2013-06-21,13.4
2013-06-24,13.1
2013-06-25,13.1
2013-06-26,13.15
2013-06-27,13.1
2013-06-28,13.2
2013-07-01,13.3
2013-07-02,13.0
2013-07-03,12.5
2013-07-04,12.45
2013-07-05,12.15
2013-07-08,12.0
2013-07-09,12.0
2013-07-10,12.0
2013-07-11,11.8
2013-07-12,11.95
2013-07-15,12.15
2013-07-16,11.9
2013-07-17,11.8
2013-07-18,11.8
2013-07-19,11.6
2013-07-22,11.65
2013-07-23,11.6
2013-07-24,11.25
2013-07-25,11.25
2013-07-26,11.35
2013-07-29,11.25
2013-07-30,10.8
2013-07-31,10.6
2013-08-01,10.4
2013-08-02,10.35
2013-08-05,10.25
2013-08-06,10.0
2013-08-07,10.2
2013-08-08,10.25
2013-08-12,10.35
2013-08-13,10.45
2013-08-14,10.5
2013-08-16,10.4
2013-08-19,10.35
2013-08-20,10.4
2013-08-21,10.3
2013-08-22,10.2
2013-08-23,10.3
2013-08-26,10.4
2013-08-27,10.15
2013-08-28,9.85
2013-08-29,10.2
2013-08-30,10.2
2013-09-02,10.0
2013-09-03,10.05
2013-09-04,9.5
2013-09-05,9.55
2013-09-06,9.25
2013-09-10,9.35
2013-09-11,9.65
2013-09-12,10.15
2013-09-13,11.25
2013-09-16,11.15
2013-09-17,10.85
2013-09-18,12.2
2013-09-19,11.7
2013-09-20,10.75
2013-09-23,10.85
2013-09-24,10.9
2013-09-25,10.9
2013-09-26,10.95
2013-09-27,10.7
2013-09-30,10.65
2013-10-01,10.6
2013-10-03,10.9
2013-10-04,10.95
2013-10-07,10.9
2013-10-08,10.8
2013-10-09,10.8
2013-10-10,11.75
2013-10-11,11.65
2013-10-14,11.7
2013-10-15,11.5
2013-10-17,11.55
2013-10-18,11.65
2013-10-21,12.35
2013-10-22,13.05
2013-10-23,12.95
2013-10-24,12.9
2013-10-25,12.9
2013-10-28,12.7
2013-10-29,12.6
2013-10-30,13.05
2013-10-31,13.0
2013-11-01,13.45
2013-11-03,13.5
2013-11-05,13.5
2013-11-06,14.3
2013-11-07,13.65
2013-11-08,13.8
2013-11-11,13.6
2013-11-12,13.0
2013-11-13,12.65
2013-11-14,12.25
2013-11-18,12.2
2013-11-19,12.75
2013-11-20,12.8
2013-11-21,12.65
2013-11-22,12.55
2013-11-25,12.9
2013-11-26,11.95
2013-11-27,12.0
2013-11-28,12.05
2013-11-29,12.45
2013-12-02,12.4
2013-12-03,12.7
2013-12-04,13.25
2013-12-05,13.2
2013-12-06,13.4
2013-12-09,13.35
2013-12-10,13.0
2013-12-11,12.9
2013-12-12,12.9
2013-12-13,12.6
2013-12-16,12.45
2013-12-17,12.2
2013-12-18,12.35
2013-12-19,12.4
2013-12-20,12.5
2013-12-23,12.6
2013-12-24,12.6
2013-12-26,12.8
2013-12-27,12.85
2013-12-30,12.8
2013-12-31,13.15
