Date,MSPL
2013-01-01,27.85
2013-01-02,28.95
2013-01-03,27.7
2013-01-04,28.0
2013-01-07,28.15
2013-01-08,28.9
2013-01-09,28.45
2013-01-10,28.1
2013-01-11,27.85
2013-01-14,28.15
2013-01-15,27.75
2013-01-16,27.5
2013-01-17,27.25
2013-01-18,27.25
2013-01-21,27.15
2013-01-22,27.55
2013-01-23,27.05
2013-01-24,24.1
2013-01-25,25.25
2013-01-28,26.85
2013-01-29,25.75
2013-01-30,25.8
2013-01-31,25.1
2013-02-01,24.8
2013-02-04,23.9
2013-02-05,23.9
2013-02-06,23.95
2013-02-07,23.8
2013-02-08,23.95
2013-02-11,25.95
2013-02-12,23.4
2013-02-13,22.75
2013-02-14,21.5
2013-02-15,21.6
2013-02-18,21.65
2013-02-19,22.25
2013-02-20,22.4
2013-02-21,21.95
2013-02-22,21.3
2013-02-25,21.75
2013-02-26,21.5
2013-02-27,20.65
2013-02-28,20.75
2013-03-01,20.05
2013-03-04,20.55
2013-03-05,20.6
2013-03-06,21.2
2013-03-07,21.3
2013-03-08,21.15
2013-03-11,21.35
2013-03-12,21.85
2013-03-13,21.4
2013-03-14,22.05
2013-03-15,22.1
2013-03-18,22.55
2013-03-19,21.7
2013-03-20,21.4
2013-03-21,21.3
2013-03-22,20.9
2013-03-25,20.2
2013-03-26,20.35
2013-03-28,20.65
2013-04-01,20.35
2013-04-02,20.55
2013-04-03,20.0
2013-04-04,19.55
2013-04-05,20.3
2013-04-08,19.7
2013-04-09,19.1
2013-04-10,19.4
2013-04-11,19.75
2013-04-12,20.0
2013-04-15,19.45
2013-04-16,19.5
2013-04-17,20.0
2013-04-18,20.2
2013-04-22,20.65
2013-04-23,21.05
2013-04-25,21.05
2013-04-26,21.05
2013-04-29,19.85
2013-04-30,20.3
2013-05-02,20.1
2013-05-03,21.25
2013-05-06,21.05
2013-05-07,21.0
2013-05-08,21.35
2013-05-09,21.3
2013-05-10,21.0
2013-05-11,21.55
2013-05-13,20.7
2013-05-14,21.5
2013-05-15,20.65
2013-05-16,20.75
2013-05-17,20.7
2013-05-20,21.05
2013-05-21,21.25
2013-05-22,21.1
2013-05-23,20.35
2013-05-24,20.15
2013-05-27,19.7
2013-05-28,19.95
2013-05-29,20.65
2013-05-30,21.0
2013-05-31,20.5
2013-06-03,19.9
2013-06-04,20.25
2013-06-05,20.05
2013-06-06,20.95
2013-06-07,20.75
2013-06-10,20.65
2013-06-11,19.4
2013-06-12,19.3
2013-06-13,19.35
2013-06-14,19.55
2013-06-17,19.75
2013-06-18,19.95
2013-06-19,20.4
2013-06-20,20.15
2013-06-21,20.2
2013-06-24,19.65
2013-06-25,19.85
2013-06-26,19.85
2013-06-27,19.0
2013-06-28,19.45
2013-07-01,18.9
2013-07-02,19.2
2013-07-03,18.5
2013-07-04,19.15
2013-07-05,19.6
2013-07-08,18.95
2013-07-09,19.25
2013-07-10,19.1
2013-07-11,19.65
2013-07-12,20.05
2013-07-15,19.6
2013-07-16,19.05
2013-07-17,19.85
2013-07-18,19.05
2013-07-19,19.2
2013-07-22,18.65
2013-07-23,18.6
2013-07-24,18.4
2013-07-25,18.1
2013-07-26,17.9
2013-07-29,18.3
2013-07-30,17.0
2013-07-31,16.1
2013-08-01,15.15
2013-08-02,14.45
2013-08-05,12.3
2013-08-06,11.85
2013-08-07,12.8
2013-08-08,13.25
2013-08-12,13.9
2013-08-13,13.65
2013-08-14,13.15
2013-08-16,13.0
2013-08-19,13.1
2013-08-20,13.85
2013-08-21,13.55
2013-08-22,14.6
2013-08-23,14.55
2013-08-26,15.05
2013-08-27,13.9
2013-08-28,13.4
2013-08-29,14.2
2013-08-30,14.1
2013-09-02,13.75
2013-09-03,13.35
2013-09-04,14.0
2013-09-05,14.2
2013-09-06,14.8
2013-09-10,14.8
2013-09-11,14.8
2013-09-12,14.35
2013-09-13,15.0
2013-09-16,14.85
2013-09-17,15.35
2013-09-18,14.4
2013-09-19,14.85
2013-09-20,14.85
2013-09-23,15.35
2013-09-24,15.6
2013-09-25,16.0
2013-09-26,16.0
2013-09-27,15.55
2013-09-30,15.3
2013-10-01,15.95
2013-10-03,15.55
2013-10-04,15.1
2013-10-07,15.5
2013-10-08,16.15
2013-10-09,15.95
2013-10-10,18.1
2013-10-11,17.5
2013-10-14,17.1
2013-10-15,18.5
2013-10-17,17.4
2013-10-18,17.65
2013-10-21,17.4
2013-10-22,17.2
2013-10-23,16.9
2013-10-24,17.1
2013-10-25,18.1
2013-10-28,18.05
2013-10-29,17.4
2013-10-30,17.5
2013-10-31,17.1
2013-11-01,16.95
2013-11-03,16.65
2013-11-05,16.55
2013-11-06,18.4
2013-11-07,18.95
2013-11-08,18.6
2013-11-11,18.0
2013-11-12,17.15
2013-11-13,16.8
2013-11-14,16.25
2013-11-18,16.35
2013-11-19,16.65
2013-11-20,17.35
2013-11-21,17.15
2013-11-22,16.55
2013-11-25,16.65
2013-11-26,16.85
2013-11-27,16.45
2013-11-28,16.7
2013-11-29,16.55
2013-12-02,17.2
2013-12-03,17.1
2013-12-04,17.0
2013-12-05,17.15
2013-12-06,16.65
2013-12-09,16.55
2013-12-10,16.3
2013-12-11,15.75
2013-12-12,15.75
2013-12-13,15.95
2013-12-16,15.9
2013-12-17,15.7
2013-12-18,15.35
2013-12-19,15.25
2013-12-20,15.75
2013-12-23,15.7
2013-12-24,16.65
2013-12-26,17.3
2013-12-27,16.9
2013-12-30,16.65
2013-12-31,16.45
