Date,RAYMOND
2013-01-01,460.0
2013-01-02,459.65
2013-01-03,459.15
2013-01-04,453.1
2013-01-07,451.95
2013-01-08,447.15
2013-01-09,443.35
2013-01-10,438.9
2013-01-11,430.7
2013-01-14,436.8
2013-01-15,436.3
2013-01-16,426.35
2013-01-17,429.55
2013-01-18,428.5
2013-01-21,429.45
2013-01-22,404.25
2013-01-23,399.9
2013-01-24,377.9
2013-01-25,385.6
2013-01-28,383.9
2013-01-29,368.9
2013-01-30,376.45
2013-01-31,376.5
2013-02-01,379.4
2013-02-04,364.4
2013-02-05,356.25
2013-02-06,356.1
2013-02-07,355.75
2013-02-08,354.05
2013-02-11,358.45
2013-02-12,357.55
2013-02-13,357.35
2013-02-14,341.65
2013-02-15,341.5
2013-02-18,349.6
2013-02-19,356.4
2013-02-20,358.6
2013-02-21,343.65
2013-02-22,337.75
2013-02-25,338.3
2013-02-26,333.15
2013-02-27,329.15
2013-02-28,311.15
2013-03-01,317.05
2013-03-04,310.85
2013-03-05,321.2
2013-03-06,325.55
2013-03-07,321.1
2013-03-08,321.1
2013-03-11,321.2
2013-03-12,320.4
2013-03-13,313.05
2013-03-14,309.3
2013-03-15,299.3
2013-03-18,287.85
2013-03-19,285.45
2013-03-20,275.75
2013-03-21,263.2
2013-03-22,266.7
2013-03-25,269.7
2013-03-26,269.55
2013-03-28,285.85
2013-04-01,283.1
2013-04-02,286.2
2013-04-03,282.1
2013-04-04,267.2
2013-04-05,259.2
2013-04-08,257.2
2013-04-09,253.6
2013-04-10,253.35
2013-04-11,253.35
2013-04-12,255.25
2013-04-15,258.5
2013-04-16,269.35
2013-04-17,267.8
2013-04-18,275.1
2013-04-22,282.45
2013-04-23,278.6
2013-04-25,279.4
2013-04-26,267.25
2013-04-29,280.85
2013-04-30,290.4
2013-05-02,296.8
2013-05-03,297.0
2013-05-06,310.4
2013-05-07,317.65
2013-05-08,311.05
2013-05-09,308.55
2013-05-10,308.25
2013-05-11,310.2
2013-05-13,303.0
2013-05-14,304.4
2013-05-15,315.55
2013-05-16,312.75
2013-05-17,311.55
2013-05-20,314.65
2013-05-21,308.95
2013-05-22,296.9
2013-05-23,282.15
2013-05-24,283.95
2013-05-27,285.95
2013-05-28,291.75
2013-05-29,287.6
2013-05-30,283.3
2013-05-31,274.15
2013-06-03,277.35
2013-06-04,276.4
2013-06-05,281.15
2013-06-06,287.8
2013-06-07,288.1
2013-06-10,283.25
2013-06-11,276.4
2013-06-12,275.25
2013-06-13,259.8
2013-06-14,268.05
2013-06-17,271.9
2013-06-18,268.55
2013-06-19,270.95
2013-06-20,257.5
2013-06-21,258.55
2013-06-24,238.3
2013-06-25,244.95
2013-06-26,229.4
2013-06-27,237.65
2013-06-28,247.8
2013-07-01,253.2
2013-07-02,253.15
2013-07-03,239.4
2013-07-04,240.95
2013-07-05,240.2
2013-07-08,237.35
2013-07-09,240.8
2013-07-10,240.2
2013-07-11,246.1
2013-07-12,240.15
2013-07-15,247.15
2013-07-16,238.0
2013-07-17,239.05
2013-07-18,241.5
2013-07-19,233.1
2013-07-22,236.35
2013-07-23,236.5
2013-07-24,225.9
2013-07-25,216.6
2013-07-26,208.3
2013-07-29,204.5
2013-07-30,186.85
2013-07-31,185.35
2013-08-01,186.45
2013-08-02,190.0
2013-08-05,197.45
2013-08-06,193.6
2013-08-07,191.1
2013-08-08,208.2
2013-08-12,216.35
2013-08-13,222.55
2013-08-14,213.45
2013-08-16,192.35
2013-08-19,192.85
2013-08-20,195.9
2013-08-21,188.75
2013-08-22,197.35
2013-08-23,202.2
2013-08-26,198.75
2013-08-27,188.15
2013-08-28,183.1
2013-08-29,187.1
2013-08-30,190.65
2013-09-02,193.35
2013-09-03,183.0
2013-09-04,182.7
2013-09-05,187.55
2013-09-06,193.4
2013-09-10,211.25
2013-09-11,229.6
2013-09-12,218.45
2013-09-13,225.4
2013-09-16,221.2
2013-09-17,232.95
2013-09-18,232.1
2013-09-19,233.95
2013-09-20,226.1
2013-09-23,225.55
2013-09-24,221.15
2013-09-25,211.3
2013-09-26,221.75
2013-09-27,230.6
2013-09-30,228.3
2013-10-01,231.0
2013-10-03,240.95
2013-10-04,244.25
2013-10-07,251.1
2013-10-08,252.75
2013-10-09,254.85
2013-10-10,252.5
2013-10-11,260.5
2013-10-14,252.55
2013-10-15,250.65
2013-10-17,247.85
2013-10-18,253.8
2013-10-21,259.35
2013-10-22,274.6
2013-10-23,270.25
2013-10-24,270.95
2013-10-25,275.2
2013-10-28,267.7
2013-10-29,265.8
2013-10-30,270.2
2013-10-31,268.45
2013-11-01,273.6
2013-11-03,273.15
2013-11-05,272.45
2013-11-06,275.9
2013-11-07,270.05
2013-11-08,273.15
2013-11-11,267.9
2013-11-12,269.75
2013-11-13,270.1
2013-11-14,272.4
2013-11-18,274.8
2013-11-19,275.95
2013-11-20,270.85
2013-11-21,268.5
2013-11-22,268.35
2013-11-25,271.7
2013-11-26,270.75
2013-11-27,267.45
2013-11-28,272.9
2013-11-29,277.85
2013-12-02,285.45
2013-12-03,285.4
2013-12-04,278.1
2013-12-05,275.65
2013-12-06,277.15
2013-12-09,277.1
2013-12-10,271.75
2013-12-11,269.0
2013-12-12,264.85
2013-12-13,258.45
2013-12-16,259.65
2013-12-17,259.65
2013-12-18,260.5
2013-12-19,259.4
2013-12-20,287.65
2013-12-23,289.65
2013-12-24,294.0
2013-12-26,295.25
2013-12-27,290.95
2013-12-30,283.35
2013-12-31,282.05
