Date,NOIDATOLL
2013-01-01,23.3
2013-01-02,23.3
2013-01-03,23.25
2013-01-04,23.05
2013-01-07,23.3
2013-01-08,23.1
2013-01-09,23.4
2013-01-10,23.2
2013-01-11,23.0
2013-01-14,23.55
2013-01-15,23.4
2013-01-16,23.35
2013-01-17,23.2
2013-01-18,22.95
2013-01-21,22.8
2013-01-22,23.05
2013-01-23,22.85
2013-01-24,22.5
2013-01-25,22.75
2013-01-28,22.7
2013-01-29,22.7
2013-01-30,22.3
2013-01-31,22.25
2013-02-01,22.2
2013-02-04,22.0
2013-02-05,21.95
2013-02-06,21.95
2013-02-07,22.3
2013-02-08,22.05
2013-02-11,21.8
2013-02-12,22.55
2013-02-13,22.65
2013-02-14,22.7
2013-02-15,22.9
2013-02-18,22.7
2013-02-19,22.7
2013-02-20,22.65
2013-02-21,22.7
2013-02-22,22.8
2013-02-25,22.65
2013-02-26,22.05
2013-02-27,22.1
2013-02-28,22.0
2013-03-01,21.05
2013-03-04,21.0
2013-03-05,20.9
2013-03-06,21.15
2013-03-07,21.45
2013-03-08,21.45
2013-03-11,21.0
2013-03-12,22.65
2013-03-13,21.1
2013-03-14,21.05
2013-03-15,20.8
2013-03-18,20.8
2013-03-19,20.8
2013-03-20,20.4
2013-03-21,20.4
2013-03-22,20.05
2013-03-25,20.0
2013-03-26,20.05
2013-03-28,19.95
2013-04-01,21.35
2013-04-02,21.65
2013-04-03,21.55
2013-04-04,21.35
2013-04-05,21.0
2013-04-08,21.0
2013-04-09,21.15
2013-04-10,21.05
2013-04-11,20.85
2013-04-12,20.6
2013-04-15,20.6
2013-04-16,20.6
2013-04-17,20.7
2013-04-18,20.7
2013-04-22,20.75
2013-04-23,21.25
2013-04-25,21.2
2013-04-26,21.95
2013-04-29,22.05
2013-04-30,21.3
2013-05-02,21.8
2013-05-03,21.45
2013-05-06,21.75
2013-05-07,21.85
2013-05-08,22.0
2013-05-09,22.1
2013-05-10,21.95
2013-05-11,21.9
2013-05-13,22.25
2013-05-14,22.3
2013-05-15,22.3
2013-05-16,22.1
2013-05-17,21.85
2013-05-20,21.9
2013-05-21,21.8
2013-05-22,21.55
2013-05-23,21.45
2013-05-24,21.6
2013-05-27,21.75
2013-05-28,21.9
2013-05-29,21.7
2013-05-30,22.0
2013-05-31,21.75
2013-06-03,21.8
2013-06-04,21.85
2013-06-05,22.15
2013-06-06,21.85
2013-06-07,22.2
2013-06-10,21.9
2013-06-11,21.8
2013-06-12,21.7
2013-06-13,21.65
2013-06-14,21.7
2013-06-17,21.65
2013-06-18,21.6
2013-06-19,21.65
2013-06-20,21.6
2013-06-21,21.45
2013-06-24,21.15
2013-06-25,21.4
2013-06-26,21.3
2013-06-27,22.2
2013-06-28,22.65
2013-07-01,22.1
2013-07-02,21.6
2013-07-03,21.35
2013-07-04,21.3
2013-07-05,21.25
2013-07-08,22.0
2013-07-09,22.05
2013-07-10,22.0
2013-07-11,22.05
2013-07-12,22.1
2013-07-15,22.25
2013-07-16,22.0
2013-07-17,22.0
2013-07-18,22.15
2013-07-19,21.6
2013-07-22,22.0
2013-07-23,22.0
2013-07-24,22.0
2013-07-25,22.0
2013-07-26,22.0
2013-07-29,22.0
2013-07-30,22.0
2013-07-31,22.05
2013-08-01,21.5
2013-08-02,21.55
2013-08-05,21.35
2013-08-06,21.05
2013-08-07,21.05
2013-08-08,21.25
2013-08-12,21.65
2013-08-13,21.8
2013-08-14,21.5
2013-08-16,21.5
2013-08-19,21.15
2013-08-20,21.1
2013-08-21,21.05
2013-08-22,21.0
2013-08-23,20.95
2013-08-26,21.15
2013-08-27,20.95
2013-08-28,20.8
2013-08-29,20.55
2013-08-30,20.45
2013-09-02,20.9
2013-09-03,20.65
2013-09-04,20.7
2013-09-05,20.75
2013-09-06,20.75
2013-09-10,21.95
2013-09-11,22.45
2013-09-12,22.35
2013-09-13,22.35
2013-09-16,22.1
2013-09-17,22.25
2013-09-18,21.1
2013-09-19,21.25
2013-09-20,20.8
2013-09-23,20.4
2013-09-24,20.4
2013-09-25,20.4
2013-09-26,20.3
2013-09-27,20.3
2013-09-30,20.1
2013-10-01,20.2
2013-10-03,20.15
2013-10-04,20.1
2013-10-07,20.1
2013-10-08,20.1
2013-10-09,20.2
2013-10-10,20.1
2013-10-11,20.05
2013-10-14,19.95
2013-10-15,19.8
2013-10-17,19.7
2013-10-18,21.0
2013-10-21,21.5
2013-10-22,20.8
2013-10-23,20.85
2013-10-24,20.75
2013-10-25,20.45
2013-10-28,20.7
2013-10-29,20.6
2013-10-30,20.65
2013-10-31,20.65
2013-11-01,20.45
2013-11-03,20.65
2013-11-05,21.05
2013-11-06,21.3
2013-11-07,21.0
2013-11-08,21.0
2013-11-11,21.0
2013-11-12,21.0
2013-11-13,20.85
2013-11-14,21.0
2013-11-18,21.0
2013-11-19,21.0
2013-11-20,20.75
2013-11-21,20.55
2013-11-22,20.45
2013-11-25,20.45
2013-11-26,20.45
2013-11-27,20.35
2013-11-28,20.2
2013-11-29,20.15
2013-12-02,20.15
2013-12-03,20.15
2013-12-04,20.15
2013-12-05,20.3
2013-12-06,20.4
2013-12-09,20.35
2013-12-10,20.15
2013-12-11,20.1
2013-12-12,20.05
2013-12-13,19.95
2013-12-16,20.1
2013-12-17,19.9
2013-12-18,19.8
2013-12-19,20.05
2013-12-20,20.3
2013-12-23,20.45
2013-12-24,20.55
2013-12-26,22.0
2013-12-27,20.85
2013-12-30,21.35
2013-12-31,21.45
