Date,ONELIFECAP
2013-01-01,738.65
2013-01-02,732.75
2013-01-03,727.8
2013-01-04,715.1
2013-01-07,768.7
2013-01-08,747.6
2013-01-09,739.75
2013-01-10,760.65
2013-01-11,724.75
2013-01-14,732.1
2013-01-15,754.85
2013-01-16,764.75
2013-01-17,746.7
2013-01-18,734.8
2013-01-21,722.65
2013-01-22,729.3
2013-01-23,729.95
2013-01-24,725.5
2013-01-25,724.25
2013-01-28,725.6
2013-01-29,731.15
2013-01-30,723.05
2013-01-31,722.65
2013-02-01,735.9
2013-02-04,725.4
2013-02-05,722.3
2013-02-06,747.25
2013-02-07,770.15
2013-02-08,753.15
2013-02-11,751.15
2013-02-12,734.4
2013-02-13,721.85
2013-02-14,723.8
2013-02-15,716.85
2013-02-18,723.4
2013-02-19,735.05
2013-02-20,734.85
2013-02-21,742.85
2013-02-22,765.8
2013-02-25,745.65
2013-02-26,596.55
2013-02-27,477.25
2013-02-28,429.55
2013-03-01,386.6
2013-03-04,347.95
2013-03-05,330.6
2013-03-06,314.1
2013-03-07,298.4
2013-03-08,283.5
2013-03-11,269.35
2013-03-12,255.9
2013-03-13,243.15
2013-03-14,231.0
2013-03-15,219.45
2013-03-18,208.5
2013-03-19,198.1
2013-03-20,188.2
2013-03-21,178.8
2013-03-22,169.9
2013-03-25,161.45
2013-03-26,153.4
2013-03-28,145.75
2013-04-01,138.5
2013-04-02,131.6
2013-04-03,138.15
2013-04-04,145.05
2013-04-05,152.3
2013-04-08,159.9
2013-04-09,167.85
2013-04-10,176.2
2013-04-11,185.0
2013-04-12,194.25
2013-04-15,185.05
2013-04-16,179.55
2013-04-17,174.15
2013-04-18,174.15
2013-04-22,178.8
2013-04-23,187.7
2013-04-25,196.35
2013-04-26,206.15
2013-04-29,216.45
2013-04-30,227.25
2013-05-02,215.9
2013-05-03,205.7
2013-05-06,205.2
2013-05-07,200.8
2013-05-08,208.85
2013-05-09,229.7
2013-05-10,225.4
2013-05-11,232.25
2013-05-13,255.45
2013-05-14,247.85
2013-05-15,253.7
2013-05-16,248.95
2013-05-17,242.2
2013-05-20,241.75
2013-05-21,253.25
2013-05-22,245.65
2013-05-23,245.7
2013-05-24,241.6
2013-05-27,241.35
2013-05-28,243.9
2013-05-29,242.25
2013-05-30,236.2
2013-05-31,232.55
2013-06-03,230.95
2013-06-04,226.85
2013-06-05,223.75
2013-06-06,224.8
2013-06-07,236.0
2013-06-10,233.8
2013-06-11,230.3
2013-06-12,236.65
2013-06-13,235.0
2013-06-14,229.0
2013-06-17,228.1
2013-06-18,225.45
2013-06-19,224.85
2013-06-20,213.65
2013-06-21,203.0
2013-06-24,192.85
2013-06-25,183.25
2013-06-26,175.85
2013-06-27,177.65
2013-06-28,177.1
2013-07-01,185.45
2013-07-02,194.7
2013-07-03,204.4
2013-07-04,208.05
2013-07-05,209.55
2013-07-08,204.4
2013-07-09,205.45
2013-07-10,204.0
2013-07-11,204.35
2013-07-12,212.8
2013-07-15,209.55
2013-07-16,206.2
2013-07-17,205.8
2013-07-18,203.0
2013-07-19,202.45
2013-07-22,204.05
2013-07-23,204.55
2013-07-24,204.6
2013-07-25,201.4
2013-07-26,199.65
2013-07-29,187.85
2013-07-30,172.5
2013-07-31,176.5
2013-08-01,181.0
2013-08-02,184.35
2013-08-05,184.35
2013-08-06,181.9
2013-08-07,185.15
2013-08-08,184.9
2013-08-12,189.05
2013-08-13,191.0
2013-08-14,190.3
2013-08-16,188.25
2013-08-19,182.95
2013-08-20,183.4
2013-08-21,186.05
2013-08-22,184.0
2013-08-23,184.35
2013-08-26,185.3
2013-08-27,203.8
2013-08-28,224.15
2013-08-29,207.05
2013-08-30,202.95
2013-09-02,202.25
2013-09-03,208.1
2013-09-04,208.35
2013-09-05,207.0
2013-09-06,219.2
2013-09-10,262.2
2013-09-11,268.2
2013-09-12,252.1
2013-09-13,261.25
2013-09-16,260.9
2013-09-17,255.9
2013-09-18,256.05
2013-09-19,251.05
2013-09-20,251.45
2013-09-23,261.05
2013-09-24,294.65
2013-09-25,284.9
2013-09-26,285.95
2013-09-27,286.45
2013-09-30,279.45
2013-10-01,274.1
2013-10-03,248.9
2013-10-04,257.25
2013-10-07,278.3
2013-10-08,280.05
2013-10-09,287.75
2013-10-10,283.45
2013-10-11,289.05
2013-10-14,290.15
2013-10-15,286.05
2013-10-17,285.95
2013-10-18,281.65
2013-10-21,284.2
2013-10-22,284.7
2013-10-23,281.85
2013-10-24,282.35
2013-10-25,280.85
2013-10-28,279.3
2013-10-29,307.3
2013-10-30,294.35
2013-10-31,307.25
2013-11-01,304.85
2013-11-03,308.5
2013-11-05,304.2
2013-11-06,302.8
2013-11-07,298.2
2013-11-08,294.2
2013-11-11,291.2
2013-11-12,302.05
2013-11-13,300.15
2013-11-14,294.4
2013-11-18,291.55
2013-11-19,295.45
2013-11-20,294.6
2013-11-21,288.8
2013-11-22,287.3
2013-11-25,288.15
2013-11-26,288.45
2013-11-27,285.9
2013-11-28,287.9
2013-11-29,285.75
2013-12-02,283.55
2013-12-03,282.65
2013-12-04,268.3
2013-12-05,267.7
2013-12-06,268.5
2013-12-09,268.35
2013-12-10,262.85
2013-12-11,263.05
2013-12-12,257.05
2013-12-13,260.3
2013-12-16,291.45
2013-12-17,238.95
2013-12-18,251.55
2013-12-19,249.75
2013-12-20,221.55
2013-12-23,212.1
2013-12-24,183.15
2013-12-26,219.75
2013-12-27,193.0
2013-12-30,187.75
2013-12-31,200.8
