Date,ACE
2013-01-01,23.95
2013-01-02,23.85
2013-01-03,23.95
2013-01-04,23.95
2013-01-07,23.85
2013-01-08,23.85
2013-01-09,23.45
2013-01-10,22.75
2013-01-11,22.2
2013-01-14,22.5
2013-01-15,22.1
2013-01-16,21.35
2013-01-17,21.15
2013-01-18,20.75
2013-01-21,20.2
2013-01-22,18.95
2013-01-23,19.25
2013-01-24,18.75
2013-01-25,19.1
2013-01-28,18.8
2013-01-29,18.7
2013-01-30,18.85
2013-01-31,18.5
2013-02-01,18.35
2013-02-04,18.35
2013-02-05,17.9
2013-02-06,17.9
2013-02-07,17.15
2013-02-08,16.95
2013-02-11,16.05
2013-02-12,15.75
2013-02-13,15.7
2013-02-14,14.85
2013-02-15,14.0
2013-02-18,13.95
2013-02-19,16.15
2013-02-20,15.95
2013-02-21,14.7
2013-02-22,14.5
2013-02-25,13.5
2013-02-26,12.85
2013-02-27,12.35
2013-02-28,11.95
2013-03-01,11.9
2013-03-04,11.8
2013-03-05,12.6
2013-03-06,13.0
2013-03-07,13.0
2013-03-08,13.2
2013-03-11,14.0
2013-03-12,13.95
2013-03-13,13.3
2013-03-14,13.05
2013-03-15,13.15
2013-03-18,12.75
2013-03-19,12.5
2013-03-20,11.9
2013-03-21,11.85
2013-03-22,11.45
2013-03-25,11.35
2013-03-26,11.45
2013-03-28,11.75
2013-04-01,12.3
2013-04-02,13.2
2013-04-03,12.8
2013-04-04,11.7
2013-04-05,12.5
2013-04-08,13.35
2013-04-09,12.85
2013-04-10,12.9
2013-04-11,12.5
2013-04-12,12.05
2013-04-15,12.1
2013-04-16,12.0
2013-04-17,11.9
2013-04-18,11.85
2013-04-22,11.95
2013-04-23,11.9
2013-04-25,11.85
2013-04-26,11.95
2013-04-29,11.75
2013-04-30,11.5
2013-05-02,11.95
2013-05-03,11.7
2013-05-06,11.85
2013-05-07,12.0
2013-05-08,12.05
2013-05-09,13.1
2013-05-10,14.95
2013-05-11,15.0
2013-05-13,14.1
2013-05-14,13.8
2013-05-15,14.1
2013-05-16,14.05
2013-05-17,14.3
2013-05-20,14.05
2013-05-21,13.7
2013-05-22,13.05
2013-05-23,13.4
2013-05-24,13.05
2013-05-27,12.9
2013-05-28,13.7
2013-05-29,13.75
2013-05-30,13.45
2013-05-31,12.95
2013-06-03,13.0
2013-06-04,12.75
2013-06-05,13.1
2013-06-06,13.15
2013-06-07,12.8
2013-06-10,12.35
2013-06-11,12.15
2013-06-12,11.95
2013-06-13,12.0
2013-06-14,12.15
2013-06-17,12.05
2013-06-18,12.0
2013-06-19,12.05
2013-06-20,11.5
2013-06-21,11.55
2013-06-24,11.35
2013-06-25,10.6
2013-06-26,10.65
2013-06-27,10.75
2013-06-28,11.2
2013-07-01,12.75
2013-07-02,13.25
2013-07-03,12.6
2013-07-04,12.35
2013-07-05,12.25
2013-07-08,12.0
2013-07-09,12.0
2013-07-10,11.7
2013-07-11,11.7
2013-07-12,11.5
2013-07-15,11.65
2013-07-16,11.75
2013-07-17,11.75
2013-07-18,11.4
2013-07-19,11.35
2013-07-22,11.25
2013-07-23,11.25
2013-07-24,10.7
2013-07-25,10.55
2013-07-26,11.15
2013-07-29,11.3
2013-07-30,10.5
2013-07-31,10.5
2013-08-01,10.1
2013-08-02,9.5
2013-08-05,9.0
2013-08-06,8.85
2013-08-07,9.25
2013-08-08,9.35
2013-08-12,9.85
2013-08-13,9.95
2013-08-14,10.3
2013-08-16,9.7
2013-08-19,8.8
2013-08-20,8.55
2013-08-21,8.45
2013-08-22,8.4
2013-08-23,8.7
2013-08-26,8.65
2013-08-27,8.35
2013-08-28,8.2
2013-08-29,8.0
2013-08-30,8.1
2013-09-02,8.15
2013-09-03,7.95
2013-09-04,7.9
2013-09-05,8.25
2013-09-06,8.3
2013-09-10,8.9
2013-09-11,8.8
2013-09-12,8.9
2013-09-13,9.25
2013-09-16,9.0
2013-09-17,8.75
2013-09-18,8.55
2013-09-19,8.7
2013-09-20,8.55
2013-09-23,8.7
2013-09-24,8.5
2013-09-25,8.45
2013-09-26,8.35
2013-09-27,8.3
2013-09-30,8.2
2013-10-01,8.3
2013-10-03,8.45
2013-10-04,9.1
2013-10-07,10.0
2013-10-08,10.1
2013-10-09,10.35
2013-10-10,11.15
2013-10-11,11.6
2013-10-14,11.45
2013-10-15,10.95
2013-10-17,11.4
2013-10-18,12.2
2013-10-21,13.85
2013-10-22,13.35
2013-10-23,12.75
2013-10-24,12.9
2013-10-25,12.6
2013-10-28,12.15
2013-10-29,12.35
2013-10-30,12.2
2013-10-31,12.15
2013-11-01,12.7
2013-11-03,13.15
2013-11-05,13.1
2013-11-06,13.0
2013-11-07,13.6
2013-11-08,14.45
2013-11-11,13.5
2013-11-12,12.85
2013-11-13,12.65
2013-11-14,13.0
2013-11-18,13.15
2013-11-19,12.9
2013-11-20,12.7
2013-11-21,13.1
2013-11-22,13.15
2013-11-25,13.2
2013-11-26,12.6
2013-11-27,12.65
2013-11-28,12.55
2013-11-29,13.0
2013-12-02,13.75
2013-12-03,13.85
2013-12-04,14.0
2013-12-05,14.15
2013-12-06,14.55
2013-12-09,14.45
2013-12-10,14.05
2013-12-11,13.85
2013-12-12,13.75
2013-12-13,13.1
2013-12-16,12.75
2013-12-17,12.65
2013-12-18,12.5
2013-12-19,12.65
2013-12-20,12.75
2013-12-23,13.1
2013-12-24,13.3
2013-12-26,13.65
2013-12-27,13.65
2013-12-30,13.35
2013-12-31,13.45
