Date,RAINBOWPAP
2013-01-01,84.6
2013-01-02,83.55
2013-01-03,83.95
2013-01-04,83.4
2013-01-07,83.15
2013-01-08,83.2
2013-01-09,83.1
2013-01-10,82.1
2013-01-11,82.45
2013-01-14,82.5
2013-01-15,82.5
2013-01-16,82.55
2013-01-17,82.0
2013-01-18,83.25
2013-01-21,83.45
2013-01-22,81.9
2013-01-23,82.55
2013-01-24,82.55
2013-01-25,82.65
2013-01-28,81.95
2013-01-29,82.7
2013-01-30,81.8
2013-01-31,82.45
2013-02-01,82.0
2013-02-04,82.05
2013-02-05,82.45
2013-02-06,81.95
2013-02-07,82.35
2013-02-08,82.0
2013-02-11,81.75
2013-02-12,81.65
2013-02-13,81.8
2013-02-14,81.6
2013-02-15,81.1
2013-02-18,81.05
2013-02-19,81.9
2013-02-20,81.75
2013-02-21,81.0
2013-02-22,80.85
2013-02-25,79.1
2013-02-26,79.25
2013-02-27,80.45
2013-02-28,79.15
2013-03-01,79.9
2013-03-04,79.5
2013-03-05,79.25
2013-03-06,80.1
2013-03-07,80.1
2013-03-08,81.8
2013-03-11,81.25
2013-03-12,81.0
2013-03-13,80.2
2013-03-14,79.75
2013-03-15,79.45
2013-03-18,79.3
2013-03-19,78.95
2013-03-20,79.35
2013-03-21,78.2
2013-03-22,78.0
2013-03-25,77.55
2013-03-26,77.6
2013-03-28,77.2
2013-04-01,77.0
2013-04-02,76.8
2013-04-03,76.95
2013-04-04,76.5
2013-04-05,76.5
2013-04-08,76.25
2013-04-09,76.3
2013-04-10,76.5
2013-04-11,76.2
2013-04-12,76.05
2013-04-15,76.2
2013-04-16,76.05
2013-04-17,76.95
2013-04-18,78.3
2013-04-22,79.45
2013-04-23,80.5
2013-04-25,80.65
2013-04-26,79.55
2013-04-29,79.85
2013-04-30,79.15
2013-05-02,79.1
2013-05-03,79.2
2013-05-06,78.8
2013-05-07,78.9
2013-05-08,79.0
2013-05-09,78.8
2013-05-10,78.1
2013-05-11,78.4
2013-05-13,78.45
2013-05-14,78.3
2013-05-15,78.2
2013-05-16,78.3
2013-05-17,78.25
2013-05-20,78.65
2013-05-21,79.2
2013-05-22,78.35
2013-05-23,78.25
2013-05-24,77.95
2013-05-27,78.3
2013-05-28,78.1
2013-05-29,77.1
2013-05-30,77.4
2013-05-31,76.95
2013-06-03,76.65
2013-06-04,76.9
2013-06-05,76.85
2013-06-06,76.65
2013-06-07,76.7
2013-06-10,76.65
2013-06-11,76.6
2013-06-12,76.45
2013-06-13,76.4
2013-06-14,76.7
2013-06-17,76.7
2013-06-18,76.5
2013-06-19,76.9
2013-06-20,76.0
2013-06-21,75.5
2013-06-24,75.95
2013-06-25,76.05
2013-06-26,75.5
2013-06-27,75.4
2013-06-28,75.75
2013-07-01,75.65
2013-07-02,75.5
2013-07-03,75.5
2013-07-04,75.35
2013-07-05,74.95
2013-07-08,75.15
2013-07-09,75.8
2013-07-10,75.45
2013-07-11,75.3
2013-07-12,75.0
2013-07-15,75.25
2013-07-16,75.65
2013-07-17,75.15
2013-07-18,75.1
2013-07-19,75.1
2013-07-22,75.15
2013-07-23,76.15
2013-07-24,75.65
2013-07-25,75.6
2013-07-26,75.0
2013-07-29,75.5
2013-07-30,75.05
2013-07-31,74.9
2013-08-01,75.15
2013-08-02,75.2
2013-08-05,75.15
2013-08-06,74.8
2013-08-07,74.9
2013-08-08,75.0
2013-08-12,75.15
2013-08-13,75.25
2013-08-14,75.15
2013-08-16,74.55
2013-08-19,75.3
2013-08-20,75.0
2013-08-21,75.15
2013-08-22,74.75
2013-08-23,74.6
2013-08-26,74.9
2013-08-27,75.0
2013-08-28,74.9
2013-08-29,74.45
2013-08-30,74.45
2013-09-02,74.6
2013-09-03,74.35
2013-09-04,75.1
2013-09-05,75.0
2013-09-06,75.0
2013-09-10,75.25
2013-09-11,75.25
2013-09-12,74.35
2013-09-13,75.2
2013-09-16,74.95
2013-09-17,74.9
2013-09-18,74.5
2013-09-19,75.25
2013-09-20,74.8
2013-09-23,74.9
2013-09-24,74.7
2013-09-25,74.85
2013-09-26,74.85
2013-09-27,75.0
2013-09-30,74.8
2013-10-01,74.8
2013-10-03,75.05
2013-10-04,74.45
2013-10-07,74.95
2013-10-08,74.9
2013-10-09,74.7
2013-10-10,74.9
2013-10-11,74.7
2013-10-14,74.85
2013-10-15,74.9
2013-10-17,74.8
2013-10-18,74.5
2013-10-21,74.9
2013-10-22,74.95
2013-10-23,74.8
2013-10-24,74.3
2013-10-25,75.05
2013-10-28,74.95
2013-10-29,74.9
2013-10-30,74.9
2013-10-31,74.75
2013-11-01,74.95
2013-11-03,75.0
2013-11-05,74.9
2013-11-06,74.95
2013-11-07,74.95
2013-11-08,74.95
2013-11-11,75.0
2013-11-12,74.95
2013-11-13,74.95
2013-11-14,74.85
2013-11-18,74.95
2013-11-19,74.9
2013-11-20,75.95
2013-11-21,74.65
2013-11-22,75.75
2013-11-25,75.9
2013-11-26,75.95
2013-11-27,75.7
2013-11-28,74.75
2013-11-29,75.4
2013-12-02,75.95
2013-12-03,75.3
2013-12-04,75.45
2013-12-05,76.45
2013-12-06,76.8
2013-12-09,76.95
2013-12-10,76.2
2013-12-11,75.85
2013-12-12,75.9
2013-12-13,75.05
2013-12-16,75.0
2013-12-17,74.8
2013-12-18,75.3
2013-12-19,75.25
2013-12-20,75.95
2013-12-23,75.2
2013-12-24,75.25
2013-12-26,75.2
2013-12-27,75.75
2013-12-30,75.0
2013-12-31,75.3
