Date,SADBHAV
2013-01-01,136.9
2013-01-02,138.55
2013-01-03,138.6
2013-01-04,137.1
2013-01-07,137.95
2013-01-08,136.9
2013-01-09,136.85
2013-01-10,135.35
2013-01-11,132.8
2013-01-14,132.3
2013-01-15,130.0
2013-01-16,130.2
2013-01-17,127.9
2013-01-18,129.6
2013-01-21,131.4
2013-01-22,128.45
2013-01-23,128.0
2013-01-24,125.2
2013-01-25,124.75
2013-01-28,126.15
2013-01-29,123.95
2013-01-30,122.4
2013-01-31,121.25
2013-02-01,124.3
2013-02-04,120.55
2013-02-05,120.5
2013-02-06,120.0
2013-02-07,120.25
2013-02-08,121.95
2013-02-11,121.8
2013-02-12,120.15
2013-02-13,121.0
2013-02-14,115.05
2013-02-15,113.45
2013-02-18,114.35
2013-02-19,113.95
2013-02-20,113.1
2013-02-21,109.75
2013-02-22,108.4
2013-02-25,111.6
2013-02-26,110.25
2013-02-27,111.4
2013-02-28,109.55
2013-03-01,108.3
2013-03-04,105.75
2013-03-05,106.85
2013-03-06,110.7
2013-03-07,111.45
2013-03-08,112.3
2013-03-11,112.0
2013-03-12,112.2
2013-03-13,113.8
2013-03-14,115.7
2013-03-15,115.5
2013-03-18,113.6
2013-03-19,115.45
2013-03-20,112.25
2013-03-21,112.3
2013-03-22,111.15
2013-03-25,113.1
2013-03-26,115.5
2013-03-28,119.6
2013-04-01,121.35
2013-04-02,120.15
2013-04-03,119.9
2013-04-04,118.0
2013-04-05,116.3
2013-04-08,112.75
2013-04-09,113.85
2013-04-10,114.25
2013-04-11,115.35
2013-04-12,115.05
2013-04-15,114.05
2013-04-16,114.0
2013-04-17,114.15
2013-04-18,113.4
2013-04-22,115.4
2013-04-23,114.2
2013-04-25,114.0
2013-04-26,114.8
2013-04-29,115.9
2013-04-30,115.4
2013-05-02,114.7
2013-05-03,114.2
2013-05-06,114.05
2013-05-07,114.55
2013-05-08,114.25
2013-05-09,113.25
2013-05-10,112.75
2013-05-11,112.9
2013-05-13,111.15
2013-05-14,113.55
2013-05-15,113.5
2013-05-16,113.2
2013-05-17,112.55
2013-05-20,113.0
2013-05-21,113.0
2013-05-22,110.25
2013-05-23,107.85
2013-05-24,110.25
2013-05-27,107.0
2013-05-28,107.0
2013-05-29,106.95
2013-05-30,110.45
2013-05-31,110.3
2013-06-03,106.3
2013-06-04,106.8
2013-06-05,107.25
2013-06-06,105.25
2013-06-07,106.05
2013-06-10,107.45
2013-06-11,102.1
2013-06-12,103.95
2013-06-13,101.35
2013-06-14,100.8
2013-06-17,98.4
2013-06-18,102.55
2013-06-19,102.8
2013-06-20,100.55
2013-06-21,97.3
2013-06-24,95.65
2013-06-25,95.9
2013-06-26,99.75
2013-06-27,95.9
2013-06-28,94.75
2013-07-01,95.7
2013-07-02,94.05
2013-07-03,92.45
2013-07-04,91.4
2013-07-05,89.85
2013-07-08,89.3
2013-07-09,87.95
2013-07-10,87.8
2013-07-11,87.05
2013-07-12,88.4
2013-07-15,90.4
2013-07-16,89.5
2013-07-17,87.6
2013-07-18,87.35
2013-07-19,88.5
2013-07-22,87.45
2013-07-23,86.65
2013-07-24,85.15
2013-07-25,83.6
2013-07-26,80.8
2013-07-29,79.8
2013-07-30,77.2
2013-07-31,70.45
2013-08-01,71.5
2013-08-02,70.3
2013-08-05,73.6
2013-08-06,67.95
2013-08-07,68.95
2013-08-08,69.35
2013-08-12,69.85
2013-08-13,72.25
2013-08-14,69.9
2013-08-16,67.6
2013-08-19,64.05
2013-08-20,61.4
2013-08-21,59.15
2013-08-22,59.4
2013-08-23,57.3
2013-08-26,59.1
2013-08-27,59.45
2013-08-28,56.4
2013-08-29,55.1
2013-08-30,53.45
2013-09-02,54.35
2013-09-03,54.15
2013-09-04,54.25
2013-09-05,54.85
2013-09-06,54.45
2013-09-10,54.7
2013-09-11,56.15
2013-09-12,56.65
2013-09-13,56.0
2013-09-16,59.05
2013-09-17,60.55
2013-09-18,60.75
2013-09-19,62.0
2013-09-20,59.8
2013-09-23,60.0
2013-09-24,60.0
2013-09-25,60.5
2013-09-26,60.5
2013-09-27,60.15
2013-09-30,60.0
2013-10-01,63.55
2013-10-03,66.8
2013-10-04,68.2
2013-10-07,70.9
2013-10-08,70.95
2013-10-09,69.95
2013-10-10,69.3
2013-10-11,68.95
2013-10-14,69.55
2013-10-15,67.4
2013-10-17,65.6
2013-10-18,63.95
2013-10-21,66.95
2013-10-22,65.7
2013-10-23,65.15
2013-10-24,65.15
2013-10-25,63.65
2013-10-28,62.3
2013-10-29,62.9
2013-10-30,62.7
2013-10-31,63.65
2013-11-01,65.1
2013-11-03,67.1
2013-11-05,67.7
2013-11-06,68.25
2013-11-07,68.2
2013-11-08,67.35
2013-11-11,70.4
2013-11-12,68.75
2013-11-13,71.6
2013-11-14,74.1
2013-11-18,72.1
2013-11-19,73.3
2013-11-20,72.9
2013-11-21,72.85
2013-11-22,76.55
2013-11-25,75.9
2013-11-26,75.65
2013-11-27,76.95
2013-11-28,80.0
2013-11-29,86.3
2013-12-02,86.95
2013-12-03,86.05
2013-12-04,86.3
2013-12-05,87.3
2013-12-06,87.75
2013-12-09,88.75
2013-12-10,84.5
2013-12-11,83.85
2013-12-12,81.15
2013-12-13,80.65
2013-12-16,81.05
2013-12-17,80.8
2013-12-18,84.7
2013-12-19,83.7
2013-12-20,83.95
2013-12-23,88.45
2013-12-24,86.95
2013-12-26,87.45
2013-12-27,87.8
2013-12-30,86.85
2013-12-31,90.55
