Date,BPCL
2013-01-01,356.3
2013-01-02,366.45
2013-01-03,366.25
2013-01-04,374.0
2013-01-07,385.5
2013-01-08,380.75
2013-01-09,385.7
2013-01-10,380.85
2013-01-11,370.75
2013-01-14,373.15
2013-01-15,385.2
2013-01-16,382.2
2013-01-17,396.15
2013-01-18,434.95
2013-01-21,440.9
2013-01-22,433.8
2013-01-23,424.55
2013-01-24,415.9
2013-01-25,419.95
2013-01-28,415.75
2013-01-29,409.5
2013-01-30,409.35
2013-01-31,410.45
2013-02-01,422.65
2013-02-04,418.8
2013-02-05,411.75
2013-02-06,418.35
2013-02-07,410.85
2013-02-08,401.4
2013-02-11,402.55
2013-02-12,410.3
2013-02-13,401.45
2013-02-14,387.35
2013-02-15,379.5
2013-02-18,379.3
2013-02-19,381.75
2013-02-20,392.9
2013-02-21,390.25
2013-02-22,389.25
2013-02-25,382.85
2013-02-26,376.05
2013-02-27,380.05
2013-02-28,371.95
2013-03-01,385.5
2013-03-04,387.25
2013-03-05,388.4
2013-03-06,384.25
2013-03-07,390.65
2013-03-08,405.4
2013-03-11,399.85
2013-03-12,396.75
2013-03-13,390.55
2013-03-14,397.25
2013-03-15,400.05
2013-03-18,392.1
2013-03-19,382.25
2013-03-20,380.3
2013-03-21,368.85
2013-03-22,366.05
2013-03-25,372.15
2013-03-26,374.7
2013-03-28,377.7
2013-04-01,377.0
2013-04-02,377.7
2013-04-03,375.0
2013-04-04,369.55
2013-04-05,376.5
2013-04-08,380.45
2013-04-09,372.45
2013-04-10,369.5
2013-04-11,366.3
2013-04-12,374.35
2013-04-15,394.8
2013-04-16,406.55
2013-04-17,401.35
2013-04-18,405.35
2013-04-22,414.7
2013-04-23,413.25
2013-04-25,416.75
2013-04-26,413.05
2013-04-29,414.3
2013-04-30,414.25
2013-05-02,416.85
2013-05-03,403.3
2013-05-06,408.45
2013-05-07,406.7
2013-05-08,409.35
2013-05-09,409.8
2013-05-10,415.05
2013-05-11,418.35
2013-05-13,409.6
2013-05-14,409.75
2013-05-15,415.9
2013-05-16,421.9
2013-05-17,418.25
2013-05-20,409.75
2013-05-21,402.35
2013-05-22,389.65
2013-05-23,379.9
2013-05-24,382.45
2013-05-27,377.45
2013-05-28,380.6
2013-05-29,378.75
2013-05-30,383.7
2013-05-31,376.85
2013-06-03,367.85
2013-06-04,371.35
2013-06-05,373.65
2013-06-06,373.0
2013-06-07,376.2
2013-06-10,366.3
2013-06-11,359.05
2013-06-12,362.7
2013-06-13,357.3
2013-06-14,368.9
2013-06-17,366.9
2013-06-18,364.85
2013-06-19,364.75
2013-06-20,351.35
2013-06-21,348.35
2013-06-24,338.95
2013-06-25,344.95
2013-06-26,348.55
2013-06-27,345.65
2013-06-28,366.95
2013-07-01,374.35
2013-07-02,371.55
2013-07-03,357.4
2013-07-04,366.6
2013-07-05,365.4
2013-07-08,345.7
2013-07-09,345.6
2013-07-10,335.05
2013-07-11,339.35
2013-07-12,343.95
2013-07-15,340.5
2013-07-16,347.0
2013-07-17,342.2
2013-07-18,343.55
2013-07-19,346.65
2013-07-22,346.25
2013-07-23,352.75
2013-07-24,348.05
2013-07-25,350.15
2013-07-26,350.35
2013-07-29,340.4
2013-07-30,311.3
2013-07-31,323.75
2013-08-01,304.55
2013-08-02,289.85
2013-08-05,281.85
2013-08-06,261.45
2013-08-07,273.65
2013-08-08,276.0
2013-08-12,283.85
2013-08-13,286.05
2013-08-14,304.5
2013-08-16,290.2
2013-08-19,288.4
2013-08-20,297.65
2013-08-21,284.45
2013-08-22,295.35
2013-08-23,301.1
2013-08-26,305.3
2013-08-27,290.1
2013-08-28,266.95
2013-08-29,270.1
2013-08-30,273.0
2013-09-02,276.4
2013-09-03,266.95
2013-09-04,270.85
2013-09-05,287.3
2013-09-06,299.65
2013-09-10,298.45
2013-09-11,312.4
2013-09-12,303.8
2013-09-13,305.15
2013-09-16,317.85
2013-09-17,313.7
2013-09-18,315.75
2013-09-19,336.4
2013-09-20,337.95
2013-09-23,323.4
2013-09-24,315.35
2013-09-25,305.5
2013-09-26,309.2
2013-09-27,328.6
2013-09-30,331.25
2013-10-01,326.35
2013-10-03,335.3
2013-10-04,341.45
2013-10-07,352.85
2013-10-08,341.7
2013-10-09,340.25
2013-10-10,343.05
2013-10-11,338.95
2013-10-14,342.65
2013-10-15,343.1
2013-10-17,348.05
2013-10-18,362.2
2013-10-21,362.8
2013-10-22,361.0
2013-10-23,356.1
2013-10-24,356.95
2013-10-25,348.8
2013-10-28,346.8
2013-10-29,351.25
2013-10-30,361.65
2013-10-31,359.55
2013-11-01,355.8
2013-11-03,364.5
2013-11-05,372.9
2013-11-06,369.85
2013-11-07,357.55
2013-11-08,351.9
2013-11-11,339.1
2013-11-12,339.75
2013-11-13,333.2
2013-11-14,344.15
2013-11-18,352.5
2013-11-19,345.5
2013-11-20,335.55
2013-11-21,331.1
2013-11-22,332.85
2013-11-25,347.4
2013-11-26,324.85
2013-11-27,330.2
2013-11-28,333.8
2013-11-29,340.0
2013-12-02,345.4
2013-12-03,350.05
2013-12-04,350.7
2013-12-05,358.35
2013-12-06,364.3
2013-12-09,365.4
2013-12-10,357.7
2013-12-11,350.1
2013-12-12,350.0
2013-12-13,342.05
2013-12-16,339.0
2013-12-17,342.05
2013-12-18,346.15
2013-12-19,338.2
2013-12-20,344.0
2013-12-23,347.1
2013-12-24,348.0
2013-12-26,354.45
2013-12-27,351.65
2013-12-30,348.35
2013-12-31,347.9
