Date,OMAXAUTO
2013-01-01,47.9
2013-01-02,48.55
2013-01-03,48.75
2013-01-04,48.35
2013-01-07,48.1
2013-01-08,47.85
2013-01-09,48.75
2013-01-10,48.5
2013-01-11,48.7
2013-01-14,48.4
2013-01-15,48.8
2013-01-16,48.6
2013-01-17,48.8
2013-01-18,49.0
2013-01-21,48.15
2013-01-22,47.2
2013-01-23,46.35
2013-01-24,45.5
2013-01-25,45.95
2013-01-28,44.9
2013-01-29,44.25
2013-01-30,44.5
2013-01-31,43.7
2013-02-01,43.15
2013-02-04,43.0
2013-02-05,43.2
2013-02-06,44.6
2013-02-07,44.3
2013-02-08,46.4
2013-02-11,45.35
2013-02-12,44.8
2013-02-13,45.6
2013-02-14,45.5
2013-02-15,45.7
2013-02-18,47.0
2013-02-19,45.95
2013-02-20,44.65
2013-02-21,44.0
2013-02-22,43.1
2013-02-25,43.95
2013-02-26,42.9
2013-02-27,43.6
2013-02-28,44.75
2013-03-01,43.55
2013-03-04,42.0
2013-03-05,42.5
2013-03-06,42.7
2013-03-07,42.75
2013-03-08,43.05
2013-03-11,43.0
2013-03-12,42.5
2013-03-13,42.85
2013-03-14,43.05
2013-03-15,42.5
2013-03-18,42.55
2013-03-19,42.3
2013-03-20,42.05
2013-03-21,41.3
2013-03-22,39.2
2013-03-25,37.6
2013-03-26,37.75
2013-03-28,37.45
2013-04-01,40.5
2013-04-02,40.0
2013-04-03,38.7
2013-04-04,38.15
2013-04-05,38.05
2013-04-08,37.55
2013-04-09,37.5
2013-04-10,37.55
2013-04-11,37.4
2013-04-12,36.45
2013-04-15,36.35
2013-04-16,36.65
2013-04-17,36.7
2013-04-18,36.5
2013-04-22,36.75
2013-04-23,37.95
2013-04-25,39.0
2013-04-26,38.4
2013-04-29,34.9
2013-04-30,34.85
2013-05-02,35.9
2013-05-03,35.75
2013-05-06,36.55
2013-05-07,36.45
2013-05-08,36.2
2013-05-09,35.45
2013-05-10,35.5
2013-05-11,35.15
2013-05-13,35.25
2013-05-14,34.95
2013-05-15,35.6
2013-05-16,35.5
2013-05-17,35.85
2013-05-20,35.15
2013-05-21,35.6
2013-05-22,34.75
2013-05-23,34.85
2013-05-24,34.4
2013-05-27,33.7
2013-05-28,34.85
2013-05-29,33.4
2013-05-30,33.0
2013-05-31,31.7
2013-06-03,30.55
2013-06-04,30.6
2013-06-05,31.0
2013-06-06,30.75
2013-06-07,30.2
2013-06-10,30.05
2013-06-11,29.8
2013-06-12,29.25
2013-06-13,30.1
2013-06-14,29.6
2013-06-17,31.25
2013-06-18,31.8
2013-06-19,31.1
2013-06-20,30.5
2013-06-21,31.25
2013-06-24,30.0
2013-06-25,28.65
2013-06-26,28.45
2013-06-27,27.7
2013-06-28,27.9
2013-07-01,29.5
2013-07-02,29.1
2013-07-03,28.05
2013-07-04,27.95
2013-07-05,28.25
2013-07-08,29.5
2013-07-09,30.0
2013-07-10,28.7
2013-07-11,30.5
2013-07-12,31.0
2013-07-15,30.1
2013-07-16,29.25
2013-07-17,28.45
2013-07-18,28.6
2013-07-19,29.9
2013-07-22,29.0
2013-07-23,29.0
2013-07-24,29.5
2013-07-25,27.7
2013-07-26,27.45
2013-07-29,29.25
2013-07-30,28.75
2013-07-31,28.85
2013-08-01,29.05
2013-08-02,29.2
2013-08-05,29.0
2013-08-06,28.95
2013-08-07,28.95
2013-08-08,29.5
2013-08-12,29.0
2013-08-13,28.6
2013-08-14,28.3
2013-08-16,29.55
2013-08-19,32.45
2013-08-20,34.55
2013-08-21,32.15
2013-08-22,30.9
2013-08-23,30.95
2013-08-26,29.9
2013-08-27,29.3
2013-08-28,28.05
2013-08-29,27.6
2013-08-30,27.95
2013-09-02,28.55
2013-09-03,28.25
2013-09-04,28.05
2013-09-05,28.45
2013-09-06,28.85
2013-09-10,29.75
2013-09-11,31.0
2013-09-12,30.8
2013-09-13,31.0
2013-09-16,32.25
2013-09-17,31.45
2013-09-18,31.3
2013-09-19,31.55
2013-09-20,31.7
2013-09-23,31.8
2013-09-24,32.0
2013-09-25,31.85
2013-09-26,31.5
2013-09-27,31.8
2013-09-30,31.95
2013-10-01,31.9
2013-10-03,31.55
2013-10-04,32.8
2013-10-07,33.9
2013-10-08,34.0
2013-10-09,34.45
2013-10-10,33.75
2013-10-11,34.0
2013-10-14,34.0
2013-10-15,33.85
2013-10-17,33.75
2013-10-18,34.2
2013-10-21,34.85
2013-10-22,34.55
2013-10-23,34.75
2013-10-24,33.5
2013-10-25,33.9
2013-10-28,32.6
2013-10-29,33.95
2013-10-30,34.05
2013-10-31,34.85
2013-11-01,34.65
2013-11-03,36.55
2013-11-05,36.3
2013-11-06,36.45
2013-11-07,35.65
2013-11-08,34.95
2013-11-11,32.6
2013-11-12,30.4
2013-11-13,29.7
2013-11-14,29.8
2013-11-18,30.25
2013-11-19,30.75
2013-11-20,30.95
2013-11-21,29.95
2013-11-22,29.85
2013-11-25,30.45
2013-11-26,30.05
2013-11-27,30.4
2013-11-28,30.05
2013-11-29,30.0
2013-12-02,30.0
2013-12-03,30.95
2013-12-04,30.85
2013-12-05,31.0
2013-12-06,30.85
2013-12-09,30.65
2013-12-10,29.15
2013-12-11,29.3
2013-12-12,29.75
2013-12-13,29.7
2013-12-16,29.75
2013-12-17,29.8
2013-12-18,29.25
2013-12-19,29.45
2013-12-20,30.8
2013-12-23,30.5
2013-12-24,32.3
2013-12-26,34.0
2013-12-27,34.55
2013-12-30,33.8
2013-12-31,33.15
