Date,KERNEX
2013-01-01,77.9
2013-01-02,77.6
2013-01-03,78.1
2013-01-04,78.0
2013-01-07,79.35
2013-01-08,78.9
2013-01-09,81.95
2013-01-10,76.25
2013-01-11,70.05
2013-01-14,67.95
2013-01-15,70.6
2013-01-16,69.15
2013-01-17,69.85
2013-01-18,68.15
2013-01-21,68.65
2013-01-22,67.5
2013-01-23,65.5
2013-01-24,58.5
2013-01-25,60.7
2013-01-28,64.55
2013-01-29,64.95
2013-01-30,65.1
2013-01-31,65.5
2013-02-01,65.5
2013-02-04,67.8
2013-02-05,66.2
2013-02-06,66.35
2013-02-07,63.55
2013-02-08,62.45
2013-02-11,64.5
2013-02-12,63.35
2013-02-13,63.65
2013-02-14,60.55
2013-02-15,60.2
2013-02-18,62.5
2013-02-19,62.45
2013-02-20,63.5
2013-02-21,62.85
2013-02-22,57.6
2013-02-25,52.3
2013-02-26,44.0
2013-02-27,40.15
2013-02-28,37.5
2013-03-01,35.9
2013-03-04,33.65
2013-03-05,34.15
2013-03-06,35.8
2013-03-07,35.35
2013-03-08,34.9
2013-03-11,37.25
2013-03-12,36.3
2013-03-13,35.55
2013-03-14,35.6
2013-03-15,34.8
2013-03-18,34.2
2013-03-19,33.5
2013-03-20,32.2
2013-03-21,30.95
2013-03-22,30.15
2013-03-25,29.05
2013-03-26,29.1
2013-03-28,30.4
2013-04-01,32.05
2013-04-02,33.75
2013-04-03,33.8
2013-04-04,33.45
2013-04-05,34.0
2013-04-08,33.8
2013-04-09,33.55
2013-04-10,34.15
2013-04-11,33.45
2013-04-12,33.35
2013-04-15,33.35
2013-04-16,34.0
2013-04-17,34.1
2013-04-18,34.15
2013-04-22,35.9
2013-04-23,36.25
2013-04-25,36.3
2013-04-26,36.1
2013-04-29,36.65
2013-04-30,36.8
2013-05-02,37.1
2013-05-03,36.5
2013-05-06,36.2
2013-05-07,36.85
2013-05-08,36.1
2013-05-09,35.6
2013-05-10,35.8
2013-05-11,35.75
2013-05-13,35.4
2013-05-14,35.35
2013-05-15,35.75
2013-05-16,36.2
2013-05-17,36.25
2013-05-20,35.85
2013-05-21,37.35
2013-05-22,36.7
2013-05-23,35.35
2013-05-24,35.9
2013-05-27,35.95
2013-05-28,35.25
2013-05-29,35.2
2013-05-30,35.3
2013-05-31,34.25
2013-06-03,35.3
2013-06-04,35.45
2013-06-05,35.45
2013-06-06,35.6
2013-06-07,36.2
2013-06-10,35.55
2013-06-11,35.4
2013-06-12,35.2
2013-06-13,35.15
2013-06-14,35.25
2013-06-17,35.45
2013-06-18,36.1
2013-06-19,36.75
2013-06-20,36.05
2013-06-21,35.8
2013-06-24,34.25
2013-06-25,33.25
2013-06-26,32.65
2013-06-27,33.3
2013-06-28,33.2
2013-07-01,34.95
2013-07-02,34.25
2013-07-03,33.65
2013-07-04,34.15
2013-07-05,34.1
2013-07-08,34.8
2013-07-09,34.6
2013-07-10,34.05
2013-07-11,35.8
2013-07-12,35.95
2013-07-15,36.4
2013-07-16,35.5
2013-07-17,35.45
2013-07-18,35.45
2013-07-19,35.4
2013-07-22,37.1
2013-07-23,37.4
2013-07-24,36.3
2013-07-25,35.7
2013-07-26,35.15
2013-07-29,34.75
2013-07-30,33.7
2013-07-31,32.25
2013-08-01,31.65
2013-08-02,35.8
2013-08-05,34.25
2013-08-06,32.1
2013-08-07,31.7
2013-08-08,32.8
2013-08-12,34.2
2013-08-13,33.95
2013-08-14,33.8
2013-08-16,33.05
2013-08-19,32.5
2013-08-20,32.7
2013-08-21,32.3
2013-08-22,32.3
2013-08-23,32.4
2013-08-26,33.45
2013-08-27,33.0
2013-08-28,32.3
2013-08-29,33.8
2013-08-30,34.15
2013-09-02,35.35
2013-09-03,33.6
2013-09-04,34.0
2013-09-05,34.4
2013-09-06,33.7
2013-09-10,33.95
2013-09-11,34.1
2013-09-12,34.8
2013-09-13,34.85
2013-09-16,34.4
2013-09-17,34.75
2013-09-18,34.45
2013-09-19,35.55
2013-09-20,34.5
2013-09-23,34.75
2013-09-24,34.55
2013-09-25,34.35
2013-09-26,34.35
2013-09-27,34.0
2013-09-30,33.95
2013-10-01,34.5
2013-10-03,36.15
2013-10-04,35.95
2013-10-07,36.15
2013-10-08,35.6
2013-10-09,35.55
2013-10-10,35.65
2013-10-11,35.4
2013-10-14,36.7
2013-10-15,37.2
2013-10-17,38.85
2013-10-18,38.3
2013-10-21,38.1
2013-10-22,37.6
2013-10-23,37.25
2013-10-24,37.0
2013-10-25,37.0
2013-10-28,37.05
2013-10-29,37.6
2013-10-30,37.35
2013-10-31,36.8
2013-11-01,38.35
2013-11-03,41.45
2013-11-05,45.25
2013-11-06,47.05
2013-11-07,45.45
2013-11-08,44.95
2013-11-11,44.1
2013-11-12,43.05
2013-11-13,40.95
2013-11-14,41.1
2013-11-18,42.15
2013-11-19,47.05
2013-11-20,44.95
2013-11-21,44.05
2013-11-22,43.9
2013-11-25,44.6
2013-11-26,43.3
2013-11-27,43.15
2013-11-28,43.85
2013-11-29,45.5
2013-12-02,44.5
2013-12-03,44.75
2013-12-04,43.95
2013-12-05,44.35
2013-12-06,43.35
2013-12-09,43.5
2013-12-10,43.2
2013-12-11,43.2
2013-12-12,42.9
2013-12-13,41.45
2013-12-16,44.95
2013-12-17,43.2
2013-12-18,44.45
2013-12-19,43.3
2013-12-20,43.6
2013-12-23,44.35
2013-12-24,44.95
2013-12-26,45.2
2013-12-27,44.4
2013-12-30,52.9
2013-12-31,48.2
