Date,OPTOCIRCUI
2013-01-01,108.05
2013-01-02,110.15
2013-01-03,112.05
2013-01-04,112.1
2013-01-07,111.6
2013-01-08,111.15
2013-01-09,107.05
2013-01-10,108.95
2013-01-11,108.05
2013-01-14,108.2
2013-01-15,110.25
2013-01-16,107.15
2013-01-17,106.6
2013-01-18,104.9
2013-01-21,96.0
2013-01-22,91.85
2013-01-23,90.2
2013-01-24,85.1
2013-01-25,87.25
2013-01-28,83.9
2013-01-29,80.0
2013-01-30,78.8
2013-01-31,79.4
2013-02-01,79.7
2013-02-04,73.8
2013-02-05,68.65
2013-02-06,71.55
2013-02-07,68.85
2013-02-08,67.55
2013-02-11,68.45
2013-02-12,67.15
2013-02-13,68.75
2013-02-14,61.65
2013-02-15,59.85
2013-02-18,60.8
2013-02-19,60.25
2013-02-20,61.4
2013-02-21,58.9
2013-02-22,59.55
2013-02-25,53.4
2013-02-26,50.8
2013-02-27,47.85
2013-02-28,50.05
2013-03-01,52.7
2013-03-04,51.35
2013-03-05,52.15
2013-03-06,52.45
2013-03-07,54.6
2013-03-08,55.35
2013-03-11,59.25
2013-03-12,60.0
2013-03-13,57.8
2013-03-14,59.85
2013-03-15,59.4
2013-03-18,59.25
2013-03-19,58.6
2013-03-20,51.5
2013-03-21,48.4
2013-03-22,49.5
2013-03-25,52.7
2013-03-26,53.4
2013-03-28,59.95
2013-04-01,60.95
2013-04-02,63.15
2013-04-03,62.25
2013-04-04,58.85
2013-04-05,58.0
2013-04-08,58.85
2013-04-09,60.2
2013-04-10,62.1
2013-04-11,61.4
2013-04-12,60.6
2013-04-15,62.05
2013-04-16,62.5
2013-04-17,62.25
2013-04-18,61.8
2013-04-22,61.15
2013-04-23,61.1
2013-04-25,62.4
2013-04-26,60.5
2013-04-29,60.85
2013-04-30,58.45
2013-05-02,60.55
2013-05-03,58.8
2013-05-06,59.45
2013-05-07,59.3
2013-05-08,56.75
2013-05-09,55.45
2013-05-10,53.95
2013-05-11,53.8
2013-05-13,51.95
2013-05-14,50.4
2013-05-15,51.45
2013-05-16,52.0
2013-05-17,52.75
2013-05-20,51.4
2013-05-21,50.55
2013-05-22,48.25
2013-05-23,46.2
2013-05-24,45.25
2013-05-27,48.7
2013-05-28,50.6
2013-05-29,48.75
2013-05-30,50.8
2013-05-31,31.65
2013-06-03,31.65
2013-06-04,32.5
2013-06-05,32.9
2013-06-06,30.1
2013-06-07,28.45
2013-06-10,21.7
2013-06-11,24.65
2013-06-12,23.75
2013-06-13,22.65
2013-06-14,22.25
2013-06-17,21.6
2013-06-18,22.1
2013-06-19,22.1
2013-06-20,21.3
2013-06-21,20.75
2013-06-24,18.9
2013-06-25,18.75
2013-06-26,18.5
2013-06-27,19.3
2013-06-28,20.2
2013-07-01,22.15
2013-07-02,22.85
2013-07-03,21.05
2013-07-04,20.9
2013-07-05,21.7
2013-07-08,20.95
2013-07-09,22.0
2013-07-10,22.8
2013-07-11,23.0
2013-07-12,22.8
2013-07-15,30.65
2013-07-16,28.4
2013-07-17,25.65
2013-07-18,26.55
2013-07-19,27.95
2013-07-22,28.8
2013-07-23,28.75
2013-07-24,27.5
2013-07-25,27.2
2013-07-26,26.1
2013-07-29,24.55
2013-07-30,23.75
2013-07-31,23.9
2013-08-01,22.05
2013-08-02,20.65
2013-08-05,19.85
2013-08-06,18.75
2013-08-07,22.95
2013-08-08,23.5
2013-08-12,24.05
2013-08-13,25.85
2013-08-14,26.75
2013-08-16,24.7
2013-08-19,24.65
2013-08-20,26.15
2013-08-21,23.9
2013-08-22,24.8
2013-08-23,24.85
2013-08-26,25.7
2013-08-27,23.95
2013-08-28,24.05
2013-08-29,24.15
2013-08-30,24.1
2013-09-02,25.45
2013-09-03,23.65
2013-09-04,23.7
2013-09-05,24.9
2013-09-06,24.5
2013-09-10,24.9
2013-09-11,26.5
2013-09-12,25.7
2013-09-13,25.9
2013-09-16,23.4
2013-09-17,23.85
2013-09-18,23.7
2013-09-19,24.1
2013-09-20,22.3
2013-09-23,22.15
2013-09-24,22.15
2013-09-25,21.8
2013-09-26,21.5
2013-09-27,21.55
2013-09-30,20.55
2013-10-01,21.2
2013-10-03,21.75
2013-10-04,21.55
2013-10-07,21.35
2013-10-08,21.75
2013-10-09,22.35
2013-10-10,22.3
2013-10-11,22.15
2013-10-14,22.1
2013-10-15,21.85
2013-10-17,21.6
2013-10-18,22.05
2013-10-21,23.65
2013-10-22,23.65
2013-10-23,23.95
2013-10-24,22.9
2013-10-25,22.65
2013-10-28,22.3
2013-10-29,22.7
2013-10-30,22.7
2013-10-31,23.05
2013-11-01,23.35
2013-11-03,23.35
2013-11-05,23.5
2013-11-06,23.95
2013-11-07,23.05
2013-11-08,23.3
2013-11-11,23.15
2013-11-12,22.95
2013-11-13,22.05
2013-11-14,22.4
2013-11-18,22.2
2013-11-19,22.25
2013-11-20,22.65
2013-11-21,22.15
2013-11-22,22.05
2013-11-25,22.15
2013-11-26,21.95
2013-11-27,21.5
2013-11-28,21.5
2013-11-29,21.55
2013-12-02,21.9
2013-12-03,23.25
2013-12-04,22.6
2013-12-05,22.6
2013-12-06,22.65
2013-12-09,22.55
2013-12-10,22.3
2013-12-11,22.35
2013-12-12,22.35
2013-12-13,22.15
2013-12-16,22.1
2013-12-17,22.0
2013-12-18,22.6
2013-12-19,22.3
2013-12-20,21.95
2013-12-23,22.25
2013-12-24,22.65
2013-12-26,27.15
2013-12-27,27.2
2013-12-30,26.35
2013-12-31,28.15
