Date,MTNL
2013-01-01,26.65
2013-01-02,26.9
2013-01-03,27.95
2013-01-04,27.9
2013-01-07,27.8
2013-01-08,27.75
2013-01-09,27.3
2013-01-10,26.75
2013-01-11,26.35
2013-01-14,26.95
2013-01-15,27.3
2013-01-16,26.5
2013-01-17,26.4
2013-01-18,26.9
2013-01-21,26.5
2013-01-22,26.2
2013-01-23,25.75
2013-01-24,24.95
2013-01-25,25.25
2013-01-28,25.3
2013-01-29,24.95
2013-01-30,24.35
2013-01-31,24.65
2013-02-01,24.5
2013-02-04,24.0
2013-02-05,24.25
2013-02-06,24.05
2013-02-07,23.75
2013-02-08,23.45
2013-02-11,23.55
2013-02-12,23.3
2013-02-13,23.15
2013-02-14,22.65
2013-02-15,22.1
2013-02-18,22.65
2013-02-19,22.9
2013-02-20,23.15
2013-02-21,23.2
2013-02-22,23.45
2013-02-25,24.6
2013-02-26,23.05
2013-02-27,23.15
2013-02-28,21.65
2013-03-01,21.2
2013-03-04,19.8
2013-03-05,20.05
2013-03-06,20.6
2013-03-07,20.45
2013-03-08,20.7
2013-03-11,20.7
2013-03-12,20.55
2013-03-13,19.9
2013-03-14,19.75
2013-03-15,20.35
2013-03-18,20.2
2013-03-19,20.15
2013-03-20,18.9
2013-03-21,18.05
2013-03-22,18.15
2013-03-25,18.0
2013-03-26,18.05
2013-03-28,18.4
2013-04-01,19.5
2013-04-02,21.05
2013-04-03,20.8
2013-04-04,20.85
2013-04-05,21.35
2013-04-08,21.95
2013-04-09,20.65
2013-04-10,20.95
2013-04-11,20.75
2013-04-12,20.6
2013-04-15,20.35
2013-04-16,20.35
2013-04-17,20.3
2013-04-18,19.9
2013-04-22,20.4
2013-04-23,20.45
2013-04-25,20.55
2013-04-26,20.35
2013-04-29,20.2
2013-04-30,20.1
2013-05-02,20.15
2013-05-03,20.25
2013-05-06,22.75
2013-05-07,23.15
2013-05-08,23.45
2013-05-09,23.45
2013-05-10,24.05
2013-05-11,23.35
2013-05-13,23.4
2013-05-14,22.65
2013-05-15,22.35
2013-05-16,22.3
2013-05-17,21.6
2013-05-20,22.85
2013-05-21,22.1
2013-05-22,21.8
2013-05-23,20.95
2013-05-24,20.8
2013-05-27,21.15
2013-05-28,21.2
2013-05-29,20.25
2013-05-30,19.7
2013-05-31,18.2
2013-06-03,18.05
2013-06-04,18.15
2013-06-05,18.8
2013-06-06,18.95
2013-06-07,18.8
2013-06-10,19.5
2013-06-11,19.1
2013-06-12,19.0
2013-06-13,18.15
2013-06-14,18.2
2013-06-17,18.05
2013-06-18,18.35
2013-06-19,19.0
2013-06-20,18.15
2013-06-21,17.85
2013-06-24,17.7
2013-06-25,17.1
2013-06-26,16.8
2013-06-27,16.9
2013-06-28,17.35
2013-07-01,18.25
2013-07-02,18.1
2013-07-03,17.5
2013-07-04,17.3
2013-07-05,17.65
2013-07-08,17.55
2013-07-09,17.8
2013-07-10,17.5
2013-07-11,17.55
2013-07-12,17.25
2013-07-15,17.05
2013-07-16,16.75
2013-07-17,17.15
2013-07-18,16.8
2013-07-19,16.6
2013-07-22,16.55
2013-07-23,16.05
2013-07-24,15.55
2013-07-25,14.85
2013-07-26,14.4
2013-07-29,14.35
2013-07-30,14.1
2013-07-31,13.95
2013-08-01,13.7
2013-08-02,13.55
2013-08-05,12.9
2013-08-06,12.85
2013-08-07,13.25
2013-08-08,13.4
2013-08-12,13.3
2013-08-13,12.7
2013-08-14,12.15
2013-08-16,10.75
2013-08-19,10.05
2013-08-20,11.15
2013-08-21,10.8
2013-08-22,10.95
2013-08-23,10.9
2013-08-26,10.7
2013-08-27,10.25
2013-08-28,10.15
2013-08-29,9.95
2013-08-30,9.9
2013-09-02,10.15
2013-09-03,10.05
2013-09-04,10.05
2013-09-05,10.9
2013-09-06,10.75
2013-09-10,11.95
2013-09-11,12.85
2013-09-12,15.4
2013-09-13,15.8
2013-09-16,15.05
2013-09-17,14.4
2013-09-18,14.55
2013-09-19,14.55
2013-09-20,13.5
2013-09-23,13.9
2013-09-24,15.25
2013-09-25,16.7
2013-09-26,16.15
2013-09-27,15.75
2013-09-30,14.85
2013-10-01,15.45
2013-10-03,15.3
2013-10-04,15.1
2013-10-07,15.1
2013-10-08,15.05
2013-10-09,15.05
2013-10-10,15.2
2013-10-11,15.05
2013-10-14,14.9
2013-10-15,14.6
2013-10-17,14.55
2013-10-18,14.4
2013-10-21,14.55
2013-10-22,15.15
2013-10-23,15.0
2013-10-24,14.75
2013-10-25,14.6
2013-10-28,14.35
2013-10-29,14.5
2013-10-30,14.2
2013-10-31,14.5
2013-11-01,14.95
2013-11-03,15.5
2013-11-05,15.5
2013-11-06,15.85
2013-11-07,15.25
2013-11-08,14.95
2013-11-11,15.2
2013-11-12,14.85
2013-11-13,15.0
2013-11-14,15.0
2013-11-18,15.0
2013-11-19,14.95
2013-11-20,14.75
2013-11-21,14.4
2013-11-22,14.25
2013-11-25,14.3
2013-11-26,14.1
2013-11-27,14.85
2013-11-28,14.8
2013-11-29,14.7
2013-12-02,14.75
2013-12-03,14.7
2013-12-04,14.85
2013-12-05,14.8
2013-12-06,14.75
2013-12-09,14.5
2013-12-10,14.5
2013-12-11,14.35
2013-12-12,14.35
2013-12-13,14.1
2013-12-16,14.0
2013-12-17,13.85
2013-12-18,13.9
2013-12-19,13.75
2013-12-20,13.1
2013-12-23,14.5
2013-12-24,14.9
2013-12-26,15.3
2013-12-27,15.0
2013-12-30,14.85
2013-12-31,14.6
