Date,NDTV
2013-01-01,71.85
2013-01-02,72.75
2013-01-03,74.15
2013-01-04,73.95
2013-01-07,73.35
2013-01-08,73.05
2013-01-09,73.75
2013-01-10,72.5
2013-01-11,72.3
2013-01-14,72.6
2013-01-15,72.0
2013-01-16,71.45
2013-01-17,72.85
2013-01-18,72.35
2013-01-21,72.15
2013-01-22,69.5
2013-01-23,70.3
2013-01-24,67.1
2013-01-25,65.05
2013-01-28,66.15
2013-01-29,64.6
2013-01-30,65.75
2013-01-31,64.6
2013-02-01,65.6
2013-02-04,64.75
2013-02-05,62.95
2013-02-06,62.7
2013-02-07,63.15
2013-02-08,69.45
2013-02-11,73.85
2013-02-12,72.05
2013-02-13,71.45
2013-02-14,68.2
2013-02-15,68.3
2013-02-18,69.6
2013-02-19,71.3
2013-02-20,70.9
2013-02-21,68.25
2013-02-22,68.85
2013-02-25,67.5
2013-02-26,65.35
2013-02-27,65.1
2013-02-28,61.95
2013-03-01,62.2
2013-03-04,58.95
2013-03-05,59.85
2013-03-06,65.8
2013-03-07,62.15
2013-03-08,60.55
2013-03-11,61.95
2013-03-12,62.35
2013-03-13,60.55
2013-03-14,61.25
2013-03-15,61.9
2013-03-18,60.05
2013-03-19,58.6
2013-03-20,54.55
2013-03-21,55.5
2013-03-22,56.25
2013-03-25,53.9
2013-03-26,53.1
2013-03-28,56.7
2013-04-01,58.8
2013-04-02,61.65
2013-04-03,59.7
2013-04-04,58.65
2013-04-05,59.15
2013-04-08,60.05
2013-04-09,59.0
2013-04-10,59.75
2013-04-11,59.65
2013-04-12,59.9
2013-04-15,61.25
2013-04-16,62.3
2013-04-17,66.0
2013-04-18,65.5
2013-04-22,68.2
2013-04-23,67.05
2013-04-25,72.55
2013-04-26,74.25
2013-04-29,72.5
2013-04-30,74.05
2013-05-02,72.45
2013-05-03,71.55
2013-05-06,70.65
2013-05-07,72.65
2013-05-08,72.65
2013-05-09,75.4
2013-05-10,89.85
2013-05-11,97.8
2013-05-13,91.75
2013-05-14,92.15
2013-05-15,92.65
2013-05-16,89.55
2013-05-17,89.85
2013-05-20,91.3
2013-05-21,88.3
2013-05-22,85.35
2013-05-23,85.1
2013-05-24,88.8
2013-05-27,87.55
2013-05-28,87.6
2013-05-29,86.7
2013-05-30,84.8
2013-05-31,83.35
2013-06-03,91.25
2013-06-04,91.95
2013-06-05,90.5
2013-06-06,92.95
2013-06-07,87.5
2013-06-10,90.1
2013-06-11,86.65
2013-06-12,86.9
2013-06-13,85.9
2013-06-14,84.8
2013-06-17,85.05
2013-06-18,89.5
2013-06-19,91.4
2013-06-20,90.95
2013-06-21,90.95
2013-06-24,89.15
2013-06-25,90.0
2013-06-26,87.6
2013-06-27,86.85
2013-06-28,87.55
2013-07-01,94.25
2013-07-02,91.85
2013-07-03,90.7
2013-07-04,91.6
2013-07-05,89.7
2013-07-08,89.1
2013-07-09,91.75
2013-07-10,90.05
2013-07-11,90.6
2013-07-12,88.6
2013-07-15,90.2
2013-07-16,89.75
2013-07-17,89.9
2013-07-18,88.95
2013-07-19,88.7
2013-07-22,88.95
2013-07-23,91.65
2013-07-24,91.7
2013-07-25,89.6
2013-07-26,88.95
2013-07-29,88.65
2013-07-30,86.8
2013-07-31,84.35
2013-08-01,81.05
2013-08-02,78.15
2013-08-05,92.5
2013-08-06,74.0
2013-08-07,80.75
2013-08-08,75.0
2013-08-12,78.15
2013-08-13,82.45
2013-08-14,83.3
2013-08-16,83.4
2013-08-19,83.8
2013-08-20,84.0
2013-08-21,83.15
2013-08-22,87.15
2013-08-23,83.45
2013-08-26,83.45
2013-08-27,83.1
2013-08-28,82.05
2013-08-29,83.4
2013-08-30,83.5
2013-09-02,83.25
2013-09-03,82.9
2013-09-04,83.25
2013-09-05,83.5
2013-09-06,83.8
2013-09-10,84.15
2013-09-11,84.3
2013-09-12,84.8
2013-09-13,84.75
2013-09-16,83.6
2013-09-17,85.15
2013-09-18,84.7
2013-09-19,85.35
2013-09-20,84.7
2013-09-23,83.55
2013-09-24,83.55
2013-09-25,83.5
2013-09-26,83.5
2013-09-27,83.65
2013-09-30,80.35
2013-10-01,85.45
2013-10-03,85.0
2013-10-04,83.65
2013-10-07,83.55
2013-10-08,83.9
2013-10-09,84.2
2013-10-10,85.65
2013-10-11,84.9
2013-10-14,86.5
2013-10-15,84.65
2013-10-17,83.45
2013-10-18,84.45
2013-10-21,84.3
2013-10-22,85.85
2013-10-23,84.6
2013-10-24,83.75
2013-10-25,82.55
2013-10-28,80.0
2013-10-29,80.15
2013-10-30,82.4
2013-10-31,83.1
2013-11-01,84.0
2013-11-03,91.85
2013-11-05,94.35
2013-11-06,91.8
2013-11-07,88.35
2013-11-08,85.75
2013-11-11,80.4
2013-11-12,80.3
2013-11-13,79.85
2013-11-14,83.35
2013-11-18,82.0
2013-11-19,83.65
2013-11-20,83.0
2013-11-21,81.3
2013-11-22,81.0
2013-11-25,82.6
2013-11-26,82.25
2013-11-27,81.55
2013-11-28,82.1
2013-11-29,82.35
2013-12-02,82.75
2013-12-03,82.0
2013-12-04,81.5
2013-12-05,78.1
2013-12-06,78.5
2013-12-09,79.35
2013-12-10,77.9
2013-12-11,77.95
2013-12-12,76.9
2013-12-13,75.5
2013-12-16,74.4
2013-12-17,73.7
2013-12-18,73.8
2013-12-19,72.15
2013-12-20,77.45
2013-12-23,76.85
2013-12-24,76.6
2013-12-26,74.9
2013-12-27,74.35
2013-12-30,74.3
2013-12-31,80.15
