Date,DALMIASUG
2013-01-01,18.6
2013-01-02,19.05
2013-01-03,19.1
2013-01-04,19.2
2013-01-07,19.3
2013-01-08,19.25
2013-01-09,19.25
2013-01-10,19.35
2013-01-11,19.35
2013-01-14,19.35
2013-01-15,19.35
2013-01-16,19.35
2013-01-17,19.35
2013-01-18,19.35
2013-01-21,19.3
2013-01-22,19.3
2013-01-23,19.3
2013-01-24,18.6
2013-01-25,17.6
2013-01-28,17.85
2013-01-29,17.4
2013-01-30,16.85
2013-01-31,17.55
2013-02-01,17.6
2013-02-04,17.55
2013-02-05,17.65
2013-02-06,17.5
2013-02-07,17.45
2013-02-08,17.45
2013-02-11,17.3
2013-02-12,17.95
2013-02-13,17.75
2013-02-14,17.35
2013-02-15,17.5
2013-02-18,17.8
2013-02-19,17.7
2013-02-20,17.65
2013-02-21,17.5
2013-02-22,17.4
2013-02-25,17.3
2013-02-26,17.25
2013-02-27,17.35
2013-02-28,16.8
2013-03-01,16.65
2013-03-04,15.75
2013-03-05,16.45
2013-03-06,17.0
2013-03-07,16.35
2013-03-08,16.4
2013-03-11,16.0
2013-03-12,16.55
2013-03-13,16.35
2013-03-14,16.0
2013-03-15,16.4
2013-03-18,16.25
2013-03-19,15.9
2013-03-20,15.1
2013-03-21,15.9
2013-03-22,14.6
2013-03-25,14.45
2013-03-26,14.05
2013-03-28,14.05
2013-04-01,14.95
2013-04-02,14.65
2013-04-03,15.65
2013-04-04,15.55
2013-04-05,16.15
2013-04-08,16.1
2013-04-09,15.0
2013-04-10,15.45
2013-04-11,15.05
2013-04-12,15.45
2013-04-15,15.55
2013-04-16,15.0
2013-04-17,15.05
2013-04-18,15.1
2013-04-22,14.7
2013-04-23,14.75
2013-04-25,14.05
2013-04-26,13.9
2013-04-29,14.8
2013-04-30,14.3
2013-05-02,14.7
2013-05-03,14.15
2013-05-06,14.1
2013-05-07,14.2
2013-05-08,14.0
2013-05-09,14.6
2013-05-10,14.05
2013-05-11,14.65
2013-05-13,14.2
2013-05-14,14.35
2013-05-15,14.45
2013-05-16,14.15
2013-05-17,14.2
2013-05-20,14.4
2013-05-21,14.2
2013-05-22,14.25
2013-05-23,14.05
2013-05-24,14.3
2013-05-27,14.2
2013-05-28,14.35
2013-05-29,14.4
2013-05-30,14.2
2013-05-31,14.4
2013-06-03,14.5
2013-06-04,14.5
2013-06-05,14.95
2013-06-06,14.8
2013-06-07,14.6
2013-06-10,14.5
2013-06-11,14.15
2013-06-12,14.75
2013-06-13,14.1
2013-06-14,13.95
2013-06-17,13.7
2013-06-18,14.15
2013-06-19,14.05
2013-06-20,13.5
2013-06-21,14.0
2013-06-24,14.1
2013-06-25,14.5
2013-06-26,13.9
2013-06-27,14.0
2013-06-28,14.3
2013-07-01,14.45
2013-07-02,14.55
2013-07-03,14.5
2013-07-04,14.15
2013-07-05,14.35
2013-07-08,14.65
2013-07-09,14.25
2013-07-10,14.55
2013-07-11,14.3
2013-07-12,14.25
2013-07-15,14.2
2013-07-16,14.1
2013-07-17,14.0
2013-07-18,14.0
2013-07-19,13.9
2013-07-22,14.0
2013-07-23,14.05
2013-07-24,14.65
2013-07-25,14.35
2013-07-26,14.25
2013-07-29,13.95
2013-07-30,13.7
2013-07-31,13.85
2013-08-01,13.95
2013-08-02,13.65
2013-08-05,13.5
2013-08-06,13.35
2013-08-07,13.2
2013-08-08,13.5
2013-08-12,14.8
2013-08-13,14.6
2013-08-14,15.05
2013-08-16,14.3
2013-08-19,14.0
2013-08-20,14.2
2013-08-21,14.0
2013-08-22,14.0
2013-08-23,13.75
2013-08-26,13.75
2013-08-27,13.6
2013-08-28,13.35
2013-08-29,13.45
2013-08-30,13.35
2013-09-02,14.55
2013-09-03,14.3
2013-09-04,14.5
2013-09-05,14.6
2013-09-06,14.55
2013-09-10,14.6
2013-09-11,14.45
2013-09-12,14.5
2013-09-13,14.45
2013-09-16,14.25
2013-09-17,15.4
2013-09-18,15.3
2013-09-19,15.5
2013-09-20,15.5
2013-09-23,15.5
2013-09-24,15.3
2013-09-25,15.5
2013-09-26,15.5
2013-09-27,15.45
2013-09-30,15.5
2013-10-01,15.75
2013-10-03,16.25
2013-10-04,15.95
2013-10-07,16.2
2013-10-08,16.4
2013-10-09,16.65
2013-10-10,16.55
2013-10-11,16.3
2013-10-14,16.4
2013-10-15,16.5
2013-10-17,16.5
2013-10-18,16.65
2013-10-21,16.5
2013-10-22,17.4
2013-10-23,17.0
2013-10-24,17.3
2013-10-25,16.85
2013-10-28,16.8
2013-10-29,16.5
2013-10-30,16.3
2013-10-31,16.2
2013-11-01,15.8
2013-11-03,16.25
2013-11-05,16.35
2013-11-06,16.3
2013-11-07,16.0
2013-11-08,15.7
2013-11-11,15.85
2013-11-12,15.55
2013-11-13,15.0
2013-11-14,15.7
2013-11-18,14.85
2013-11-19,14.9
2013-11-20,15.35
2013-11-21,15.25
2013-11-22,15.25
2013-11-25,15.7
2013-11-26,15.5
2013-11-27,15.5
2013-11-28,15.55
2013-11-29,15.95
2013-12-02,15.75
2013-12-03,15.65
2013-12-04,15.8
2013-12-05,15.95
2013-12-06,16.25
2013-12-09,15.85
2013-12-10,15.75
2013-12-11,15.55
2013-12-12,15.4
2013-12-13,15.75
2013-12-16,15.75
2013-12-17,15.85
2013-12-18,15.95
2013-12-19,15.75
2013-12-20,15.6
2013-12-23,16.0
2013-12-24,15.95
2013-12-26,15.8
2013-12-27,15.75
2013-12-30,15.55
2013-12-31,15.35
