Date,POWERGRID
2013-01-01,113.85
2013-01-02,113.1
2013-01-03,114.15
2013-01-04,114.95
2013-01-07,114.4
2013-01-08,116.45
2013-01-09,115.55
2013-01-10,113.9
2013-01-11,113.15
2013-01-14,112.05
2013-01-15,111.05
2013-01-16,112.05
2013-01-17,112.65
2013-01-18,114.95
2013-01-21,113.9
2013-01-22,113.5
2013-01-23,112.15
2013-01-24,110.95
2013-01-25,111.0
2013-01-28,111.9
2013-01-29,112.1
2013-01-30,111.5
2013-01-31,110.2
2013-02-01,110.45
2013-02-04,111.2
2013-02-05,109.6
2013-02-06,109.35
2013-02-07,111.6
2013-02-08,111.25
2013-02-11,112.55
2013-02-12,112.85
2013-02-13,109.9
2013-02-14,105.7
2013-02-15,105.65
2013-02-18,108.25
2013-02-19,108.4
2013-02-20,108.15
2013-02-21,106.85
2013-02-22,109.05
2013-02-25,112.05
2013-02-26,110.95
2013-02-27,108.9
2013-02-28,104.3
2013-03-01,107.95
2013-03-04,108.45
2013-03-05,108.6
2013-03-06,107.65
2013-03-07,108.2
2013-03-08,110.0
2013-03-11,110.4
2013-03-12,109.25
2013-03-13,109.8
2013-03-14,109.65
2013-03-15,109.0
2013-03-18,108.75
2013-03-19,107.1
2013-03-20,104.35
2013-03-21,101.6
2013-03-22,102.45
2013-03-25,103.9
2013-03-26,105.0
2013-03-28,105.8
2013-04-01,105.5
2013-04-02,106.5
2013-04-03,106.2
2013-04-04,104.5
2013-04-05,104.65
2013-04-08,104.15
2013-04-09,103.3
2013-04-10,104.6
2013-04-11,103.55
2013-04-12,105.5
2013-04-15,104.05
2013-04-16,106.9
2013-04-17,106.9
2013-04-18,107.0
2013-04-22,109.4
2013-04-23,109.7
2013-04-25,109.85
2013-04-26,110.3
2013-04-29,110.45
2013-04-30,112.2
2013-05-02,114.9
2013-05-03,112.0
2013-05-06,112.1
2013-05-07,112.7
2013-05-08,114.75
2013-05-09,113.5
2013-05-10,112.35
2013-05-11,112.2
2013-05-13,112.2
2013-05-14,114.35
2013-05-15,113.75
2013-05-16,113.9
2013-05-17,116.05
2013-05-20,114.3
2013-05-21,112.7
2013-05-22,112.65
2013-05-23,109.6
2013-05-24,109.0
2013-05-27,112.15
2013-05-28,112.5
2013-05-29,113.5
2013-05-30,114.4
2013-05-31,113.3
2013-06-03,111.4
2013-06-04,113.2
2013-06-05,112.45
2013-06-06,112.05
2013-06-07,110.65
2013-06-10,110.0
2013-06-11,107.85
2013-06-12,108.0
2013-06-13,105.75
2013-06-14,109.1
2013-06-17,108.2
2013-06-18,108.4
2013-06-19,107.5
2013-06-20,105.85
2013-06-21,107.2
2013-06-24,105.9
2013-06-25,103.1
2013-06-26,106.0
2013-06-27,106.55
2013-06-28,111.3
2013-07-01,112.9
2013-07-02,111.35
2013-07-03,108.3
2013-07-04,107.65
2013-07-05,107.6
2013-07-08,105.3
2013-07-09,109.85
2013-07-10,108.15
2013-07-11,110.35
2013-07-12,110.3
2013-07-15,110.05
2013-07-16,110.2
2013-07-17,110.9
2013-07-18,111.0
2013-07-19,111.35
2013-07-22,111.15
2013-07-23,110.15
2013-07-24,110.0
2013-07-25,110.15
2013-07-26,108.35
2013-07-29,108.1
2013-07-30,105.55
2013-07-31,101.1
2013-08-01,102.85
2013-08-02,91.35
2013-08-05,93.3
2013-08-06,93.55
2013-08-07,93.3
2013-08-08,96.0
2013-08-12,95.1
2013-08-13,96.15
2013-08-14,97.1
2013-08-16,98.0
2013-08-19,96.5
2013-08-20,96.45
2013-08-21,97.6
2013-08-22,98.1
2013-08-23,97.8
2013-08-26,97.95
2013-08-27,95.7
2013-08-28,93.85
2013-08-29,97.3
2013-08-30,97.65
2013-09-02,99.0
2013-09-03,95.65
2013-09-04,96.35
2013-09-05,96.2
2013-09-06,98.95
2013-09-10,102.25
2013-09-11,99.0
2013-09-12,99.0
2013-09-13,99.75
2013-09-16,102.55
2013-09-17,101.55
2013-09-18,100.4
2013-09-19,100.4
2013-09-20,101.6
2013-09-23,99.25
2013-09-24,99.15
2013-09-25,100.5
2013-09-26,99.3
2013-09-27,98.95
2013-09-30,98.05
2013-10-01,99.0
2013-10-03,99.9
2013-10-04,97.95
2013-10-07,98.05
2013-10-08,98.25
2013-10-09,99.05
2013-10-10,99.25
2013-10-11,98.95
2013-10-14,99.55
2013-10-15,98.95
2013-10-17,97.6
2013-10-18,99.5
2013-10-21,99.5
2013-10-22,101.95
2013-10-23,100.6
2013-10-24,99.0
2013-10-25,100.2
2013-10-28,98.75
2013-10-29,100.4
2013-10-30,100.15
2013-10-31,101.3
2013-11-01,97.9
2013-11-03,98.4
2013-11-05,95.15
2013-11-06,96.25
2013-11-07,95.05
2013-11-08,96.05
2013-11-11,95.95
2013-11-12,95.35
2013-11-13,96.0
2013-11-14,96.0
2013-11-18,96.35
2013-11-19,95.05
2013-11-20,93.75
2013-11-21,93.4
2013-11-22,93.9
2013-11-25,94.15
2013-11-26,94.25
2013-11-27,92.15
2013-11-28,94.7
2013-11-29,95.1
2013-12-02,93.6
2013-12-03,93.75
2013-12-04,95.6
2013-12-05,96.3
2013-12-06,98.95
2013-12-09,101.3
2013-12-10,98.4
2013-12-11,98.0
2013-12-12,97.95
2013-12-13,97.5
2013-12-16,99.0
2013-12-17,98.7
2013-12-18,100.0
2013-12-19,99.25
2013-12-20,99.4
2013-12-23,99.7
2013-12-24,98.55
2013-12-26,99.0
2013-12-27,99.8
2013-12-30,99.0
2013-12-31,99.9
