Date,HMT
2013-01-01,41.2
2013-01-02,41.55
2013-01-03,41.45
2013-01-04,41.8
2013-01-07,42.25
2013-01-08,42.15
2013-01-09,42.15
2013-01-10,42.4
2013-01-11,41.05
2013-01-14,40.95
2013-01-15,40.95
2013-01-16,40.3
2013-01-17,40.3
2013-01-18,40.05
2013-01-21,42.6
2013-01-22,40.95
2013-01-23,40.65
2013-01-24,39.2
2013-01-25,39.2
2013-01-28,39.25
2013-01-29,38.65
2013-01-30,38.75
2013-01-31,38.85
2013-02-01,38.55
2013-02-04,38.2
2013-02-05,37.45
2013-02-06,38.5
2013-02-07,37.7
2013-02-08,37.15
2013-02-11,39.2
2013-02-12,37.55
2013-02-13,38.85
2013-02-14,37.45
2013-02-15,37.7
2013-02-18,38.3
2013-02-19,39.15
2013-02-20,39.1
2013-02-21,39.55
2013-02-22,39.05
2013-02-25,37.75
2013-02-26,37.05
2013-02-27,36.95
2013-02-28,35.55
2013-03-01,34.35
2013-03-04,32.95
2013-03-05,33.15
2013-03-06,33.7
2013-03-07,33.85
2013-03-08,34.05
2013-03-11,33.8
2013-03-12,34.3
2013-03-13,33.5
2013-03-14,33.7
2013-03-15,33.35
2013-03-18,32.55
2013-03-19,30.95
2013-03-20,28.7
2013-03-21,28.3
2013-03-22,27.7
2013-03-25,27.2
2013-03-26,26.3
2013-03-28,25.35
2013-04-01,27.8
2013-04-02,29.45
2013-04-03,29.25
2013-04-04,29.05
2013-04-05,28.4
2013-04-08,28.15
2013-04-09,27.7
2013-04-10,27.6
2013-04-11,29.15
2013-04-12,28.35
2013-04-15,28.0
2013-04-16,28.5
2013-04-17,33.8
2013-04-18,36.25
2013-04-22,38.4
2013-04-23,36.05
2013-04-25,34.0
2013-04-26,33.9
2013-04-29,34.25
2013-04-30,32.85
2013-05-02,33.65
2013-05-03,33.05
2013-05-06,33.2
2013-05-07,34.4
2013-05-08,34.25
2013-05-09,34.0
2013-05-10,36.3
2013-05-11,36.85
2013-05-13,34.6
2013-05-14,34.8
2013-05-15,34.25
2013-05-16,34.0
2013-05-17,33.75
2013-05-20,33.9
2013-05-21,33.6
2013-05-22,33.1
2013-05-23,31.1
2013-05-24,30.75
2013-05-27,31.05
2013-05-28,31.1
2013-05-29,30.45
2013-05-30,29.8
2013-05-31,29.0
2013-06-03,28.15
2013-06-04,28.75
2013-06-05,30.9
2013-06-06,34.2
2013-06-07,32.5
2013-06-10,31.5
2013-06-11,29.8
2013-06-12,29.6
2013-06-13,28.8
2013-06-14,28.9
2013-06-17,28.8
2013-06-18,29.05
2013-06-19,28.85
2013-06-20,28.35
2013-06-21,27.45
2013-06-24,27.0
2013-06-25,26.75
2013-06-26,26.65
2013-06-27,26.7
2013-06-28,28.35
2013-07-01,30.4
2013-07-02,29.35
2013-07-03,27.75
2013-07-04,28.05
2013-07-05,27.9
2013-07-08,29.05
2013-07-09,28.8
2013-07-10,28.25
2013-07-11,28.25
2013-07-12,27.75
2013-07-15,27.95
2013-07-16,27.45
2013-07-17,27.25
2013-07-18,27.45
2013-07-19,27.7
2013-07-22,27.4
2013-07-23,27.1
2013-07-24,26.6
2013-07-25,26.15
2013-07-26,26.0
2013-07-29,25.25
2013-07-30,25.2
2013-07-31,24.25
2013-08-01,24.2
2013-08-02,21.7
2013-08-05,21.3
2013-08-06,20.8
2013-08-07,21.75
2013-08-08,23.05
2013-08-12,23.7
2013-08-13,23.5
2013-08-14,23.8
2013-08-16,22.2
2013-08-19,21.3
2013-08-20,22.45
2013-08-21,21.6
2013-08-22,21.9
2013-08-23,22.05
2013-08-26,22.35
2013-08-27,21.8
2013-08-28,21.35
2013-08-29,21.5
2013-08-30,21.7
2013-09-02,21.7
2013-09-03,21.4
2013-09-04,21.45
2013-09-05,22.35
2013-09-06,24.1
2013-09-10,23.65
2013-09-11,23.3
2013-09-12,24.15
2013-09-13,24.0
2013-09-16,26.05
2013-09-17,25.3
2013-09-18,25.05
2013-09-19,27.35
2013-09-20,27.5
2013-09-23,26.85
2013-09-24,26.1
2013-09-25,25.4
2013-09-26,25.7
2013-09-27,25.4
2013-09-30,24.7
2013-10-01,24.7
2013-10-03,25.3
2013-10-04,25.15
2013-10-07,25.45
2013-10-08,25.35
2013-10-09,25.4
2013-10-10,27.25
2013-10-11,28.65
2013-10-14,27.6
2013-10-15,27.1
2013-10-17,27.8
2013-10-18,27.45
2013-10-21,27.55
2013-10-22,27.4
2013-10-23,29.4
2013-10-24,27.95
2013-10-25,27.6
2013-10-28,28.55
2013-10-29,27.95
2013-10-30,29.95
2013-10-31,29.8
2013-11-01,30.2
2013-11-03,29.75
2013-11-05,29.75
2013-11-06,30.25
2013-11-07,29.3
2013-11-08,28.4
2013-11-11,27.65
2013-11-12,27.25
2013-11-13,26.9
2013-11-14,29.55
2013-11-18,29.6
2013-11-19,29.7
2013-11-20,29.3
2013-11-21,28.6
2013-11-22,28.3
2013-11-25,28.55
2013-11-26,28.3
2013-11-27,28.5
2013-11-28,28.45
2013-11-29,28.35
2013-12-02,28.9
2013-12-03,28.5
2013-12-04,28.85
2013-12-05,29.1
2013-12-06,29.55
2013-12-09,29.35
2013-12-10,28.75
2013-12-11,28.35
2013-12-12,28.3
2013-12-13,27.6
2013-12-16,27.65
2013-12-17,27.65
2013-12-18,27.55
2013-12-19,27.35
2013-12-20,27.75
2013-12-23,28.05
2013-12-24,28.3
2013-12-26,29.45
2013-12-27,28.9
2013-12-30,29.7
2013-12-31,29.2
