Date,ORCHIDPHAR
2013-01-01,101.9
2013-01-02,102.45
2013-01-03,102.7
2013-01-04,102.9
2013-01-07,102.9
2013-01-08,102.75
2013-01-09,101.55
2013-01-10,100.15
2013-01-11,99.0
2013-01-14,99.85
2013-01-15,99.9
2013-01-16,99.7
2013-01-17,99.45
2013-01-18,98.15
2013-01-21,98.2
2013-01-22,96.6
2013-01-23,94.45
2013-01-24,89.95
2013-01-25,88.7
2013-01-28,89.55
2013-01-29,88.05
2013-01-30,87.55
2013-01-31,87.4
2013-02-01,87.15
2013-02-04,85.7
2013-02-05,83.05
2013-02-06,82.65
2013-02-07,81.8
2013-02-08,78.25
2013-02-11,78.8
2013-02-12,77.6
2013-02-13,77.05
2013-02-14,72.25
2013-02-15,71.4
2013-02-18,73.05
2013-02-19,73.9
2013-02-20,73.7
2013-02-21,70.55
2013-02-22,68.75
2013-02-25,66.45
2013-02-26,65.05
2013-02-27,64.05
2013-02-28,61.2
2013-03-01,58.65
2013-03-04,53.4
2013-03-05,54.85
2013-03-06,58.25
2013-03-07,69.9
2013-03-08,80.25
2013-03-11,86.65
2013-03-12,87.3
2013-03-13,85.7
2013-03-14,85.0
2013-03-15,80.4
2013-03-18,74.45
2013-03-19,73.8
2013-03-20,67.7
2013-03-21,65.1
2013-03-22,63.05
2013-03-25,62.35
2013-03-26,61.85
2013-03-28,62.65
2013-04-01,65.75
2013-04-02,67.4
2013-04-03,66.0
2013-04-04,63.8
2013-04-05,63.6
2013-04-08,63.05
2013-04-09,62.25
2013-04-10,63.0
2013-04-11,63.4
2013-04-12,62.95
2013-04-15,62.8
2013-04-16,63.55
2013-04-17,66.7
2013-04-18,68.0
2013-04-22,69.55
2013-04-23,68.25
2013-04-25,67.5
2013-04-26,65.3
2013-04-29,65.4
2013-04-30,64.4
2013-05-02,64.45
2013-05-03,63.95
2013-05-06,64.4
2013-05-07,67.6
2013-05-08,67.4
2013-05-09,65.95
2013-05-10,67.0
2013-05-11,66.8
2013-05-13,64.35
2013-05-14,64.65
2013-05-15,65.8
2013-05-16,62.4
2013-05-17,63.3
2013-05-20,62.75
2013-05-21,62.2
2013-05-22,61.65
2013-05-23,58.75
2013-05-24,59.05
2013-05-27,59.8
2013-05-28,60.25
2013-05-29,59.2
2013-05-30,58.25
2013-05-31,52.7
2013-06-03,50.4
2013-06-04,53.1
2013-06-05,52.4
2013-06-06,52.65
2013-06-07,52.05
2013-06-10,51.1
2013-06-11,48.7
2013-06-12,48.25
2013-06-13,47.3
2013-06-14,48.05
2013-06-17,52.85
2013-06-18,56.3
2013-06-19,57.0
2013-06-20,53.85
2013-06-21,49.95
2013-06-24,49.95
2013-06-25,49.3
2013-06-26,47.1
2013-06-27,47.4
2013-06-28,48.4
2013-07-01,51.25
2013-07-02,50.1
2013-07-03,47.9
2013-07-04,48.8
2013-07-05,47.9
2013-07-08,47.8
2013-07-09,48.5
2013-07-10,53.15
2013-07-11,52.4
2013-07-12,50.6
2013-07-15,51.1
2013-07-16,50.8
2013-07-17,50.3
2013-07-18,50.2
2013-07-19,50.6
2013-07-22,50.4
2013-07-23,50.0
2013-07-24,47.9
2013-07-25,46.3
2013-07-26,44.9
2013-07-29,42.6
2013-07-30,39.45
2013-07-31,37.35
2013-08-01,37.75
2013-08-02,36.1
2013-08-05,37.85
2013-08-06,35.55
2013-08-07,36.4
2013-08-08,37.9
2013-08-12,45.45
2013-08-13,47.65
2013-08-14,45.65
2013-08-16,42.65
2013-08-19,41.75
2013-08-20,42.0
2013-08-21,40.65
2013-08-22,41.4
2013-08-23,43.2
2013-08-26,43.3
2013-08-27,41.25
2013-08-28,40.05
2013-08-29,40.55
2013-08-30,40.05
2013-09-02,41.4
2013-09-03,39.85
2013-09-04,40.6
2013-09-05,41.95
2013-09-06,42.25
2013-09-10,42.95
2013-09-11,47.15
2013-09-12,47.3
2013-09-13,46.8
2013-09-16,46.05
2013-09-17,44.7
2013-09-18,44.9
2013-09-19,45.6
2013-09-20,45.2
2013-09-23,46.35
2013-09-24,45.3
2013-09-25,45.25
2013-09-26,45.25
2013-09-27,46.15
2013-09-30,44.7
2013-10-01,46.05
2013-10-03,46.2
2013-10-04,46.05
2013-10-07,45.9
2013-10-08,45.65
2013-10-09,46.9
2013-10-10,49.75
2013-10-11,48.05
2013-10-14,48.25
2013-10-15,46.8
2013-10-17,46.2
2013-10-18,46.65
2013-10-21,47.95
2013-10-22,48.35
2013-10-23,51.85
2013-10-24,49.5
2013-10-25,48.5
2013-10-28,48.75
2013-10-29,49.3
2013-10-30,48.8
2013-10-31,48.95
2013-11-01,49.5
2013-11-03,49.95
2013-11-05,52.8
2013-11-06,53.75
2013-11-07,52.75
2013-11-08,54.75
2013-11-11,55.95
2013-11-12,52.3
2013-11-13,51.0
2013-11-14,52.1
2013-11-18,52.25
2013-11-19,51.8
2013-11-20,52.2
2013-11-21,50.9
2013-11-22,50.2
2013-11-25,52.0
2013-11-26,51.5
2013-11-27,50.2
2013-11-28,50.85
2013-11-29,51.65
2013-12-02,51.1
2013-12-03,54.7
2013-12-04,53.7
2013-12-05,51.55
2013-12-06,51.85
2013-12-09,51.65
2013-12-10,50.7
2013-12-11,50.6
2013-12-12,50.7
2013-12-13,49.7
2013-12-16,49.2
2013-12-17,51.3
2013-12-18,61.55
2013-12-19,60.9
2013-12-20,62.25
2013-12-23,62.25
2013-12-24,69.3
2013-12-26,71.25
2013-12-27,68.9
2013-12-30,66.5
2013-12-31,65.9
