Date,GLOBOFFS
2013-01-01,67.7
2013-01-02,68.0
2013-01-03,68.45
2013-01-04,70.8
2013-01-07,68.5
2013-01-08,66.8
2013-01-09,66.55
2013-01-10,66.65
2013-01-11,64.3
2013-01-14,64.9
2013-01-15,64.15
2013-01-16,61.65
2013-01-17,61.7
2013-01-18,61.05
2013-01-21,61.85
2013-01-22,62.45
2013-01-23,61.75
2013-01-24,61.1
2013-01-25,62.25
2013-01-28,62.15
2013-01-29,62.9
2013-01-30,61.6
2013-01-31,61.4
2013-02-01,61.0
2013-02-04,63.05
2013-02-05,62.5
2013-02-06,62.4
2013-02-07,59.95
2013-02-08,61.4
2013-02-11,61.65
2013-02-12,59.95
2013-02-13,59.05
2013-02-14,59.3
2013-02-15,62.0
2013-02-18,60.85
2013-02-19,62.25
2013-02-20,63.05
2013-02-21,61.05
2013-02-22,61.55
2013-02-25,61.0
2013-02-26,59.75
2013-02-27,59.0
2013-02-28,57.2
2013-03-01,57.5
2013-03-04,56.7
2013-03-05,56.9
2013-03-06,55.05
2013-03-07,55.6
2013-03-08,56.15
2013-03-11,56.15
2013-03-12,58.05
2013-03-13,59.6
2013-03-14,61.75
2013-03-15,60.35
2013-03-18,59.35
2013-03-19,59.05
2013-03-20,57.8
2013-03-21,55.15
2013-03-22,55.05
2013-03-25,58.6
2013-03-26,56.6
2013-03-28,58.75
2013-04-01,57.05
2013-04-02,59.65
2013-04-03,60.9
2013-04-04,61.85
2013-04-05,60.1
2013-04-08,62.45
2013-04-09,62.75
2013-04-10,61.65
2013-04-11,62.35
2013-04-12,60.95
2013-04-15,61.1
2013-04-16,60.05
2013-04-17,60.85
2013-04-18,59.35
2013-04-22,58.7
2013-04-23,68.15
2013-04-25,81.2
2013-04-26,87.35
2013-04-29,80.3
2013-04-30,76.65
2013-05-02,76.4
2013-05-03,70.55
2013-05-06,77.5
2013-05-07,80.45
2013-05-08,81.8
2013-05-09,83.3
2013-05-10,85.7
2013-05-11,88.5
2013-05-13,86.35
2013-05-14,84.3
2013-05-15,82.8
2013-05-16,81.9
2013-05-17,80.9
2013-05-20,80.95
2013-05-21,81.85
2013-05-22,81.6
2013-05-23,79.1
2013-05-24,79.9
2013-05-27,80.85
2013-05-28,79.85
2013-05-29,78.8
2013-05-30,76.6
2013-05-31,75.1
2013-06-03,75.5
2013-06-04,74.0
2013-06-05,73.3
2013-06-06,72.15
2013-06-07,72.85
2013-06-10,71.95
2013-06-11,68.0
2013-06-12,63.75
2013-06-13,60.65
2013-06-14,64.95
2013-06-17,61.85
2013-06-18,64.15
2013-06-19,63.15
2013-06-20,63.15
2013-06-21,63.35
2013-06-24,61.7
2013-06-25,62.2
2013-06-26,62.3
2013-06-27,62.6
2013-06-28,62.4
2013-07-01,63.8
2013-07-02,64.35
2013-07-03,63.85
2013-07-04,64.6
2013-07-05,64.6
2013-07-08,64.65
2013-07-09,65.65
2013-07-10,65.3
2013-07-11,65.45
2013-07-12,66.85
2013-07-15,74.9
2013-07-16,73.75
2013-07-17,69.2
2013-07-18,70.75
2013-07-19,73.6
2013-07-22,71.4
2013-07-23,69.6
2013-07-24,68.2
2013-07-25,66.6
2013-07-26,62.95
2013-07-29,62.35
2013-07-30,63.1
2013-07-31,62.05
2013-08-01,61.3
2013-08-02,61.3
2013-08-05,59.85
2013-08-06,60.55
2013-08-07,59.95
2013-08-08,61.55
2013-08-12,60.75
2013-08-13,61.0
2013-08-14,61.5
2013-08-16,59.25
2013-08-19,58.75
2013-08-20,59.15
2013-08-21,60.6
2013-08-22,62.25
2013-08-23,62.5
2013-08-26,61.3
2013-08-27,58.85
2013-08-28,58.6
2013-08-29,57.75
2013-08-30,57.15
2013-09-02,56.25
2013-09-03,57.6
2013-09-04,58.8
2013-09-05,58.5
2013-09-06,58.35
2013-09-10,59.5
2013-09-11,59.45
2013-09-12,60.2
2013-09-13,59.9
2013-09-16,59.55
2013-09-17,61.45
2013-09-18,60.75
2013-09-19,59.8
2013-09-20,60.0
2013-09-23,58.4
2013-09-24,59.05
2013-09-25,60.05
2013-09-26,60.3
2013-09-27,59.05
2013-09-30,55.4
2013-10-01,52.8
2013-10-03,52.0
2013-10-04,51.55
2013-10-07,49.95
2013-10-08,49.1
2013-10-09,46.7
2013-10-10,45.2
2013-10-11,46.15
2013-10-14,47.9
2013-10-15,47.7
2013-10-17,48.5
2013-10-18,48.3
2013-10-21,48.3
2013-10-22,47.9
2013-10-23,47.8
2013-10-24,46.9
2013-10-25,46.45
2013-10-28,46.45
2013-10-29,46.55
2013-10-30,47.4
2013-10-31,48.15
2013-11-01,49.0
2013-11-03,50.15
2013-11-05,51.8
2013-11-06,51.0
2013-11-07,53.65
2013-11-08,53.75
2013-11-11,52.85
2013-11-12,53.2
2013-11-13,51.8
2013-11-14,50.8
2013-11-18,51.4
2013-11-19,54.4
2013-11-20,53.45
2013-11-21,53.45
2013-11-22,51.6
2013-11-25,54.6
2013-11-26,52.55
2013-11-27,51.75
2013-11-28,57.45
2013-11-29,68.9
2013-12-02,82.4
2013-12-03,74.55
2013-12-04,71.7
2013-12-05,67.95
2013-12-06,67.05
2013-12-09,65.45
2013-12-10,62.2
2013-12-11,64.7
2013-12-12,67.9
2013-12-13,70.0
2013-12-16,73.5
2013-12-17,77.1
2013-12-18,79.3
2013-12-19,79.55
2013-12-20,83.2
2013-12-23,85.55
2013-12-24,89.8
2013-12-26,93.2
2013-12-27,97.85
2013-12-30,102.7
2013-12-31,107.8
