Date,VOLTAMP
2013-01-01,432.55
2013-01-02,437.65
2013-01-03,441.95
2013-01-04,437.3
2013-01-07,435.4
2013-01-08,429.3
2013-01-09,429.85
2013-01-10,424.45
2013-01-11,419.35
2013-01-14,421.35
2013-01-15,421.4
2013-01-16,414.65
2013-01-17,417.7
2013-01-18,416.0
2013-01-21,409.55
2013-01-22,406.5
2013-01-23,402.5
2013-01-24,394.05
2013-01-25,395.1
2013-01-28,394.35
2013-01-29,393.95
2013-01-30,386.5
2013-01-31,385.95
2013-02-01,384.75
2013-02-04,380.45
2013-02-05,376.1
2013-02-06,374.2
2013-02-07,373.0
2013-02-08,369.95
2013-02-11,366.8
2013-02-12,376.2
2013-02-13,374.2
2013-02-14,361.25
2013-02-15,357.2
2013-02-18,349.9
2013-02-19,349.75
2013-02-20,353.95
2013-02-21,352.85
2013-02-22,351.8
2013-02-25,351.0
2013-02-26,351.2
2013-02-27,352.0
2013-02-28,351.45
2013-03-01,350.1
2013-03-04,362.25
2013-03-05,360.1
2013-03-06,359.6
2013-03-07,373.65
2013-03-08,375.4
2013-03-11,368.85
2013-03-12,374.05
2013-03-13,375.15
2013-03-14,378.95
2013-03-15,378.3
2013-03-18,378.2
2013-03-19,376.2
2013-03-20,378.75
2013-03-21,379.0
2013-03-22,378.9
2013-03-25,374.45
2013-03-26,382.55
2013-03-28,379.55
2013-04-01,380.1
2013-04-02,381.2
2013-04-03,382.9
2013-04-04,376.3
2013-04-05,375.9
2013-04-08,371.0
2013-04-09,373.15
2013-04-10,382.0
2013-04-11,384.2
2013-04-12,386.85
2013-04-15,380.45
2013-04-16,370.85
2013-04-17,374.4
2013-04-18,373.85
2013-04-22,374.5
2013-04-23,378.55
2013-04-25,379.2
2013-04-26,381.3
2013-04-29,381.9
2013-04-30,395.45
2013-05-02,398.2
2013-05-03,391.2
2013-05-06,396.15
2013-05-07,398.8
2013-05-08,393.3
2013-05-09,388.4
2013-05-10,382.1
2013-05-11,381.75
2013-05-13,371.55
2013-05-14,375.15
2013-05-15,376.05
2013-05-16,380.0
2013-05-17,419.55
2013-05-20,498.05
2013-05-21,438.25
2013-05-22,418.65
2013-05-23,403.85
2013-05-24,405.35
2013-05-27,407.3
2013-05-28,404.0
2013-05-29,404.3
2013-05-30,402.05
2013-05-31,399.55
2013-06-03,396.8
2013-06-04,400.4
2013-06-05,413.0
2013-06-06,410.35
2013-06-07,408.05
2013-06-10,407.15
2013-06-11,408.3
2013-06-12,408.1
2013-06-13,405.1
2013-06-14,411.7
2013-06-17,418.9
2013-06-18,410.15
2013-06-19,410.05
2013-06-20,405.05
2013-06-21,398.45
2013-06-24,399.9
2013-06-25,395.3
2013-06-26,398.55
2013-06-27,399.9
2013-06-28,400.25
2013-07-01,404.65
2013-07-02,401.05
2013-07-03,400.95
2013-07-04,400.1
2013-07-05,400.3
2013-07-08,399.4
2013-07-09,400.15
2013-07-10,399.75
2013-07-11,401.55
2013-07-12,402.45
2013-07-15,399.85
2013-07-16,408.2
2013-07-17,403.95
2013-07-18,403.2
2013-07-19,402.0
2013-07-22,402.0
2013-07-23,403.5
2013-07-24,398.45
2013-07-25,395.35
2013-07-26,394.25
2013-07-29,395.2
2013-07-30,381.35
2013-07-31,375.45
2013-08-01,370.0
2013-08-02,364.1
2013-08-05,360.25
2013-08-06,354.6
2013-08-07,350.85
2013-08-08,355.05
2013-08-12,367.4
2013-08-13,365.0
2013-08-14,362.2
2013-08-16,351.3
2013-08-19,344.65
2013-08-20,343.75
2013-08-21,347.85
2013-08-22,345.2
2013-08-23,350.2
2013-08-26,355.85
2013-08-27,349.9
2013-08-28,343.25
2013-08-29,346.2
2013-08-30,345.1
2013-09-02,348.95
2013-09-03,347.25
2013-09-04,348.55
2013-09-05,349.15
2013-09-06,355.8
2013-09-10,375.1
2013-09-11,369.6
2013-09-12,368.05
2013-09-13,370.4
2013-09-16,369.05
2013-09-17,364.3
2013-09-18,366.8
2013-09-19,373.85
2013-09-20,364.7
2013-09-23,361.0
2013-09-24,361.0
2013-09-25,353.75
2013-09-26,356.05
2013-09-27,353.7
2013-09-30,350.2
2013-10-01,354.5
2013-10-03,353.55
2013-10-04,350.15
2013-10-07,350.0
2013-10-08,349.35
2013-10-09,351.25
2013-10-10,348.1
2013-10-11,347.55
2013-10-14,353.2
2013-10-15,343.95
2013-10-17,343.1
2013-10-18,341.7
2013-10-21,350.5
2013-10-22,364.25
2013-10-23,363.0
2013-10-24,364.3
2013-10-25,359.4
2013-10-28,357.35
2013-10-29,359.15
2013-10-30,354.65
2013-10-31,364.7
2013-11-01,367.6
2013-11-03,361.45
2013-11-05,368.4
2013-11-06,366.1
2013-11-07,356.95
2013-11-08,358.2
2013-11-11,359.65
2013-11-12,357.0
2013-11-13,349.5
2013-11-14,353.9
2013-11-18,351.45
2013-11-19,349.55
2013-11-20,359.7
2013-11-21,358.9
2013-11-22,360.55
2013-11-25,364.0
2013-11-26,368.3
2013-11-27,365.75
2013-11-28,385.8
2013-11-29,382.35
2013-12-02,378.8
2013-12-03,379.2
2013-12-04,381.1
2013-12-05,379.15
2013-12-06,376.5
2013-12-09,382.75
2013-12-10,375.0
2013-12-11,377.05
2013-12-12,373.7
2013-12-13,366.1
2013-12-16,361.65
2013-12-17,368.7
2013-12-18,373.5
2013-12-19,374.95
2013-12-20,377.6
2013-12-23,381.85
2013-12-24,392.6
2013-12-26,405.35
2013-12-27,401.85
2013-12-30,409.7
2013-12-31,406.3
