Date,SRSLTD
2013-01-01,44.25
2013-01-02,45.0
2013-01-03,44.5
2013-01-04,45.1
2013-01-07,44.65
2013-01-08,45.0
2013-01-09,44.75
2013-01-10,45.25
2013-01-11,44.5
2013-01-14,44.45
2013-01-15,44.3
2013-01-16,44.3
2013-01-17,43.35
2013-01-18,42.75
2013-01-21,43.05
2013-01-22,42.9
2013-01-23,42.05
2013-01-24,42.15
2013-01-25,43.55
2013-01-28,44.6
2013-01-29,44.75
2013-01-30,45.1
2013-01-31,43.8
2013-02-01,44.25
2013-02-04,43.35
2013-02-05,41.75
2013-02-06,42.0
2013-02-07,41.15
2013-02-08,43.2
2013-02-11,39.6
2013-02-12,41.1
2013-02-13,41.95
2013-02-14,40.75
2013-02-15,40.6
2013-02-18,40.95
2013-02-19,41.0
2013-02-20,42.15
2013-02-21,40.3
2013-02-22,41.05
2013-02-25,41.15
2013-02-26,41.5
2013-02-27,41.3
2013-02-28,40.8
2013-03-01,39.85
2013-03-04,39.45
2013-03-05,39.5
2013-03-06,39.25
2013-03-07,39.3
2013-03-08,40.5
2013-03-11,40.9
2013-03-12,41.05
2013-03-13,41.0
2013-03-14,40.1
2013-03-15,39.95
2013-03-18,39.75
2013-03-19,38.7
2013-03-20,38.35
2013-03-21,37.75
2013-03-22,37.4
2013-03-25,37.45
2013-03-26,38.35
2013-03-28,45.25
2013-04-01,44.8
2013-04-02,44.75
2013-04-03,44.8
2013-04-04,44.35
2013-04-05,44.55
2013-04-08,44.0
2013-04-09,43.75
2013-04-10,44.0
2013-04-11,43.05
2013-04-12,43.0
2013-04-15,43.35
2013-04-16,43.55
2013-04-17,44.45
2013-04-18,43.55
2013-04-22,44.2
2013-04-23,43.45
2013-04-25,43.95
2013-04-26,44.0
2013-04-29,43.55
2013-04-30,43.2
2013-05-02,42.8
2013-05-03,43.35
2013-05-06,43.1
2013-05-07,41.25
2013-05-08,41.0
2013-05-09,40.45
2013-05-10,40.85
2013-05-11,40.6
2013-05-13,40.75
2013-05-14,39.8
2013-05-15,40.0
2013-05-16,39.35
2013-05-17,39.55
2013-05-20,39.75
2013-05-21,39.0
2013-05-22,37.65
2013-05-23,37.4
2013-05-24,38.85
2013-05-27,38.9
2013-05-28,38.1
2013-05-29,37.2
2013-05-30,36.5
2013-05-31,34.75
2013-06-03,35.4
2013-06-04,35.1
2013-06-05,35.4
2013-06-06,35.15
2013-06-07,35.5
2013-06-10,34.8
2013-06-11,33.6
2013-06-12,32.55
2013-06-13,30.85
2013-06-14,32.85
2013-06-17,34.8
2013-06-18,34.65
2013-06-19,33.4
2013-06-20,32.5
2013-06-21,32.1
2013-06-24,30.7
2013-06-25,30.45
2013-06-26,30.9
2013-06-27,31.2
2013-06-28,31.65
2013-07-01,32.55
2013-07-02,32.65
2013-07-03,33.05
2013-07-04,33.2
2013-07-05,33.2
2013-07-08,32.9
2013-07-09,33.0
2013-07-10,32.6
2013-07-11,33.25
2013-07-12,33.35
2013-07-15,32.9
2013-07-16,32.0
2013-07-17,31.65
2013-07-18,31.7
2013-07-19,30.8
2013-07-22,30.55
2013-07-23,30.0
2013-07-24,30.8
2013-07-25,30.75
2013-07-26,30.5
2013-07-29,30.5
2013-07-30,30.2
2013-07-31,32.0
2013-08-01,30.25
2013-08-02,30.5
2013-08-05,30.5
2013-08-06,28.6
2013-08-07,28.9
2013-08-08,28.3
2013-08-12,28.6
2013-08-13,28.7
2013-08-14,28.75
2013-08-16,28.3
2013-08-19,28.55
2013-08-20,29.6
2013-08-21,28.8
2013-08-22,29.65
2013-08-23,29.25
2013-08-26,29.4
2013-08-27,28.75
2013-08-28,28.05
2013-08-29,28.6
2013-08-30,28.85
2013-09-02,28.15
2013-09-03,27.15
2013-09-04,27.25
2013-09-05,27.45
2013-09-06,26.6
2013-09-10,26.9
2013-09-11,26.95
2013-09-12,27.05
2013-09-13,25.7
2013-09-16,29.45
2013-09-17,32.1
2013-09-18,31.55
2013-09-19,33.85
2013-09-20,33.85
2013-09-23,33.35
2013-09-24,33.95
2013-09-25,30.7
2013-09-26,30.8
2013-09-27,30.35
2013-09-30,32.85
2013-10-01,33.05
2013-10-03,33.3
2013-10-04,33.0
2013-10-07,35.05
2013-10-08,37.05
2013-10-09,37.1
2013-10-10,35.35
2013-10-11,35.5
2013-10-14,35.8
2013-10-15,35.75
2013-10-17,37.1
2013-10-18,37.3
2013-10-21,37.35
2013-10-22,37.2
2013-10-23,37.3
2013-10-24,37.05
2013-10-25,36.95
2013-10-28,37.5
2013-10-29,38.7
2013-10-30,38.5
2013-10-31,38.6
2013-11-01,38.4
2013-11-03,38.6
2013-11-05,38.5
2013-11-06,38.55
2013-11-07,38.15
2013-11-08,38.1
2013-11-11,37.95
2013-11-12,38.15
2013-11-13,38.25
2013-11-14,38.1
2013-11-18,38.1
2013-11-19,38.05
2013-11-20,37.35
2013-11-21,35.95
2013-11-22,36.0
2013-11-25,36.4
2013-11-26,36.0
2013-11-27,35.95
2013-11-28,36.2
2013-11-29,36.3
2013-12-02,37.3
2013-12-03,38.4
2013-12-04,37.55
2013-12-05,37.4
2013-12-06,37.2
2013-12-09,36.75
2013-12-10,35.8
2013-12-11,35.2
2013-12-12,35.1
2013-12-13,34.55
2013-12-16,34.8
2013-12-17,34.55
2013-12-18,34.7
2013-12-19,34.55
2013-12-20,34.4
2013-12-23,34.8
2013-12-24,36.05
2013-12-26,36.35
2013-12-27,36.95
2013-12-30,36.35
2013-12-31,35.05
