Date,IBVENTURES
2013-01-01,11.4
2013-01-02,11.7
2013-01-03,12.45
2013-01-04,11.9
2013-01-07,12.2
2013-01-08,12.05
2013-01-09,11.95
2013-01-10,11.85
2013-01-11,11.55
2013-01-14,11.75
2013-01-15,11.85
2013-01-16,11.45
2013-01-17,11.5
2013-01-18,12.0
2013-01-21,12.0
2013-01-22,12.15
2013-01-23,12.3
2013-01-24,12.0
2013-01-25,12.3
2013-01-28,12.4
2013-01-29,12.45
2013-01-30,12.45
2013-01-31,11.3
2013-02-01,11.05
2013-02-04,11.0
2013-02-05,10.75
2013-02-06,10.5
2013-02-07,10.05
2013-02-08,10.0
2013-02-11,10.1
2013-02-12,10.0
2013-02-13,9.6
2013-02-14,9.3
2013-02-15,9.5
2013-02-18,10.25
2013-02-19,10.0
2013-02-20,10.0
2013-02-21,9.8
2013-02-22,9.75
2013-02-25,9.75
2013-02-26,9.45
2013-02-27,9.5
2013-02-28,9.1
2013-03-01,9.1
2013-03-04,8.85
2013-03-05,9.1
2013-03-06,9.25
2013-03-07,9.35
2013-03-08,9.5
2013-03-11,9.4
2013-03-12,9.3
2013-03-13,9.2
2013-03-14,9.15
2013-03-15,9.15
2013-03-18,9.25
2013-03-19,8.9
2013-03-20,8.55
2013-03-21,8.25
2013-03-22,8.15
2013-03-25,7.95
2013-03-26,8.0
2013-03-28,8.15
2013-04-01,9.05
2013-04-02,9.6
2013-04-03,9.5
2013-04-04,9.2
2013-04-05,9.75
2013-04-08,10.05
2013-04-09,10.0
2013-04-10,10.0
2013-04-11,10.0
2013-04-12,10.0
2013-04-15,10.0
2013-04-16,10.3
2013-04-17,10.1
2013-04-18,10.05
2013-04-22,9.9
2013-04-23,10.15
2013-04-25,10.45
2013-04-26,10.85
2013-04-29,12.1
2013-04-30,12.0
2013-05-02,12.0
2013-05-03,12.0
2013-05-06,10.75
2013-05-07,11.1
2013-05-08,11.0
2013-05-09,10.75
2013-05-10,11.0
2013-05-11,11.1
2013-05-13,11.0
2013-05-14,11.0
2013-05-15,11.15
2013-05-16,11.1
2013-05-17,11.6
2013-05-20,11.5
2013-05-21,11.5
2013-05-22,11.5
2013-05-23,11.3
2013-05-24,11.25
2013-05-27,12.0
2013-05-28,12.0
2013-05-29,11.9
2013-05-30,11.8
2013-05-31,11.5
2013-06-03,11.3
2013-06-04,11.35
2013-06-05,11.45
2013-06-06,11.65
2013-06-07,11.4
2013-06-10,11.65
2013-06-11,11.65
2013-06-12,11.4
2013-06-13,10.95
2013-06-14,11.3
2013-06-17,11.1
2013-06-18,11.0
2013-06-19,10.85
2013-06-20,10.55
2013-06-21,10.2
2013-06-24,10.05
2013-06-25,10.2
2013-06-26,10.0
2013-06-27,9.7
2013-06-28,10.65
2013-07-01,11.0
2013-07-02,11.1
2013-07-03,11.15
2013-07-04,11.85
2013-07-05,11.4
2013-07-08,11.2
2013-07-09,11.2
2013-07-10,11.4
2013-07-11,11.35
2013-07-12,11.3
2013-07-15,11.2
2013-07-16,11.1
2013-07-17,11.7
2013-07-18,12.25
2013-07-19,12.05
2013-07-22,12.5
2013-07-23,12.4
2013-07-24,12.55
2013-07-25,12.5
2013-07-26,12.4
2013-07-29,12.6
2013-07-30,12.2
2013-07-31,11.95
2013-08-01,11.2
2013-08-02,11.15
2013-08-05,10.2
2013-08-06,9.8
2013-08-07,9.85
2013-08-08,10.05
2013-08-12,10.25
2013-08-13,10.5
2013-08-14,10.7
2013-08-16,10.3
2013-08-19,10.05
2013-08-20,10.2
2013-08-21,10.05
2013-08-22,10.05
2013-08-23,10.15
2013-08-26,10.2
2013-08-27,10.1
2013-08-28,10.05
2013-08-29,10.1
2013-08-30,10.2
2013-09-02,10.35
2013-09-03,9.95
2013-09-04,10.2
2013-09-05,10.55
2013-09-06,10.55
2013-09-10,10.65
2013-09-11,11.0
2013-09-12,10.8
2013-09-13,10.9
2013-09-16,10.95
2013-09-17,10.9
2013-09-18,10.85
2013-09-19,11.15
2013-09-20,10.95
2013-09-23,10.95
2013-09-24,11.15
2013-09-25,11.1
2013-09-26,10.9
2013-09-27,11.0
2013-09-30,11.0
2013-10-01,10.9
2013-10-03,11.05
2013-10-04,11.05
2013-10-07,11.1
2013-10-08,11.1
2013-10-09,11.5
2013-10-10,11.4
2013-10-11,12.55
2013-10-14,14.25
2013-10-15,13.7
2013-10-17,14.2
2013-10-18,14.05
2013-10-21,15.45
2013-10-22,17.4
2013-10-23,18.05
2013-10-24,17.2
2013-10-25,16.3
2013-10-28,16.0
2013-10-29,16.25
2013-10-30,16.0
2013-10-31,14.95
2013-11-01,15.9
2013-11-03,16.15
2013-11-05,15.9
2013-11-06,16.25
2013-11-07,16.65
2013-11-08,16.95
2013-11-11,16.45
2013-11-12,16.25
2013-11-13,15.8
2013-11-14,16.0
2013-11-18,16.85
2013-11-19,16.6
2013-11-20,17.5
2013-11-21,16.95
2013-11-22,16.55
2013-11-25,16.75
2013-11-26,16.5
2013-11-27,16.1
2013-11-28,17.35
2013-11-29,19.45
2013-12-02,21.2
2013-12-03,20.8
2013-12-04,20.1
2013-12-05,20.1
2013-12-06,19.85
2013-12-09,22.05
2013-12-10,22.55
2013-12-11,21.5
2013-12-12,20.95
2013-12-13,19.85
2013-12-16,19.9
2013-12-17,20.15
2013-12-18,20.45
2013-12-19,19.95
2013-12-20,20.25
2013-12-23,20.6
2013-12-24,21.4
2013-12-26,20.95
2013-12-27,20.65
2013-12-30,20.45
2013-12-31,20.7
