Date,JINDALSTEL
2013-01-01,461.05
2013-01-02,466.15
2013-01-03,466.35
2013-01-04,457.8
2013-01-07,458.4
2013-01-08,455.75
2013-01-09,448.55
2013-01-10,448.4
2013-01-11,432.0
2013-01-14,446.85
2013-01-15,443.45
2013-01-16,429.55
2013-01-17,431.65
2013-01-18,422.85
2013-01-21,423.9
2013-01-22,426.65
2013-01-23,426.05
2013-01-24,418.85
2013-01-25,433.45
2013-01-28,430.55
2013-01-29,433.5
2013-01-30,425.5
2013-01-31,420.2
2013-02-01,415.9
2013-02-04,419.05
2013-02-05,413.55
2013-02-06,424.55
2013-02-07,419.25
2013-02-08,414.25
2013-02-11,405.75
2013-02-12,392.2
2013-02-13,389.25
2013-02-14,390.3
2013-02-15,386.2
2013-02-18,378.5
2013-02-19,375.85
2013-02-20,370.4
2013-02-21,355.3
2013-02-22,357.5
2013-02-25,357.1
2013-02-26,353.5
2013-02-27,358.85
2013-02-28,348.9
2013-03-01,358.9
2013-03-04,343.0
2013-03-05,352.65
2013-03-06,355.15
2013-03-07,347.35
2013-03-08,367.2
2013-03-11,363.15
2013-03-12,365.75
2013-03-13,354.1
2013-03-14,360.0
2013-03-15,356.75
2013-03-18,354.1
2013-03-19,341.25
2013-03-20,337.7
2013-03-21,341.7
2013-03-22,352.75
2013-03-25,350.55
2013-03-26,352.95
2013-03-28,347.75
2013-04-01,342.45
2013-04-02,351.0
2013-04-03,344.45
2013-04-04,329.7
2013-04-05,335.55
2013-04-08,330.6
2013-04-09,332.65
2013-04-10,328.5
2013-04-11,330.05
2013-04-12,327.85
2013-04-15,329.65
2013-04-16,337.7
2013-04-17,336.4
2013-04-18,337.45
2013-04-22,341.55
2013-04-23,329.9
2013-04-25,329.2
2013-04-26,314.95
2013-04-29,301.3
2013-04-30,304.55
2013-05-02,305.85
2013-05-03,318.45
2013-05-06,326.6
2013-05-07,333.05
2013-05-08,329.55
2013-05-09,317.85
2013-05-10,311.4
2013-05-11,310.25
2013-05-13,304.4
2013-05-14,305.2
2013-05-15,312.7
2013-05-16,308.35
2013-05-17,312.6
2013-05-20,307.8
2013-05-21,302.85
2013-05-22,303.35
2013-05-23,291.1
2013-05-24,295.05
2013-05-27,306.6
2013-05-28,306.4
2013-05-29,300.2
2013-05-30,296.3
2013-05-31,284.45
2013-06-03,290.4
2013-06-04,284.8
2013-06-05,287.45
2013-06-06,284.9
2013-06-07,279.2
2013-06-10,267.25
2013-06-11,226.15
2013-06-12,235.55
2013-06-13,236.8
2013-06-14,243.15
2013-06-17,240.7
2013-06-18,239.85
2013-06-19,245.8
2013-06-20,221.95
2013-06-21,204.45
2013-06-24,207.45
2013-06-25,207.65
2013-06-26,201.3
2013-06-27,201.25
2013-06-28,217.45
2013-07-01,223.65
2013-07-02,214.05
2013-07-03,216.3
2013-07-04,216.85
2013-07-05,223.85
2013-07-08,221.75
2013-07-09,217.1
2013-07-10,218.8
2013-07-11,221.8
2013-07-12,222.55
2013-07-15,223.7
2013-07-16,216.3
2013-07-17,214.05
2013-07-18,216.25
2013-07-19,210.45
2013-07-22,211.6
2013-07-23,210.35
2013-07-24,201.95
2013-07-25,196.55
2013-07-26,189.95
2013-07-29,199.6
2013-07-30,202.55
2013-07-31,199.8
2013-08-01,202.35
2013-08-02,187.0
2013-08-05,201.45
2013-08-06,196.45
2013-08-07,203.6
2013-08-08,207.4
2013-08-12,226.6
2013-08-13,226.1
2013-08-14,224.95
2013-08-16,213.15
2013-08-19,219.0
2013-08-20,220.9
2013-08-21,221.0
2013-08-22,230.95
2013-08-23,240.55
2013-08-26,244.05
2013-08-27,230.15
2013-08-28,238.45
2013-08-29,243.5
2013-08-30,221.85
2013-09-02,227.95
2013-09-03,219.6
2013-09-04,226.1
2013-09-05,227.0
2013-09-06,233.3
2013-09-10,237.0
2013-09-11,241.2
2013-09-12,238.65
2013-09-13,241.35
2013-09-16,242.15
2013-09-17,247.45
2013-09-18,249.1
2013-09-19,259.8
2013-09-20,260.75
2013-09-23,252.95
2013-09-24,247.8
2013-09-25,245.0
2013-09-26,235.55
2013-09-27,235.95
2013-09-30,235.5
2013-10-01,232.5
2013-10-03,241.05
2013-10-04,236.3
2013-10-07,240.7
2013-10-08,244.35
2013-10-09,249.3
2013-10-10,251.7
2013-10-11,254.5
2013-10-14,252.45
2013-10-15,251.35
2013-10-17,253.3
2013-10-18,255.85
2013-10-21,246.25
2013-10-22,247.15
2013-10-23,245.85
2013-10-24,241.5
2013-10-25,238.35
2013-10-28,238.3
2013-10-29,240.45
2013-10-30,240.05
2013-10-31,239.85
2013-11-01,247.95
2013-11-03,251.3
2013-11-05,248.4
2013-11-06,243.35
2013-11-07,240.7
2013-11-08,240.5
2013-11-11,236.65
2013-11-12,235.8
2013-11-13,235.6
2013-11-14,238.65
2013-11-18,244.95
2013-11-19,255.3
2013-11-20,252.45
2013-11-21,245.8
2013-11-22,248.65
2013-11-25,251.5
2013-11-26,250.1
2013-11-27,250.75
2013-11-28,254.7
2013-11-29,258.15
2013-12-02,268.4
2013-12-03,275.35
2013-12-04,278.7
2013-12-05,282.05
2013-12-06,283.5
2013-12-09,265.8
2013-12-10,266.55
2013-12-11,267.0
2013-12-12,262.35
2013-12-13,259.8
2013-12-16,251.45
2013-12-17,252.0
2013-12-18,248.45
2013-12-19,250.95
2013-12-20,250.45
2013-12-23,264.4
2013-12-24,261.25
2013-12-26,262.15
2013-12-27,261.8
2013-12-30,263.05
2013-12-31,261.0
