Date,UNITEDBNK
2013-01-01,82.5
2013-01-02,82.0
2013-01-03,82.3
2013-01-04,83.25
2013-01-07,83.55
2013-01-08,83.0
2013-01-09,81.8
2013-01-10,80.95
2013-01-11,77.95
2013-01-14,80.65
2013-01-15,80.45
2013-01-16,78.1
2013-01-17,79.5
2013-01-18,78.5
2013-01-21,77.6
2013-01-22,75.85
2013-01-23,74.0
2013-01-24,72.25
2013-01-25,74.8
2013-01-28,74.9
2013-01-29,75.6
2013-01-30,74.7
2013-01-31,74.05
2013-02-01,74.1
2013-02-04,73.35
2013-02-05,70.65
2013-02-06,68.05
2013-02-07,68.7
2013-02-08,67.35
2013-02-11,66.85
2013-02-12,68.2
2013-02-13,68.35
2013-02-14,67.5
2013-02-15,67.0
2013-02-18,67.65
2013-02-19,67.75
2013-02-20,67.95
2013-02-21,67.45
2013-02-22,67.3
2013-02-25,67.5
2013-02-26,66.0
2013-02-27,65.4
2013-02-28,62.35
2013-03-01,61.45
2013-03-04,59.1
2013-03-05,60.4
2013-03-06,62.65
2013-03-07,62.65
2013-03-08,65.95
2013-03-11,64.65
2013-03-12,64.0
2013-03-13,62.85
2013-03-14,62.85
2013-03-15,59.85
2013-03-18,60.55
2013-03-19,59.5
2013-03-20,57.3
2013-03-21,54.25
2013-03-22,55.05
2013-03-25,56.5
2013-03-26,55.65
2013-03-28,56.35
2013-04-01,57.9
2013-04-02,59.3
2013-04-03,58.9
2013-04-04,57.45
2013-04-05,57.95
2013-04-08,57.55
2013-04-09,55.2
2013-04-10,54.65
2013-04-11,55.35
2013-04-12,55.8
2013-04-15,56.8
2013-04-16,58.25
2013-04-17,58.8
2013-04-18,60.0
2013-04-22,60.1
2013-04-23,60.25
2013-04-25,60.0
2013-04-26,59.5
2013-04-29,59.6
2013-04-30,60.3
2013-05-02,60.0
2013-05-03,59.65
2013-05-06,59.8
2013-05-07,59.3
2013-05-08,59.2
2013-05-09,58.4
2013-05-10,59.7
2013-05-11,59.95
2013-05-13,58.9
2013-05-14,58.1
2013-05-15,58.85
2013-05-16,59.1
2013-05-17,57.65
2013-05-20,58.0
2013-05-21,58.5
2013-05-22,58.05
2013-05-23,55.75
2013-05-24,55.4
2013-05-27,54.15
2013-05-28,54.15
2013-05-29,53.4
2013-05-30,52.4
2013-05-31,52.35
2013-06-03,53.1
2013-06-04,53.9
2013-06-05,53.95
2013-06-06,52.2
2013-06-07,52.15
2013-06-10,50.45
2013-06-11,49.35
2013-06-12,49.7
2013-06-13,49.55
2013-06-14,54.95
2013-06-17,53.3
2013-06-18,52.5
2013-06-19,51.7
2013-06-20,49.65
2013-06-21,46.75
2013-06-24,46.15
2013-06-25,46.0
2013-06-26,46.4
2013-06-27,46.3
2013-06-28,48.9
2013-07-01,48.85
2013-07-02,48.25
2013-07-03,46.35
2013-07-04,46.95
2013-07-05,46.1
2013-07-08,46.3
2013-07-09,47.1
2013-07-10,46.35
2013-07-11,47.05
2013-07-12,46.7
2013-07-15,46.65
2013-07-16,45.65
2013-07-17,44.8
2013-07-18,46.4
2013-07-19,46.05
2013-07-22,45.7
2013-07-23,45.15
2013-07-24,44.55
2013-07-25,43.6
2013-07-26,43.1
2013-07-29,40.4
2013-07-30,38.5
2013-07-31,35.6
2013-08-01,34.4
2013-08-02,32.95
2013-08-05,34.0
2013-08-06,33.8
2013-08-07,34.4
2013-08-08,34.55
2013-08-12,35.85
2013-08-13,35.6
2013-08-14,36.2
2013-08-16,34.5
2013-08-19,34.55
2013-08-20,35.05
2013-08-21,33.4
2013-08-22,34.25
2013-08-23,33.95
2013-08-26,33.85
2013-08-27,32.95
2013-08-28,29.7
2013-08-29,29.9
2013-08-30,27.75
2013-09-02,28.7
2013-09-03,28.1
2013-09-04,28.65
2013-09-05,30.3
2013-09-06,30.45
2013-09-10,31.5
2013-09-11,32.3
2013-09-12,32.95
2013-09-13,33.1
2013-09-16,33.65
2013-09-17,33.5
2013-09-18,33.7
2013-09-19,35.0
2013-09-20,32.0
2013-09-23,31.3
2013-09-24,31.05
2013-09-25,31.4
2013-09-26,31.0
2013-09-27,30.65
2013-09-30,30.15
2013-10-01,30.3
2013-10-03,31.1
2013-10-04,31.25
2013-10-07,31.55
2013-10-08,31.45
2013-10-09,31.2
2013-10-10,31.15
2013-10-11,31.65
2013-10-14,32.55
2013-10-15,32.0
2013-10-17,31.5
2013-10-18,31.85
2013-10-21,32.55
2013-10-22,32.45
2013-10-23,32.8
2013-10-24,33.05
2013-10-25,32.75
2013-10-28,32.05
2013-10-29,32.5
2013-10-30,32.05
2013-10-31,33.75
2013-11-01,35.65
2013-11-03,37.3
2013-11-05,40.85
2013-11-06,40.15
2013-11-07,37.9
2013-11-08,37.65
2013-11-11,34.5
2013-11-12,34.3
2013-11-13,33.95
2013-11-14,34.55
2013-11-18,35.45
2013-11-19,35.75
2013-11-20,35.6
2013-11-21,34.9
2013-11-22,34.9
2013-11-25,34.95
2013-11-26,34.05
2013-11-27,33.65
2013-11-28,33.4
2013-11-29,33.65
2013-12-02,33.75
2013-12-03,33.3
2013-12-04,33.2
2013-12-05,33.5
2013-12-06,33.7
2013-12-09,34.4
2013-12-10,33.15
2013-12-11,32.95
2013-12-12,32.95
2013-12-13,32.15
2013-12-16,31.55
2013-12-17,31.25
2013-12-18,31.65
2013-12-19,31.05
2013-12-20,31.0
2013-12-23,31.45
2013-12-24,32.1
2013-12-26,32.0
2013-12-27,32.15
2013-12-30,32.0
2013-12-31,32.15
