Date,RKDL
2013-01-01,12.85
2013-01-02,12.65
2013-01-03,12.6
2013-01-04,12.6
2013-01-07,12.7
2013-01-08,13.0
2013-01-09,12.85
2013-01-10,13.0
2013-01-11,12.75
2013-01-14,13.65
2013-01-15,13.6
2013-01-16,13.25
2013-01-17,13.15
2013-01-18,13.05
2013-01-21,12.9
2013-01-22,12.6
2013-01-23,12.65
2013-01-24,12.4
2013-01-25,12.7
2013-01-28,12.8
2013-01-29,12.5
2013-01-30,12.3
2013-01-31,12.35
2013-02-01,12.4
2013-02-04,12.25
2013-02-05,12.15
2013-02-06,12.25
2013-02-07,12.15
2013-02-08,11.85
2013-02-11,11.5
2013-02-12,11.1
2013-02-13,10.95
2013-02-14,10.3
2013-02-15,10.5
2013-02-18,9.8
2013-02-19,9.75
2013-02-20,9.65
2013-02-21,9.5
2013-02-22,9.8
2013-02-25,9.4
2013-02-26,9.2
2013-02-27,9.3
2013-02-28,9.1
2013-03-01,9.05
2013-03-04,8.3
2013-03-05,9.0
2013-03-06,9.25
2013-03-07,9.3
2013-03-08,9.05
2013-03-11,9.0
2013-03-12,8.9
2013-03-13,8.8
2013-03-14,9.3
2013-03-15,9.35
2013-03-18,8.95
2013-03-19,9.15
2013-03-20,9.0
2013-03-21,8.8
2013-03-22,8.65
2013-03-25,9.15
2013-03-26,8.9
2013-03-28,8.7
2013-04-01,9.0
2013-04-02,8.95
2013-04-03,9.0
2013-04-04,8.65
2013-04-05,8.65
2013-04-08,8.7
2013-04-09,8.7
2013-04-10,8.6
2013-04-11,8.85
2013-04-12,8.6
2013-04-15,8.5
2013-04-16,9.3
2013-04-17,9.4
2013-04-18,10.3
2013-04-22,10.3
2013-04-23,10.0
2013-04-25,9.7
2013-04-26,9.55
2013-04-29,9.45
2013-04-30,9.35
2013-05-02,9.3
2013-05-03,9.3
2013-05-06,9.2
2013-05-07,9.4
2013-05-08,9.45
2013-05-09,9.6
2013-05-10,9.25
2013-05-11,9.4
2013-05-13,10.15
2013-05-14,10.85
2013-05-15,10.1
2013-05-16,9.8
2013-05-17,9.5
2013-05-20,9.35
2013-05-21,9.3
2013-05-22,9.55
2013-05-23,9.1
2013-05-24,9.25
2013-05-27,9.0
2013-05-28,10.8
2013-05-29,10.45
2013-05-30,10.0
2013-05-31,9.7
2013-06-03,10.15
2013-06-04,9.7
2013-06-05,9.35
2013-06-06,9.15
2013-06-07,9.2
2013-06-10,9.1
2013-06-11,9.0
2013-06-12,8.75
2013-06-13,8.9
2013-06-14,8.7
2013-06-17,8.6
2013-06-18,8.75
2013-06-19,9.0
2013-06-20,8.6
2013-06-21,8.7
2013-06-24,8.25
2013-06-25,8.2
2013-06-26,7.95
2013-06-27,8.05
2013-06-28,8.1
2013-07-01,8.4
2013-07-02,8.55
2013-07-03,8.25
2013-07-04,8.4
2013-07-05,8.2
2013-07-08,8.15
2013-07-09,8.4
2013-07-10,8.3
2013-07-11,8.4
2013-07-12,8.35
2013-07-15,8.05
2013-07-16,8.1
2013-07-17,7.95
2013-07-18,7.95
2013-07-19,8.15
2013-07-22,8.0
2013-07-23,7.9
2013-07-24,7.95
2013-07-25,7.9
2013-07-26,9.05
2013-07-29,8.6
2013-07-30,8.5
2013-07-31,8.5
2013-08-01,8.25
2013-08-02,8.2
2013-08-05,8.0
2013-08-06,8.0
2013-08-07,7.65
2013-08-08,7.95
2013-08-12,7.8
2013-08-13,7.85
2013-08-14,8.0
2013-08-16,7.8
2013-08-19,7.65
2013-08-20,7.6
2013-08-21,7.55
2013-08-22,7.0
2013-08-23,6.85
2013-08-26,6.7
2013-08-27,6.7
2013-08-28,6.55
2013-08-29,5.8
2013-08-30,5.5
2013-09-02,6.0
2013-09-03,6.2
2013-09-04,5.9
2013-09-05,5.95
2013-09-06,5.8
2013-09-10,6.0
2013-09-11,5.9
2013-09-12,5.85
2013-09-13,6.25
2013-09-16,6.1
2013-09-17,6.1
2013-09-18,6.25
2013-09-19,5.85
2013-09-20,5.45
2013-09-23,5.55
2013-09-24,5.5
2013-09-25,5.4
2013-09-26,5.5
2013-09-27,5.25
2013-09-30,5.35
2013-10-01,5.45
2013-10-03,5.25
2013-10-04,5.25
2013-10-07,5.25
2013-10-08,5.25
2013-10-09,5.25
2013-10-10,5.3
2013-10-11,5.25
2013-10-14,5.2
2013-10-15,5.1
2013-10-17,5.2
2013-10-18,5.25
2013-10-21,5.15
2013-10-22,5.2
2013-10-23,5.15
2013-10-24,5.2
2013-10-25,5.2
2013-10-28,5.2
2013-10-29,5.2
2013-10-30,5.15
2013-10-31,5.15
2013-11-01,5.15
2013-11-03,5.1
2013-11-05,5.15
2013-11-06,5.15
2013-11-07,5.2
2013-11-08,5.2
2013-11-11,5.0
2013-11-12,4.8
2013-11-13,5.0
2013-11-14,4.95
2013-11-18,4.95
2013-11-19,5.0
2013-11-20,4.95
2013-11-21,4.9
2013-11-22,4.85
2013-11-25,4.85
2013-11-26,4.8
2013-11-27,4.8
2013-11-28,4.85
2013-11-29,4.75
2013-12-02,4.75
2013-12-03,4.65
2013-12-04,4.7
2013-12-05,4.55
2013-12-06,4.6
2013-12-09,4.55
2013-12-10,4.6
2013-12-11,4.55
2013-12-12,4.4
2013-12-13,4.7
2013-12-16,4.6
2013-12-17,4.55
2013-12-18,4.6
2013-12-19,4.35
2013-12-20,4.5
2013-12-23,4.45
2013-12-24,4.5
2013-12-26,4.6
2013-12-27,4.5
2013-12-30,4.45
2013-12-31,4.5
