Date,KIRLOSENG
2013-01-01,200.3
2013-01-02,205.4
2013-01-03,202.85
2013-01-04,210.2
2013-01-07,210.6
2013-01-08,208.0
2013-01-09,203.9
2013-01-10,204.9
2013-01-11,205.2
2013-01-14,207.0
2013-01-15,208.0
2013-01-16,210.0
2013-01-17,210.0
2013-01-18,212.3
2013-01-21,214.75
2013-01-22,212.0
2013-01-23,210.0
2013-01-24,208.95
2013-01-25,209.6
2013-01-28,209.95
2013-01-29,210.15
2013-01-30,206.0
2013-01-31,207.0
2013-02-01,204.95
2013-02-04,199.45
2013-02-05,198.85
2013-02-06,197.3
2013-02-07,200.9
2013-02-08,201.15
2013-02-11,196.45
2013-02-12,192.3
2013-02-13,192.05
2013-02-14,198.3
2013-02-15,198.0
2013-02-18,193.7
2013-02-19,191.5
2013-02-20,191.55
2013-02-21,193.4
2013-02-22,192.0
2013-02-25,192.1
2013-02-26,189.8
2013-02-27,190.3
2013-02-28,192.9
2013-03-01,196.25
2013-03-04,196.7
2013-03-05,201.85
2013-03-06,195.6
2013-03-07,188.7
2013-03-08,196.05
2013-03-11,189.75
2013-03-12,187.35
2013-03-13,180.65
2013-03-14,177.65
2013-03-15,183.9
2013-03-18,190.6
2013-03-19,190.05
2013-03-20,181.9
2013-03-21,176.9
2013-03-22,170.1
2013-03-25,172.25
2013-03-26,174.05
2013-03-28,168.65
2013-04-01,170.8
2013-04-02,169.95
2013-04-03,171.15
2013-04-04,175.8
2013-04-05,173.7
2013-04-08,178.7
2013-04-09,177.45
2013-04-10,172.85
2013-04-11,168.3
2013-04-12,169.1
2013-04-15,166.75
2013-04-16,164.6
2013-04-17,167.0
2013-04-18,170.75
2013-04-22,173.3
2013-04-23,184.85
2013-04-25,180.25
2013-04-26,178.55
2013-04-29,185.35
2013-04-30,185.1
2013-05-02,185.8
2013-05-03,181.6
2013-05-06,186.7
2013-05-07,186.1
2013-05-08,189.85
2013-05-09,187.7
2013-05-10,184.85
2013-05-11,184.8
2013-05-13,182.05
2013-05-14,185.95
2013-05-15,178.2
2013-05-16,176.4
2013-05-17,181.9
2013-05-20,177.2
2013-05-21,177.55
2013-05-22,173.8
2013-05-23,192.05
2013-05-24,186.1
2013-05-27,182.15
2013-05-28,179.55
2013-05-29,175.9
2013-05-30,175.45
2013-05-31,173.2
2013-06-03,167.9
2013-06-04,163.1
2013-06-05,170.3
2013-06-06,174.25
2013-06-07,175.0
2013-06-10,175.0
2013-06-11,176.95
2013-06-12,176.85
2013-06-13,171.7
2013-06-14,173.15
2013-06-17,174.3
2013-06-18,173.0
2013-06-19,170.05
2013-06-20,178.05
2013-06-21,177.5
2013-06-24,179.55
2013-06-25,180.2
2013-06-26,181.05
2013-06-27,182.4
2013-06-28,182.2
2013-07-01,184.75
2013-07-02,185.65
2013-07-03,183.9
2013-07-04,185.8
2013-07-05,184.15
2013-07-08,184.95
2013-07-09,184.7
2013-07-10,183.75
2013-07-11,185.75
2013-07-12,182.8
2013-07-15,183.6
2013-07-16,181.4
2013-07-17,177.35
2013-07-18,176.2
2013-07-19,175.2
2013-07-22,178.75
2013-07-23,178.25
2013-07-24,168.2
2013-07-25,172.8
2013-07-26,167.95
2013-07-29,171.0
2013-07-30,163.95
2013-07-31,158.6
2013-08-01,155.05
2013-08-02,164.05
2013-08-05,163.3
2013-08-06,159.6
2013-08-07,162.6
2013-08-08,162.0
2013-08-12,162.35
2013-08-13,161.35
2013-08-14,160.05
2013-08-16,159.75
2013-08-19,159.1
2013-08-20,160.85
2013-08-21,160.05
2013-08-22,160.05
2013-08-23,160.0
2013-08-26,161.35
2013-08-27,159.7
2013-08-28,155.0
2013-08-29,153.45
2013-08-30,153.1
2013-09-02,154.8
2013-09-03,150.85
2013-09-04,150.2
2013-09-05,150.65
2013-09-06,151.95
2013-09-10,154.95
2013-09-11,155.55
2013-09-12,150.15
2013-09-13,152.7
2013-09-16,148.85
2013-09-17,149.9
2013-09-18,148.95
2013-09-19,148.25
2013-09-20,151.4
2013-09-23,148.85
2013-09-24,150.0
2013-09-25,150.4
2013-09-26,149.9
2013-09-27,148.3
2013-09-30,147.55
2013-10-01,145.5
2013-10-03,146.7
2013-10-04,149.45
2013-10-07,149.1
2013-10-08,148.55
2013-10-09,150.45
2013-10-10,149.1
2013-10-11,148.25
2013-10-14,147.55
2013-10-15,146.85
2013-10-17,143.8
2013-10-18,144.8
2013-10-21,148.3
2013-10-22,146.8
2013-10-23,146.45
2013-10-24,151.0
2013-10-25,144.4
2013-10-28,145.0
2013-10-29,145.05
2013-10-30,149.35
2013-10-31,149.7
2013-11-01,146.15
2013-11-03,146.25
2013-11-05,143.7
2013-11-06,145.25
2013-11-07,144.75
2013-11-08,143.35
2013-11-11,144.7
2013-11-12,142.65
2013-11-13,142.6
2013-11-14,144.55
2013-11-18,147.95
2013-11-19,147.85
2013-11-20,147.5
2013-11-21,160.2
2013-11-22,159.7
2013-11-25,157.55
2013-11-26,154.9
2013-11-27,145.3
2013-11-28,150.15
2013-11-29,151.35
2013-12-02,147.05
2013-12-03,150.65
2013-12-04,150.2
2013-12-05,149.2
2013-12-06,154.6
2013-12-09,163.0
2013-12-10,152.25
2013-12-11,154.45
2013-12-12,153.25
2013-12-13,153.85
2013-12-16,153.9
2013-12-17,153.35
2013-12-18,155.0
2013-12-19,154.1
2013-12-20,152.3
2013-12-23,150.0
2013-12-24,149.9
2013-12-26,151.7
2013-12-27,151.85
2013-12-30,153.25
2013-12-31,153.5
