Date,RCOM
2013-01-01,75.8
2013-01-02,75.3
2013-01-03,78.8
2013-01-04,80.65
2013-01-07,81.9
2013-01-08,84.05
2013-01-09,82.25
2013-01-10,82.65
2013-01-11,80.0
2013-01-14,83.85
2013-01-15,86.1
2013-01-16,80.9
2013-01-17,83.0
2013-01-18,83.3
2013-01-21,89.0
2013-01-22,87.6
2013-01-23,88.05
2013-01-24,80.0
2013-01-25,86.1
2013-01-28,84.3
2013-01-29,81.0
2013-01-30,82.05
2013-01-31,82.7
2013-02-01,81.3
2013-02-04,78.2
2013-02-05,77.2
2013-02-06,78.45
2013-02-07,75.3
2013-02-08,75.25
2013-02-11,75.05
2013-02-12,73.6
2013-02-13,70.3
2013-02-14,67.25
2013-02-15,70.7
2013-02-18,71.85
2013-02-19,73.05
2013-02-20,72.75
2013-02-21,69.1
2013-02-22,70.45
2013-02-25,69.2
2013-02-26,67.8
2013-02-27,69.35
2013-02-28,61.05
2013-03-01,61.65
2013-03-04,61.35
2013-03-05,63.4
2013-03-06,64.1
2013-03-07,63.55
2013-03-08,65.05
2013-03-11,65.5
2013-03-12,64.2
2013-03-13,64.55
2013-03-14,68.15
2013-03-15,66.6
2013-03-18,65.05
2013-03-19,61.7
2013-03-20,56.7
2013-03-21,54.9
2013-03-22,54.0
2013-03-25,52.25
2013-03-26,51.05
2013-03-28,55.3
2013-04-01,57.05
2013-04-02,63.45
2013-04-03,64.45
2013-04-04,62.65
2013-04-05,63.0
2013-04-08,65.85
2013-04-09,64.5
2013-04-10,73.2
2013-04-11,75.4
2013-04-12,77.85
2013-04-15,78.0
2013-04-16,83.2
2013-04-17,82.1
2013-04-18,86.1
2013-04-22,97.75
2013-04-23,94.5
2013-04-25,95.6
2013-04-26,93.05
2013-04-29,100.35
2013-04-30,96.95
2013-05-02,105.05
2013-05-03,110.3
2013-05-06,112.75
2013-05-07,112.7
2013-05-08,111.95
2013-05-09,109.75
2013-05-10,110.3
2013-05-11,111.1
2013-05-13,105.75
2013-05-14,111.85
2013-05-15,114.8
2013-05-16,113.95
2013-05-17,113.6
2013-05-20,112.9
2013-05-21,111.25
2013-05-22,109.8
2013-05-23,105.95
2013-05-24,108.3
2013-05-27,114.1
2013-05-28,112.7
2013-05-29,110.4
2013-05-30,109.9
2013-05-31,106.4
2013-06-03,110.3
2013-06-04,110.3
2013-06-05,116.3
2013-06-06,117.95
2013-06-07,116.5
2013-06-10,111.05
2013-06-11,103.95
2013-06-12,106.7
2013-06-13,105.5
2013-06-14,106.9
2013-06-17,111.15
2013-06-18,124.05
2013-06-19,126.55
2013-06-20,124.4
2013-06-21,119.55
2013-06-24,113.4
2013-06-25,117.35
2013-06-26,114.75
2013-06-27,115.75
2013-06-28,118.55
2013-07-01,132.6
2013-07-02,130.95
2013-07-03,131.1
2013-07-04,134.1
2013-07-05,135.7
2013-07-08,145.2
2013-07-09,142.45
2013-07-10,140.3
2013-07-11,142.25
2013-07-12,143.9
2013-07-15,146.4
2013-07-16,145.95
2013-07-17,142.95
2013-07-18,146.7
2013-07-19,145.35
2013-07-22,141.05
2013-07-23,137.2
2013-07-24,138.1
2013-07-25,137.3
2013-07-26,134.55
2013-07-29,131.75
2013-07-30,126.8
2013-07-31,139.6
2013-08-01,131.3
2013-08-02,123.85
2013-08-05,121.05
2013-08-06,121.15
2013-08-07,124.8
2013-08-08,124.1
2013-08-12,126.35
2013-08-13,131.95
2013-08-14,133.55
2013-08-16,118.6
2013-08-19,119.95
2013-08-20,120.5
2013-08-21,114.6
2013-08-22,121.15
2013-08-23,116.7
2013-08-26,116.45
2013-08-27,111.9
2013-08-28,111.25
2013-08-29,121.15
2013-08-30,123.2
2013-09-02,130.45
2013-09-03,126.15
2013-09-04,131.15
2013-09-05,135.9
2013-09-06,139.5
2013-09-10,141.75
2013-09-11,143.85
2013-09-12,141.3
2013-09-13,145.8
2013-09-16,142.9
2013-09-17,143.35
2013-09-18,143.25
2013-09-19,160.7
2013-09-20,156.3
2013-09-23,155.25
2013-09-24,154.85
2013-09-25,160.75
2013-09-26,154.95
2013-09-27,151.3
2013-09-30,146.85
2013-10-01,148.85
2013-10-03,151.35
2013-10-04,147.2
2013-10-07,146.65
2013-10-08,150.5
2013-10-09,153.3
2013-10-10,150.7
2013-10-11,150.55
2013-10-14,151.95
2013-10-15,150.15
2013-10-17,148.0
2013-10-18,152.2
2013-10-21,152.7
2013-10-22,155.1
2013-10-23,153.05
2013-10-24,148.9
2013-10-25,144.95
2013-10-28,141.2
2013-10-29,142.75
2013-10-30,145.2
2013-10-31,146.9
2013-11-01,151.8
2013-11-03,151.4
2013-11-05,145.35
2013-11-06,146.4
2013-11-07,139.95
2013-11-08,139.95
2013-11-11,136.35
2013-11-12,129.2
2013-11-13,132.3
2013-11-14,136.15
2013-11-18,138.3
2013-11-19,140.45
2013-11-20,138.8
2013-11-21,135.25
2013-11-22,132.2
2013-11-25,134.5
2013-11-26,135.25
2013-11-27,136.8
2013-11-28,135.45
2013-11-29,138.55
2013-12-02,142.65
2013-12-03,139.5
2013-12-04,136.3
2013-12-05,139.1
2013-12-06,138.8
2013-12-09,140.0
2013-12-10,137.85
2013-12-11,133.4
2013-12-12,132.4
2013-12-13,129.95
2013-12-16,127.3
2013-12-17,127.15
2013-12-18,130.35
2013-12-19,131.25
2013-12-20,132.0
2013-12-23,131.45
2013-12-24,131.3
2013-12-26,130.45
2013-12-27,131.1
2013-12-30,129.45
2013-12-31,130.0
