Date,DBCORP
2013-01-01,230.0
2013-01-02,231.15
2013-01-03,234.8
2013-01-04,234.9
2013-01-07,236.0
2013-01-08,238.35
2013-01-09,233.45
2013-01-10,238.05
2013-01-11,233.85
2013-01-14,237.0
2013-01-15,230.3
2013-01-16,233.75
2013-01-17,234.9
2013-01-18,235.75
2013-01-21,232.05
2013-01-22,235.8
2013-01-23,239.65
2013-01-24,238.95
2013-01-25,240.0
2013-01-28,241.85
2013-01-29,244.9
2013-01-30,247.2
2013-01-31,245.05
2013-02-01,244.75
2013-02-04,240.35
2013-02-05,240.05
2013-02-06,238.5
2013-02-07,236.0
2013-02-08,238.6
2013-02-11,234.8
2013-02-12,237.5
2013-02-13,238.3
2013-02-14,239.8
2013-02-15,239.05
2013-02-18,236.85
2013-02-19,238.7
2013-02-20,235.95
2013-02-21,237.45
2013-02-22,236.2
2013-02-25,235.65
2013-02-26,236.1
2013-02-27,236.9
2013-02-28,229.85
2013-03-01,234.35
2013-03-04,235.15
2013-03-05,235.7
2013-03-06,238.8
2013-03-07,240.0
2013-03-08,246.1
2013-03-11,245.2
2013-03-12,243.15
2013-03-13,245.05
2013-03-14,247.05
2013-03-15,247.2
2013-03-18,251.15
2013-03-19,245.1
2013-03-20,241.0
2013-03-21,240.9
2013-03-22,244.45
2013-03-25,248.75
2013-03-26,236.55
2013-03-28,225.4
2013-04-01,238.65
2013-04-02,237.5
2013-04-03,239.05
2013-04-04,236.05
2013-04-05,233.05
2013-04-08,234.7
2013-04-09,229.2
2013-04-10,224.65
2013-04-11,228.0
2013-04-12,224.3
2013-04-15,225.55
2013-04-16,227.95
2013-04-17,217.8
2013-04-18,222.85
2013-04-22,227.45
2013-04-23,227.65
2013-04-25,227.7
2013-04-26,231.5
2013-04-29,235.7
2013-04-30,241.6
2013-05-02,244.4
2013-05-03,244.65
2013-05-06,246.05
2013-05-07,247.05
2013-05-08,243.6
2013-05-09,242.85
2013-05-10,239.8
2013-05-11,240.6
2013-05-13,236.1
2013-05-14,234.2
2013-05-15,234.75
2013-05-16,241.3
2013-05-17,247.0
2013-05-20,246.7
2013-05-21,248.75
2013-05-22,249.15
2013-05-23,249.05
2013-05-24,252.75
2013-05-27,256.0
2013-05-28,260.75
2013-05-29,262.0
2013-05-30,263.95
2013-05-31,252.2
2013-06-03,246.1
2013-06-04,252.65
2013-06-05,255.7
2013-06-06,250.35
2013-06-07,246.35
2013-06-10,247.9
2013-06-11,239.4
2013-06-12,234.0
2013-06-13,229.1
2013-06-14,228.6
2013-06-17,225.4
2013-06-18,226.05
2013-06-19,236.95
2013-06-20,228.95
2013-06-21,229.0
2013-06-24,229.55
2013-06-25,230.0
2013-06-26,232.65
2013-06-27,235.1
2013-06-28,238.35
2013-07-01,238.95
2013-07-02,237.2
2013-07-03,236.45
2013-07-04,237.0
2013-07-05,238.95
2013-07-08,238.0
2013-07-09,234.2
2013-07-10,231.2
2013-07-11,236.5
2013-07-12,238.8
2013-07-15,239.45
2013-07-16,240.4
2013-07-17,239.9
2013-07-18,248.3
2013-07-19,267.0
2013-07-22,277.4
2013-07-23,276.85
2013-07-24,270.45
2013-07-25,270.2
2013-07-26,262.6
2013-07-29,264.95
2013-07-30,259.5
2013-07-31,249.75
2013-08-01,246.85
2013-08-02,244.85
2013-08-05,248.2
2013-08-06,240.75
2013-08-07,247.85
2013-08-08,250.9
2013-08-12,253.05
2013-08-13,254.75
2013-08-14,247.55
2013-08-16,241.75
2013-08-19,242.35
2013-08-20,239.1
2013-08-21,235.15
2013-08-22,234.6
2013-08-23,237.8
2013-08-26,242.35
2013-08-27,235.4
2013-08-28,230.0
2013-08-29,235.25
2013-08-30,239.2
2013-09-02,240.1
2013-09-03,237.0
2013-09-04,238.8
2013-09-05,241.1
2013-09-06,241.65
2013-09-10,239.8
2013-09-11,245.6
2013-09-12,251.25
2013-09-13,254.0
2013-09-16,257.9
2013-09-17,250.4
2013-09-18,250.55
2013-09-19,252.2
2013-09-20,241.4
2013-09-23,242.75
2013-09-24,239.75
2013-09-25,252.7
2013-09-26,258.9
2013-09-27,253.65
2013-09-30,242.9
2013-10-01,242.5
2013-10-03,253.35
2013-10-04,246.7
2013-10-07,248.6
2013-10-08,249.8
2013-10-09,256.5
2013-10-10,258.05
2013-10-11,253.9
2013-10-14,252.25
2013-10-15,251.05
2013-10-17,247.0
2013-10-18,251.85
2013-10-21,260.3
2013-10-22,259.45
2013-10-23,255.75
2013-10-24,254.45
2013-10-25,256.55
2013-10-28,257.55
2013-10-29,261.4
2013-10-30,262.15
2013-10-31,268.75
2013-11-01,262.05
2013-11-03,268.05
2013-11-05,265.15
2013-11-06,263.05
2013-11-07,269.0
2013-11-08,266.05
2013-11-11,261.5
2013-11-12,264.9
2013-11-13,264.0
2013-11-14,265.3
2013-11-18,263.95
2013-11-19,268.7
2013-11-20,270.3
2013-11-21,269.4
2013-11-22,266.0
2013-11-25,265.55
2013-11-26,264.05
2013-11-27,261.45
2013-11-28,267.25
2013-11-29,268.0
2013-12-02,271.5
2013-12-03,274.65
2013-12-04,272.0
2013-12-05,269.1
2013-12-06,269.2
2013-12-09,270.6
2013-12-10,265.15
2013-12-11,271.0
2013-12-12,273.75
2013-12-13,275.2
2013-12-16,271.25
2013-12-17,270.7
2013-12-18,272.15
2013-12-19,270.85
2013-12-20,274.8
2013-12-23,275.05
2013-12-24,289.0
2013-12-26,285.7
2013-12-27,286.9
2013-12-30,288.0
2013-12-31,294.9
