Date,VIDEOIND
2013-01-01,215.05
2013-01-02,229.3
2013-01-03,237.1
2013-01-04,233.85
2013-01-07,229.7
2013-01-08,224.6
2013-01-09,226.65
2013-01-10,226.3
2013-01-11,218.0
2013-01-14,220.3
2013-01-15,222.5
2013-01-16,216.35
2013-01-17,222.25
2013-01-18,218.75
2013-01-21,220.65
2013-01-22,217.35
2013-01-23,213.3
2013-01-24,203.85
2013-01-25,206.55
2013-01-28,208.65
2013-01-29,203.75
2013-01-30,204.2
2013-01-31,203.5
2013-02-01,213.95
2013-02-04,213.7
2013-02-05,211.75
2013-02-06,210.55
2013-02-07,206.45
2013-02-08,202.2
2013-02-11,200.2
2013-02-12,194.9
2013-02-13,191.75
2013-02-14,184.75
2013-02-15,186.9
2013-02-18,191.05
2013-02-19,193.2
2013-02-20,191.55
2013-02-21,202.6
2013-02-22,198.45
2013-02-25,201.4
2013-02-26,200.05
2013-02-27,198.55
2013-02-28,195.75
2013-03-01,195.6
2013-03-04,198.35
2013-03-05,203.35
2013-03-06,201.1
2013-03-07,199.15
2013-03-08,197.95
2013-03-11,198.75
2013-03-12,197.75
2013-03-13,199.75
2013-03-14,199.1
2013-03-15,200.7
2013-03-18,201.45
2013-03-19,200.75
2013-03-20,199.65
2013-03-21,198.75
2013-03-22,196.85
2013-03-25,196.6
2013-03-26,200.0
2013-03-28,203.5
2013-04-01,205.2
2013-04-02,212.2
2013-04-03,219.1
2013-04-04,206.9
2013-04-05,206.05
2013-04-08,207.65
2013-04-09,206.1
2013-04-10,204.6
2013-04-11,204.0
2013-04-12,210.15
2013-04-15,215.25
2013-04-16,216.05
2013-04-17,213.95
2013-04-18,213.55
2013-04-22,226.55
2013-04-23,222.25
2013-04-25,224.1
2013-04-26,219.1
2013-04-29,221.4
2013-04-30,216.55
2013-05-02,220.3
2013-05-03,222.0
2013-05-06,223.65
2013-05-07,224.45
2013-05-08,223.9
2013-05-09,222.55
2013-05-10,221.8
2013-05-11,220.4
2013-05-13,214.45
2013-05-14,214.85
2013-05-15,215.05
2013-05-16,216.1
2013-05-17,213.95
2013-05-20,212.3
2013-05-21,208.65
2013-05-22,206.4
2013-05-23,203.95
2013-05-24,206.85
2013-05-27,209.8
2013-05-28,208.8
2013-05-29,207.0
2013-05-30,207.3
2013-05-31,218.75
2013-06-03,220.0
2013-06-04,218.85
2013-06-05,218.45
2013-06-06,216.9
2013-06-07,220.5
2013-06-10,218.3
2013-06-11,219.1
2013-06-12,218.25
2013-06-13,215.7
2013-06-14,219.6
2013-06-17,219.05
2013-06-18,219.5
2013-06-19,223.3
2013-06-20,221.0
2013-06-21,219.4
2013-06-24,214.05
2013-06-25,203.45
2013-06-26,205.45
2013-06-27,203.95
2013-06-28,199.45
2013-07-01,205.15
2013-07-02,202.95
2013-07-03,199.65
2013-07-04,199.95
2013-07-05,197.55
2013-07-08,199.05
2013-07-09,199.0
2013-07-10,199.0
2013-07-11,198.7
2013-07-12,196.2
2013-07-15,198.8
2013-07-16,197.75
2013-07-17,196.5
2013-07-18,197.9
2013-07-19,193.1
2013-07-22,193.15
2013-07-23,195.2
2013-07-24,191.5
2013-07-25,187.35
2013-07-26,186.6
2013-07-29,176.5
2013-07-30,172.1
2013-07-31,171.9
2013-08-01,172.55
2013-08-02,173.45
2013-08-05,172.0
2013-08-06,171.1
2013-08-07,170.2
2013-08-08,171.0
2013-08-12,171.7
2013-08-13,171.5
2013-08-14,171.0
2013-08-16,170.6
2013-08-19,171.1
2013-08-20,172.65
2013-08-21,170.7
2013-08-22,171.1
2013-08-23,171.6
2013-08-26,171.3
2013-08-27,171.7
2013-08-28,171.95
2013-08-29,171.9
2013-08-30,172.45
2013-09-02,172.9
2013-09-03,172.5
2013-09-04,172.4
2013-09-05,172.6
2013-09-06,173.85
2013-09-10,178.05
2013-09-11,178.9
2013-09-12,179.4
2013-09-13,178.05
2013-09-16,177.8
2013-09-17,177.4
2013-09-18,180.05
2013-09-19,178.2
2013-09-20,177.95
2013-09-23,177.75
2013-09-24,173.7
2013-09-25,170.8
2013-09-26,170.95
2013-09-27,180.25
2013-09-30,180.3
2013-10-01,177.4
2013-10-03,177.4
2013-10-04,176.8
2013-10-07,176.0
2013-10-08,180.8
2013-10-09,178.65
2013-10-10,178.8
2013-10-11,177.55
2013-10-14,176.15
2013-10-15,174.85
2013-10-17,173.2
2013-10-18,173.85
2013-10-21,179.55
2013-10-22,177.0
2013-10-23,175.55
2013-10-24,174.65
2013-10-25,173.9
2013-10-28,172.2
2013-10-29,172.3
2013-10-30,172.55
2013-10-31,173.05
2013-11-01,178.25
2013-11-03,179.35
2013-11-05,178.6
2013-11-06,178.25
2013-11-07,173.95
2013-11-08,172.3
2013-11-11,172.05
2013-11-12,171.5
2013-11-13,171.6
2013-11-14,171.45
2013-11-18,172.25
2013-11-19,171.5
2013-11-20,170.65
2013-11-21,170.5
2013-11-22,169.55
2013-11-25,169.5
2013-11-26,170.15
2013-11-27,170.25
2013-11-28,170.2
2013-11-29,170.7
2013-12-02,169.7
2013-12-03,170.4
2013-12-04,169.75
2013-12-05,169.75
2013-12-06,168.45
2013-12-09,169.7
2013-12-10,167.1
2013-12-11,167.25
2013-12-12,167.4
2013-12-13,167.4
2013-12-16,167.6
2013-12-17,167.55
2013-12-18,167.7
2013-12-19,168.25
2013-12-20,175.9
2013-12-23,173.45
2013-12-24,173.05
2013-12-26,173.4
2013-12-27,175.6
2013-12-30,174.3
2013-12-31,172.35
