Date,PUNJLLOYD
2013-01-01,61.65
2013-01-02,61.4
2013-01-03,61.7
2013-01-04,61.35
2013-01-07,61.95
2013-01-08,61.25
2013-01-09,62.9
2013-01-10,60.45
2013-01-11,57.6
2013-01-14,57.75
2013-01-15,58.15
2013-01-16,55.9
2013-01-17,55.5
2013-01-18,55.25
2013-01-21,55.85
2013-01-22,54.05
2013-01-23,52.3
2013-01-24,48.7
2013-01-25,51.05
2013-01-28,52.1
2013-01-29,50.55
2013-01-30,51.15
2013-01-31,53.0
2013-02-01,54.45
2013-02-04,51.55
2013-02-05,50.8
2013-02-06,50.75
2013-02-07,50.9
2013-02-08,49.8
2013-02-11,52.1
2013-02-12,49.25
2013-02-13,49.1
2013-02-14,48.8
2013-02-15,47.9
2013-02-18,47.8
2013-02-19,48.5
2013-02-20,48.5
2013-02-21,46.7
2013-02-22,45.45
2013-02-25,44.05
2013-02-26,43.0
2013-02-27,43.3
2013-02-28,40.6
2013-03-01,41.55
2013-03-04,39.45
2013-03-05,40.45
2013-03-06,46.0
2013-03-07,46.0
2013-03-08,46.0
2013-03-11,46.35
2013-03-12,45.75
2013-03-13,46.25
2013-03-14,47.1
2013-03-15,48.85
2013-03-18,49.05
2013-03-19,46.25
2013-03-20,43.4
2013-03-21,42.2
2013-03-22,43.9
2013-03-25,45.05
2013-03-26,44.95
2013-03-28,55.75
2013-04-01,53.3
2013-04-02,54.35
2013-04-03,52.0
2013-04-04,52.75
2013-04-05,52.9
2013-04-08,51.65
2013-04-09,51.05
2013-04-10,51.6
2013-04-11,51.05
2013-04-12,52.35
2013-04-15,51.55
2013-04-16,53.0
2013-04-17,52.15
2013-04-18,51.65
2013-04-22,53.2
2013-04-23,52.9
2013-04-25,54.75
2013-04-26,52.15
2013-04-29,52.65
2013-04-30,53.85
2013-05-02,54.1
2013-05-03,52.8
2013-05-06,53.7
2013-05-07,55.55
2013-05-08,56.5
2013-05-09,55.35
2013-05-10,56.25
2013-05-11,54.25
2013-05-13,53.95
2013-05-14,53.95
2013-05-15,55.05
2013-05-16,54.25
2013-05-17,54.15
2013-05-20,53.4
2013-05-21,51.65
2013-05-22,48.05
2013-05-23,45.85
2013-05-24,46.3
2013-05-27,46.95
2013-05-28,46.9
2013-05-29,45.55
2013-05-30,44.95
2013-05-31,43.1
2013-06-03,43.95
2013-06-04,43.75
2013-06-05,44.95
2013-06-06,44.4
2013-06-07,42.9
2013-06-10,41.4
2013-06-11,41.35
2013-06-12,41.85
2013-06-13,40.65
2013-06-14,41.6
2013-06-17,39.2
2013-06-18,39.25
2013-06-19,37.95
2013-06-20,36.65
2013-06-21,34.75
2013-06-24,33.05
2013-06-25,34.6
2013-06-26,32.5
2013-06-27,33.2
2013-06-28,34.85
2013-07-01,36.75
2013-07-02,36.1
2013-07-03,33.1
2013-07-04,32.4
2013-07-05,32.3
2013-07-08,32.7
2013-07-09,33.2
2013-07-10,32.45
2013-07-11,33.1
2013-07-12,32.2
2013-07-15,33.2
2013-07-16,32.2
2013-07-17,31.5
2013-07-18,32.1
2013-07-19,31.55
2013-07-22,30.45
2013-07-23,30.75
2013-07-24,30.1
2013-07-25,28.7
2013-07-26,27.95
2013-07-29,27.1
2013-07-30,24.8
2013-07-31,25.9
2013-08-01,23.45
2013-08-02,22.7
2013-08-05,24.5
2013-08-06,22.8
2013-08-07,23.95
2013-08-08,24.3
2013-08-12,25.0
2013-08-13,25.9
2013-08-14,26.1
2013-08-16,23.05
2013-08-19,23.1
2013-08-20,24.0
2013-08-21,21.8
2013-08-22,22.2
2013-08-23,22.1
2013-08-26,22.0
2013-08-27,21.25
2013-08-28,21.55
2013-08-29,21.0
2013-08-30,20.85
2013-09-02,22.05
2013-09-03,20.75
2013-09-04,21.75
2013-09-05,22.3
2013-09-06,22.45
2013-09-10,23.2
2013-09-11,24.75
2013-09-12,24.95
2013-09-13,25.25
2013-09-16,24.15
2013-09-17,24.15
2013-09-18,23.8
2013-09-19,25.55
2013-09-20,24.1
2013-09-23,23.0
2013-09-24,23.05
2013-09-25,22.7
2013-09-26,23.9
2013-09-27,23.7
2013-09-30,22.95
2013-10-01,22.85
2013-10-03,24.1
2013-10-04,24.8
2013-10-07,24.95
2013-10-08,27.7
2013-10-09,27.85
2013-10-10,27.35
2013-10-11,26.95
2013-10-14,26.9
2013-10-15,26.15
2013-10-17,26.3
2013-10-18,27.0
2013-10-21,28.45
2013-10-22,30.2
2013-10-23,29.65
2013-10-24,29.1
2013-10-25,28.05
2013-10-28,27.15
2013-10-29,27.7
2013-10-30,28.4
2013-10-31,28.2
2013-11-01,29.8
2013-11-03,28.85
2013-11-05,28.75
2013-11-06,28.2
2013-11-07,27.45
2013-11-08,27.55
2013-11-11,26.5
2013-11-12,26.15
2013-11-13,25.1
2013-11-14,25.9
2013-11-18,26.7
2013-11-19,27.75
2013-11-20,27.55
2013-11-21,26.3
2013-11-22,26.3
2013-11-25,27.85
2013-11-26,25.6
2013-11-27,25.8
2013-11-28,26.3
2013-11-29,26.7
2013-12-02,27.1
2013-12-03,27.85
2013-12-04,27.7
2013-12-05,28.5
2013-12-06,28.7
2013-12-09,28.9
2013-12-10,27.8
2013-12-11,28.45
2013-12-12,27.9
2013-12-13,27.1
2013-12-16,26.8
2013-12-17,26.65
2013-12-18,27.2
2013-12-19,26.75
2013-12-20,28.0
2013-12-23,28.5
2013-12-24,28.25
2013-12-26,29.25
2013-12-27,29.3
2013-12-30,28.85
2013-12-31,28.75
