Date,NATNLSTEEL
2013-01-01,16.4
2013-01-02,19.65
2013-01-03,18.5
2013-01-04,19.3
2013-01-07,19.15
2013-01-08,18.5
2013-01-09,18.2
2013-01-10,18.5
2013-01-11,17.95
2013-01-14,17.75
2013-01-15,17.55
2013-01-16,17.3
2013-01-17,17.1
2013-01-18,17.25
2013-01-21,17.25
2013-01-22,16.9
2013-01-23,16.6
2013-01-24,15.95
2013-01-25,16.3
2013-01-28,16.15
2013-01-29,15.9
2013-01-30,16.1
2013-01-31,15.95
2013-02-01,15.7
2013-02-04,15.5
2013-02-05,15.35
2013-02-06,15.4
2013-02-07,15.35
2013-02-08,15.0
2013-02-11,14.95
2013-02-12,14.6
2013-02-13,15.45
2013-02-14,15.95
2013-02-15,16.9
2013-02-18,19.05
2013-02-19,18.35
2013-02-20,17.8
2013-02-21,17.1
2013-02-22,15.95
2013-02-25,15.15
2013-02-26,15.25
2013-02-27,15.2
2013-02-28,14.6
2013-03-01,14.7
2013-03-04,14.15
2013-03-05,14.25
2013-03-06,14.9
2013-03-07,15.0
2013-03-08,15.2
2013-03-11,15.15
2013-03-12,14.95
2013-03-13,14.5
2013-03-14,14.4
2013-03-15,14.3
2013-03-18,14.15
2013-03-19,14.25
2013-03-20,13.65
2013-03-21,13.25
2013-03-22,12.9
2013-03-25,12.4
2013-03-26,11.75
2013-03-28,12.4
2013-04-01,13.15
2013-04-02,14.0
2013-04-03,13.95
2013-04-04,13.45
2013-04-05,13.5
2013-04-08,13.3
2013-04-09,13.25
2013-04-10,13.45
2013-04-11,13.5
2013-04-12,13.3
2013-04-15,13.0
2013-04-16,13.5
2013-04-17,13.65
2013-04-18,13.8
2013-04-22,14.0
2013-04-23,13.9
2013-04-25,13.75
2013-04-26,13.35
2013-04-29,13.25
2013-04-30,13.45
2013-05-02,13.9
2013-05-03,14.05
2013-05-06,16.1
2013-05-07,16.85
2013-05-08,16.05
2013-05-09,15.1
2013-05-10,15.15
2013-05-11,14.95
2013-05-13,14.85
2013-05-14,14.5
2013-05-15,14.85
2013-05-16,15.25
2013-05-17,14.9
2013-05-20,15.2
2013-05-21,15.4
2013-05-22,15.45
2013-05-23,15.2
2013-05-24,14.85
2013-05-27,15.5
2013-05-28,15.05
2013-05-29,15.1
2013-05-30,15.45
2013-05-31,14.8
2013-06-03,14.7
2013-06-04,14.7
2013-06-05,14.45
2013-06-06,14.3
2013-06-07,14.15
2013-06-10,14.2
2013-06-11,13.6
2013-06-12,13.4
2013-06-13,13.5
2013-06-14,13.8
2013-06-17,13.25
2013-06-18,13.75
2013-06-19,14.45
2013-06-20,13.8
2013-06-21,14.4
2013-06-24,13.45
2013-06-25,13.55
2013-06-26,13.75
2013-06-27,13.65
2013-06-28,13.7
2013-07-01,14.25
2013-07-02,14.1
2013-07-03,13.6
2013-07-04,14.1
2013-07-05,15.05
2013-07-08,15.55
2013-07-09,15.05
2013-07-10,15.3
2013-07-11,15.1
2013-07-12,15.4
2013-07-15,15.65
2013-07-16,15.55
2013-07-17,15.55
2013-07-18,15.55
2013-07-19,15.25
2013-07-22,14.95
2013-07-23,14.65
2013-07-24,14.25
2013-07-25,14.1
2013-07-26,14.45
2013-07-29,14.4
2013-07-30,14.05
2013-07-31,13.7
2013-08-01,13.15
2013-08-02,12.8
2013-08-05,13.15
2013-08-06,12.25
2013-08-07,12.65
2013-08-08,12.6
2013-08-12,13.65
2013-08-13,13.7
2013-08-14,13.25
2013-08-16,12.9
2013-08-19,13.0
2013-08-20,13.1
2013-08-21,12.75
2013-08-22,13.05
2013-08-23,13.0
2013-08-26,13.05
2013-08-27,12.75
2013-08-28,12.55
2013-08-29,12.35
2013-08-30,12.5
2013-09-02,12.75
2013-09-03,13.15
2013-09-04,13.15
2013-09-05,12.95
2013-09-06,13.25
2013-09-10,13.3
2013-09-11,13.6
2013-09-12,13.65
2013-09-13,13.3
2013-09-16,13.75
2013-09-17,13.95
2013-09-18,13.9
2013-09-19,13.8
2013-09-20,13.65
2013-09-23,13.5
2013-09-24,13.75
2013-09-25,14.05
2013-09-26,13.55
2013-09-27,13.45
2013-09-30,13.3
2013-10-01,13.25
2013-10-03,14.25
2013-10-04,13.6
2013-10-07,13.9
2013-10-08,13.75
2013-10-09,13.7
2013-10-10,14.0
2013-10-11,13.9
2013-10-14,14.5
2013-10-15,14.0
2013-10-17,13.85
2013-10-18,13.95
2013-10-21,14.0
2013-10-22,14.25
2013-10-23,14.1
2013-10-24,14.0
2013-10-25,13.8
2013-10-28,13.5
2013-10-29,13.75
2013-10-30,13.6
2013-10-31,13.6
2013-11-01,13.75
2013-11-03,13.8
2013-11-05,14.15
2013-11-06,15.4
2013-11-07,14.65
2013-11-08,14.55
2013-11-11,14.45
2013-11-12,14.2
2013-11-13,13.75
2013-11-14,13.8
2013-11-18,14.1
2013-11-19,13.75
2013-11-20,13.75
2013-11-21,13.6
2013-11-22,13.6
2013-11-25,14.65
2013-11-26,14.7
2013-11-27,14.3
2013-11-28,14.4
2013-11-29,14.95
2013-12-02,14.95
2013-12-03,14.85
2013-12-04,14.7
2013-12-05,14.55
2013-12-06,14.5
2013-12-09,14.5
2013-12-10,14.45
2013-12-11,14.05
2013-12-12,13.8
2013-12-13,13.85
2013-12-16,14.05
2013-12-17,13.85
2013-12-18,14.05
2013-12-19,13.75
2013-12-20,13.8
2013-12-23,13.95
2013-12-24,14.1
2013-12-26,14.5
2013-12-27,14.55
2013-12-30,14.25
2013-12-31,14.4
