Date,ESSDEE
2013-01-01,367.3
2013-01-02,370.05
2013-01-03,368.9
2013-01-04,372.2
2013-01-07,370.4
2013-01-08,369.1
2013-01-09,359.45
2013-01-10,356.9
2013-01-11,350.7
2013-01-14,349.25
2013-01-15,346.25
2013-01-16,343.25
2013-01-17,342.4
2013-01-18,364.6
2013-01-21,369.5
2013-01-22,358.0
2013-01-23,361.3
2013-01-24,340.2
2013-01-25,353.55
2013-01-28,346.8
2013-01-29,340.0
2013-01-30,335.6
2013-01-31,326.0
2013-02-01,316.05
2013-02-04,319.3
2013-02-05,315.2
2013-02-06,314.65
2013-02-07,310.55
2013-02-08,298.2
2013-02-11,293.95
2013-02-12,298.35
2013-02-13,299.65
2013-02-14,294.1
2013-02-15,344.4
2013-02-18,378.35
2013-02-19,366.05
2013-02-20,349.8
2013-02-21,325.0
2013-02-22,347.95
2013-02-25,331.0
2013-02-26,327.95
2013-02-27,333.7
2013-02-28,325.45
2013-03-01,339.0
2013-03-04,330.05
2013-03-05,339.65
2013-03-06,345.75
2013-03-07,340.25
2013-03-08,345.5
2013-03-11,347.65
2013-03-12,341.85
2013-03-13,334.1
2013-03-14,330.75
2013-03-15,330.5
2013-03-18,327.45
2013-03-19,311.25
2013-03-20,281.4
2013-03-21,289.4
2013-03-22,287.5
2013-03-25,297.7
2013-03-26,314.55
2013-03-28,313.95
2013-04-01,342.6
2013-04-02,340.45
2013-04-03,373.6
2013-04-04,368.4
2013-04-05,387.45
2013-04-08,377.05
2013-04-09,384.6
2013-04-10,405.0
2013-04-11,469.35
2013-04-12,473.55
2013-04-15,442.0
2013-04-16,456.05
2013-04-17,448.95
2013-04-18,474.5
2013-04-22,480.55
2013-04-23,467.25
2013-04-25,496.45
2013-04-26,505.25
2013-04-29,519.0
2013-04-30,512.35
2013-05-02,558.1
2013-05-03,566.9
2013-05-06,556.45
2013-05-07,514.75
2013-05-08,499.5
2013-05-09,527.8
2013-05-10,544.3
2013-05-11,540.3
2013-05-13,555.8
2013-05-14,559.25
2013-05-15,560.5
2013-05-16,554.25
2013-05-17,543.9
2013-05-20,546.7
2013-05-21,578.05
2013-05-22,561.25
2013-05-23,543.25
2013-05-24,534.25
2013-05-27,548.65
2013-05-28,554.4
2013-05-29,551.5
2013-05-30,553.0
2013-05-31,587.95
2013-06-03,585.75
2013-06-04,596.3
2013-06-05,593.8
2013-06-06,593.4
2013-06-07,593.75
2013-06-10,594.2
2013-06-11,558.8
2013-06-12,560.8
2013-06-13,559.75
2013-06-14,570.85
2013-06-17,570.35
2013-06-18,599.55
2013-06-19,598.8
2013-06-20,597.6
2013-06-21,592.1
2013-06-24,554.6
2013-06-25,524.15
2013-06-26,507.15
2013-06-27,491.0
2013-06-28,507.75
2013-07-01,529.2
2013-07-02,537.8
2013-07-03,533.95
2013-07-04,539.3
2013-07-05,540.25
2013-07-08,542.1
2013-07-09,532.85
2013-07-10,507.25
2013-07-11,510.65
2013-07-12,508.8
2013-07-15,546.8
2013-07-16,533.5
2013-07-17,527.75
2013-07-18,526.7
2013-07-19,518.3
2013-07-22,537.85
2013-07-23,534.5
2013-07-24,514.95
2013-07-25,516.85
2013-07-26,502.0
2013-07-29,482.0
2013-07-30,471.25
2013-07-31,481.05
2013-08-01,471.05
2013-08-02,450.75
2013-08-05,451.9
2013-08-06,405.6
2013-08-07,417.05
2013-08-08,415.3
2013-08-12,498.35
2013-08-13,527.9
2013-08-14,512.95
2013-08-16,482.55
2013-08-19,515.55
2013-08-20,509.8
2013-08-21,512.05
2013-08-22,515.3
2013-08-23,514.0
2013-08-26,520.35
2013-08-27,498.15
2013-08-28,486.9
2013-08-29,495.7
2013-08-30,494.5
2013-09-02,496.75
2013-09-03,487.45
2013-09-04,507.45
2013-09-05,507.45
2013-09-06,504.65
2013-09-10,511.65
2013-09-11,523.8
2013-09-12,528.3
2013-09-13,528.3
2013-09-16,545.1
2013-09-17,563.35
2013-09-18,569.1
2013-09-19,566.35
2013-09-20,567.15
2013-09-23,589.5
2013-09-24,588.15
2013-09-25,580.55
2013-09-26,577.95
2013-09-27,578.4
2013-09-30,522.05
2013-10-01,545.5
2013-10-03,552.6
2013-10-04,545.8
2013-10-07,539.3
2013-10-08,540.15
2013-10-09,544.1
2013-10-10,551.4
2013-10-11,548.65
2013-10-14,544.9
2013-10-15,535.8
2013-10-17,526.5
2013-10-18,521.2
2013-10-21,542.7
2013-10-22,540.95
2013-10-23,540.25
2013-10-24,542.15
2013-10-25,519.1
2013-10-28,511.3
2013-10-29,511.75
2013-10-30,510.65
2013-10-31,509.2
2013-11-01,516.55
2013-11-03,520.05
2013-11-05,503.9
2013-11-06,498.45
2013-11-07,505.5
2013-11-08,525.2
2013-11-11,514.65
2013-11-12,511.9
2013-11-13,520.85
2013-11-14,505.65
2013-11-18,502.4
2013-11-19,501.5
2013-11-20,501.95
2013-11-21,498.05
2013-11-22,504.55
2013-11-25,528.55
2013-11-26,516.45
2013-11-27,515.7
2013-11-28,518.9
2013-11-29,523.15
2013-12-02,523.35
2013-12-03,521.9
2013-12-04,534.0
2013-12-05,532.35
2013-12-06,524.4
2013-12-09,533.2
2013-12-10,572.35
2013-12-11,550.5
2013-12-12,562.55
2013-12-13,564.8
2013-12-16,570.5
2013-12-17,567.25
2013-12-18,563.65
2013-12-19,556.7
2013-12-20,562.85
2013-12-23,556.3
2013-12-24,554.75
2013-12-26,556.15
2013-12-27,561.9
2013-12-30,559.1
2013-12-31,548.1
