Date,ICICIGOLD
2013-01-01,3018.75
2013-01-02,3003.0
2013-01-03,3040.25
2013-01-04,3005.75
2013-01-07,3021.1
2013-01-08,2995.4
2013-01-09,3011.3
2013-01-10,2994.6
2013-01-11,3010.95
2013-01-14,2991.95
2013-01-15,2996.3
2013-01-16,2999.15
2013-01-17,2985.3
2013-01-18,2988.7
2013-01-21,2987.1
2013-01-22,3027.8
2013-01-23,3012.85
2013-01-24,2974.7
2013-01-25,2978.35
2013-01-28,2974.75
2013-01-29,2953.95
2013-01-30,2953.6
2013-01-31,2950.6
2013-02-01,2943.75
2013-02-04,2947.5
2013-02-05,2971.95
2013-02-06,2952.95
2013-02-07,2956.7
2013-02-08,2957.0
2013-02-11,2952.6
2013-02-12,2949.95
2013-02-13,2947.6
2013-02-14,2937.0
2013-02-15,2919.25
2013-02-18,2902.15
2013-02-19,2900.55
2013-02-20,2899.45
2013-02-21,2841.35
2013-02-22,2864.25
2013-02-25,2851.75
2013-02-26,2865.3
2013-02-27,2873.75
2013-02-28,2856.65
2013-03-01,2858.9
2013-03-04,2860.95
2013-03-05,2861.7
2013-03-06,2846.65
2013-03-07,2856.65
2013-03-08,2843.2
2013-03-11,2835.6
2013-03-12,2836.9
2013-03-13,2840.9
2013-03-14,2830.1
2013-03-15,2843.9
2013-03-18,2851.65
2013-03-19,2872.4
2013-03-20,2869.4
2013-03-21,2874.3
2013-03-22,2866.55
2013-03-25,2859.05
2013-03-26,2846.15
2013-03-28,2850.05
2013-04-01,2865.15
2013-04-02,2863.6
2013-04-03,2832.1
2013-04-04,2802.95
2013-04-05,2806.7
2013-04-08,2839.5
2013-04-09,2818.65
2013-04-10,2852.0
2013-04-11,2809.8
2013-04-12,2788.6
2013-04-15,2548.0
2013-04-16,2502.7
2013-04-17,2517.8
2013-04-18,2517.3
2013-04-22,2614.5
2013-04-23,2622.5
2013-04-25,2678.35
2013-04-26,2652.9
2013-04-29,2713.1
2013-04-30,2647.65
2013-05-02,2626.75
2013-05-03,2675.2
2013-05-06,2665.1
2013-05-07,2644.15
2013-05-08,2642.65
2013-05-09,2655.2
2013-05-10,2666.9
2013-05-11,2679.65
2013-05-13,2655.15
2013-05-14,2632.45
2013-05-15,2615.2
2013-05-16,2571.1
2013-05-17,2556.7
2013-05-20,2515.25
2013-05-21,2543.25
2013-05-22,2554.95
2013-05-23,2553.8
2013-05-24,2552.8
2013-05-27,2549.75
2013-05-28,2535.35
2013-05-29,2553.1
2013-05-30,2579.4
2013-05-31,2611.05
2013-06-03,2610.25
2013-06-04,2605.55
2013-06-05,2600.0
2013-06-06,2630.55
2013-06-07,2664.0
2013-06-10,2642.05
2013-06-11,2626.0
2013-06-12,2627.1
2013-06-13,2626.6
2013-06-14,2606.55
2013-06-17,2649.9
2013-06-18,2667.5
2013-06-19,2672.1
2013-06-20,2604.55
2013-06-21,2580.05
2013-06-24,2571.9
2013-06-25,2566.3
2013-06-26,2488.25
2013-06-27,2500.85
2013-06-28,2415.45
2013-07-01,2478.1
2013-07-02,2518.35
2013-07-03,2526.5
2013-07-04,2574.85
2013-07-05,2523.9
2013-07-08,2506.8
2013-07-09,2520.15
2013-07-10,2545.6
2013-07-11,2574.5
2013-07-12,2542.85
2013-07-15,2584.1
2013-07-16,2549.75
2013-07-17,2558.05
2013-07-18,2558.3
2013-07-19,2570.95
2013-07-22,2619.9
2013-07-23,2660.0
2013-07-24,2661.45
2013-07-25,2610.2
2013-07-26,2646.8
2013-07-29,2682.5
2013-07-30,2700.5
2013-07-31,2726.65
2013-08-01,2739.85
2013-08-02,2671.95
2013-08-05,2719.85
2013-08-06,2711.0
2013-08-07,2701.35
2013-08-08,2696.1
2013-08-12,2780.7
2013-08-13,2826.35
2013-08-14,2823.55
2013-08-16,2928.75
2013-08-19,2973.25
2013-08-20,2957.95
2013-08-21,2993.2
2013-08-22,2990.8
2013-08-23,2965.55
2013-08-26,3029.85
2013-08-27,3022.9
2013-08-28,3045.15
2013-08-29,3022.9
2013-08-30,2998.1
2013-09-02,2968.7
2013-09-03,3096.45
2013-09-04,3059.95
2013-09-05,3004.2
2013-09-06,2930.1
2013-09-10,2921.75
2013-09-11,2886.7
2013-09-12,2863.15
2013-09-13,2821.4
2013-09-16,2832.75
2013-09-17,2856.15
2013-09-18,2816.35
2013-09-19,2894.0
2013-09-20,2857.25
2013-09-23,2835.0
2013-09-24,2834.95
2013-09-25,2878.4
2013-09-26,2848.95
2013-09-27,2830.0
2013-09-30,2870.1
2013-10-01,2890.05
2013-10-03,2838.5
2013-10-04,2837.0
2013-10-07,2859.8
2013-10-08,2861.0
2013-10-09,2852.45
2013-10-10,2859.45
2013-10-11,2835.35
2013-10-14,2860.25
2013-10-15,2825.0
2013-10-17,2916.1
2013-10-18,2929.2
2013-10-21,2941.55
2013-10-22,2996.1
2013-10-23,2976.15
2013-10-24,3043.1
2013-10-25,3014.95
2013-10-28,3008.15
2013-10-29,2975.0
2013-10-30,2940.5
2013-10-31,2915.1
2013-11-01,2915.65
2013-11-03,2939.0
2013-11-05,2881.1
2013-11-06,2950.2
2013-11-07,2934.3
2013-11-08,2891.45
2013-11-11,2905.25
2013-11-12,2966.5
2013-11-13,2929.4
2013-11-14,2940.8
2013-11-18,2975.25
2013-11-19,2930.25
2013-11-20,2929.0
2013-11-21,2969.55
2013-11-22,2924.2
2013-11-25,2892.35
2013-11-26,2949.1
2013-11-27,2933.0
2013-11-28,2888.1
2013-11-29,2939.0
2013-12-02,2911.25
2013-12-03,2901.0
2013-12-04,2920.45
2013-12-05,2894.35
2013-12-06,2899.85
2013-12-09,2891.25
2013-12-10,2895.5
2013-12-11,2911.45
2013-12-12,2880.5
2013-12-13,2878.2
2013-12-16,2885.95
2013-12-17,2858.5
2013-12-18,2844.75
2013-12-19,2856.3
2013-12-20,2863.75
2013-12-23,2825.0
2013-12-24,2821.75
2013-12-26,2801.1
2013-12-27,2828.0
2013-12-30,2796.25
2013-12-31,2788.2
