Date,SHARONBIO
2013-01-01,382.55
2013-01-02,379.3
2013-01-03,380.7
2013-01-04,378.65
2013-01-07,373.7
2013-01-08,368.25
2013-01-09,363.05
2013-01-10,363.4
2013-01-11,363.1
2013-01-14,362.0
2013-01-15,362.5
2013-01-16,358.1
2013-01-17,359.15
2013-01-18,362.0
2013-01-21,358.95
2013-01-22,361.3
2013-01-23,359.25
2013-01-24,358.95
2013-01-25,358.95
2013-01-28,361.1
2013-01-29,360.25
2013-01-30,359.35
2013-01-31,359.05
2013-02-01,360.75
2013-02-04,358.15
2013-02-05,364.3
2013-02-06,357.3
2013-02-07,356.2
2013-02-08,359.4
2013-02-11,356.3
2013-02-12,355.9
2013-02-13,357.3
2013-02-14,352.6
2013-02-15,350.95
2013-02-18,355.6
2013-02-19,351.05
2013-02-20,353.1
2013-02-21,345.9
2013-02-22,350.65
2013-02-25,349.0
2013-02-26,352.25
2013-02-27,349.5
2013-02-28,350.0
2013-03-01,348.0
2013-03-04,350.2
2013-03-05,348.4
2013-03-06,350.5
2013-03-07,353.2
2013-03-08,347.7
2013-03-11,346.3
2013-03-12,349.85
2013-03-13,347.45
2013-03-14,348.95
2013-03-15,347.3
2013-03-18,347.75
2013-03-19,347.8
2013-03-20,348.0
2013-03-21,344.95
2013-03-22,345.6
2013-03-25,344.3
2013-03-26,345.45
2013-03-28,344.8
2013-04-01,344.65
2013-04-02,345.4
2013-04-03,345.8
2013-04-04,344.8
2013-04-05,344.5
2013-04-08,346.55
2013-04-09,345.45
2013-04-10,344.9
2013-04-11,348.45
2013-04-12,344.45
2013-04-15,344.6
2013-04-16,346.45
2013-04-17,347.35
2013-04-18,344.65
2013-04-22,348.0
2013-04-23,348.35
2013-04-25,345.6
2013-04-26,344.8
2013-04-29,345.2
2013-04-30,346.0
2013-05-02,344.4
2013-05-03,343.95
2013-05-06,343.25
2013-05-07,347.95
2013-05-08,344.9
2013-05-09,347.15
2013-05-10,346.15
2013-05-11,346.05
2013-05-13,345.0
2013-05-14,344.5
2013-05-15,345.55
2013-05-16,342.8
2013-05-17,344.85
2013-05-20,341.9
2013-05-21,343.4
2013-05-22,344.65
2013-05-23,344.65
2013-05-24,341.15
2013-05-27,342.25
2013-05-28,341.45
2013-05-29,341.6
2013-05-30,341.65
2013-05-31,340.45
2013-06-03,341.05
2013-06-04,339.85
2013-06-05,340.75
2013-06-06,340.85
2013-06-07,339.75
2013-06-10,339.8
2013-06-11,339.95
2013-06-12,340.3
2013-06-13,339.7
2013-06-14,340.1
2013-06-17,339.75
2013-06-18,340.0
2013-06-19,336.65
2013-06-20,335.0
2013-06-21,335.5
2013-06-24,333.85
2013-06-25,331.5
2013-06-26,331.85
2013-06-27,334.95
2013-06-28,332.5
2013-07-01,331.6
2013-07-02,331.8
2013-07-03,332.5
2013-07-04,330.75
2013-07-05,330.35
2013-07-08,329.7
2013-07-09,323.0
2013-07-10,315.25
2013-07-11,314.15
2013-07-12,341.35
2013-07-15,314.9
2013-07-16,322.8
2013-07-17,313.4
2013-07-18,310.0
2013-07-19,308.75
2013-07-22,309.0
2013-07-23,312.65
2013-07-24,322.15
2013-07-25,310.05
2013-07-26,310.3
2013-07-29,310.0
2013-07-30,309.5
2013-07-31,309.35
2013-08-01,316.55
2013-08-02,311.75
2013-08-05,313.05
2013-08-06,315.55
2013-08-07,308.5
2013-08-08,316.75
2013-08-12,311.0
2013-08-13,310.3
2013-08-14,313.5
2013-08-16,309.8
2013-08-19,310.9
2013-08-20,310.0
2013-08-21,309.05
2013-08-22,308.7
2013-08-23,312.0
2013-08-26,311.8
2013-08-27,307.7
2013-08-28,308.0
2013-08-29,302.5
2013-08-30,291.8
2013-09-02,303.8
2013-09-03,300.0
2013-09-04,299.8
2013-09-05,304.9
2013-09-06,298.0
2013-09-10,295.0
2013-09-11,292.0
2013-09-12,300.0
2013-09-13,298.4
2013-09-16,295.0
2013-09-17,298.45
2013-09-18,299.0
2013-09-19,303.5
2013-09-20,314.05
2013-09-23,301.65
2013-09-24,296.5
2013-09-25,302.2
2013-09-26,316.95
2013-09-27,299.65
2013-09-30,300.5
2013-10-01,300.0
2013-10-03,307.65
2013-10-04,303.0
2013-10-07,308.0
2013-10-08,299.0
2013-10-09,296.5
2013-10-10,295.4
2013-10-11,283.9
2013-10-14,289.7
2013-10-15,288.7
2013-10-17,288.55
2013-10-18,284.55
2013-10-21,290.9
2013-10-22,287.65
2013-10-23,290.2
2013-10-24,288.85
2013-10-25,285.1
2013-10-28,285.1
2013-10-29,284.0
2013-10-30,286.0
2013-10-31,288.0
2013-11-01,289.05
2013-11-03,289.9
2013-11-05,300.0
2013-11-06,290.45
2013-11-07,291.95
2013-11-08,294.0
2013-11-11,294.3
2013-11-12,290.15
2013-11-13,290.05
2013-11-14,294.7
2013-11-18,290.3
2013-11-19,293.25
2013-11-20,277.1
2013-11-21,282.2
2013-11-22,284.0
2013-11-25,289.35
2013-11-26,295.0
2013-11-27,292.75
2013-11-28,293.65
2013-11-29,290.25
2013-12-02,289.7
2013-12-03,283.85
2013-12-04,291.2
2013-12-05,289.85
2013-12-06,288.85
2013-12-09,293.9
2013-12-10,298.15
2013-12-11,304.05
2013-12-12,309.15
2013-12-13,313.55
2013-12-16,368.65
2013-12-17,347.4
2013-12-18,350.3
2013-12-19,336.35
2013-12-20,343.35
2013-12-23,375.45
2013-12-24,375.15
2013-12-26,380.6
2013-12-27,388.95
2013-12-30,383.5
2013-12-31,383.05
