Date,LITL
2013-01-01,14.35
2013-01-02,14.5
2013-01-03,14.8
2013-01-04,14.7
2013-01-07,14.55
2013-01-08,14.65
2013-01-09,14.7
2013-01-10,14.45
2013-01-11,14.0
2013-01-14,14.35
2013-01-15,14.25
2013-01-16,13.95
2013-01-17,13.85
2013-01-18,14.0
2013-01-21,13.85
2013-01-22,13.7
2013-01-23,13.45
2013-01-24,12.5
2013-01-25,12.45
2013-01-28,12.8
2013-01-29,12.7
2013-01-30,12.55
2013-01-31,12.5
2013-02-01,12.75
2013-02-04,12.75
2013-02-05,12.5
2013-02-06,12.95
2013-02-07,12.6
2013-02-08,12.5
2013-02-11,12.45
2013-02-12,12.05
2013-02-13,11.8
2013-02-14,11.75
2013-02-15,11.45
2013-02-18,11.7
2013-02-19,11.8
2013-02-20,12.0
2013-02-21,11.65
2013-02-22,11.6
2013-02-25,11.35
2013-02-26,10.95
2013-02-27,11.2
2013-02-28,10.55
2013-03-01,10.35
2013-03-04,10.15
2013-03-05,10.3
2013-03-06,10.8
2013-03-07,10.9
2013-03-08,11.0
2013-03-11,11.1
2013-03-12,11.25
2013-03-13,11.95
2013-03-14,12.4
2013-03-15,12.4
2013-03-18,11.8
2013-03-19,10.95
2013-03-20,10.5
2013-03-21,10.3
2013-03-22,10.45
2013-03-25,10.45
2013-03-26,10.45
2013-03-28,10.3
2013-04-01,10.8
2013-04-02,11.05
2013-04-03,10.8
2013-04-04,10.55
2013-04-05,10.65
2013-04-08,10.55
2013-04-09,10.5
2013-04-10,10.55
2013-04-11,10.55
2013-04-12,10.45
2013-04-15,10.45
2013-04-16,10.55
2013-04-17,10.6
2013-04-18,10.7
2013-04-22,11.05
2013-04-23,10.9
2013-04-25,10.8
2013-04-26,10.5
2013-04-29,11.65
2013-04-30,11.25
2013-05-02,11.2
2013-05-03,10.8
2013-05-06,11.0
2013-05-07,11.2
2013-05-08,10.95
2013-05-09,10.85
2013-05-10,10.8
2013-05-11,10.8
2013-05-13,10.6
2013-05-14,10.5
2013-05-15,10.85
2013-05-16,10.9
2013-05-17,10.95
2013-05-20,10.85
2013-05-21,10.65
2013-05-22,10.55
2013-05-23,10.15
2013-05-24,10.2
2013-05-27,10.2
2013-05-28,10.15
2013-05-29,10.15
2013-05-30,10.1
2013-05-31,9.3
2013-06-03,8.8
2013-06-04,9.05
2013-06-05,8.9
2013-06-06,8.6
2013-06-07,8.5
2013-06-10,7.6
2013-06-11,6.95
2013-06-12,6.25
2013-06-13,6.75
2013-06-14,7.4
2013-06-17,7.9
2013-06-18,7.65
2013-06-19,7.7
2013-06-20,7.35
2013-06-21,7.0
2013-06-24,6.65
2013-06-25,6.65
2013-06-26,6.5
2013-06-27,6.7
2013-06-28,6.85
2013-07-01,7.15
2013-07-02,7.5
2013-07-03,7.15
2013-07-04,7.1
2013-07-05,7.05
2013-07-08,7.0
2013-07-09,7.1
2013-07-10,7.05
2013-07-11,7.05
2013-07-12,6.95
2013-07-15,7.25
2013-07-16,6.9
2013-07-17,6.95
2013-07-18,6.85
2013-07-19,6.75
2013-07-22,6.5
2013-07-23,6.4
2013-07-24,6.2
2013-07-25,6.1
2013-07-26,6.05
2013-07-29,5.8
2013-07-30,5.4
2013-07-31,5.2
2013-08-01,5.2
2013-08-02,5.05
2013-08-05,5.05
2013-08-06,5.4
2013-08-07,5.4
2013-08-08,5.35
2013-08-12,5.5
2013-08-13,5.7
2013-08-14,5.7
2013-08-16,5.35
2013-08-19,5.3
2013-08-20,5.45
2013-08-21,5.3
2013-08-22,5.35
2013-08-23,5.3
2013-08-26,5.25
2013-08-27,5.15
2013-08-28,5.1
2013-08-29,5.15
2013-08-30,5.1
2013-09-02,5.1
2013-09-03,5.0
2013-09-04,5.0
2013-09-05,5.05
2013-09-06,5.2
2013-09-10,5.4
2013-09-11,6.15
2013-09-12,6.1
2013-09-13,6.1
2013-09-16,5.75
2013-09-17,5.8
2013-09-18,5.75
2013-09-19,6.0
2013-09-20,5.7
2013-09-23,5.55
2013-09-24,5.55
2013-09-25,5.55
2013-09-26,5.55
2013-09-27,5.6
2013-09-30,5.35
2013-10-01,5.4
2013-10-03,5.5
2013-10-04,5.45
2013-10-07,5.4
2013-10-08,6.0
2013-10-09,5.95
2013-10-10,5.95
2013-10-11,5.95
2013-10-14,6.0
2013-10-15,5.7
2013-10-17,5.9
2013-10-18,6.0
2013-10-21,6.35
2013-10-22,6.95
2013-10-23,6.6
2013-10-24,6.7
2013-10-25,6.6
2013-10-28,6.35
2013-10-29,6.4
2013-10-30,6.4
2013-10-31,6.1
2013-11-01,6.4
2013-11-03,6.55
2013-11-05,6.7
2013-11-06,6.7
2013-11-07,6.35
2013-11-08,6.4
2013-11-11,6.25
2013-11-12,5.95
2013-11-13,5.85
2013-11-14,5.95
2013-11-18,6.1
2013-11-19,6.15
2013-11-20,6.05
2013-11-21,6.0
2013-11-22,5.95
2013-11-25,6.0
2013-11-26,5.8
2013-11-27,5.75
2013-11-28,5.8
2013-11-29,5.9
2013-12-02,6.1
2013-12-03,6.1
2013-12-04,6.3
2013-12-05,6.65
2013-12-06,6.75
2013-12-09,6.75
2013-12-10,6.6
2013-12-11,7.0
2013-12-12,7.05
2013-12-13,6.75
2013-12-16,6.55
2013-12-17,6.6
2013-12-18,6.65
2013-12-19,6.55
2013-12-20,6.8
2013-12-23,6.8
2013-12-24,6.85
2013-12-26,7.6
2013-12-27,7.7
2013-12-30,7.75
2013-12-31,7.65
