Date,CGPOWER
2013-01-01,119.15
2013-01-02,122.6
2013-01-03,123.3
2013-01-04,124.1
2013-01-07,122.95
2013-01-08,123.05
2013-01-09,122.2
2013-01-10,119.5
2013-01-11,116.0
2013-01-14,120.45
2013-01-15,120.2
2013-01-16,117.8
2013-01-17,117.3
2013-01-18,113.95
2013-01-21,114.0
2013-01-22,112.1
2013-01-23,108.2
2013-01-24,107.55
2013-01-25,110.45
2013-01-28,107.95
2013-01-29,108.3
2013-01-30,106.85
2013-01-31,106.95
2013-02-01,106.25
2013-02-04,106.05
2013-02-05,104.9
2013-02-06,104.65
2013-02-07,104.5
2013-02-08,103.6
2013-02-11,103.9
2013-02-12,103.8
2013-02-13,103.05
2013-02-14,98.35
2013-02-15,98.1
2013-02-18,99.95
2013-02-19,100.15
2013-02-20,99.5
2013-02-21,96.05
2013-02-22,96.6
2013-02-25,93.15
2013-02-26,93.05
2013-02-27,95.25
2013-02-28,90.75
2013-03-01,94.25
2013-03-04,93.95
2013-03-05,94.9
2013-03-06,94.85
2013-03-07,99.05
2013-03-08,98.5
2013-03-11,99.5
2013-03-12,98.1
2013-03-13,96.4
2013-03-14,98.8
2013-03-15,97.55
2013-03-18,99.1
2013-03-19,95.3
2013-03-20,92.6
2013-03-21,92.55
2013-03-22,91.9
2013-03-25,91.8
2013-03-26,92.45
2013-03-28,93.8
2013-04-01,93.85
2013-04-02,96.55
2013-04-03,92.65
2013-04-04,91.05
2013-04-05,91.7
2013-04-08,91.45
2013-04-09,90.25
2013-04-10,89.35
2013-04-11,90.2
2013-04-12,91.65
2013-04-15,88.4
2013-04-16,90.55
2013-04-17,91.85
2013-04-18,92.15
2013-04-22,95.05
2013-04-23,94.25
2013-04-25,94.75
2013-04-26,90.4
2013-04-29,92.1
2013-04-30,92.2
2013-05-02,93.4
2013-05-03,94.5
2013-05-06,97.05
2013-05-07,98.05
2013-05-08,96.75
2013-05-09,95.25
2013-05-10,93.2
2013-05-11,94.0
2013-05-13,91.9
2013-05-14,94.2
2013-05-15,96.55
2013-05-16,97.1
2013-05-17,105.8
2013-05-20,101.7
2013-05-21,105.1
2013-05-22,108.35
2013-05-23,97.3
2013-05-24,96.2
2013-05-27,93.95
2013-05-28,95.95
2013-05-29,96.3
2013-05-30,96.4
2013-05-31,93.85
2013-06-03,91.9
2013-06-04,90.7
2013-06-05,90.2
2013-06-06,91.65
2013-06-07,89.55
2013-06-10,88.45
2013-06-11,88.85
2013-06-12,86.8
2013-06-13,85.0
2013-06-14,85.3
2013-06-17,88.65
2013-06-18,86.25
2013-06-19,84.8
2013-06-20,83.55
2013-06-21,81.05
2013-06-24,74.3
2013-06-25,81.55
2013-06-26,78.6
2013-06-27,80.2
2013-06-28,87.4
2013-07-01,89.9
2013-07-02,94.3
2013-07-03,90.5
2013-07-04,88.35
2013-07-05,87.15
2013-07-08,89.55
2013-07-09,89.1
2013-07-10,87.75
2013-07-11,89.55
2013-07-12,89.45
2013-07-15,89.0
2013-07-16,90.9
2013-07-17,88.8
2013-07-18,89.1
2013-07-19,87.75
2013-07-22,89.85
2013-07-23,90.15
2013-07-24,88.15
2013-07-25,87.35
2013-07-26,85.8
2013-07-29,88.55
2013-07-30,85.35
2013-07-31,84.2
2013-08-01,83.6
2013-08-02,82.5
2013-08-05,81.4
2013-08-06,83.9
2013-08-07,87.8
2013-08-08,88.55
2013-08-12,89.8
2013-08-13,89.3
2013-08-14,89.55
2013-08-16,84.5
2013-08-19,82.95
2013-08-20,84.45
2013-08-21,82.25
2013-08-22,82.75
2013-08-23,82.05
2013-08-26,81.85
2013-08-27,80.1
2013-08-28,78.4
2013-08-29,82.4
2013-08-30,81.1
2013-09-02,86.7
2013-09-03,81.4
2013-09-04,83.55
2013-09-05,84.0
2013-09-06,87.85
2013-09-10,89.35
2013-09-11,89.75
2013-09-12,88.2
2013-09-13,90.9
2013-09-16,90.0
2013-09-17,89.95
2013-09-18,89.95
2013-09-19,93.5
2013-09-20,92.95
2013-09-23,88.6
2013-09-24,86.4
2013-09-25,87.8
2013-09-26,88.95
2013-09-27,89.45
2013-09-30,86.05
2013-10-01,87.4
2013-10-03,91.25
2013-10-04,91.6
2013-10-07,93.85
2013-10-08,92.6
2013-10-09,94.9
2013-10-10,94.8
2013-10-11,96.15
2013-10-14,97.75
2013-10-15,96.9
2013-10-17,96.35
2013-10-18,97.4
2013-10-21,98.95
2013-10-22,98.15
2013-10-23,98.15
2013-10-24,96.95
2013-10-25,95.95
2013-10-28,94.6
2013-10-29,98.0
2013-10-30,100.75
2013-10-31,105.6
2013-11-01,109.6
2013-11-03,108.05
2013-11-05,112.15
2013-11-06,109.85
2013-11-07,107.05
2013-11-08,106.55
2013-11-11,105.65
2013-11-12,103.15
2013-11-13,102.75
2013-11-14,102.9
2013-11-18,108.25
2013-11-19,107.8
2013-11-20,109.05
2013-11-21,108.55
2013-11-22,107.95
2013-11-25,118.9
2013-11-26,119.6
2013-11-27,119.85
2013-11-28,125.0
2013-11-29,124.9
2013-12-02,123.6
2013-12-03,124.6
2013-12-04,122.1
2013-12-05,127.25
2013-12-06,129.65
2013-12-09,134.85
2013-12-10,134.6
2013-12-11,130.25
2013-12-12,128.7
2013-12-13,124.6
2013-12-16,123.55
2013-12-17,125.8
2013-12-18,129.65
2013-12-19,128.8
2013-12-20,130.4
2013-12-23,133.5
2013-12-24,133.75
2013-12-26,131.75
2013-12-27,129.25
2013-12-30,131.1
2013-12-31,128.7
