Date,NDL
2013-01-01,28.8
2013-01-02,28.95
2013-01-03,28.9
2013-01-04,29.05
2013-01-07,28.6
2013-01-08,28.5
2013-01-09,28.45
2013-01-10,28.6
2013-01-11,28.2
2013-01-14,28.25
2013-01-15,28.4
2013-01-16,28.4
2013-01-17,28.25
2013-01-18,28.2
2013-01-21,28.45
2013-01-22,28.4
2013-01-23,28.3
2013-01-24,28.25
2013-01-25,28.2
2013-01-28,28.2
2013-01-29,28.25
2013-01-30,28.25
2013-01-31,28.35
2013-02-01,28.6
2013-02-04,28.4
2013-02-05,28.35
2013-02-06,29.8
2013-02-07,29.55
2013-02-08,29.55
2013-02-11,29.5
2013-02-12,29.3
2013-02-13,29.5
2013-02-14,29.3
2013-02-15,29.35
2013-02-18,29.25
2013-02-19,29.25
2013-02-20,29.35
2013-02-21,29.3
2013-02-22,29.25
2013-02-25,29.25
2013-02-26,29.3
2013-02-27,29.3
2013-02-28,28.25
2013-03-01,28.4
2013-03-04,28.1
2013-03-05,28.0
2013-03-06,28.25
2013-03-07,28.0
2013-03-08,28.0
2013-03-11,28.1
2013-03-12,28.0
2013-03-13,28.05
2013-03-14,27.8
2013-03-15,27.6
2013-03-18,27.75
2013-03-19,27.6
2013-03-20,27.25
2013-03-21,27.0
2013-03-22,26.05
2013-03-25,25.2
2013-03-26,24.8
2013-03-28,28.0
2013-04-01,25.85
2013-04-02,25.5
2013-04-03,26.05
2013-04-04,26.0
2013-04-05,26.2
2013-04-08,25.5
2013-04-09,25.5
2013-04-10,25.25
2013-04-11,25.25
2013-04-12,25.0
2013-04-15,25.0
2013-04-16,25.35
2013-04-17,25.25
2013-04-18,25.25
2013-04-22,25.25
2013-04-23,25.05
2013-04-25,25.35
2013-04-26,25.4
2013-04-29,24.6
2013-04-30,24.7
2013-05-02,24.55
2013-05-03,24.75
2013-05-06,24.7
2013-05-07,24.75
2013-05-08,24.75
2013-05-09,24.5
2013-05-10,24.5
2013-05-11,24.5
2013-05-13,24.65
2013-05-14,24.85
2013-05-15,25.45
2013-05-16,24.75
2013-05-17,25.3
2013-05-20,24.8
2013-05-21,24.75
2013-05-22,24.75
2013-05-23,24.75
2013-05-24,25.0
2013-05-27,25.0
2013-05-28,25.35
2013-05-29,25.5
2013-05-30,26.7
2013-05-31,27.15
2013-06-03,27.5
2013-06-04,27.5
2013-06-05,27.7
2013-06-06,27.5
2013-06-07,27.7
2013-06-10,27.85
2013-06-11,27.65
2013-06-12,28.6
2013-06-13,29.2
2013-06-14,28.95
2013-06-17,29.1
2013-06-18,29.25
2013-06-19,29.8
2013-06-20,29.5
2013-06-21,29.7
2013-06-24,30.0
2013-06-25,29.95
2013-06-26,29.95
2013-06-27,29.4
2013-06-28,29.45
2013-07-01,29.45
2013-07-02,29.55
2013-07-03,29.5
2013-07-04,29.65
2013-07-05,29.75
2013-07-08,29.7
2013-07-09,29.75
2013-07-10,29.9
2013-07-11,29.9
2013-07-12,30.0
2013-07-15,29.95
2013-07-16,29.9
2013-07-17,29.95
2013-07-18,30.0
2013-07-19,30.05
2013-07-22,30.45
2013-07-23,30.3
2013-07-24,30.1
2013-07-25,30.2
2013-07-26,30.1
2013-07-29,30.4
2013-07-30,30.6
2013-07-31,33.05
2013-08-01,32.75
2013-08-02,32.35
2013-08-05,32.2
2013-08-06,31.75
2013-08-07,31.5
2013-08-08,31.5
2013-08-12,32.1
2013-08-13,32.5
2013-08-14,32.75
2013-08-16,32.5
2013-08-19,32.25
2013-08-20,32.2
2013-08-21,31.8
2013-08-22,31.1
2013-08-23,30.15
2013-08-26,30.0
2013-08-27,30.0
2013-08-28,30.0
2013-08-29,29.8
2013-08-30,29.95
2013-09-02,29.85
2013-09-03,29.75
2013-09-04,29.75
2013-09-05,30.05
2013-09-06,30.45
2013-09-10,30.35
2013-09-11,30.9
2013-09-12,30.85
2013-09-13,30.9
2013-09-16,31.0
2013-09-17,31.25
2013-09-18,30.7
2013-09-19,31.55
2013-09-20,30.75
2013-09-23,30.5
2013-09-24,30.1
2013-09-25,30.4
2013-09-26,29.75
2013-09-27,29.3
2013-09-30,29.45
2013-10-01,29.1
2013-10-03,29.3
2013-10-04,28.75
2013-10-07,29.05
2013-10-08,29.1
2013-10-09,29.0
2013-10-10,28.95
2013-10-11,29.05
2013-10-14,28.75
2013-10-15,28.6
2013-10-17,28.8
2013-10-18,28.8
2013-10-21,28.45
2013-10-22,28.3
2013-10-23,28.05
2013-10-24,27.4
2013-10-25,27.75
2013-10-28,27.45
2013-10-29,27.1
2013-10-30,26.95
2013-10-31,27.0
2013-11-01,27.35
2013-11-03,27.5
2013-11-05,27.15
2013-11-06,27.0
2013-11-07,27.05
2013-11-08,26.95
2013-11-11,27.15
2013-11-12,28.5
2013-11-13,29.7
2013-11-14,29.05
2013-11-18,28.15
2013-11-19,28.0
2013-11-20,29.2
2013-11-21,28.1
2013-11-22,27.85
2013-11-25,32.05
2013-11-26,30.25
2013-11-27,30.25
2013-11-28,29.65
2013-11-29,29.7
2013-12-02,29.75
2013-12-03,29.6
2013-12-04,27.95
2013-12-05,29.05
2013-12-06,29.25
2013-12-09,29.0
2013-12-10,28.75
2013-12-11,28.7
2013-12-12,28.65
2013-12-13,28.35
2013-12-16,28.2
2013-12-17,28.15
2013-12-18,28.05
2013-12-19,28.0
2013-12-20,28.2
2013-12-23,28.65
2013-12-24,28.8
2013-12-26,28.75
2013-12-27,28.8
2013-12-30,28.95
2013-12-31,28.65
