Date,TCI
2013-01-01,80.9
2013-01-02,81.65
2013-01-03,82.35
2013-01-04,82.2
2013-01-07,81.3
2013-01-08,78.75
2013-01-09,78.65
2013-01-10,77.85
2013-01-11,76.05
2013-01-14,76.8
2013-01-15,75.75
2013-01-16,75.55
2013-01-17,74.05
2013-01-18,71.7
2013-01-21,71.2
2013-01-22,74.25
2013-01-23,75.25
2013-01-24,75.0
2013-01-25,75.4
2013-01-28,71.95
2013-01-29,70.4
2013-01-30,70.9
2013-01-31,71.85
2013-02-01,70.65
2013-02-04,69.3
2013-02-05,68.0
2013-02-06,68.65
2013-02-07,67.8
2013-02-08,70.05
2013-02-11,69.5
2013-02-12,69.9
2013-02-13,69.95
2013-02-14,66.0
2013-02-15,63.05
2013-02-18,65.5
2013-02-19,64.0
2013-02-20,65.75
2013-02-21,64.15
2013-02-22,66.5
2013-02-25,63.4
2013-02-26,59.45
2013-02-27,58.05
2013-02-28,56.05
2013-03-01,57.3
2013-03-04,56.35
2013-03-05,57.95
2013-03-06,59.9
2013-03-07,60.0
2013-03-08,60.55
2013-03-11,60.9
2013-03-12,61.05
2013-03-13,59.6
2013-03-14,57.1
2013-03-15,57.25
2013-03-18,58.9
2013-03-19,57.15
2013-03-20,57.2
2013-03-21,57.2
2013-03-22,56.3
2013-03-25,57.2
2013-03-26,54.2
2013-03-28,55.65
2013-04-01,56.45
2013-04-02,56.6
2013-04-03,56.55
2013-04-04,53.6
2013-04-05,53.85
2013-04-08,53.0
2013-04-09,53.15
2013-04-10,52.65
2013-04-11,52.9
2013-04-12,52.3
2013-04-15,52.15
2013-04-16,53.25
2013-04-17,53.5
2013-04-18,52.65
2013-04-22,53.45
2013-04-23,54.0
2013-04-25,53.6
2013-04-26,54.0
2013-04-29,53.95
2013-04-30,53.55
2013-05-02,52.75
2013-05-03,51.3
2013-05-06,52.05
2013-05-07,53.2
2013-05-08,53.4
2013-05-09,55.4
2013-05-10,55.0
2013-05-11,54.75
2013-05-13,54.3
2013-05-14,51.4
2013-05-15,52.7
2013-05-16,55.55
2013-05-17,59.65
2013-05-20,58.4
2013-05-21,56.7
2013-05-22,55.85
2013-05-23,55.45
2013-05-24,55.75
2013-05-27,55.95
2013-05-28,55.35
2013-05-29,56.5
2013-05-30,56.0
2013-05-31,57.2
2013-06-03,57.35
2013-06-04,57.35
2013-06-05,55.95
2013-06-06,55.15
2013-06-07,55.0
2013-06-10,55.25
2013-06-11,53.45
2013-06-12,56.3
2013-06-13,54.95
2013-06-14,54.75
2013-06-17,54.15
2013-06-18,54.15
2013-06-19,53.35
2013-06-20,52.9
2013-06-21,52.0
2013-06-24,51.7
2013-06-25,52.0
2013-06-26,52.15
2013-06-27,51.5
2013-06-28,52.1
2013-07-01,51.5
2013-07-02,51.5
2013-07-03,51.5
2013-07-04,51.9
2013-07-05,52.05
2013-07-08,53.0
2013-07-09,52.95
2013-07-10,52.9
2013-07-11,51.8
2013-07-12,51.5
2013-07-15,51.8
2013-07-16,52.45
2013-07-17,52.2
2013-07-18,51.75
2013-07-19,51.4
2013-07-22,52.05
2013-07-23,50.2
2013-07-24,50.25
2013-07-25,49.0
2013-07-26,50.05
2013-07-29,50.25
2013-07-30,50.95
2013-07-31,50.95
2013-08-01,49.1
2013-08-02,48.2
2013-08-05,48.55
2013-08-06,50.5
2013-08-07,50.0
2013-08-08,51.55
2013-08-12,53.75
2013-08-13,52.9
2013-08-14,52.2
2013-08-16,49.7
2013-08-19,47.4
2013-08-20,46.6
2013-08-21,46.35
2013-08-22,45.0
2013-08-23,46.05
2013-08-26,46.0
2013-08-27,45.0
2013-08-28,45.6
2013-08-29,46.0
2013-08-30,44.9
2013-09-02,45.55
2013-09-03,45.6
2013-09-04,46.9
2013-09-05,48.55
2013-09-06,48.35
2013-09-10,50.2
2013-09-11,50.65
2013-09-12,51.3
2013-09-13,51.1
2013-09-16,50.5
2013-09-17,51.2
2013-09-18,50.55
2013-09-19,51.1
2013-09-20,51.0
2013-09-23,48.05
2013-09-24,47.0
2013-09-25,46.6
2013-09-26,47.1
2013-09-27,49.2
2013-09-30,49.3
2013-10-01,50.1
2013-10-03,50.25
2013-10-04,50.05
2013-10-07,50.2
2013-10-08,49.7
2013-10-09,50.8
2013-10-10,50.0
2013-10-11,50.0
2013-10-14,50.0
2013-10-15,49.5
2013-10-17,49.35
2013-10-18,50.7
2013-10-21,50.4
2013-10-22,50.75
2013-10-23,49.5
2013-10-24,49.5
2013-10-25,49.5
2013-10-28,49.8
2013-10-29,49.25
2013-10-30,52.1
2013-10-31,51.8
2013-11-01,53.35
2013-11-03,63.4
2013-11-05,62.6
2013-11-06,60.8
2013-11-07,59.45
2013-11-08,59.4
2013-11-11,56.6
2013-11-12,57.0
2013-11-13,56.4
2013-11-14,57.35
2013-11-18,59.65
2013-11-19,59.05
2013-11-20,58.45
2013-11-21,57.3
2013-11-22,57.45
2013-11-25,59.5
2013-11-26,63.15
2013-11-27,62.3
2013-11-28,64.8
2013-11-29,63.8
2013-12-02,64.1
2013-12-03,62.85
2013-12-04,62.1
2013-12-05,61.75
2013-12-06,61.75
2013-12-09,61.9
2013-12-10,60.75
2013-12-11,60.35
2013-12-12,59.65
2013-12-13,58.1
2013-12-16,59.6
2013-12-17,59.6
2013-12-18,61.0
2013-12-19,61.55
2013-12-20,64.15
2013-12-23,64.5
2013-12-24,65.05
2013-12-26,67.4
2013-12-27,68.1
2013-12-30,74.95
2013-12-31,80.2
