Date,MAGMA
2013-01-01,83.9
2013-01-02,84.6
2013-01-03,87.6
2013-01-04,93.35
2013-01-07,92.6
2013-01-08,90.85
2013-01-09,95.75
2013-01-10,102.05
2013-01-11,97.1
2013-01-14,99.7
2013-01-15,100.0
2013-01-16,97.9
2013-01-17,95.85
2013-01-18,99.15
2013-01-21,97.95
2013-01-22,94.65
2013-01-23,94.9
2013-01-24,95.3
2013-01-25,95.25
2013-01-28,95.2
2013-01-29,93.2
2013-01-30,93.5
2013-01-31,90.6
2013-02-01,95.85
2013-02-04,88.65
2013-02-05,90.8
2013-02-06,91.4
2013-02-07,90.0
2013-02-08,88.3
2013-02-11,86.8
2013-02-12,86.5
2013-02-13,85.1
2013-02-14,85.25
2013-02-15,84.55
2013-02-18,83.45
2013-02-19,84.0
2013-02-20,85.15
2013-02-21,85.35
2013-02-22,83.95
2013-02-25,81.5
2013-02-26,81.1
2013-02-27,83.5
2013-02-28,81.9
2013-03-01,85.9
2013-03-04,84.0
2013-03-05,84.55
2013-03-06,85.7
2013-03-07,83.75
2013-03-08,84.8
2013-03-11,87.1
2013-03-12,85.0
2013-03-13,84.15
2013-03-14,83.75
2013-03-15,81.9
2013-03-18,82.15
2013-03-19,84.05
2013-03-20,84.05
2013-03-21,83.1
2013-03-22,81.35
2013-03-25,84.25
2013-03-26,82.45
2013-03-28,82.75
2013-04-01,82.25
2013-04-02,85.05
2013-04-03,83.25
2013-04-04,79.95
2013-04-05,79.8
2013-04-08,78.55
2013-04-09,78.85
2013-04-10,79.05
2013-04-11,81.2
2013-04-12,80.6
2013-04-15,82.9
2013-04-16,84.45
2013-04-17,85.35
2013-04-18,86.0
2013-04-22,85.2
2013-04-23,90.65
2013-04-25,88.25
2013-04-26,90.0
2013-04-29,90.0
2013-04-30,89.75
2013-05-02,90.6
2013-05-03,89.9
2013-05-06,89.9
2013-05-07,89.5
2013-05-08,87.8
2013-05-09,94.75
2013-05-10,97.4
2013-05-11,97.15
2013-05-13,94.85
2013-05-14,94.4
2013-05-15,97.0
2013-05-16,96.85
2013-05-17,95.25
2013-05-20,94.8
2013-05-21,100.05
2013-05-22,100.1
2013-05-23,96.65
2013-05-24,93.7
2013-05-27,94.5
2013-05-28,94.35
2013-05-29,96.7
2013-05-30,96.75
2013-05-31,94.25
2013-06-03,94.2
2013-06-04,96.35
2013-06-05,95.4
2013-06-06,94.15
2013-06-07,92.7
2013-06-10,89.35
2013-06-11,86.6
2013-06-12,85.75
2013-06-13,83.15
2013-06-14,84.8
2013-06-17,86.95
2013-06-18,87.9
2013-06-19,85.3
2013-06-20,83.7
2013-06-21,85.9
2013-06-24,85.0
2013-06-25,85.35
2013-06-26,85.5
2013-06-27,89.85
2013-06-28,89.2
2013-07-01,92.25
2013-07-02,95.0
2013-07-03,92.3
2013-07-04,90.8
2013-07-05,90.55
2013-07-08,90.05
2013-07-09,90.1
2013-07-10,90.1
2013-07-11,91.05
2013-07-12,90.35
2013-07-15,90.1
2013-07-16,90.0
2013-07-17,90.1
2013-07-18,90.45
2013-07-19,88.0
2013-07-22,85.25
2013-07-23,83.05
2013-07-24,82.1
2013-07-25,80.9
2013-07-26,77.5
2013-07-29,76.75
2013-07-30,75.5
2013-07-31,78.85
2013-08-01,79.9
2013-08-02,79.9
2013-08-05,80.1
2013-08-06,80.0
2013-08-07,80.4
2013-08-08,80.1
2013-08-12,81.65
2013-08-13,79.95
2013-08-14,79.15
2013-08-16,77.05
2013-08-19,76.15
2013-08-20,75.1
2013-08-21,73.75
2013-08-22,72.45
2013-08-23,74.0
2013-08-26,75.5
2013-08-27,72.95
2013-08-28,71.65
2013-08-29,71.6
2013-08-30,70.05
2013-09-02,69.75
2013-09-03,68.65
2013-09-04,68.5
2013-09-05,69.7
2013-09-06,73.6
2013-09-10,74.05
2013-09-11,73.0
2013-09-12,72.3
2013-09-13,71.35
2013-09-16,70.2
2013-09-17,68.05
2013-09-18,67.95
2013-09-19,70.1
2013-09-20,70.15
2013-09-23,67.95
2013-09-24,64.6
2013-09-25,62.95
2013-09-26,62.05
2013-09-27,62.95
2013-09-30,63.8
2013-10-01,63.7
2013-10-03,64.15
2013-10-04,63.0
2013-10-07,62.95
2013-10-08,65.3
2013-10-09,65.5
2013-10-10,66.8
2013-10-11,68.7
2013-10-14,68.95
2013-10-15,66.8
2013-10-17,67.85
2013-10-18,66.9
2013-10-21,67.85
2013-10-22,68.6
2013-10-23,65.75
2013-10-24,67.35
2013-10-25,67.0
2013-10-28,66.6
2013-10-29,65.9
2013-10-30,66.65
2013-10-31,74.9
2013-11-01,75.65
2013-11-03,73.4
2013-11-05,70.35
2013-11-06,70.15
2013-11-07,71.85
2013-11-08,69.5
2013-11-11,67.65
2013-11-12,65.2
2013-11-13,65.2
2013-11-14,66.15
2013-11-18,66.55
2013-11-19,72.1
2013-11-20,73.75
2013-11-21,70.05
2013-11-22,68.1
2013-11-25,67.75
2013-11-26,68.1
2013-11-27,65.75
2013-11-28,65.8
2013-11-29,65.25
2013-12-02,63.85
2013-12-03,64.45
2013-12-04,64.7
2013-12-05,67.15
2013-12-06,66.95
2013-12-09,67.7
2013-12-10,68.15
2013-12-11,66.15
2013-12-12,63.25
2013-12-13,63.85
2013-12-16,65.2
2013-12-17,65.05
2013-12-18,65.25
2013-12-19,65.1
2013-12-20,64.95
2013-12-23,65.55
2013-12-24,67.95
2013-12-26,72.35
2013-12-27,72.0
2013-12-30,69.5
2013-12-31,68.35
